update_date,open,high,low,close,volume
2008/1/2,18147.74 ,18147.74 ,18147.74 ,18147.74 ,9374.00 
2008/1/3,18195.19 ,18195.19 ,18195.19 ,18195.19 ,9788.00 
2008/1/4,18463.58 ,18463.58 ,18463.58 ,18463.58 ,63612.00 
2008/1/7,18327.00 ,18327.00 ,18327.00 ,18327.00 ,22946.00 
2008/1/8,18377.74 ,18377.74 ,18377.74 ,18377.74 ,10112.00 
2008/1/9,18404.78 ,18404.78 ,18404.78 ,18404.78 ,30548.00 
2008/1/10,18362.19 ,18362.19 ,18362.19 ,18362.19 ,17108.00 
2008/1/11,18411.50 ,18411.50 ,18411.50 ,18411.50 ,9994.00 
2008/1/14,18341.64 ,18341.64 ,18341.64 ,18341.64 ,10736.00 
2008/1/15,18299.20 ,18299.20 ,18299.20 ,18299.20 ,13516.00 
2008/1/16,18289.94 ,18289.94 ,18289.94 ,18289.94 ,20594.00 
2008/1/17,18317.33 ,18317.33 ,18317.33 ,18317.33 ,8986.00 
2008/1/18,18334.12 ,18334.12 ,18334.12 ,18334.12 ,7864.00 
2008/1/21,18321.28 ,18321.28 ,18321.28 ,18321.28 ,7280.00 
2008/1/22,18261.08 ,18261.08 ,18261.08 ,18261.08 ,19278.00 
2008/1/23,18474.61 ,18474.61 ,18474.61 ,18474.61 ,18058.00 
2008/1/24,18638.71 ,18638.71 ,18638.71 ,18638.71 ,39760.00 
2008/1/25,18759.38 ,18759.38 ,18759.38 ,18759.38 ,31412.00 
2008/1/28,18743.12 ,18743.12 ,18743.12 ,18743.12 ,38566.00 
2008/1/29,19190.40 ,19190.40 ,19190.40 ,19190.40 ,55386.00 
2008/1/30,19372.43 ,19372.43 ,19372.43 ,19372.43 ,150108.00 
2008/1/31,19516.50 ,19516.50 ,19516.50 ,19516.50 ,82694.00 
2008/2/1,19529.53 ,19529.53 ,19529.53 ,19529.53 ,87682.00 
2008/2/4,19528.20 ,19528.20 ,19528.20 ,19528.20 ,37784.00 
2008/2/5,19421.72 ,19421.72 ,19421.72 ,19421.72 ,36832.00 
2008/2/13,19079.07 ,19079.07 ,19079.07 ,19079.07 ,37418.00 
2008/2/14,19696.51 ,19696.51 ,19696.51 ,19696.51 ,140218.00 
2008/2/15,19525.60 ,19525.60 ,19525.60 ,19525.60 ,74394.00 
2008/2/18,19598.51 ,19598.51 ,19598.51 ,19598.51 ,105874.00 
2008/2/19,19467.18 ,19467.18 ,19467.18 ,19467.18 ,58310.00 
2008/2/20,19416.56 ,19416.56 ,19416.56 ,19416.56 ,45438.00 
2008/2/21,19583.92 ,19583.92 ,19583.92 ,19583.92 ,93124.00 
2008/2/22,19774.40 ,19774.40 ,19774.40 ,19774.40 ,113390.00 
2008/2/25,19884.10 ,19884.10 ,19884.10 ,19884.10 ,94340.00 
2008/2/26,19669.51 ,19669.51 ,19669.51 ,19669.51 ,70438.00 
2008/2/27,19884.90 ,19884.90 ,19884.90 ,19884.90 ,88560.00 
2008/2/28,20222.97 ,20222.97 ,20222.97 ,20222.97 ,121640.00 
2008/2/29,20187.23 ,20187.23 ,20187.23 ,20187.23 ,58518.00 
2008/3/3,20463.73 ,20463.73 ,20463.73 ,20463.73 ,80582.00 
2008/3/4,20706.48 ,20706.48 ,20706.48 ,20706.48 ,140974.00 
2008/3/5,20884.93 ,20884.93 ,20884.93 ,20884.93 ,214908.00 
