update_date,open,high,low,close,volume,position_all
2002/11/17,13950.00 ,14050.00 ,13670.00 ,13900.00 ,25974.00 ,18730.00 
2002/11/24,13910.00 ,14310.00 ,13910.00 ,14120.00 ,22394.00 ,19044.00 
2002/12/1,14120.00 ,14120.00 ,13670.00 ,14000.00 ,22476.00 ,21086.00 
2002/12/8,14180.00 ,14200.00 ,13800.00 ,13830.00 ,27432.00 ,24826.00 
2002/12/15,13960.00 ,13960.00 ,13770.00 ,13840.00 ,16944.00 ,24890.00 
2002/12/22,13850.00 ,13910.00 ,13730.00 ,13740.00 ,18626.00 ,22602.00 
2002/12/29,13780.00 ,13800.00 ,13440.00 ,13580.00 ,19404.00 ,20512.00 
2003/1/5,13620.00 ,13750.00 ,13470.00 ,13700.00 ,17342.00 ,18792.00 
2003/1/12,13700.00 ,14070.00 ,13520.00 ,13690.00 ,21120.00 ,14966.00 
2003/1/19,13630.00 ,13820.00 ,13580.00 ,13790.00 ,17570.00 ,15084.00 
2003/1/26,13780.00 ,14050.00 ,13740.00 ,14010.00 ,21006.00 ,15514.00 
2003/2/2,13970.00 ,13990.00 ,13850.00 ,13960.00 ,15988.00 ,13852.00 
2003/2/16,13980.00 ,14310.00 ,13900.00 ,14170.00 ,29480.00 ,17680.00 
2003/2/23,14240.00 ,14250.00 ,14100.00 ,14160.00 ,28792.00 ,18516.00 
2003/3/2,14320.00 ,14530.00 ,14310.00 ,14390.00 ,27132.00 ,21670.00 
2003/3/9,14350.00 ,14450.00 ,14000.00 ,14250.00 ,21576.00 ,20692.00 
2003/3/16,14310.00 ,14360.00 ,14230.00 ,14280.00 ,15406.00 ,20936.00 
2003/3/23,14280.00 ,14460.00 ,14250.00 ,14310.00 ,19026.00 ,20108.00 
2003/3/30,14310.00 ,14390.00 ,14140.00 ,14220.00 ,15514.00 ,19588.00 
2003/4/6,14220.00 ,14300.00 ,14060.00 ,14180.00 ,12648.00 ,19938.00 
2003/4/13,14180.00 ,14350.00 ,14180.00 ,14240.00 ,16184.00 ,20760.00 
2003/4/20,14360.00 ,14450.00 ,14290.00 ,14360.00 ,18446.00 ,19606.00 
2003/4/27,14320.00 ,14420.00 ,14200.00 ,14380.00 ,14028.00 ,18780.00 
2003/5/4,14380.00 ,14420.00 ,14350.00 ,14400.00 ,7796.00 ,17796.00 
2003/5/18,14400.00 ,14600.00 ,14390.00 ,14560.00 ,16636.00 ,15990.00 
2003/5/25,14520.00 ,14700.00 ,14500.00 ,14660.00 ,18798.00 ,17630.00 
2003/6/1,14650.00 ,14750.00 ,14590.00 ,14700.00 ,15300.00 ,19078.00 
2003/6/8,14700.00 ,14900.00 ,14700.00 ,14850.00 ,17980.00 ,20798.00 
2003/6/15,14840.00 ,14880.00 ,14720.00 ,14750.00 ,14750.00 ,20954.00 
2003/6/22,14710.00 ,14800.00 ,14660.00 ,14740.00 ,13218.00 ,20276.00 
2003/6/29,14610.00 ,14710.00 ,14590.00 ,14630.00 ,11708.00 ,19840.00 
2003/7/6,14650.00 ,14670.00 ,14550.00 ,14600.00 ,13954.00 ,20036.00 
2003/7/13,14600.00 ,14730.00 ,14600.00 ,14680.00 ,15440.00 ,18630.00 
2003/7/20,14690.00 ,14720.00 ,14580.00 ,14600.00 ,17720.00 ,18290.00 
2003/7/27,14610.00 ,14690.00 ,14580.00 ,14660.00 ,21230.00 ,18002.00 
2003/8/3,14700.00 ,14700.00 ,14610.00 ,14680.00 ,16226.00 ,16964.00 
2003/8/10,14640.00 ,14710.00 ,14630.00 ,14690.00 ,7900.00 ,16846.00 
2003/8/17,14580.00 ,14670.00 ,14550.00 ,14610.00 ,12014.00 ,17320.00 
2003/8/24,14570.00 ,14640.00 ,14570.00 ,14610.00 ,19168.00 ,17956.00 
2003/8/31,14620.00 ,14680.00 ,14590.00 ,14620.00 ,9210.00 ,18196.00 
2003/9/7,14650.00 ,14700.00 ,14600.00 ,14650.00 ,4590.00 ,16500.00 
2003/9/14,14640.00 ,14680.00 ,14530.00 ,14650.00 ,3216.00 ,14766.00 
2003/9/21,14640.00 ,14660.00 ,14610.00 ,14640.00 ,2574.00 ,13804.00 
2003/9/28,14650.00 ,14660.00 ,14620.00 ,14630.00 ,2106.00 ,13488.00 
2003/10/5,14620.00 ,14620.00 ,14600.00 ,14620.00 ,1182.00 ,13006.00 
2003/10/12,14710.00 ,14720.00 ,14360.00 ,14440.00 ,10504.00 ,16114.00 
2003/10/19,14540.00 ,14980.00 ,14440.00 ,14800.00 ,54772.00 ,23588.00 
2003/10/26,14820.00 ,15800.00 ,14800.00 ,15260.00 ,170594.00 ,41534.00 
2003/11/2,15320.00 ,16020.00 ,15280.00 ,15770.00 ,111844.00 ,50470.00 
2003/11/9,15750.00 ,16260.00 ,15460.00 ,15670.00 ,99166.00 ,41776.00 
2003/11/16,15750.00 ,15800.00 ,15160.00 ,15620.00 ,24304.00 ,36174.00 
2003/11/23,15670.00 ,15730.00 ,14850.00 ,15170.00 ,40632.00 ,18370.00 
2003/11/30,15060.00 ,15660.00 ,15060.00 ,15640.00 ,13756.00 ,17546.00 
2003/12/7,15900.00 ,16130.00 ,15750.00 ,15860.00 ,33104.00 ,15394.00 
2003/12/14,15900.00 ,16010.00 ,15600.00 ,15690.00 ,17044.00 ,14078.00 
2003/12/21,15800.00 ,16310.00 ,15680.00 ,16170.00 ,35350.00 ,19878.00 
2003/12/28,16210.00 ,16400.00 ,16020.00 ,16320.00 ,37034.00 ,21474.00 
2004/1/4,16360.00 ,16440.00 ,16150.00 ,16310.00 ,24472.00 ,20978.00 
2004/1/11,16450.00 ,17050.00 ,16400.00 ,16880.00 ,48074.00 ,22748.00 
2004/1/18,16840.00 ,16980.00 ,16700.00 ,16790.00 ,22462.00 ,19640.00 
2004/2/1,17100.00 ,17150.00 ,16880.00 ,16920.00 ,14742.00 ,21996.00 
2004/2/8,17060.00 ,17790.00 ,16900.00 ,17540.00 ,37682.00 ,20218.00 
2004/2/15,17800.00 ,18500.00 ,17550.00 ,18150.00 ,259336.00 ,66450.00 
2004/2/22,18220.00 ,18850.00 ,18030.00 ,18590.00 ,273514.00 ,86366.00 
2004/2/29,18350.00 ,18690.00 ,18000.00 ,18200.00 ,180478.00 ,82846.00 
2004/3/7,18240.00 ,18600.00 ,17400.00 ,17660.00 ,81616.00 ,64266.00 
2004/3/14,17750.00 ,18530.00 ,17550.00 ,18240.00 ,89008.00 ,86742.00 
2004/3/21,18230.00 ,18280.00 ,17800.00 ,18050.00 ,101996.00 ,86282.00 
