update_date,open,high,low,close,volume
2008/1/2,17780.00 ,17780.00 ,17700.00 ,17730.00 ,670.00 
2008/1/3,17740.00 ,17780.00 ,17720.00 ,17770.00 ,920.00 
2008/1/4,18120.00 ,18150.00 ,18000.00 ,18070.00 ,3080.00 
2008/1/7,17900.00 ,17910.00 ,17880.00 ,17890.00 ,380.00 
2008/1/8,17910.00 ,17920.00 ,17890.00 ,17920.00 ,590.00 
2008/1/9,18120.00 ,18150.00 ,17910.00 ,18000.00 ,1790.00 
2008/1/10,17930.00 ,18010.00 ,17930.00 ,17950.00 ,880.00 
2008/1/11,17980.00 ,17980.00 ,17810.00 ,17970.00 ,1190.00 
2008/1/14,17820.00 ,17920.00 ,17820.00 ,17870.00 ,1260.00 
2008/1/15,17880.00 ,17920.00 ,17870.00 ,17870.00 ,1460.00 
2008/1/16,17980.00 ,17990.00 ,17890.00 ,17980.00 ,1606.00 
2008/1/17,17980.00 ,18040.00 ,17950.00 ,18020.00 ,1266.00 
2008/1/18,18020.00 ,18060.00 ,18000.00 ,18060.00 ,1026.00 
2008/1/21,18040.00 ,18110.00 ,18030.00 ,18060.00 ,1084.00 
2008/1/22,17910.00 ,18060.00 ,17910.00 ,17990.00 ,1580.00 
2008/1/23,18070.00 ,18200.00 ,18020.00 ,18180.00 ,1804.00 
2008/1/24,18180.00 ,18390.00 ,18180.00 ,18330.00 ,1836.00 
2008/1/25,18500.00 ,18560.00 ,18400.00 ,18450.00 ,1944.00 
2008/1/28,18550.00 ,18600.00 ,18450.00 ,18450.00 ,2024.00 
2008/1/29,18510.00 ,19000.00 ,18500.00 ,19000.00 ,1182.00 
2008/1/30,19290.00 ,19370.00 ,19100.00 ,19370.00 ,3152.00 
2008/1/31,19400.00 ,19600.00 ,19340.00 ,19560.00 ,2460.00 
2008/2/1,18750.00 ,19680.00 ,18750.00 ,19610.00 ,1950.00 
2008/2/4,19590.00 ,19600.00 ,19460.00 ,19520.00 ,1010.00 
2008/2/5,19200.00 ,19480.00 ,19200.00 ,19410.00 ,530.00 
2008/2/13,18590.00 ,19600.00 ,18590.00 ,19090.00 ,1370.00 
2008/2/14,19200.00 ,19460.00 ,19200.00 ,19450.00 ,2180.00 
2008/2/15,19540.00 ,19550.00 ,19320.00 ,19380.00 ,1760.00 
2008/2/18,19450.00 ,19550.00 ,19430.00 ,19470.00 ,1544.00 
2008/2/19,19500.00 ,19500.00 ,19300.00 ,19310.00 ,1906.00 
2008/2/20,19330.00 ,19450.00 ,19230.00 ,19250.00 ,1618.00 
2008/2/21,19340.00 ,19420.00 ,19240.00 ,19390.00 ,1790.00 
2008/2/22,19490.00 ,19750.00 ,19420.00 ,19590.00 ,2726.00 
2008/2/25,19570.00 ,19650.00 ,19520.00 ,19600.00 ,470.00 
2008/2/26,19300.00 ,19450.00 ,19260.00 ,19350.00 ,2924.00 
2008/2/27,19600.00 ,19630.00 ,19490.00 ,19510.00 ,2474.00 
2008/2/28,19800.00 ,19850.00 ,19650.00 ,19810.00 ,3300.00 
2008/2/29,19600.00 ,19810.00 ,19600.00 ,19710.00 ,1878.00 
2008/3/3,19650.00 ,19950.00 ,19650.00 ,19900.00 ,2670.00 
2008/3/4,19900.00 ,20400.00 ,19900.00 ,20100.00 ,1080.00 
2008/3/5,20100.00 ,20450.00 ,20050.00 ,20330.00 ,2410.00 
2008/3/6,20600.00 ,20800.00 ,20600.00 ,20690.00 ,890.00 
2008/3/7,20790.00 ,20900.00 ,20550.00 ,20740.00 ,1610.00 
2008/3/10,20740.00 ,20740.00 ,20140.00 ,20140.00 ,2010.00 
2008/3/11,19840.00 ,19980.00 ,19800.00 ,19900.00 ,4110.00 
2008/3/12,20600.00 ,20600.00 ,19220.00 ,19280.00 ,2430.00 
2008/3/13,19480.00 ,19550.00 ,19350.00 ,19400.00 ,1660.00 
2008/3/14,19320.00 ,19500.00 ,19250.00 ,19420.00 ,1840.00 
2008/3/17,19270.00 ,19480.00 ,19250.00 ,19380.00 ,1890.00 
2008/3/18,19110.00 ,19170.00 ,18870.00 ,18940.00 ,4640.00 
2008/3/19,19100.00 ,19230.00 ,18910.00 ,19150.00 ,1750.00 
2008/3/20,18800.00 ,18900.00 ,18700.00 ,18900.00 ,3066.00 
2008/3/21,18800.00 ,19210.00 ,18800.00 ,19210.00 ,1762.00 
2008/3/24,19210.00 ,19210.00 ,19070.00 ,19170.00 ,864.00 
2008/3/25,19210.00 ,19470.00 ,19200.00 ,19440.00 ,2850.00 
2008/3/26,19500.00 ,19600.00 ,19250.00 ,19250.00 ,2936.00 
2008/3/27,19010.00 ,19400.00 ,19010.00 ,19270.00 ,632.00 
2008/3/28,19380.00 ,19500.00 ,19230.00 ,19230.00 ,2276.00 
2008/3/31,19250.00 ,19300.00 ,19060.00 ,19190.00 ,3408.00 
2008/4/1,19000.00 ,19000.00 ,18800.00 ,18950.00 ,1970.00 
2008/4/2,19000.00 ,19100.00 ,19000.00 ,19020.00 ,440.00 
2008/4/3,19030.00 ,19080.00 ,19000.00 ,19080.00 ,440.00 
2008/4/7,19020.00 ,19030.00 ,18900.00 ,19030.00 ,390.00 
2008/4/8,18990.00 ,19000.00 ,18920.00 ,18990.00 ,840.00 
2008/4/9,18990.00 ,19120.00 ,18990.00 ,19010.00 ,1630.00 
2008/4/10,19200.00 ,19200.00 ,19050.00 ,19080.00 ,2490.00 
2008/4/11,18910.00 ,19050.00 ,18910.00 ,18950.00 ,3140.00 
2008/4/14,18780.00 ,18780.00 ,18690.00 ,18700.00 ,3250.00 
2008/4/15,18650.00 ,18730.00 ,18640.00 ,18720.00 ,4270.00 
2008/4/16,18870.00 ,18875.00 ,18800.00 ,18830.00 ,2710.00 
2008/4/17,18905.00 ,18980.00 ,18870.00 ,18905.00 ,3710.00 
2008/4/18,18835.00 ,18870.00 ,18805.00 ,18870.00 ,590.00 
2008/4/21,18930.00 ,18930.00 ,18665.00 ,18700.00 ,1812.00 
2008/4/22,18555.00 ,18810.00 ,18555.00 ,18740.00 ,2200.00 
2008/4/23,18750.00 ,18825.00 ,18680.00 ,18820.00 ,1754.00 
2008/4/24,18770.00 ,18885.00 ,18770.00 ,18850.00 ,3240.00 
2008/4/25,18790.00 ,18800.00 ,18690.00 ,18700.00 ,1606.00 
2008/4/28,18650.00 ,18785.00 ,18650.00 ,18755.00 ,2146.00 
2008/4/29,18720.00 ,18720.00 ,18625.00 ,18640.00 ,2544.00 
2008/4/30,18530.00 ,18600.00 ,18505.00 ,18550.00 ,2754.00 
2008/5/5,18500.00 ,18510.00 ,18380.00 ,18380.00 ,3920.00 
2008/5/6,18390.00 ,18500.00 ,18390.00 ,18500.00 ,3360.00 
2008/5/7,18490.00 ,18550.00 ,18475.00 ,18515.00 ,2870.00 
2008/5/8,18400.00 ,18550.00 ,18400.00 ,18500.00 ,2240.00 
2008/5/9,18500.00 ,18525.00 ,18440.00 ,18450.00 ,2310.00 
2008/5/12,18440.00 ,18490.00 ,18400.00 ,18405.00 ,2560.00 
2008/5/13,18470.00 ,18510.00 ,18430.00 ,18490.00 ,2950.00 
2008/5/14,18470.00 ,18600.00 ,18470.00 ,18550.00 ,1770.00 
2008/5/15,18400.00 ,18545.00 ,18400.00 ,18545.00 ,6170.00 
2008/5/16,18760.00 ,19110.00 ,18760.00 ,19110.00 ,8176.00 
2008/5/19,19145.00 ,19200.00 ,18960.00 ,18960.00 ,2450.00 
2008/5/20,18900.00 ,18975.00 ,18880.00 ,18915.00 ,1340.00 
2008/5/21,18870.00 ,18945.00 ,18630.00 ,18630.00 ,1904.00 
2008/5/22,18640.00 ,18850.00 ,18640.00 ,18850.00 ,1794.00 
2008/5/23,18630.00 ,18920.00 ,18630.00 ,18760.00 ,1952.00 
2008/5/26,18885.00 ,18980.00 ,18775.00 ,18870.00 ,2198.00 
2008/5/27,18805.00 ,18850.00 ,18720.00 ,18735.00 ,1552.00 
2008/5/28,18800.00 ,18850.00 ,18740.00 ,18760.00 ,1198.00 
2008/5/29,18755.00 ,18760.00 ,18500.00 ,18600.00 ,3096.00 
2008/5/30,18310.00 ,18565.00 ,18120.00 ,18540.00 ,3530.00 
2008/6/2,18460.00 ,18600.00 ,18460.00 ,18460.00 ,1960.00 
