update_date,USDCAD.FX,AUDUSD.FX
2000/1/3,1.445,0.6612
2000/1/4,1.4513,0.6555
2000/1/5,1.448,0.6576
2000/1/6,1.459,0.6545
2000/1/7,1.4558,0.6557
2000/1/10,1.4546,0.6565
2000/1/11,1.4556,0.6582
2000/1/12,1.4528,0.6579
2000/1/13,1.4494,0.6675
2000/1/14,1.4492,0.6656
2000/1/17,1.4486,0.6645
2000/1/18,1.4503,0.665
2000/1/19,1.4521,0.6632
2000/1/20,1.4465,0.6656
2000/1/21,1.4384,0.663
2000/1/24,1.442,0.6537
2000/1/25,1.4365,0.6548
2000/1/26,1.4372,0.6516
2000/1/27,1.432,0.6545
2000/1/28,1.4435,0.6313
2000/1/31,1.4473,0.6357
2000/2/1,1.4464,0.631
2000/2/2,1.4378,0.6375
2000/2/3,1.4401,0.636
2000/2/4,1.441,0.6365
2000/2/7,1.4462,0.6339
2000/2/8,1.447,0.6331
2000/2/9,1.4434,0.6346
2000/2/10,1.4473,0.6308
2000/2/11,1.4503,0.6325
2000/2/14,1.4569,0.6272
2000/2/15,1.4562,0.6293
2000/2/16,1.4541,0.6317
2000/2/17,1.4518,0.6324
2000/2/18,1.4503,0.6292
2000/2/21,1.4538,0.6268
2000/2/22,1.4625,0.6248
2000/2/23,1.4613,0.6208
2000/2/24,1.4545,0.6158
2000/2/25,1.4486,0.6154
2000/2/28,1.4495,0.6133
2000/2/29,1.45,0.6182
2000/3/1,1.448,0.6055
2000/3/2,1.4562,0.607
2000/3/3,1.4533,0.6082
2000/3/6,1.4523,0.602
2000/3/7,1.4537,0.6034
2000/3/8,1.4565,0.6098
2000/3/9,1.4574,0.6148
2000/3/10,1.4581,0.6141
2000/3/13,1.4612,0.6152
2000/3/14,1.4638,0.614
2000/3/15,1.4674,0.6125
2000/3/16,1.4743,0.6111
2000/3/17,1.4714,0.6063
2000/3/20,1.4694,0.6074
2000/3/21,1.468,0.6099
2000/3/22,1.4694,0.6045
2000/3/23,1.4682,0.6051
2000/3/24,1.4632,0.6079
2000/3/27,1.4604,0.6108
2000/3/28,1.4528,0.613
2000/3/29,1.4568,0.611
2000/3/30,1.4541,0.6123
2000/3/31,1.4501,0.6075
2000/4/3,1.4511,0.6065
2000/4/4,1.4527,0.6056
2000/4/5,1.4497,0.606
2000/4/6,1.4514,0.6029
2000/4/7,1.4563,0.5992
2000/4/10,1.4613,0.598
2000/4/11,1.4626,0.5955
2000/4/12,1.4621,0.596
2000/4/13,1.4714,0.5964
2000/4/14,1.4765,0.5985
2000/4/17,1.486,0.5903
2000/4/18,1.4818,0.5949
2000/4/19,1.4726,0.5953
2000/4/20,1.4747,0.5925
2000/4/21,1.4749,0.5925
2000/4/24,1.4767,0.5942
2000/4/25,1.4702,0.5926
2000/4/26,1.4736,0.5875
2000/4/27,1.4764,0.5883
2000/4/28,1.4811,0.5834
2000/5/1,1.4789,0.5816
2000/5/2,1.4861,0.5854
2000/5/3,1.493,0.5928
2000/5/4,1.4974,0.5911
2000/5/5,1.4905,0.5952
2000/5/8,1.4915,0.5818
2000/5/9,1.4912,0.583
2000/5/10,1.4934,0.5816
2000/5/11,1.488,0.578
2000/5/12,1.4873,0.5797
2000/5/15,1.4858,0.573
2000/5/16,1.487,0.5756
2000/5/17,1.4971,0.5682
2000/5/18,1.4975,0.5704
2000/5/19,1.4955,0.5735
2000/5/22,1.4969,0.5734
2000/5/23,1.506,0.5738
2000/5/24,1.5102,0.5708
2000/5/25,1.5045,0.5698
2000/5/26,1.5038,0.5736
2000/5/29,1.4998,0.5724
2000/5/30,1.507,0.5765
2000/5/31,1.4959,0.5726
2000/6/1,1.4892,0.5721
2000/6/2,1.4772,0.5787
2000/6/5,1.4772,0.5821
2000/6/6,1.4751,0.5892
2000/6/7,1.4784,0.5918
2000/6/8,1.4773,0.5885
2000/6/9,1.4747,0.5864
2000/6/12,1.4748,0.5908
2000/6/13,1.4685,0.5966
2000/6/14,1.468,0.5995
2000/6/15,1.4753,0.6026
2000/6/16,1.4662,0.6066
2000/6/19,1.4652,0.6023
2000/6/20,1.4701,0.6035
2000/6/21,1.4733,0.6028
2000/6/22,1.4762,0.597
2000/6/23,1.4825,0.5943
2000/6/26,1.4832,0.5968
2000/6/27,1.4816,0.6018
2000/6/28,1.4786,0.6022
2000/6/29,1.4828,0.6023
2000/6/30,1.4801,0.5976
2000/7/3,1.4806,0.5992
2000/7/4,1.485,0.5983
2000/7/5,1.487,0.5892
2000/7/6,1.484,0.5906
2000/7/7,1.4806,0.5911
2000/7/10,1.4782,0.5922
2000/7/11,1.4776,0.5874
