update_date,non_comm_long,non_comm_short,non_comm_arb,comm_long,comm_short,open interest
1989/7/31,0,0,0,408,416,2353
1989/8/15,0,0,0,673,1278,3115
1989/8/31,0,0,0,1155,2402,4518
1989/9/15,0,0,0,1411,2744,4894
1989/9/29,0,0,0,1683,3565,5831
1989/10/13,0,200,0,2875,4814,7547
1989/10/31,110,352,0,4044,6436,10359
1989/11/15,141,249,175,6678,8457,14450
1989/11/30,799,6776,319,13820,9032,24921
1989/12/15,1224,7678,788,17815,10747,30581
1989/12/29,623,6989,906,18101,10949,29987
1990/1/15,1992,5804,772,16634,11805,30973
1990/1/31,980,9028,592,21396,11582,34757
1990/2/15,1740,5307,571,17870,13803,32471
1990/2/28,3665,5683,735,16235,16064,33396
1990/3/15,9687,5940,237,11511,18357,35743
1990/3/30,9014,2811,229,9544,18793,32499
1990/4/12,7752,4479,449,12733,18107,35551
1990/4/30,3661,4705,259,16261,15753,32944
1990/5/15,5982,1762,20,12430,19351,32102
1990/5/31,4752,4167,76,13198,15714,31925
1990/6/15,2917,4066,0,14276,13171,29291
1990/6/29,8651,3709,0,12679,17373,32094
1990/7/13,9321,1203,110,12443,19923,33629
1990/7/31,7754,1657,0,11135,17447,30819
1990/8/15,7507,2587,299,10470,16137,31552
1990/8/31,7407,1683,340,13539,17525,32307
1990/9/14,7032,2088,190,12735,19847,32248
1990/9/28,2908,4372,0,17141,16165,32290
1990/10/15,2423,5407,151,22280,17719,36900
1990/10/31,1862,4194,231,21469,19971,36574
1990/11/15,2275,3544,0,19178,17946,34075
1990/11/30,1621,6800,0,20702,16461,36023
1990/12/14,1457,10333,152,23512,14619,38890
1990/12/31,1887,5349,125,18525,16611,35783
1991/1/15,6456,3542,0,13290,17782,33763
1991/1/31,673,7704,275,22596,15414,37656
1991/2/15,972,6598,126,20078,15676,35056
1991/2/28,2228,5449,413,17263,17133,34753
1991/3/15,1914,5841,225,16793,15767,34380
1991/3/28,1820,6848,718,16118,13928,33839
1991/4/15,2135,5727,0,14404,15585,32514
1991/4/30,3100,9329,0,20489,14866,36736
1991/5/15,1192,14257,675,28021,14295,45429
1991/5/31,766,13648,669,28716,14546,45616
1991/6/14,583,8431,478,23307,16128,40365
1991/6/28,2002,5968,511,19957,16362,36421
1991/7/15,942,6664,322,18481,13770,33080
1991/7/31,2044,6672,433,16142,14162,32503
1991/8/15,2424,4823,433,16073,15173,32783
1991/8/30,5956,2511,520,15551,20574,36676
1991/9/16,11435,2933,387,14606,24172,41580
1991/9/30,11931,4348,270,14169,24033,41155
1991/10/15,10106,5585,821,16448,22849,41650
1991/10/31,12711,6012,608,14469,25629,45125
1991/11/15,9164,5743,549,15861,22181,40502
1991/11/29,6335,5282,137,16823,19067,36364
1991/12/13,2748,16421,1621,27847,13044,46685
