update_date,open,high,low,close,volume,amt
2000-11-02,18913.6761 ,18913.6761 ,18913.6761 ,18913.6761 ,16844.0000 ,0.0000 
2000-11-03,18916.4805 ,18916.4805 ,18916.4805 ,18916.4805 ,9316.0000 ,0.0000 
2000-11-06,18896.9510 ,18896.9510 ,18896.9510 ,18896.9510 ,11172.0000 ,0.0000 
2000-11-07,18640.0838 ,18640.0838 ,18640.0838 ,18640.0838 ,41898.0000 ,0.0000 
2000-11-08,18701.6780 ,18701.6780 ,18701.6780 ,18701.6780 ,20664.0000 ,0.0000 
2000-11-09,18905.4857 ,18905.4857 ,18905.4857 ,18905.4857 ,29790.0000 ,0.0000 
2000-11-10,18878.4465 ,18878.4465 ,18878.4465 ,18878.4465 ,12558.0000 ,0.0000 
2000-11-13,18776.8278 ,18776.8278 ,18776.8278 ,18776.8278 ,20504.0000 ,0.0000 
2000-11-14,18545.5917 ,18545.5917 ,18545.5917 ,18545.5917 ,44106.0000 ,0.0000 
2000-11-15,18620.5537 ,18620.5537 ,18620.5537 ,18620.5537 ,28158.0000 ,0.0000 
2000-11-16,18565.2995 ,18565.2995 ,18565.2995 ,18565.2995 ,20682.0000 ,0.0000 
2000-11-17,18581.4561 ,18581.4561 ,18581.4561 ,18581.4561 ,19826.0000 ,0.0000 
2000-11-20,18597.6577 ,18597.6577 ,18597.6577 ,18597.6577 ,10230.0000 ,0.0000 
2000-11-21,18567.8589 ,18567.8589 ,18567.8589 ,18567.8589 ,8520.0000 ,0.0000 
2000-11-22,18698.5470 ,18698.5470 ,18698.5470 ,18698.5470 ,24822.0000 ,0.0000 
2000-11-23,18587.5566 ,18587.5566 ,18587.5566 ,18587.5566 ,18352.0000 ,0.0000 
2000-11-24,18671.1804 ,18671.1804 ,18671.1804 ,18671.1804 ,17240.0000 ,0.0000 
2000-11-27,18837.1424 ,18837.1424 ,18837.1424 ,18837.1424 ,21158.0000 ,0.0000 
2000-11-28,18967.3553 ,18967.3553 ,18967.3553 ,18967.3553 ,34546.0000 ,0.0000 
2000-11-29,18891.4816 ,18891.4816 ,18891.4816 ,18891.4816 ,28882.0000 ,0.0000 
2000-11-30,18946.9705 ,18946.9705 ,18946.9705 ,18946.9705 ,14358.0000 ,0.0000 
2000-12-01,18854.1377 ,18854.1377 ,18854.1377 ,18854.1377 ,25624.0000 ,0.0000 
2000-12-04,18961.4904 ,18961.4904 ,18961.4904 ,18961.4904 ,6542.0000 ,0.0000 
2000-12-05,18979.7863 ,18979.7863 ,18979.7863 ,18979.7863 ,25024.0000 ,0.0000 
2000-12-06,19053.5485 ,19053.5485 ,19053.5485 ,19053.5485 ,25546.0000 ,0.0000 
2000-12-07,19126.9164 ,19126.9164 ,19126.9164 ,19126.9164 ,34136.0000 ,0.0000 
2000-12-08,19082.5244 ,19082.5244 ,19082.5244 ,19082.5244 ,21848.0000 ,0.0000 
2000-12-11,19187.1004 ,19187.1004 ,19187.1004 ,19187.1004 ,38702.0000 ,0.0000 
