update_date,open,high,low,close,volume,position_all
2001-11-09,13880.00 ,13920.00 ,13820.00 ,13920.00 ,21890.00 ,51568.00 
2001-11-12,14280.00 ,14280.00 ,14270.00 ,14280.00 ,12728.00 ,47856.00 
2001-11-13,14560.00 ,14580.00 ,14380.00 ,14410.00 ,21902.00 ,45212.00 
2001-11-14,14730.00 ,14880.00 ,14600.00 ,14830.00 ,27804.00 ,40966.00 
2001-11-15,14690.00 ,14730.00 ,14620.00 ,14660.00 ,34456.00 ,48708.00 
2001-11-16,14670.00 ,14730.00 ,14650.00 ,14710.00 ,19560.00 ,53444.00 
2001-11-19,14910.00 ,15020.00 ,14910.00 ,15010.00 ,33988.00 ,55194.00 
2001-11-20,14870.00 ,14870.00 ,14800.00 ,14810.00 ,32146.00 ,59430.00 
2001-11-21,14780.00 ,14820.00 ,14750.00 ,14800.00 ,15398.00 ,58936.00 
2001-11-22,14840.00 ,14900.00 ,14840.00 ,14870.00 ,16856.00 ,58422.00 
2001-11-23,14770.00 ,14770.00 ,14700.00 ,14740.00 ,21444.00 ,58676.00 
2001-11-26,14780.00 ,14800.00 ,14740.00 ,14800.00 ,11168.00 ,60348.00 
2001-11-27,15020.00 ,15210.00 ,15020.00 ,15210.00 ,37308.00 ,60332.00 
2001-11-28,15500.00 ,15500.00 ,15380.00 ,15460.00 ,46368.00 ,54522.00 
2001-11-29,15470.00 ,15840.00 ,15380.00 ,15620.00 ,52380.00 ,55428.00 
2001-11-30,15660.00 ,15710.00 ,15600.00 ,15680.00 ,24044.00 ,54158.00 
2001-12-03,15690.00 ,15690.00 ,15550.00 ,15550.00 ,17416.00 ,55508.00 
2001-12-04,15330.00 ,15330.00 ,15120.00 ,15120.00 ,25204.00 ,52666.00 
2001-12-05,15120.00 ,15170.00 ,15030.00 ,15160.00 ,18316.00 ,51278.00 
2001-12-06,15230.00 ,15370.00 ,15160.00 ,15160.00 ,30320.00 ,51844.00 
2001-12-07,15000.00 ,15050.00 ,14970.00 ,15010.00 ,16718.00 ,52492.00 
2001-12-10,14800.00 ,15060.00 ,14800.00 ,15040.00 ,15354.00 ,50510.00 
2001-12-11,15060.00 ,15180.00 ,15060.00 ,15150.00 ,35640.00 ,56554.00 
2001-12-12,15250.00 ,15290.00 ,15140.00 ,15190.00 ,43244.00 ,61220.00 
2001-12-13,14950.00 ,15020.00 ,14950.00 ,14970.00 ,33784.00 ,63444.00 
2001-12-14,15060.00 ,15090.00 ,15000.00 ,15030.00 ,22372.00 ,64230.00 
2001-12-17,15020.00 ,15050.00 ,14940.00 ,15050.00 ,26032.00 ,64806.00 
2001-12-18,15150.00 ,15190.00 ,15100.00 ,15190.00 ,37910.00 ,69772.00 
2001-12-19,15270.00 ,15330.00 ,15240.00 ,15270.00 ,42978.00 ,68750.00 
2001-12-20,15250.00 ,15250.00 ,15140.00 ,15140.00 ,30878.00 ,67562.00 
