update_date,open,high,low,close,volume,position_all
2002/11/17,15630.00 ,15730.00 ,15540.00 ,15710.00 ,75690.00 ,81616.00 
2002/11/24,15680.00 ,16330.00 ,15680.00 ,16270.00 ,162824.00 ,72362.00 
2002/12/1,16190.00 ,16560.00 ,15970.00 ,16560.00 ,214976.00 ,77602.00 
2002/12/8,16690.00 ,17070.00 ,16290.00 ,16360.00 ,260310.00 ,71278.00 
2002/12/15,16380.00 ,16480.00 ,16140.00 ,16380.00 ,125386.00 ,77430.00 
2002/12/22,16260.00 ,16330.00 ,16120.00 ,16130.00 ,126060.00 ,96452.00 
2002/12/29,16150.00 ,16290.00 ,15780.00 ,15900.00 ,115982.00 ,99048.00 
2003/1/5,16010.00 ,16400.00 ,15890.00 ,16400.00 ,110882.00 ,110410.00 
2003/1/12,16450.00 ,16910.00 ,16400.00 ,16770.00 ,200312.00 ,105778.00 
2003/1/19,16740.00 ,16990.00 ,16590.00 ,16820.00 ,192710.00 ,112408.00 
2003/1/26,16790.00 ,17170.00 ,16750.00 ,17090.00 ,166938.00 ,109748.00 
2003/2/2,16980.00 ,17010.00 ,16790.00 ,16930.00 ,50418.00 ,91478.00 
2003/2/16,16880.00 ,17260.00 ,16750.00 ,16870.00 ,152476.00 ,104958.00 
2003/2/23,16940.00 ,17070.00 ,16730.00 ,17030.00 ,102180.00 ,99822.00 
2003/3/2,17470.00 ,17830.00 ,17350.00 ,17640.00 ,158264.00 ,109044.00 
2003/3/9,17490.00 ,17670.00 ,16900.00 ,16990.00 ,250392.00 ,98998.00 
2003/3/16,17140.00 ,17200.00 ,16890.00 ,16990.00 ,143462.00 ,102246.00 
2003/3/23,17050.00 ,17600.00 ,17000.00 ,17350.00 ,169024.00 ,115846.00 
2003/3/30,17330.00 ,17340.00 ,16510.00 ,16510.00 ,193120.00 ,108990.00 
2003/4/6,16530.00 ,16550.00 ,16240.00 ,16460.00 ,190044.00 ,121544.00 
2003/4/13,16420.00 ,16770.00 ,16370.00 ,16390.00 ,185890.00 ,121354.00 
2003/4/20,16650.00 ,16860.00 ,16610.00 ,16780.00 ,106496.00 ,111438.00 
2003/4/27,16780.00 ,16780.00 ,16310.00 ,16380.00 ,91820.00 ,98222.00 
2003/5/4,16400.00 ,16620.00 ,16340.00 ,16570.00 ,80654.00 ,108420.00 
2003/5/18,16790.00 ,17140.00 ,16690.00 ,17140.00 ,207304.00 ,106278.00 
2003/5/25,17060.00 ,17310.00 ,16960.00 ,17200.00 ,123116.00 ,94822.00 
2003/6/1,17210.00 ,17480.00 ,17200.00 ,17290.00 ,61818.00 ,85950.00 
2003/6/8,17560.00 ,17670.00 ,17430.00 ,17490.00 ,159314.00 ,107022.00 
2003/6/15,17470.00 ,17500.00 ,17290.00 ,17450.00 ,111206.00 ,111692.00 
2003/6/22,17320.00 ,17660.00 ,17290.00 ,17560.00 ,100090.00 ,103442.00 
2003/6/29,17460.00 ,17500.00 ,17200.00 ,17330.00 ,84536.00 ,104356.00 
2003/7/6,17320.00 ,17350.00 ,17090.00 ,17170.00 ,154084.00 ,121120.00 
2003/7/13,17190.00 ,17480.00 ,17170.00 ,17440.00 ,129576.00 ,101562.00 
2003/7/20,17400.00 ,17780.00 ,17400.00 ,17500.00 ,137268.00 ,91296.00 
2003/7/27,17530.00 ,17770.00 ,17370.00 ,17750.00 ,141064.00 ,102754.00 
2003/8/3,17750.00 ,18010.00 ,17720.00 ,17990.00 ,245894.00 ,129044.00 
2003/8/10,17930.00 ,18130.00 ,17750.00 ,18090.00 ,170024.00 ,128410.00 
2003/8/17,17630.00 ,17790.00 ,17560.00 ,17730.00 ,143394.00 ,102104.00 
2003/8/24,17680.00 ,17940.00 ,17670.00 ,17930.00 ,69282.00 ,97080.00 
2003/8/31,17920.00 ,17940.00 ,17690.00 ,17810.00 ,159322.00 ,104124.00 
2003/9/7,17960.00 ,18320.00 ,17950.00 ,18110.00 ,183534.00 ,120016.00 
2003/9/14,18280.00 ,18350.00 ,18040.00 ,18230.00 ,162202.00 ,115370.00 
2003/9/21,18150.00 ,18450.00 ,18130.00 ,18440.00 ,118008.00 ,104522.00 
2003/9/28,18450.00 ,18610.00 ,18430.00 ,18610.00 ,77108.00 ,102364.00 
2003/10/5,18450.00 ,18490.00 ,18390.00 ,18480.00 ,48176.00 ,104566.00 
2003/10/12,18850.00 ,18970.00 ,18790.00 ,18880.00 ,91296.00 ,109710.00 
2003/10/19,19070.00 ,20580.00 ,19040.00 ,20370.00 ,359742.00 ,147978.00 
2003/10/26,20430.00 ,20950.00 ,20050.00 ,20060.00 ,596634.00 ,135350.00 
2003/11/2,20060.00 ,21830.00 ,20030.00 ,21530.00 ,463736.00 ,161334.00 
2003/11/9,21660.00 ,22380.00 ,21300.00 ,21500.00 ,603994.00 ,162032.00 
2003/11/16,21510.00 ,21920.00 ,20830.00 ,21480.00 ,511254.00 ,138620.00 
2003/11/23,21780.00 ,21800.00 ,19900.00 ,20580.00 ,497750.00 ,126046.00 
2003/11/30,20590.00 ,21180.00 ,20360.00 ,21150.00 ,448520.00 ,149988.00 
2003/12/7,21580.00 ,22330.00 ,21480.00 ,21700.00 ,447446.00 ,125838.00 
2003/12/14,21820.00 ,22400.00 ,21670.00 ,22030.00 ,555124.00 ,141830.00 
2003/12/21,22700.00 ,22700.00 ,22150.00 ,22570.00 ,621806.00 ,162024.00 
2003/12/28,22590.00 ,23040.00 ,22250.00 ,23000.00 ,436448.00 ,129514.00 
2004/1/4,23110.00 ,23540.00 ,22700.00 ,23540.00 ,315180.00 ,141218.00 
2004/1/11,23870.00 ,24400.00 ,23430.00 ,24270.00 ,702450.00 ,147884.00 
2004/1/18,24320.00 ,24510.00 ,23800.00 ,24260.00 ,568716.00 ,140030.00 
2004/2/1,24870.00 ,24890.00 ,24690.00 ,24820.00 ,140514.00 ,145518.00 
2004/2/8,25200.00 ,26230.00 ,25170.00 ,25850.00 ,499766.00 ,133220.00 
2004/2/15,26080.00 ,26970.00 ,25350.00 ,26540.00 ,464064.00 ,104696.00 
2004/2/22,26600.00 ,28200.00 ,26300.00 ,28200.00 ,493172.00 ,124076.00 
2004/2/29,27800.00 ,29370.00 ,27750.00 ,29240.00 ,872514.00 ,149540.00 
2004/3/7,29300.00 ,30200.00 ,27710.00 ,27880.00 ,909662.00 ,136924.00 
2004/3/14,28600.00 ,28690.00 ,27450.00 ,28460.00 ,956168.00 ,156620.00 
2004/3/21,28210.00 ,29350.00 ,28210.00 ,29310.00 ,811230.00 ,159176.00 
2004/3/28,29230.00 ,29570.00 ,28370.00 ,28400.00 ,671804.00 ,153652.00 
2004/4/4,28680.00 ,29270.00 ,28460.00 ,29170.00 ,399034.00 ,135610.00 
2004/4/11,28930.00 ,28930.00 ,27460.00 ,27610.00 ,268634.00 ,115892.00 
2004/4/18,27490.00 ,27490.00 ,26650.00 ,26780.00 ,619764.00 ,142004.00 
2004/4/25,27600.00 ,27600.00 ,24150.00 ,25010.00 ,645584.00 ,100186.00 
2004/5/2,24910.00 ,25040.00 ,23460.00 ,24130.00 ,743010.00 ,88534.00 
2004/5/16,23560.00 ,24560.00 ,23560.00 ,23730.00 ,1187038.00 ,115546.00 
2004/5/23,23700.00 ,24660.00 ,22970.00 ,24660.00 ,951650.00 ,144638.00 
2004/5/30,24670.00 ,25650.00 ,24380.00 ,25570.00 ,1248318.00 ,149060.00 
2004/6/6,25630.00 ,26780.00 ,24850.00 ,25140.00 ,1095038.00 ,145180.00 
2004/6/13,25310.00 ,26110.00 ,24200.00 ,24350.00 ,901532.00 ,136784.00 
2004/6/20,24250.00 ,25270.00 ,24000.00 ,24730.00 ,886708.00 ,154842.00 
2004/6/27,24860.00 ,25380.00 ,24300.00 ,25350.00 ,549370.00 ,159672.00 
2004/7/4,25310.00 ,25770.00 ,24860.00 ,25440.00 ,572688.00 ,136300.00 
2004/7/11,25630.00 ,26140.00 ,25510.00 ,25960.00 ,399216.00 ,133752.00 
2004/7/18,26200.00 ,26350.00 ,25540.00 ,25830.00 ,498810.00 ,165722.00 
2004/7/25,26000.00 ,26190.00 ,25240.00 ,25270.00 ,592792.00 ,207288.00 
2004/8/1,25040.00 ,26110.00 ,24500.00 ,25740.00 ,926502.00 ,184114.00 
2004/8/8,26100.00 ,26850.00 ,25940.00 ,26150.00 ,507578.00 ,132546.00 
2004/8/15,26150.00 ,26560.00 ,25580.00 ,26140.00 ,430236.00 ,131036.00 
2004/8/22,26870.00 ,26940.00 ,26260.00 ,26530.00 ,255744.00 ,118292.00 
2004/8/29,25990.00 ,26070.00 ,25580.00 ,25770.00 ,298776.00 ,127674.00 
2004/9/5,25860.00 ,26250.00 ,25580.00 ,25770.00 ,303398.00 ,134306.00 
2004/9/12,25840.00 ,26020.00 ,25300.00 ,25920.00 ,282074.00 ,151870.00 
2004/9/19,26080.00 ,27230.00 ,25950.00 ,27100.00 ,298862.00 ,143618.00 
2004/9/26,27100.00 ,29260.00 ,27080.00 ,28640.00 ,402854.00 ,108170.00 
2004/10/3,28560.00 ,29400.00 ,28560.00 ,29030.00 ,200800.00 ,106648.00 
2004/10/10,29510.00 ,30050.00 ,29510.00 ,30050.00 ,32682.00 ,105674.00 
2004/10/17,30500.00 ,30780.00 ,27550.00 ,27550.00 ,280480.00 ,99748.00 
