SPGCCCP Index,,,SPGCCNP Index,,,SPGCCTP Index,,,SPGCKCP Index,,,SPGCSBP Index,,,SPGCKWP Index,,,SPGCWHP Index,,,SPGCSOP Index,,,SPGCLCP Index,,,SPGCLHP Index,,,SPGCFCP Index,,,SPGCIAP Index,,,SPGCICP Index,,,SPGCIKP Index,,,SPGCILP Index,,,SPGCIZP Index,,,SPGCBRP Index,,,SPGCCLP Index,,,SPGCGOP Index,,,SPGCHOP Index,,,SPGCHUP Index,,,SPGCNGP Index,,,SPGCGCP Index,,,SPGCSIP Index,,,SPGSCI Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2000/10/3,4.792566,,2000/10/3,29.624229,,2000/10/3,162.09171,,2000/10/3,71.74854,,2000/10/3,19.1199,,2000/10/3,67.062,,2000/10/3,51.01402,,2000/10/3,134.4609,,2000/10/3,458.5603,,2000/10/3,139.7487,,2002/1/8,100.2363,,2000/10/3,47.5957,,2000/10/3,144.7607,,2000/10/3,96.8343,,2000/10/3,57.7574,,2000/10/3,55.2705,,2000/10/3,333.1249,,2000/10/3,509.4889,,2000/10/3,282.8002,,2000/10/3,245.5283,,2000/10/3,560.809,,2000/10/3,5344.47021,,2000/10/3,31.7435,,2000/10/3,28.5406,,2002/1/2,337.4286
2000/10/4,4.91728,,2000/10/4,29.73341,,2000/10/4,160.4718,,2000/10/4,71.70336,,2000/10/4,19.6909,,2000/10/4,66.5389,,2000/10/4,50.72929,,2000/10/4,133.7047,,2000/10/4,457.9114,,2000/10/4,140.0126,,2002/1/9,101.1814,,2000/10/4,47.7194,,2000/10/4,144.2777,,2000/10/4,94.7889,,2000/10/4,56.8069,,2000/10/4,55.0544,,2000/10/4,327.5675,,2000/10/4,499.3214,,2000/10/4,281.8334,,2000/10/4,245.5028,,2000/10/4,540.428,,2000/10/4,5286.50781,,2000/10/4,31.5587,,2000/10/4,28.3163,,2002/1/3,331.8068
2000/10/5,4.958851,,2000/10/5,29.624229,,2000/10/5,161.5349,,2000/10/5,71.116,,2000/10/5,19.75,,2000/10/5,66.0158,,2000/10/5,50.72929,,2000/10/5,133.361,,2000/10/5,458.4305,,2000/10/5,140.98911,,2002/1/10,101.0869,,2000/10/5,47.905,,2000/10/5,146.5257,,2000/10/5,95.724,,2000/10/5,55.465,,2000/10/5,55.5467,,2000/10/5,322.0101,,2000/10/5,485.0233,,2000/10/5,272.8901,,2000/10/5,236.278,,2000/10/5,531.829,,2000/10/5,5148.59912,,2000/10/5,31.5818,,2000/10/5,28.4026,,2002/1/4,341.9017
2000/10/6,4.929157,,2000/10/6,29.587839,,2000/10/6,162.44611,,2000/10/6,71.79373,,2000/10/6,19.8484,,2000/10/6,66.6435,,2000/10/6,50.87165,,2000/10/6,133.361,,2000/10/6,456.1594,,2000/10/6,138.561,,2002/1/11,99.4921,,2000/10/6,47.5261,,2000/10/6,145.5596,,2000/10/6,94.0877,,2000/10/6,53.2285,,2000/10/6,55.0424,,2000/10/6,322.972,,2000/10/6,490.2659,,2000/10/6,274.8238,,2000/10/6,236.8386,,2000/10/6,538.199,,2000/10/6,5004.69385,,2000/10/6,31.4316,,2000/10/6,28.345,,2002/1/7,341.7743
2000/10/9,4.846015,,2000/10/9,29.33309,,2000/10/9,164.09129,,2000/10/9,72.24555,,2000/10/9,20.5967,,2000/10/9,66.6435,,2000/10/9,50.72929,,2000/10/9,132.8135,,2000/10/9,458.7549,,2000/10/9,138.82491,,2002/1/14,99.3149,,2000/10/9,47.0343,,2000/10/9,144.0368,,2000/10/9,91.9994,,2000/10/9,53.8991,,2000/10/9,53.1448,,2000/10/9,331.1174,,2000/10/9,505.9569,,2000/10/9,280.299,,2000/10/9,243.3447,,2000/10/9,553.494,,2000/10/9,5145.01318,,2000/10/9,31.524,,2000/10/9,28.3565,,2002/1/8,339.9969
2000/10/10,4.946974,,2000/10/10,29.624241,,2000/10/10,163.4332,,2000/10/10,72.96846,,2000/10/10,21.2071,,2000/10/10,68.1082,,2000/10/10,52.24785,,2000/10/10,133.5358,,2000/10/10,457.5869,,2000/10/10,141.992,,2002/1/15,99.6102,,2000/10/10,47.5061,,2000/10/10,145.7222,,2000/10/10,93.1179,,2000/10/10,55.2731,,2000/10/10,53.1689,,2000/10/10,343.6766,,2000/10/10,526.2867,,2000/10/10,293.2695,,2000/10/10,253.9583,,2000/10/10,579.834,,2000/10/10,5129.94482,,2000/10/10,31.7782,,2000/10/10,28.5464,,2002/1/9,331.8092
2000/10/11,4.911342,,2000/10/11,29.76981,,2000/10/11,161.61079,,2000/10/11,75.13718,,2000/10/11,21.6009,,2000/10/11,68.3174,,2000/10/11,52.53258,,2000/10/11,131.514,,2000/10/11,456.6136,,2000/10/11,142.0448,,2002/1/16,98.8778,,2000/10/11,47.7537,,2000/10/11,144.5201,,2000/10/11,90.7194,,2000/10/11,55.4966,,2000/10/11,53.3178,,2000/10/11,343.4626,,2000/10/11,528.3528,,2000/10/11,297.5092,,2000/10/11,258.7401,,2000/10/11,585.001,,2000/10/11,5492.72998,,2000/10/11,31.5356,,2000/10/11,28.2703,,2002/1/10,332.8679
2000/10/12,4.863832,,2000/10/12,30.27932,,2000/10/12,162.9017,,2000/10/12,73.46546,,2000/10/12,21.3843,,2000/10/12,68.3697,,2000/10/12,51.91567,,2000/10/12,130.5549,,2000/10/12,458.2358,,2000/10/12,144.6841,,2002/1/17,98.7006,,2000/10/12,47.0942,,2000/10/12,143.0555,,2000/10/12,90.0438,,2000/10/12,55.0496,,2000/10/12,52.9957,,2000/10/12,365.6021,,2000/10/12,568.8193,,2000/10/12,319.0707,,2000/10/12,274.4687,,2000/10/12,630.767,,2000/10/12,5618.31592,,2000/10/12,32.2056,,2000/10/12,28.5751,,2002/1/11,329.2398
2000/10/13,4.8282,,2000/10/13,30.27932,,2000/10/13,159.76311,,2000/10/13,73.23955,,2000/10/13,21.66,,2000/10/13,66.9574,,2000/10/13,50.7293,,2000/10/13,128.2692,,2000/10/13,456.1594,,2000/10/13,141.649,,2002/1/18,99.0786,,2000/10/13,47.4736,,2000/10/13,143.9447,,2000/10/13,90.5787,,2000/10/13,55.9438,,2000/10/13,53.3084,,2000/10/13,344.7841,,2000/10/13,543.4995,,2000/10/13,309.2682,,2000/10/13,259.8205,,2000/10/13,604.78,,2000/10/13,5540.8291,,2000/10/13,31.7435,,2000/10/13,28.3278,,2002/1/14,322.0734
