Date,PX_LAST,FUT_AGGTE_OPEN_INT
2017/4/17,261,281551
2017/4/13,258.6,285372
2017/4/12,254.5,288435
2017/4/11,260.8,286852
2017/4/10,260.4,285484
2017/4/7,264.7,286596
2017/4/6,265.8,284275
2017/4/5,268,282208
2017/4/4,261.2,277949
2017/4/3,260.35,277774
2017/3/31,265.25,274742
2017/3/30,267.15,275633
2017/3/29,267.75,274747
2017/3/28,267.6,273316
2017/3/27,263.2,271069
2017/3/24,263.1,266504
2017/3/23,264.45,265520
2017/3/22,263.05,268469
2017/3/21,261.85,269323
2017/3/20,266.7,264236
2017/3/17,269.15,261713
2017/3/16,267.75,260261
2017/3/15,265.65,259762
2017/3/14,263.5,260056
2017/3/13,262.55,260629
2017/3/10,259.5,262556
2017/3/9,258,261770
2017/3/8,260.05,264449
2017/3/7,261.85,267379
2017/3/6,265.2,268499
2017/3/3,269.65,267835
2017/3/2,269.05,267781
2017/3/1,273.6,269177
2017/2/28,271.4,267935
2017/2/27,269.8,267698
2017/2/24,269.6,274246
2017/2/23,265.9,280106
2017/2/22,274.6,282342
2017/2/21,275.75,283805
2017/2/17,272,288160
2017/2/16,273.55,294065
2017/2/15,276.15,298007
2017/2/14,275.5,296125
2017/2/13,278.3,300996
2017/2/10,276.8,297286
2017/2/9,265.35,289979
2017/2/8,266.65,293509
2017/2/7,263.2,291924
2017/2/6,265.15,293014
2017/2/3,261.6,294127
2017/2/2,268.55,297721
2017/2/1,271.15,297830
2017/1/31,272.75,291702
2017/1/30,265.5,284530
2017/1/27,268.95,283595
2017/1/26,267.3,280106
2017/1/25,271,274518
2017/1/24,270.85,270892
2017/1/23,264.75,259370
2017/1/20,262.5,257785
2017/1/19,261.05,254258
2017/1/18,261.65,254073
2017/1/17,262.5,251782
2017/1/13,269,252024
2017/1/12,267.15,246151
2017/1/11,261.05,239655
2017/1/10,261.25,236637
2017/1/9,253.85,230169
2017/1/6,254.6,227643
2017/1/5,253.75,228221
2017/1/4,255.65,228912
2017/1/3,248.9,223874
2016/12/30,250.55,224109
2016/12/29,248.8,224233
2016/12/28,250.05,225041
2016/12/27,251.55,227733
2016/12/23,247.9,226621
2016/12/22,249.95,229225
2016/12/21,249.7,231278
2016/12/20,250.25,233042
2016/12/19,249.95,235579
2016/12/16,256.45,237220
2016/12/15,260.05,237402
2016/12/14,260.45,236269
2016/12/13,259.85,236822
2016/12/12,261.9,238003
2016/12/9,264.75,236116
2016/12/8,262.6,236443
2016/12/7,264.4,236910
2016/12/6,268,236290
2016/12/5,269.8,238763
2016/12/2,262.5,234437
2016/12/1,264.3,236860
2016/11/30,263.3,234786
2016/11/29,261,230420
2016/11/28,267.05,231964
2016/11/25,268.15,229982
2016/11/23,261.75,233404
2016/11/22,255.6,236293
2016/11/21,252.75,242020
2016/11/18,247.8,242348
2016/11/17,250.2,238057
2016/11/16,247.9,237047
2016/11/15,251.45,238615
2016/11/14,252.1,235397
2016/11/11,250.9,233646
2016/11/10,255.1,236524
2016/11/9,245.95,235475
2016/11/8,238,233922
2016/11/7,230.95,225183
2016/11/4,226.5,220465
2016/11/3,224.9,209415
2016/11/2,223.05,203559
2016/11/1,222.9,203042
2016/10/31,220.5,198711
2016/10/28,219.35,199973
2016/10/27,216.35,206498
2016/10/26,214.55,211447
2016/10/25,213.85,213569
2016/10/24,209.3,222194
2016/10/21,208.85,219975
2016/10/20,209.6,216620
2016/10/19,210.35,213357
2016/10/18,210.55,207729
2016/10/17,210.7,203142
2016/10/14,211.05,202198
2016/10/13,212.2,195649
2016/10/12,217.65,186911
2016/10/11,218.55,185814
2016/10/10,219.75,184251
2016/10/7,216.35,180844
2016/10/6,215.55,181499
2016/10/5,216.45,182415
2016/10/4,216.7,181809
2016/10/3,219.2,180574
2016/9/30,221.05,182592
2016/9/29,219,182521
2016/9/28,218.75,181235
2016/9/27,217.1,179904
2016/9/26,219.85,183260
2016/9/23,220.1,184927
2016/9/22,219.45,189589
2016/9/21,215.5,191034
2016/9/20,216.5,190574
2016/9/19,215.65,193989
2016/9/16,216,195101
2016/9/15,215.95,194947
2016/9/14,215.5,199869
2016/9/13,210.15,203945
2016/9/12,210,203517
2016/9/9,209.25,203930
2016/9/8,210,203418
2016/9/7,209.75,203805
2016/9/6,208.9,203453
2016/9/2,207.8,198815
2016/9/1,207.55,194680
2016/8/31,207.75,189978
2016/8/30,207.65,187028
2016/8/29,207.9,185468
2016/8/26,208.45,187257
2016/8/25,208.3,185717
2016/8/24,208.5,188123
2016/8/23,212.6,192196
2016/8/22,215.2,191512
2016/8/19,217.75,184623
2016/8/18,217.85,183713
2016/8/17,216.35,183556
2016/8/16,218.2,180360
2016/8/15,216.2,181968
2016/8/12,215.15,183676
2016/8/11,220,180580
2016/8/10,218.1,182063
2016/8/9,215,188297
2016/8/8,216.5,189699
2016/8/5,215.4,193689
2016/8/4,217.4,193609
2016/8/3,219.85,190790
2016/8/2,220.9,188805
2016/8/1,219.95,189333
2016/7/29,222.15,184096
2016/7/28,220.9,183542
2016/7/27,218.5,185513
2016/7/26,222.55,187184
2016/7/25,221.7,181440
2016/7/22,223.55,179864
2016/7/21,225.85,181553
2016/7/20,225.4,181959
2016/7/19,226.3,178364
2016/7/18,223.7,174606
2016/7/15,223.35,173666
2016/7/14,224.3,172008
2016/7/13,224,169791
2016/7/12,221.3,166225
2016/7/11,214.75,166761
2016/7/8,211.9,166945
2016/7/7,212.35,166007
2016/7/6,215.35,162325
2016/7/5,218.35,164665
2016/7/1,221.7,165991
2016/6/30,219.55,166000
2016/6/29,218.6,167059
2016/6/28,217.55,167927
2016/6/27,212.55,171815
2016/6/24,211.6,176904
2016/6/23,216.55,183655
2016/6/22,213.6,200978
2016/6/21,211.8,215529
2016/6/20,209.7,225917
2016/6/17,205.1,228778
2016/6/16,204.8,231919
2016/6/15,209.1,232131
2016/6/14,204.05,239071
2016/6/13,205.35,242928
2016/6/10,203.05,237947
2016/6/9,203.9,236533
2016/6/8,206.15,226909
2016/6/7,205.1,227927
2016/6/6,211.75,216906
2016/6/3,211.3,219255
2016/6/2,207,224023
2016/6/1,207.3,223579
2016/5/31,209.55,217128
