trade No.,return,drawdown,length
1.0,0.0582076286646,0.0077294148834,11
2.0,0.0417478857252,0.0237799070237,12
3.0,0.0607976193441,0.026056122576,26
4.0,-0.00600080431711,0.0,2
5.0,-0.00436808713619,0.0,2
6.0,0.0437085982762,0.0452175552482,9
7.0,-0.0299966811531,0.0477712056782,10
8.0,-0.00229454295026,0.0,2
9.0,0.147324618653,0.0631391222798,16
10.0,0.0,0.0,3
11.0,-0.0043294520843,0.0416904057854,6
12.0,0.0499932532664,0.0118482773647,15
13.0,0.00573049327427,0.0,2
14.0,0.0205354444424,0.00323202041764,4
15.0,0.00262229726017,0.0,2
16.0,-0.0242150347799,0.0278576706091,3
17.0,0.0143328631176,0.0,3
18.0,0.202142119494,0.0307639893572,21
19.0,-0.0302617608218,0.0112320282278,3
20.0,-0.035,0.0333462718451,3
21.0,0.0932373117441,0.0399588478903,10
22.0,0.122549705744,0.0384460126486,15
23.0,0.0202488718095,0.0,4
24.0,-0.035,0.0312452881525,3
25.0,0.0282985311092,0.0,2
