update_date,open,high,low,close,volume
2013/10/18,976.15 ,976.15 ,976.15 ,976.15 ,338700.00 
2013/10/21,967.01 ,967.01 ,967.01 ,967.01 ,104026.00 
2013/10/22,946.35 ,946.35 ,946.35 ,946.35 ,98812.00 
2013/10/23,937.54 ,937.54 ,937.54 ,937.54 ,122456.00 
2013/10/24,924.67 ,924.67 ,924.67 ,924.67 ,177400.00 
2013/10/25,916.63 ,916.63 ,916.63 ,916.63 ,108826.00 
2013/10/28,921.33 ,921.33 ,921.33 ,921.33 ,86858.00 
2013/10/29,919.34 ,919.34 ,919.34 ,919.34 ,108908.00 
2013/10/30,922.03 ,922.03 ,922.03 ,922.03 ,124214.00 
2013/10/31,920.13 ,920.13 ,920.13 ,920.13 ,77154.00 
2013/11/1,941.06 ,941.06 ,941.06 ,941.06 ,329152.00 
2013/11/4,948.77 ,948.77 ,948.77 ,948.77 ,177942.00 
2013/11/5,944.83 ,944.83 ,944.83 ,944.83 ,110230.00 
2013/11/6,942.82 ,942.82 ,942.82 ,942.82 ,71754.00 
2013/11/7,943.80 ,943.80 ,943.80 ,943.80 ,94728.00 
2013/11/8,937.48 ,937.48 ,937.48 ,937.48 ,71884.00 
2013/11/11,940.15 ,940.15 ,940.15 ,940.15 ,60720.00 
2013/11/12,941.07 ,941.07 ,941.07 ,941.07 ,47886.00 
2013/11/13,940.88 ,940.88 ,940.88 ,940.88 ,99902.00 
2013/11/14,935.00 ,935.00 ,935.00 ,935.00 ,57574.00 
2013/11/15,929.13 ,929.13 ,929.13 ,929.13 ,79910.00 
2013/11/18,930.29 ,930.29 ,930.29 ,930.29 ,56586.00 
2013/11/19,939.98 ,939.98 ,939.98 ,939.98 ,63546.00 
2013/11/20,939.93 ,939.93 ,939.93 ,939.93 ,44890.00 
2013/11/21,930.26 ,930.26 ,930.26 ,930.26 ,43236.00 
2013/11/22,929.34 ,929.34 ,929.34 ,929.34 ,54496.00 
2013/11/25,931.09 ,931.09 ,931.09 ,931.09 ,40540.00 
2013/11/26,939.07 ,939.07 ,939.07 ,939.07 ,75276.00 
