update_date,open,high,low,close,settlement,amt,volume,position
2013/10/18,978,984,962,977,975,29345.53,300818,65042
2013/10/21,976,977,960,969,967,9230.71,95432,68130
2013/10/22,963,966,948,948,956,8728.86,91296,76004
2013/10/23,949,953,936,939,944,11000.12,116490,81162
2013/10/24,938,939,916,926,928,15687.65,169028,87872
2013/10/25,928,936,917,918,927,9647.27,104060,86472
2013/10/28,920,928,917,923,922,7727.84,83790,93480
2013/10/29,924,925,913,921,917,9710.71,105876,99058
2013/10/30,919,930,916,924,922,10913.15,118272,91262
2013/10/31,925,927,920,922,923,6893.44,74672,84820
2013/11/1,921,954,921,942,942,30276.59,321242,107582
2013/11/4,943,957,942,950,949,16619.31,175080,122298
2013/11/5,948,954,943,946,947,10267.66,108384,121942
2013/11/6,949,951,942,944,945,6560.81,69362,123650
2013/11/7,945,947,939,945,944,8655.91,91676,124958
2013/11/8,947,948,936,939,940,6237.07,66340,120532
2013/11/11,940,944,934,942,938,5404.93,57564,112342
2013/11/12,940,944,936,943,939,4285.76,45594,107938
2013/11/13,941,952,940,943,946,9135.95,96484,110812
2013/11/14,940,944,937,937,940,5244.19,55752,103446
2013/11/15,939,942,930,931,935,7110.07,76014,102752
2013/11/18,931,935,925,932,930,4906.66,52704,99378
2013/11/19,931,943,930,942,936,5636.56,60164,106904
2013/11/20,943,946,940,942,942,4095.8,43452,104228
2013/11/21,942,943,932,932,935,3865.79,41322,105090
2013/11/22,934,935,929,931,932,4901.58,52592,106092
2013/11/25,933,936,928,933,932,3561.59,38196,104188
2013/11/26,934,943,934,941,939,6822.02,72650,108162
2013/11/27,940,942,933,936,936,2867.34,30614,106536
2013/11/28,933,940,933,939,937,2551.7,27220,105728
2013/11/29,939,945,939,939,941,3140.32,33364,106418
2013/12/2,940,941,934,936,936,3890.3,41520,108744
2013/12/3,938,941,936,939,938,3325.76,35426,105336
2013/12/4,942,955,941,952,949,8967.67,94420,114382
2013/12/5,953,956,944,945,948,5028.3,52990,114538
2013/12/6,944,945,938,941,940,3768.13,40044,108430
2013/12/9,941,946,940,945,943,1828.66,19390,112378
2013/12/10,946,947,942,942,943,1595.14,16900,109726
2013/12/11,942,942,934,937,936,3651.51,38984,108132
2013/12/12,936,938,930,930,934,3315.89,35494,108944
2013/12/13,927,927,905,914,912,8341.89,91394,116740
2013/12/16,913,923,912,918,918,3643.75,39670,121312
2013/12/17,918,920,908,910,916,2252.33,24582,124712
2013/12/18,908,913,902,906,907,6461.46,71224,128188
2013/12/19,909,913,907,908,909,2754.57,30298,128266
2013/12/20,909,913,901,905,908,3158.58,34754,127190
2013/12/23,904,905,885,893,892,11463.86,128512,135724
2013/12/24,892,907,892,900,901,8621.23,95624,121156
2013/12/25,903,904,898,903,901,4397.99,48792,114208
2013/12/26,903,904,885,896,891,7544.75,84590,124116
2013/12/27,898,910,896,907,903,7887.53,87282,107922
2013/12/30,908,920,908,911,913,7783.85,85206,104050
2013/12/31,908,914,899,911,909,6603.52,72580,98646
2014/1/2,912,912,899,907,906,5122,56510,107880
2014/1/3,904,905,887,902,897,11912.18,132754,122358
2014/1/6,900,900,888,893,892,9695.8,108602,142642
2014/1/7,892,899,887,896,893,7728.67,86452,149034
2014/1/8,895,897,884,892,890,9019.65,101252,157264
2014/1/9,891,899,884,888,890,9087.64,102048,161606
2014/1/10,885,886,870,881,877,15817.26,180252,163378
2014/1/13,879,880,868,871,872,9442.18,108274,178106
2014/1/14,875,881,866,880,874,8229.43,94136,178102
2014/1/15,880,882,875,879,877,6044.73,68854,184704
2014/1/16,880,885,875,879,879,5810.92,66036,186510
2014/1/17,876,878,870,876,874,7348.45,84072,184412
2014/1/20,872,876,859,861,867,8281.28,95418,195022
2014/1/21,860,861,843,847,849,10575.31,124490,208510
2014/1/22,850,858,845,852,851,6472.16,76044,208986
2014/1/23,857,885,855,878,869,18925.68,217640,194104
2014/1/24,877,880,871,877,875,9066.15,103512,176300
2014/1/27,871,874,861,864,865,6918.33,79904,184670
2014/1/28,863,867,857,857,861,5463.39,63410,184348
2014/1/29,857,868,856,866,863,4523.83,52374,183982
2014/1/30,864,871,860,868,866,3216.47,37122,181866
2014/2/7,865,868,853,856,859,7361.64,85620,168784
2014/2/10,856,859,846,854,853,8310.88,97430,174428
2014/2/11,852,857,845,848,851,6116.43,71852,179890
2014/2/12,849,855,844,853,849,6052.42,71244,178688
2014/2/13,853,858,850,854,853,5411.5,63372,175878
2014/2/14,854,865,854,861,860,6823.06,79268,177852
2014/2/17,862,874,862,873,868,12087.73,139234,160886
2014/2/18,876,878,860,860,868,7719.33,88882,156626
2014/2/19,863,867,860,864,863,4645.21,53826,158376
2014/2/20,862,864,852,852,856,5369.3,62660,157148
2014/2/21,852,854,846,851,850,5032.92,59210,156434
2014/2/24,846,846,817,821,828,14467.64,174568,169866
2014/2/25,823,827,812,817,819,8718.64,106396,174898
2014/2/26,816,821,811,820,816,10454.25,128024,178426
2014/2/27,813,820,811,818,816,4293.01,52608,186136
2014/2/28,818,821,805,808,812,4619.97,56882,191914
2014/3/3,808,811,795,799,799,5898.26,73760,201976
2014/3/4,800,802,791,801,796,7793.38,97790,216182
2014/3/5,803,807,788,802,798,17324.95,216938,235588
2014/3/6,803,804,785,787,795,14416.02,181182,266448
2014/3/7,788,788,764,764,774,13102.66,169172,301544
2014/3/10,741,741,728,728,734,13480.63,183578,296812
2014/3/11,720,752,707,740,731,38904.22,531682,305028
2014/3/12,713,742,705,737,726,60204.78,828368,401538
2014/3/13,741,752,728,749,737,51102.49,692768,498186
2014/3/14,749,750,721,740,735,61024.27,829438,527610
2014/3/17,744,748,728,729,734,49363.69,672320,516402
2014/3/18,729,738,722,732,730,60118.91,822796,557604
2014/3/19,736,738,729,732,733,33631.87,458340,558712
2014/3/20,742,762,733,733,744,77535.68,1041720,546564
2014/3/21,736,743,729,733,735,66115.17,899396,545010
2014/3/24,730,745,714,744,730,96874.75,1326832,592542
2014/3/25,744,759,738,759,751,76317.39,1016092,551710
2014/3/26,763,764,749,758,755,48782.86,645576,498300
2014/3/27,754,770,752,757,761,57819.54,759536,494038
2014/3/28,758,784,757,781,769,59637.82,774912,481464
2014/3/31,781,799,778,794,789,80317.48,1017030,476690
2014/4/1,796,802,787,800,794,60686.99,763714,503040
2014/4/2,801,803,777,784,787,73248.02,930550,524730
2014/4/3,783,800,778,799,790,96235.1,1216750,538798
2014/4/4,802,810,795,808,800,53516.72,668208,509074
2014/4/8,809,833,808,825,821,66696.9,811738,531050
2014/4/9,826,831,816,819,824,59059.71,716666,543934
2014/4/10,822,828,812,816,820,55446.47,676064,552898
2014/4/11,816,817,809,814,812,38381.69,472292,541278
2014/4/14,812,819,795,803,805,65323.04,811304,551342
2014/4/15,803,812,796,812,803,51070.66,635542,536824
2014/4/16,812,812,792,797,799,53842.74,673240,511688
2014/4/17,799,802,794,795,797,31765.91,398184,473962
2014/4/18,794,795,774,781,782,85358.48,1091198,460442
2014/4/21,782,788,776,781,782,36849.2,471016,472568
2014/4/22,778,782,768,779,775,46017.44,593456,473366
2014/4/23,780,787,768,786,778,38440.55,493962,464386
2014/4/24,788,802,783,794,790,51517.07,651388,495502
2014/4/25,797,801,792,795,796,31835.43,399750,471276
2014/4/28,787,788,757,760,768,72797.87,947734,493046
2014/4/29,759,774,759,771,769,48047.7,624706,509530
2014/4/30,768,771,755,765,763,48004.12,628926,496962
2014/5/5,759,772,755,771,764,33197.6,434248,521854
2014/5/6,771,775,765,768,769,31596.71,410668,518038
2014/5/7,767,769,748,749,759,55339.87,728944,513436
2014/5/8,748,751,735,735,743,54193.3,729292,520264
2014/5/9,739,741,732,735,736,32786.88,444996,526686
2014/5/12,734,742,726,741,734,62439.87,850618,570246
2014/5/13,741,749,737,740,743,44418.2,597730,555140
2014/5/14,739,744,734,738,738,36092.63,488750,569716
2014/5/15,740,744,735,738,739,39175.2,529840,535308
