update_date,open,high,low,close,volume,position_all
2013/10/18,978.00 ,984.00 ,962.00 ,977.00 ,300818.00 ,65042.00 
2013/10/21,976.00 ,977.00 ,960.00 ,969.00 ,95432.00 ,68130.00 
2013/10/22,963.00 ,966.00 ,948.00 ,948.00 ,91296.00 ,76004.00 
2013/10/23,949.00 ,953.00 ,936.00 ,939.00 ,116490.00 ,81162.00 
2013/10/24,938.00 ,939.00 ,916.00 ,926.00 ,169028.00 ,87872.00 
2013/10/25,928.00 ,936.00 ,917.00 ,918.00 ,104060.00 ,86472.00 
2013/10/28,920.00 ,928.00 ,917.00 ,923.00 ,83790.00 ,93480.00 
2013/10/29,924.00 ,925.00 ,913.00 ,921.00 ,105876.00 ,99058.00 
2013/10/30,919.00 ,930.00 ,916.00 ,924.00 ,118272.00 ,91262.00 
2013/10/31,925.00 ,927.00 ,920.00 ,922.00 ,74672.00 ,84820.00 
2013/11/1,921.00 ,954.00 ,921.00 ,942.00 ,321242.00 ,107582.00 
2013/11/4,943.00 ,957.00 ,942.00 ,950.00 ,175080.00 ,122298.00 
2013/11/5,948.00 ,954.00 ,943.00 ,946.00 ,108384.00 ,121942.00 
2013/11/6,949.00 ,951.00 ,942.00 ,944.00 ,69362.00 ,123650.00 
2013/11/7,945.00 ,947.00 ,939.00 ,945.00 ,91676.00 ,124958.00 
2013/11/8,947.00 ,948.00 ,936.00 ,939.00 ,66340.00 ,120532.00 
2013/11/11,940.00 ,944.00 ,934.00 ,942.00 ,57564.00 ,112342.00 
2013/11/12,940.00 ,944.00 ,936.00 ,943.00 ,45594.00 ,107938.00 
2013/11/13,941.00 ,952.00 ,940.00 ,943.00 ,96484.00 ,110812.00 
2013/11/14,940.00 ,944.00 ,937.00 ,937.00 ,55752.00 ,103446.00 
2013/11/15,939.00 ,942.00 ,930.00 ,931.00 ,76014.00 ,102752.00 
2013/11/18,931.00 ,935.00 ,925.00 ,932.00 ,52704.00 ,99378.00 
2013/11/19,931.00 ,943.00 ,930.00 ,942.00 ,60164.00 ,106904.00 
2013/11/20,943.00 ,946.00 ,940.00 ,942.00 ,43452.00 ,104228.00 
2013/11/21,942.00 ,943.00 ,932.00 ,932.00 ,41322.00 ,105090.00 
2013/11/22,934.00 ,935.00 ,929.00 ,931.00 ,52592.00 ,106092.00 
2013/11/25,933.00 ,936.00 ,928.00 ,933.00 ,38196.00 ,104188.00 
2013/11/26,934.00 ,943.00 ,934.00 ,941.00 ,72650.00 ,108162.00 
2013/11/27,940.00 ,942.00 ,933.00 ,936.00 ,30614.00 ,106536.00 
2013/11/28,933.00 ,940.00 ,933.00 ,939.00 ,27220.00 ,105728.00 
2013/11/29,939.00 ,945.00 ,939.00 ,939.00 ,33364.00 ,106418.00 
2013/12/2,940.00 ,941.00 ,934.00 ,936.00 ,41520.00 ,108744.00 
2013/12/3,938.00 ,941.00 ,936.00 ,939.00 ,35426.00 ,105336.00 
2013/12/4,942.00 ,955.00 ,941.00 ,952.00 ,94420.00 ,114382.00 
2013/12/5,953.00 ,956.00 ,944.00 ,945.00 ,52990.00 ,114538.00 
2013/12/6,944.00 ,945.00 ,938.00 ,941.00 ,40044.00 ,108430.00 
2013/12/9,941.00 ,946.00 ,940.00 ,945.00 ,19390.00 ,112378.00 
2013/12/10,946.00 ,947.00 ,942.00 ,942.00 ,16900.00 ,109726.00 
2013/12/11,942.00 ,942.00 ,934.00 ,937.00 ,38984.00 ,108132.00 
2013/12/12,936.00 ,938.00 ,930.00 ,930.00 ,35494.00 ,108944.00 
2013/12/13,927.00 ,927.00 ,905.00 ,914.00 ,91394.00 ,116740.00 
2013/12/16,913.00 ,923.00 ,912.00 ,918.00 ,39670.00 ,121312.00 
2013/12/17,918.00 ,920.00 ,908.00 ,910.00 ,24582.00 ,124712.00 
2013/12/18,908.00 ,913.00 ,902.00 ,906.00 ,71224.00 ,128188.00 
2013/12/19,909.00 ,913.00 ,907.00 ,908.00 ,30298.00 ,128266.00 
2013/12/20,909.00 ,913.00 ,901.00 ,905.00 ,34754.00 ,127190.00 
2013/12/23,904.00 ,905.00 ,885.00 ,893.00 ,128512.00 ,135724.00 
2013/12/24,892.00 ,907.00 ,892.00 ,900.00 ,95624.00 ,121156.00 
2013/12/25,903.00 ,904.00 ,898.00 ,903.00 ,48792.00 ,114208.00 
2013/12/26,903.00 ,904.00 ,885.00 ,896.00 ,84590.00 ,124116.00 
2013/12/27,898.00 ,910.00 ,896.00 ,907.00 ,87282.00 ,107922.00 
2013/12/30,908.00 ,920.00 ,908.00 ,911.00 ,85206.00 ,104050.00 
2013/12/31,908.00 ,914.00 ,899.00 ,911.00 ,72580.00 ,98646.00 
2014/1/2,912.00 ,912.00 ,899.00 ,907.00 ,56510.00 ,107880.00 
2014/1/3,904.00 ,905.00 ,887.00 ,902.00 ,132754.00 ,122358.00 
2014/1/6,900.00 ,900.00 ,888.00 ,893.00 ,108602.00 ,142642.00 
2014/1/7,892.00 ,899.00 ,887.00 ,896.00 ,86452.00 ,149034.00 
2014/1/8,895.00 ,897.00 ,884.00 ,892.00 ,101252.00 ,157264.00 
2014/1/9,891.00 ,899.00 ,884.00 ,888.00 ,102048.00 ,161606.00 
2014/1/10,885.00 ,886.00 ,870.00 ,881.00 ,180252.00 ,163378.00 
