update_date,open,high,low,close
2011/4/15,2249.7967,2249.7967,2249.7967,2249.7967
2011/4/18,2382.5045,2382.5045,2382.5045,2382.5045
2011/4/19,2337.4734,2337.4734,2337.4734,2337.4734
2011/4/20,2344.4383,2344.4383,2344.4383,2344.4383
2011/4/21,2336.4781,2336.4781,2336.4781,2336.4781
2011/4/22,2331.6588,2331.6588,2331.6588,2331.6588
2011/4/25,2330.7109,2330.7109,2330.7109,2330.7109
2011/4/26,2323.5853,2323.5853,2323.5853,2323.5853
2011/4/27,2321.8807,2321.8807,2321.8807,2321.8807
2011/4/28,2338.837,2338.837,2338.837,2338.837
2011/4/29,2331.3656,2331.3656,2331.3656,2331.3656
2011/5/3,2346.0963,2346.0963,2346.0963,2346.0963
2011/5/4,2331.2729,2331.2729,2331.2729,2331.2729
2011/5/5,2310.5091,2310.5091,2310.5091,2310.5091
2011/5/6,2273.7317,2273.7317,2273.7317,2273.7317
2011/5/9,2282.4843,2282.4843,2282.4843,2282.4843
2011/5/10,2289.1077,2289.1077,2289.1077,2289.1077
2011/5/11,2315.9055,2315.9055,2315.9055,2315.9055
2011/5/12,2344.8127,2344.8127,2344.8127,2344.8127
2011/5/13,2419.4523,2419.4523,2419.4523,2419.4523
2011/5/16,2407.8905,2407.8905,2407.8905,2407.8905
2011/5/17,2392.0123,2392.0123,2392.0123,2392.0123
2011/5/18,2373.1323,2373.1323,2373.1323,2373.1323
2011/5/19,2368.5656,2368.5656,2368.5656,2368.5656
2011/5/20,2377.1206,2377.1206,2377.1206,2377.1206
2011/5/23,2358.5568,2358.5568,2358.5568,2358.5568
2011/5/24,2381.0099,2381.0099,2381.0099,2381.0099
2011/5/25,2376.1212,2376.1212,2376.1212,2376.1212
2011/5/26,2379.3208,2379.3208,2379.3208,2379.3208
2011/5/27,2372.1939,2372.1939,2372.1939,2372.1939
2011/5/30,2366.2981,2366.2981,2366.2981,2366.2981
2011/5/31,2365.7182,2365.7182,2365.7182,2365.7182
2011/6/1,2360.5202,2360.5202,2360.5202,2360.5202
2011/6/2,2341.0439,2341.0439,2341.0439,2341.0439
2011/6/3,2328.0215,2328.0215,2328.0215,2328.0215
2011/6/7,2332.8275,2332.8275,2332.8275,2332.8275
2011/6/8,2327.5328,2327.5328,2327.5328,2327.5328
2011/6/9,2319.6678,2319.6678,2319.6678,2319.6678
2011/6/10,2312.6493,2312.6493,2312.6493,2312.6493
2011/6/13,2321.0491,2321.0491,2321.0491,2321.0491
2011/6/14,2335.0849,2335.0849,2335.0849,2335.0849
2011/6/15,2324.4781,2324.4781,2324.4781,2324.4781
2011/6/16,2308.5893,2308.5893,2308.5893,2308.5893
2011/6/17,2308.5633,2308.5633,2308.5633,2308.5633
2011/6/20,2282.9735,2282.9735,2282.9735,2282.9735
2011/6/21,2296.8378,2296.8378,2296.8378,2296.8378
2011/6/22,2289.8229,2289.8229,2289.8229,2289.8229
2011/6/23,2319.3235,2319.3235,2319.3235,2319.3235
2011/6/24,2303.6366,2303.6366,2303.6366,2303.6366
2011/6/27,2309.3496,2309.3496,2309.3496,2309.3496
2011/6/28,2304.3247,2304.3247,2304.3247,2304.3247
2011/6/29,2297.5823,2297.5823,2297.5823,2297.5823
2011/6/30,2310.4114,2310.4114,2310.4114,2310.4114
2011/7/1,2297.5916,2297.5916,2297.5916,2297.5916
2011/7/4,2317.2949,2317.2949,2317.2949,2317.2949
2011/7/5,2316.2031,2316.2031,2316.2031,2316.2031
2011/7/6,2343.9196,2343.9196,2343.9196,2343.9196
2011/7/7,2316.717,2316.717,2316.717,2316.717
2011/7/8,2315.9847,2315.9847,2315.9847,2315.9847
2011/7/11,2306.7399,2306.7399,2306.7399,2306.7399
2011/7/12,2299.8568,2299.8568,2299.8568,2299.8568
2011/7/13,2312.8604,2312.8604,2312.8604,2312.8604
2011/7/14,2307.7824,2307.7824,2307.7824,2307.7824
2011/7/15,2305.9095,2305.9095,2305.9095,2305.9095
2011/7/18,2308.0056,2308.0056,2308.0056,2308.0056
2011/7/19,2308.1075,2308.1075,2308.1075,2308.1075
2011/7/20,2301.6378,2301.6378,2301.6378,2301.6378
2011/7/21,2289.786,2289.786,2289.786,2289.786
2011/7/22,2290.1034,2290.1034,2290.1034,2290.1034
2011/7/25,2290.1049,2290.1049,2290.1049,2290.1049
2011/7/26,2294.0466,2294.0466,2294.0466,2294.0466
2011/7/27,2289.1554,2289.1554,2289.1554,2289.1554
2011/7/28,2290.3945,2290.3945,2290.3945,2290.3945
2011/7/29,2290.217,2290.217,2290.217,2290.217
2011/8/1,2291.6588,2291.6588,2291.6588,2291.6588
2011/8/2,2291.6163,2291.6163,2291.6163,2291.6163
2011/8/3,2292.6115,2292.6115,2292.6115,2292.6115
2011/8/4,2312.5058,2312.5058,2312.5058,2312.5058
2011/8/5,2305.9965,2305.9965,2305.9965,2305.9965
2011/8/8,2284.0788,2284.0788,2284.0788,2284.0788
2011/8/9,2252.1819,2252.1819,2252.1819,2252.1819
2011/8/10,2257.7566,2257.7566,2257.7566,2257.7566
2011/8/11,2258.095,2258.095,2258.095,2258.095
2011/8/12,2257.6004,2257.6004,2257.6004,2257.6004
2011/8/15,2236.786,2236.786,2236.786,2236.786
2011/8/16,2212.8735,2212.8735,2212.8735,2212.8735
2011/8/17,2212.0014,2212.0014,2212.0014,2212.0014
2011/8/18,2200.7467,2200.7467,2200.7467,2200.7467
2011/8/19,2186.0367,2186.0367,2186.0367,2186.0367
2011/8/22,2183.2068,2183.2068,2183.2068,2183.2068
2011/8/23,2132.2072,2132.2072,2132.2072,2132.2072
2011/8/24,2163.1842,2163.1842,2163.1842,2163.1842
2011/8/25,2186.5214,2186.5214,2186.5214,2186.5214
2011/8/26,2187.4131,2187.4131,2187.4131,2187.4131
2011/8/29,2182.2313,2182.2313,2182.2313,2182.2313
2011/8/30,2187.5563,2187.5563,2187.5563,2187.5563
2011/8/31,2209.8087,2209.8087,2209.8087,2209.8087
2011/9/1,2207.9326,2207.9326,2207.9326,2207.9326
2011/9/2,2188.4694,2188.4694,2188.4694,2188.4694
2011/9/5,2188.442,2188.442,2188.442,2188.442
2011/9/6,2209.0624,2209.0624,2209.0624,2209.0624
2011/9/7,2217.391,2217.391,2217.391,2217.391
2011/9/8,2207.2112,2207.2112,2207.2112,2207.2112
2011/9/9,2209.8769,2209.8769,2209.8769,2209.8769
2011/9/13,2201.09,2201.09,2201.09,2201.09
2011/9/14,2190.227,2190.227,2190.227,2190.227
2011/9/15,2227.8559,2227.8559,2227.8559,2227.8559
2011/9/16,2241.7243,2241.7243,2241.7243,2241.7243
2011/9/19,2219.8064,2219.8064,2219.8064,2219.8064
2011/9/20,2214.5696,2214.5696,2214.5696,2214.5696
2011/9/21,2235.8965,2235.8965,2235.8965,2235.8965
2011/9/22,2194.1635,2194.1635,2194.1635,2194.1635
2011/9/23,2146.7106,2146.7106,2146.7106,2146.7106
2011/9/26,2079.5235,2079.5235,2079.5235,2079.5235
2011/9/27,2111.63,2111.63,2111.63,2111.63
2011/9/28,2093.3464,2093.3464,2093.3464,2093.3464
2011/9/29,2027.4087,2027.4087,2027.4087,2027.4087
2011/9/30,2042.9861,2042.9861,2042.9861,2042.9861
2011/10/10,2052.0201,2052.0201,2052.0201,2052.0201
2011/10/11,2058.5786,2058.5786,2058.5786,2058.5786
2011/10/12,2067.2979,2067.2979,2067.2979,2067.2979
2011/10/13,2064.3731,2064.3731,2064.3731,2064.3731
2011/10/14,2061.4366,2061.4366,2061.4366,2061.4366
2011/10/17,2018.8717,2018.8717,2018.8717,2018.8717
2011/10/18,1989.8586,1989.8586,1989.8586,1989.8586
2011/10/19,1982.4881,1982.4881,1982.4881,1982.4881
2011/10/20,1891.1793,1891.1793,1891.1793,1891.1793
2011/10/21,1919.8785,1919.8785,1919.8785,1919.8785
2011/10/24,1962.1197,1962.1197,1962.1197,1962.1197
2011/10/25,1969.0012,1969.0012,1969.0012,1969.0012
2011/10/26,1969.0165,1969.0165,1969.0165,1969.0165
2011/10/27,1973.7138,1973.7138,1973.7138,1973.7138
2011/10/28,1981.9825,1981.9825,1981.9825,1981.9825
2011/10/31,1962.7646,1962.7646,1962.7646,1962.7646
2011/11/1,1957.6367,1957.6367,1957.6367,1957.6367
