update_date,open,high,low,close,volume
2011/4/15,2249.8,2249.8,2249.8,2249.8,58080
2011/4/18,2382.5,2382.5,2382.5,2382.5,133636
2011/4/19,2337.47,2337.47,2337.47,2337.47,205268
2011/4/20,2344.44,2344.44,2344.44,2344.44,176032
2011/4/21,2336.48,2336.48,2336.48,2336.48,97806
2011/4/22,2331.66,2331.66,2331.66,2331.66,128548
2011/4/25,2330.71,2330.71,2330.71,2330.71,65102
2011/4/26,2323.59,2323.59,2323.59,2323.59,44636
2011/4/27,2321.88,2321.88,2321.88,2321.88,32090
2011/4/28,2338.84,2338.84,2338.84,2338.84,26344
2011/4/29,2331.37,2331.37,2331.37,2331.37,17764
2011/5/3,2346.1,2346.1,2346.1,2346.1,26696
2011/5/4,2331.27,2331.27,2331.27,2331.27,14634
2011/5/5,2310.51,2310.51,2310.51,2310.51,14072
2011/5/6,2273.73,2273.73,2273.73,2273.73,14920
2011/5/9,2282.48,2282.48,2282.48,2282.48,7270
2011/5/10,2289.11,2289.11,2289.11,2289.11,7988
2011/5/11,2315.91,2315.91,2315.91,2315.91,30238
2011/5/12,2344.81,2344.81,2344.81,2344.81,62144
2011/5/13,2419.45,2419.45,2419.45,2419.45,135262
2011/5/16,2407.89,2407.89,2407.89,2407.89,57382
2011/5/17,2392.01,2392.01,2392.01,2392.01,57900
2011/5/18,2373.13,2373.13,2373.13,2373.13,70694
2011/5/19,2368.57,2368.57,2368.57,2368.57,47798
2011/5/20,2377.12,2377.12,2377.12,2377.12,37118
2011/5/23,2358.56,2358.56,2358.56,2358.56,19074
2011/5/24,2381.01,2381.01,2381.01,2381.01,30624
2011/5/25,2376.12,2376.12,2376.12,2376.12,18240
2011/5/26,2379.32,2379.32,2379.32,2379.32,19624
2011/5/27,2372.19,2372.19,2372.19,2372.19,21780
2011/5/30,2366.3,2366.3,2366.3,2366.3,16498
2011/5/31,2365.72,2365.72,2365.72,2365.72,15260
2011/6/1,2360.52,2360.52,2360.52,2360.52,13748
2011/6/2,2341.04,2341.04,2341.04,2341.04,18830
2011/6/3,2328.02,2328.02,2328.02,2328.02,17242
2011/6/7,2332.83,2332.83,2332.83,2332.83,15690
2011/6/8,2327.53,2327.53,2327.53,2327.53,8244
2011/6/9,2319.67,2319.67,2319.67,2319.67,8168
2011/6/10,2312.65,2312.65,2312.65,2312.65,13080
2011/6/13,2321.05,2321.05,2321.05,2321.05,9462
2011/6/14,2335.08,2335.08,2335.08,2335.08,42480
2011/6/15,2324.48,2324.48,2324.48,2324.48,9826
2011/6/16,2308.59,2308.59,2308.59,2308.59,9586
2011/6/17,2308.56,2308.56,2308.56,2308.56,6542
