update_date,open,high,low,close,volume,position_all
2011-04-15,2300.00 ,2300.00 ,2225.00 ,2247.00 ,57134.00 ,6404.00 
2011-04-18,2233.00 ,2388.00 ,2233.00 ,2381.00 ,132702.00 ,19488.00 
2011-04-19,2375.00 ,2384.00 ,2320.00 ,2336.00 ,204462.00 ,23270.00 
2011-04-20,2350.00 ,2395.00 ,2328.00 ,2343.00 ,175506.00 ,23484.00 
2011-04-21,2353.00 ,2363.00 ,2323.00 ,2335.00 ,97576.00 ,22246.00 
2011-04-22,2336.00 ,2351.00 ,2297.00 ,2330.00 ,128218.00 ,18880.00 
2011-04-25,2340.00 ,2359.00 ,2317.00 ,2329.00 ,64954.00 ,18038.00 
2011-04-26,2315.00 ,2329.00 ,2303.00 ,2322.00 ,44336.00 ,17852.00 
2011-04-27,2332.00 ,2339.00 ,2315.00 ,2320.00 ,32038.00 ,16356.00 
2011-04-28,2330.00 ,2347.00 ,2326.00 ,2337.00 ,26286.00 ,14190.00 
2011-04-29,2337.00 ,2343.00 ,2323.00 ,2329.00 ,17654.00 ,11762.00 
2011-05-03,2330.00 ,2354.00 ,2326.00 ,2344.00 ,26594.00 ,12876.00 
2011-05-04,2341.00 ,2346.00 ,2320.00 ,2329.00 ,14518.00 ,10782.00 
2011-05-05,2309.00 ,2319.00 ,2293.00 ,2308.00 ,13896.00 ,10736.00 
2011-05-06,2255.00 ,2289.00 ,2255.00 ,2271.00 ,14736.00 ,10206.00 
2011-05-09,2280.00 ,2284.00 ,2273.00 ,2280.00 ,7240.00 ,9292.00 
2011-05-10,2285.00 ,2288.00 ,2275.00 ,2287.00 ,7890.00 ,8290.00 
2011-05-11,2293.00 ,2338.00 ,2286.00 ,2314.00 ,30078.00 ,9430.00 
2011-05-12,2290.00 ,2352.00 ,2288.00 ,2344.00 ,61826.00 ,17712.00 
2011-05-13,2360.00 ,2444.00 ,2353.00 ,2419.00 ,134808.00 ,26414.00 
2011-05-16,2415.00 ,2423.00 ,2396.00 ,2407.00 ,57056.00 ,25800.00 
2011-05-17,2414.00 ,2417.00 ,2371.00 ,2391.00 ,57660.00 ,21764.00 
2011-05-18,2400.00 ,2423.00 ,2370.00 ,2372.00 ,70386.00 ,21830.00 
