update_date,open,high,low,close,volume
2013/3/22,1267.46,1267.46,1267.46,1267.46,848922
2013/3/25,1258.91,1258.91,1258.91,1258.91,725382
2013/3/26,1272.9,1272.9,1272.9,1272.9,836840
2013/3/27,1262.21,1262.21,1262.21,1262.21,499836
2013/3/28,1260.93,1260.93,1260.93,1260.93,647728
2013/3/29,1241.97,1241.97,1241.97,1241.97,740158
2013/4/1,1203.3,1203.3,1203.3,1203.3,712904
2013/4/2,1229.28,1229.28,1229.28,1229.28,1051156
2013/4/3,1217.69,1217.69,1217.69,1217.69,607758
2013/4/8,1221.39,1221.39,1221.39,1221.39,556890
2013/4/9,1224.19,1224.19,1224.19,1224.19,552676
2013/4/10,1216.4,1216.4,1216.4,1216.4,378614
2013/4/11,1207.49,1207.49,1207.49,1207.49,403936
2013/4/12,1210.45,1210.45,1210.45,1210.45,462552
2013/4/15,1175.45,1175.45,1175.45,1175.45,443474
2013/4/16,1180.45,1180.45,1180.45,1180.45,326720
2013/4/17,1166.51,1166.51,1166.51,1166.51,704204
2013/4/18,1158.89,1158.89,1158.89,1158.89,572508
2013/4/19,1164.83,1164.83,1164.83,1164.83,429072
2013/4/22,1147.97,1147.97,1147.97,1147.97,274358
2013/4/23,1136.18,1136.18,1136.18,1136.18,240028
2013/4/24,1147.08,1147.08,1147.08,1147.08,411370
2013/4/25,1144.46,1144.46,1144.46,1144.46,158940
2013/4/26,1140.77,1140.77,1140.77,1140.77,166056
2013/5/2,1121.6,1121.6,1121.6,1121.6,111716
2013/5/3,1131.36,1131.36,1131.36,1131.36,182778
2013/5/6,1142.48,1142.48,1142.48,1142.48,119894
2013/5/7,1136.82,1136.82,1136.82,1136.82,109040
2013/5/8,1150.81,1150.81,1150.81,1150.81,89534
2013/5/9,1145.03,1145.03,1145.03,1145.03,90134
2013/5/10,1153.03,1153.03,1153.03,1153.03,87704
2013/5/13,1180.75,1180.75,1180.75,1180.75,342354
2013/5/14,1182.37,1182.37,1182.37,1182.37,299918
2013/5/15,1148.51,1148.51,1148.51,1148.51,315236
2013/5/16,1149.39,1149.39,1149.39,1149.39,322900
2013/5/17,1166.49,1166.49,1166.49,1166.49,348294
2013/5/20,1167.26,1167.26,1167.26,1167.26,214104
2013/5/21,1169.63,1169.63,1169.63,1169.63,209232
2013/5/22,1177.54,1177.54,1177.54,1177.54,175390
2013/5/23,1152.53,1152.53,1152.53,1152.53,179606
2013/5/24,1152.17,1152.17,1152.17,1152.17,138520
2013/5/27,1135.56,1135.56,1135.56,1135.56,135946
2013/5/28,1132.84,1132.84,1132.84,1132.84,126932
2013/5/29,1117.72,1117.72,1117.72,1117.72,159434
2013/5/30,1115.08,1115.08,1115.08,1115.08,188226
2013/5/31,1100.52,1100.52,1100.52,1100.52,168264
2013/6/3,1105.27,1105.27,1105.27,1105.27,217358
2013/6/4,1109.05,1109.05,1109.05,1109.05,158250
2013/6/5,1108.9,1108.9,1108.9,1108.9,148352
2013/6/6,1063.18,1063.18,1063.18,1063.18,314368
2013/6/7,1049.67,1049.67,1049.67,1049.67,315440
2013/6/13,1042.58,1042.58,1042.58,1042.58,206484
2013/6/14,1037.66,1037.66,1037.66,1037.66,236742
2013/6/17,1051.28,1051.28,1051.28,1051.28,311558
2013/6/18,1053.29,1053.29,1053.29,1053.29,173942
2013/6/19,1046.1,1046.1,1046.1,1046.1,368750
2013/6/20,1015.61,1015.61,1015.61,1015.61,450456
2013/6/21,1021.09,1021.09,1021.09,1021.09,360238
2013/6/24,1017.79,1017.79,1017.79,1017.79,523584
2013/6/25,1040.54,1040.54,1040.54,1040.54,469858
2013/6/26,1028.17,1028.17,1028.17,1028.17,461944
2013/6/27,1032.23,1032.23,1032.23,1032.23,400668
2013/6/28,1028.43,1028.43,1028.43,1028.43,259480
2013/7/1,1022.41,1022.41,1022.41,1022.41,506232
2013/7/2,1023.01,1023.01,1023.01,1023.01,701944
2013/7/3,1021.58,1021.58,1021.58,1021.58,424506
2013/7/4,1037.55,1037.55,1037.55,1037.55,675486
2013/7/5,1038.95,1038.95,1038.95,1038.95,295862
2013/7/8,1029.6,1029.6,1029.6,1029.6,260048
2013/7/9,1023,1023,1023,1023,218366
2013/7/10,1052.04,1052.04,1052.04,1052.04,723812
2013/7/11,1056.81,1056.81,1056.81,1056.81,834422
2013/7/12,1046.16,1046.16,1046.16,1046.16,441220
2013/7/15,1035.11,1035.11,1035.11,1035.11,318968
2013/7/16,1038.96,1038.96,1038.96,1038.96,311984
2013/7/17,1057.73,1057.73,1057.73,1057.73,559636
2013/7/18,1063.06,1063.06,1063.06,1063.06,502252
2013/7/19,1065.65,1065.65,1065.65,1065.65,429050
2013/7/22,1070.41,1070.41,1070.41,1070.41,462384
2013/7/23,1074.01,1074.01,1074.01,1074.01,256316
2013/7/24,1067.39,1067.39,1067.39,1067.39,431476
2013/7/25,1065.5,1065.5,1065.5,1065.5,282884
2013/7/26,1060.37,1060.37,1060.37,1060.37,204598
2013/7/29,1046.76,1046.76,1046.76,1046.76,175278
2013/7/30,1046.94,1046.94,1046.94,1046.94,191794
2013/7/31,1052.69,1052.69,1052.69,1052.69,178370
2013/8/1,1064.25,1064.25,1064.25,1064.25,212154
2013/8/2,1073.39,1073.39,1073.39,1073.39,153204
2013/8/5,1078.65,1078.65,1078.65,1078.65,170856
2013/8/6,1076.24,1076.24,1076.24,1076.24,165212
2013/8/7,1080.08,1080.08,1080.08,1080.08,207110
2013/8/8,1106.19,1106.19,1106.19,1106.19,328756
2013/8/9,1127.28,1127.28,1127.28,1127.28,430012
2013/8/12,1157.28,1157.28,1157.28,1157.28,526036
2013/8/13,1171.09,1171.09,1171.09,1171.09,524332
2013/8/14,1162.44,1162.44,1162.44,1162.44,620318
2013/8/15,1169.5,1169.5,1169.5,1169.5,860632
2013/8/16,1151.54,1151.54,1151.54,1151.54,981602
2013/8/19,1160.71,1160.71,1160.71,1160.71,681766
2013/8/20,1172.59,1172.59,1172.59,1172.59,989474
2013/8/21,1174.58,1174.58,1174.58,1174.58,561730
2013/8/22,1172.07,1172.07,1172.07,1172.07,657112
2013/8/23,1190.25,1190.25,1190.25,1190.25,776598
2013/8/26,1199.69,1199.69,1199.69,1199.69,743432
2013/8/27,1186.71,1186.71,1186.71,1186.71,526420
2013/8/28,1144.5,1144.5,1144.5,1144.5,787848
2013/8/29,1140.03,1140.03,1140.03,1140.03,855546
2013/8/30,1139.01,1139.01,1139.01,1139.01,556868
2013/9/2,1171.52,1171.52,1171.52,1171.52,543240
2013/9/3,1165.95,1165.95,1165.95,1165.95,479908
2013/9/4,1160.84,1160.84,1160.84,1160.84,430082
2013/9/5,1170.49,1170.49,1170.49,1170.49,489456
2013/9/6,1162.41,1162.41,1162.41,1162.41,492574
2013/9/9,1173.89,1173.89,1173.89,1173.89,335368
2013/9/10,1163.33,1163.33,1163.33,1163.33,359554
2013/9/11,1165.18,1165.18,1165.18,1165.18,335916
2013/9/12,1152.51,1152.51,1152.51,1152.51,350968
2013/9/13,1141.05,1141.05,1141.05,1141.05,248982
2013/9/16,1142,1142,1142,1142,231702
2013/9/17,1150.77,1150.77,1150.77,1150.77,383362
2013/9/18,1168.48,1168.48,1168.48,1168.48,344248
2013/9/23,1179.04,1179.04,1179.04,1179.04,365096
2013/9/24,1171.66,1171.66,1171.66,1171.66,406202
2013/9/25,1176.35,1176.35,1176.35,1176.35,512184
2013/9/26,1172.21,1172.21,1172.21,1172.21,251268
2013/9/27,1154.93,1154.93,1154.93,1154.93,266776
2013/9/30,1148.36,1148.36,1148.36,1148.36,215474
2013/10/8,1149.63,1149.63,1149.63,1149.63,299316
2013/10/9,1138.7,1138.7,1138.7,1138.7,369886
2013/10/10,1142.81,1142.81,1142.81,1142.81,336034
2013/10/11,1137.85,1137.85,1137.85,1137.85,263388
2013/10/14,1162.75,1162.75,1162.75,1162.75,268946
2013/10/15,1155.76,1155.76,1155.76,1155.76,354804
2013/10/16,1147.4,1147.4,1147.4,1147.4,195082
2013/10/17,1145.79,1145.79,1145.79,1145.79,213108
2013/10/18,1146.49,1146.49,1146.49,1146.49,166518
2013/10/21,1165.22,1165.22,1165.22,1165.22,283740
2013/10/22,1151.41,1151.41,1151.41,1151.41,326742
2013/10/23,1141.18,1141.18,1141.18,1141.18,538332
2013/10/24,1121.65,1121.65,1121.65,1121.65,562200
2013/10/25,1113.63,1113.63,1113.63,1113.63,388080
2013/10/28,1118.7,1118.7,1118.7,1118.7,287590
2013/10/29,1110.63,1110.63,1110.63,1110.63,574606
2013/10/30,1113.53,1113.53,1113.53,1113.53,310240
2013/10/31,1101.63,1101.63,1101.63,1101.63,437510
2013/11/1,1111.74,1111.74,1111.74,1111.74,378184
2013/11/4,1101.06,1101.06,1101.06,1101.06,495904
2013/11/5,1099.05,1099.05,1099.05,1099.05,422174
2013/11/6,1100.92,1100.92,1100.92,1100.92,369850
2013/11/7,1108.5,1108.5,1108.5,1108.5,369012
2013/11/8,1096.35,1096.35,1096.35,1096.35,380214
2013/11/11,1098.58,1098.58,1098.58,1098.58,191886
2013/11/12,1105.69,1105.69,1105.69,1105.69,224848
2013/11/13,1106.01,1106.01,1106.01,1106.01,226176
2013/11/14,1108.3,1108.3,1108.3,1108.3,215570
2013/11/15,1103.58,1103.58,1103.58,1103.58,225602
2013/11/18,1104.71,1104.71,1104.71,1104.71,191462
2013/11/19,1112.11,1112.11,1112.11,1112.11,160108
2013/11/20,1124.53,1124.53,1124.53,1124.53,338378
2013/11/21,1109.87,1109.87,1109.87,1109.87,256492
2013/11/22,1110.14,1110.14,1110.14,1110.14,163638
2013/11/25,1105.64,1105.64,1105.64,1105.64,159736
2013/11/26,1106.57,1106.57,1106.57,1106.57,246942
2013/11/27,1097.98,1097.98,1097.98,1097.98,430084
2013/11/28,1102.86,1102.86,1102.86,1102.86,385078
2013/11/29,1103.24,1103.24,1103.24,1103.24,202640
2013/12/2,1108.06,1108.06,1108.06,1108.06,183146
2013/12/3,1104.82,1104.82,1104.82,1104.82,212316
2013/12/4,1116.86,1116.86,1116.86,1116.86,314260
2013/12/5,1117.6,1117.6,1117.6,1117.6,252004
2013/12/6,1107.08,1107.08,1107.08,1107.08,319938
2013/12/9,1106.61,1106.61,1106.61,1106.61,195914
2013/12/10,1109.28,1109.28,1109.28,1109.28,143146
2013/12/11,1100.97,1100.97,1100.97,1100.97,208916
2013/12/12,1097.27,1097.27,1097.27,1097.27,300048
2013/12/13,1075.17,1075.17,1075.17,1075.17,519436
2013/12/16,1077.09,1077.09,1077.09,1077.09,157842
2013/12/17,1075.08,1075.08,1075.08,1075.08,152496
2013/12/18,1075.79,1075.79,1075.79,1075.79,208088
2013/12/19,1071.41,1071.41,1071.41,1071.41,221176
2013/12/20,1049.5,1049.5,1049.5,1049.5,247036
2013/12/23,1046.73,1046.73,1046.73,1046.73,224844
2013/12/24,1051.56,1051.56,1051.56,1051.56,193620
2013/12/25,1050.03,1050.03,1050.03,1050.03,274368
2013/12/26,1047.77,1047.77,1047.77,1047.77,166712
2013/12/27,1038.05,1038.05,1038.05,1038.05,286832
2013/12/30,1027.36,1027.36,1027.36,1027.36,173146
2013/12/31,1010.27,1010.27,1010.27,1010.27,362740
2014/1/2,1004.11,1004.11,1004.11,1004.11,244922
2014/1/3,992.07,992.07,992.07,992.07,233992
2014/1/6,994.85,994.85,994.85,994.85,207014
2014/1/7,1004.59,1004.59,1004.59,1004.59,304300
2014/1/8,1000.55,1000.55,1000.55,1000.55,204484
2014/1/9,986.66,986.66,986.66,986.66,348512
2014/1/10,992.89,992.89,992.89,992.89,255774
2014/1/13,990.17,990.17,990.17,990.17,182708
2014/1/14,997.98,997.98,997.98,997.98,176212
2014/1/15,993.27,993.27,993.27,993.27,188248
2014/1/16,977.71,977.71,977.71,977.71,340024
2014/1/17,972.56,972.56,972.56,972.56,296046
2014/1/20,936.27,936.27,936.27,936.27,521982
2014/1/21,936.19,936.19,936.19,936.19,250758
2014/1/22,939.37,939.37,939.37,939.37,253428
2014/1/23,952.53,952.53,952.53,952.53,223652
2014/1/24,961.22,961.22,961.22,961.22,420860
2014/1/27,952.18,952.18,952.18,952.18,139372
2014/1/28,926.25,926.25,926.25,926.25,306382
2014/1/29,938.68,938.68,938.68,938.68,229396
2014/1/30,938.44,938.44,938.44,938.44,84614
2014/2/7,921.32,921.32,921.32,921.32,172984
2014/2/10,938.21,938.21,938.21,938.21,243466
2014/2/11,926.94,926.94,926.94,926.94,194870
2014/2/12,935.16,935.16,935.16,935.16,263166
2014/2/13,929.36,929.36,929.36,929.36,271116
2014/2/14,934.46,934.46,934.46,934.46,171010
2014/2/17,957.83,957.83,957.83,957.83,553902
2014/2/18,948.2,948.2,948.2,948.2,189282
2014/2/19,953.57,953.57,953.57,953.57,339374
2014/2/20,943.52,943.52,943.52,943.52,236396
2014/2/21,942.17,942.17,942.17,942.17,173370
2014/2/24,914.42,914.42,914.42,914.42,466012
2014/2/25,920.15,920.15,920.15,920.15,332688
2014/2/26,929.05,929.05,929.05,929.05,250586
2014/2/27,927.21,927.21,927.21,927.21,150292
2014/2/28,923.51,923.51,923.51,923.51,248962
2014/3/3,913.82,913.82,913.82,913.82,337360
2014/3/4,898.92,898.92,898.92,898.92,690258
2014/3/5,900.56,900.56,900.56,900.56,484948
2014/3/6,882.59,882.59,882.59,882.59,453172
2014/3/7,850.93,850.93,850.93,850.93,636550
2014/3/10,830.55,830.55,830.55,830.55,231570
2014/3/11,826.69,826.69,826.69,826.69,839710
2014/3/12,841.49,841.49,841.49,841.49,751488
2014/3/13,839.52,839.52,839.52,839.52,572234
2014/3/14,830.26,830.26,830.26,830.26,731460
2014/3/17,829.43,829.43,829.43,829.43,382680
2014/3/18,838.21,838.21,838.21,838.21,499548
2014/3/19,835.01,835.01,835.01,835.01,337326
2014/3/20,812.69,812.69,812.69,812.69,834294
2014/3/21,803.18,803.18,803.18,803.18,924560
2014/3/24,795.12,795.12,795.12,795.12,952068
2014/3/25,824.32,824.32,824.32,824.32,772652
2014/3/26,824.29,824.29,824.29,824.29,891454
2014/3/27,819.53,819.53,819.53,819.53,811274
2014/3/28,839.81,839.81,839.81,839.81,671190
2014/3/31,834.51,834.51,834.51,834.51,814120
2014/4/1,832.76,832.76,832.76,832.76,678558
2014/4/2,827.07,827.07,827.07,827.07,488980
2014/4/3,855.03,855.03,855.03,855.03,1283520
2014/4/4,876.54,876.54,876.54,876.54,1148490
2014/4/8,892.86,892.86,892.86,892.86,1108502
2014/4/9,884.78,884.78,884.78,884.78,656072
2014/4/10,882.55,882.55,882.55,882.55,1057696
2014/4/11,875,875,875,875,649120
