update_date,open,high,low,close,volume
2008/1/2,3447.99 ,3447.99 ,3447.99 ,3447.99 ,587082.00 
2008/1/3,3472.59 ,3472.59 ,3472.59 ,3472.59 ,851322.00 
2008/1/4,3470.12 ,3470.12 ,3470.12 ,3470.12 ,878556.00 
2008/1/7,3469.52 ,3469.52 ,3469.52 ,3469.52 ,449988.00 
2008/1/8,3452.91 ,3452.91 ,3452.91 ,3452.91 ,878294.00 
2008/1/9,3478.07 ,3478.07 ,3478.07 ,3478.07 ,825290.00 
2008/1/10,3457.13 ,3457.13 ,3457.13 ,3457.13 ,419842.00 
2008/1/11,3491.45 ,3491.45 ,3491.45 ,3491.45 ,427486.00 
2008/1/14,3580.06 ,3580.06 ,3580.06 ,3580.06 ,948478.00 
2008/1/15,3518.93 ,3518.93 ,3518.93 ,3518.93 ,724582.00 
2008/1/16,3454.24 ,3454.24 ,3454.24 ,3454.24 ,951046.00 
2008/1/17,3454.79 ,3454.79 ,3454.79 ,3454.79 ,811762.00 
2008/1/18,3332.31 ,3332.31 ,3332.31 ,3332.31 ,928430.00 
2008/1/21,3364.43 ,3364.43 ,3364.43 ,3364.43 ,593848.00 
2008/1/22,3235.99 ,3235.99 ,3235.99 ,3235.99 ,583172.00 
2008/1/23,3287.41 ,3287.41 ,3287.41 ,3287.41 ,543592.00 
2008/1/24,3240.88 ,3240.88 ,3240.88 ,3240.88 ,607948.00 
2008/1/25,3297.52 ,3297.52 ,3297.52 ,3297.52 ,445594.00 
2008/1/28,3294.08 ,3294.08 ,3294.08 ,3294.08 ,562566.00 
2008/1/29,3325.41 ,3325.41 ,3325.41 ,3325.41 ,443352.00 
2008/1/30,3267.05 ,3267.05 ,3267.05 ,3267.05 ,568840.00 
2008/1/31,3282.62 ,3282.62 ,3282.62 ,3282.62 ,592226.00 
2008/2/1,3302.49 ,3302.49 ,3302.49 ,3302.49 ,493624.00 
2008/2/4,3339.44 ,3339.44 ,3339.44 ,3339.44 ,327740.00 
2008/2/5,3381.20 ,3381.20 ,3381.20 ,3381.20 ,372432.00 
2008/2/13,3359.20 ,3359.20 ,3359.20 ,3359.20 ,322868.00 
2008/2/14,3479.22 ,3479.22 ,3479.22 ,3479.22 ,613834.00 
2008/2/15,3483.23 ,3483.23 ,3483.23 ,3483.23 ,782104.00 
