update_date,open,high,low,close,volume
2015/4/7,97469.71,97957.39,95943.63,96402.25,78400
2015/4/8,94521.99,95580.1,93294.05,93929.34,188500
2015/4/9,94393.54,95228.04,93868.12,94266.71,163700
2015/4/10,94451.38,94927.92,93195.7,94515.09,139500
2015/4/13,94286.84,95470.27,93715.62,95193.46,185100
2015/4/14,94773.49,95017.17,92817.31,93068.93,209200
2015/4/15,92689.73,94896.72,92620.02,94643.18,227000
2015/4/16,94535.08,95779.38,94201.27,95294.65,202900
2015/4/17,96148.63,96500.08,94890.12,95675.17,176100
2015/4/20,95788.23,96342.72,95038.14,95212.09,156800
2015/4/21,95142.59,96567.35,94755.67,95683.82,147000
2015/4/22,95709.91,96511.13,95600.95,96147.94,127800
2015/4/23,95966.16,96316.35,95470.6,95704.96,105600
2015/4/24,95687.77,97636.35,95584.02,97594.6,128300
2015/4/27,97831.56,101304.77,97831.56,101275.68,268000
2015/4/28,102257.97,104212.95,101117.2,102312.69,309100
2015/4/29,102086.59,104065.8,100256.17,100746.68,340500
2015/4/30,100885.35,106545.18,100879.34,105651.43,584500
2015/5/4,105626.29,108060.56,105220.95,107263.42,297200
2015/5/5,107467.63,108847.32,105848.14,107459.99,555800
2015/5/6,109113.38,112781.41,109113.38,112147.94,700700
2015/5/7,113155.66,113579.26,109305.03,110124.48,1062000
2015/5/8,111155.35,111495.45,108882.88,111092.23,994300
2015/5/11,110570.45,113260.56,110160.01,112727.59,836100
2015/5/12,109975.5,109975.5,109975.5,109975.5,996600
2015/5/13,110432.41,110432.41,110432.41,110432.41,879000
2015/5/14,110567.52,110567.52,106232.66,108121.53,861300
2015/5/15,107770.95,109513.19,107369.2,108773.2,689100
2015/5/18,107759.45,108103.38,107228.08,107305.39,605800
2015/5/19,107071.34,107542.09,105049.36,105180.88,544100
2015/5/20,104347.1,104388.84,100910,100910,405200
2015/5/21,99497.53,101437.38,99437.71,100366.92,581100
2015/5/22,100217.12,102319.6,97978.31,99266.54,867500
2015/5/25,98124.12,99157.38,97919.01,98683.13,701200
2015/5/26,98778.46,100615.41,98778.46,99008.38,652500
2015/5/27,98638.6,99309.5,98461.52,99309.5,496500
2015/5/28,99037.04,100951.15,99037.04,100160.91,761300
2015/5/29,99935.2,100414.82,97017.94,98264.72,663400
2015/6/1,98045.23,98045.23,96996.87,97283.45,422200
2015/6/2,97613.63,100471.81,97565.45,100314.99,710200
2015/6/3,100386.02,100926.27,99113.7,99115.34,523400
2015/6/4,99407.71,99897.45,97820.12,98556.78,450300
2015/6/5,98646.67,99412.52,98073.64,98407.45,407200
2015/6/8,98712.35,100545.14,98712.35,100544.55,563900
2015/6/9,100852.25,102114.31,100719.42,100933.81,671700
2015/6/10,101377.35,101745.44,100627.44,101330.42,429800
2015/6/11,101819.4,102160.73,101314.24,101487.74,348100
2015/6/12,101574.25,101619.95,97939.23,98146.91,522000
2015/6/15,98335.73,98643.46,97452.41,97573.22,339800
2015/6/16,97410.36,97910.05,95400.34,95705.39,418700
2015/6/17,95934.25,96305.46,94727.91,95274.35,432500
2015/6/18,96255.8,96767.8,95828.37,96265.79,353600
2015/6/19,96001.03,96144.45,94438.66,94630.06,340000
2015/6/23,94322.88,95251.34,94101.15,94994.07,170100
2015/6/24,95370.22,96622.91,95333.76,96330.09,352400
2015/6/25,96018.68,96158.83,94799.45,94848.3,348300
2015/6/26,94753.32,95147.45,93083.46,93847.81,527600
2015/6/29,93675.18,93675.18,89551.33,90389.31,647900
2015/6/30,88989.91,89402.38,87322.51,87325.98,511300
2015/7/1,87315.73,89866.73,86690.48,88418.1,739800
2015/7/2,88124.26,89899.05,87692.32,89510.03,677200
2015/7/3,89837.27,90716.09,88254.11,89299.86,556700
2015/7/6,89183.02,89183.02,85351.7,85675.14,527000
2015/7/7,85919.77,87376.71,84187.9,84318.26,592100
2015/7/8,82503.09,82503.09,81697.59,81698.43,28400
2015/7/9,75654.83,85865.67,75338.28,83678.08,1101500
2015/7/10,84157.37,85119.67,83080.53,84610.95,570800
2015/7/13,84101.82,84101.82,80747.52,82276.08,823100
2015/7/14,84459.98,85801.8,83691.89,84600.54,869900
2015/7/15,84923.86,87129.1,84469.35,87040.67,897500
2015/7/16,86964.01,87260.69,83756.12,85501.68,993100
2015/7/17,84775.27,85821.21,84775.27,85669.77,626500
2015/7/20,84863.42,85729.23,84842.81,85405.23,601600
2015/7/21,85520.14,87962.06,85365.56,87914.94,644000
2015/7/22,87702.19,87910.59,84734.7,85306.11,774200
2015/7/23,85367,85672.19,83829.44,84506.18,737800
2015/7/24,84308.97,84966.62,83051.95,83450.7,731300
2015/7/27,83331.17,84656.58,82807.43,82807.43,671600
2015/7/28,81443.39,83491.62,81396.81,82876.53,640400
2015/7/29,83536.73,84850.85,83258.89,84473.59,557500
2015/7/30,83778.35,84543.05,82683.55,82780.86,605800
2015/7/31,82180.5,83133.64,81903.3,81946.49,518700
2015/8/3,82468.81,82693.99,80382.82,80513.12,595300
2015/8/4,80548.09,81405.35,80120.64,81292.56,501400
2015/8/5,81476.35,81874.74,80560.13,81457.42,379500
2015/8/6,81775.32,81876.53,80797.51,81063.03,380600
2015/8/7,80991.7,81398.24,80228.51,80969.94,424800
2015/8/10,80923.92,82753.54,80579.62,82531.25,411300
2015/8/11,82513.71,84540.66,82324.74,82721.18,659400
2015/8/12,81663.64,83182.74,80526.79,83020.6,710400
2015/8/13,83119.18,83878.31,82232.25,83107.8,519500
2015/8/14,82850.38,83024.58,81873.04,81969.21,399100
2015/8/17,82414.9,82530.28,81935.3,82527.29,328600
2015/8/18,82556.47,82890.65,80801.24,80843.32,353400
2015/8/19,80860.74,81648.71,80383.17,81587.64,450200
2015/8/20,80427.92,80427.92,80427.92,80427.92,484200
2015/8/21,80163.21,80163.21,80163.21,80163.21,372100
2015/8/24,76635.72,76635.72,76635.72,76635.72,442300
2015/8/25,73466.87,73466.87,73466.87,73466.87,754000
2015/8/26,74214.22,74214.22,74214.22,74214.22,646400
2015/8/27,75938.47,75938.47,75938.47,75938.47,526800
2015/8/28,78362.85,78362.85,78362.85,78362.85,682000
2015/8/31,76617.3,76617.3,76617.3,76617.3,704800
2015/9/1,75631.7,75631.7,75631.7,75631.7,463400
