update_date,open,high,low,close,volume
2015-04-07,97469.71 ,97957.39 ,95943.63 ,96402.25 ,78354.00 
2015-04-08,94521.99 ,95580.10 ,93294.04 ,93929.34 ,188478.00 
2015-04-09,94393.54 ,95228.04 ,93868.13 ,94266.71 ,163716.00 
2015-04-10,94451.37 ,94927.92 ,93195.70 ,94515.09 ,139462.00 
2015-04-13,94286.84 ,95470.27 ,93715.62 ,95193.46 ,185092.00 
2015-04-14,94773.49 ,95017.17 ,92817.31 ,93068.93 ,209168.00 
2015-04-15,92689.74 ,94896.72 ,92620.03 ,94643.18 ,226994.00 
2015-04-16,94535.08 ,95779.37 ,94201.26 ,95294.65 ,202894.00 
2015-04-17,96148.63 ,96500.08 ,94890.12 ,95675.17 ,176086.00 
2015-04-20,95788.24 ,96342.72 ,95038.14 ,95212.09 ,156762.00 
2015-04-21,95142.59 ,96567.35 ,94755.67 ,95683.82 ,147020.00 
2015-04-22,95709.90 ,96511.13 ,95600.94 ,96147.94 ,127834.00 
2015-04-23,95966.16 ,96316.35 ,95470.60 ,95704.96 ,105618.00 
2015-04-24,95687.77 ,97636.35 ,95584.03 ,97594.60 ,128258.00 
2015-04-27,97831.57 ,101304.76 ,97831.57 ,101275.68 ,268016.00 
2015-04-28,102257.97 ,104212.95 ,101117.19 ,102312.68 ,309144.00 
2015-04-29,102086.59 ,104065.80 ,100256.17 ,100746.68 ,340526.00 
2015-04-30,100885.35 ,106545.18 ,100879.34 ,105651.43 ,584532.00 
2015-05-04,105626.29 ,108060.57 ,105220.96 ,107263.42 ,297234.00 
2015-05-05,107467.63 ,108847.32 ,105848.14 ,107459.99 ,555832.00 
2015-05-06,109113.37 ,112781.41 ,109113.37 ,112147.93 ,700656.00 
2015-05-07,113155.66 ,113579.26 ,109305.03 ,110124.48 ,1061950.00 
2015-05-08,111155.35 ,111495.45 ,108882.88 ,111092.22 ,994264.00 
2015-05-11,110570.44 ,113260.57 ,110160.01 ,112727.59 ,836130.00 
2015-05-12,0.00 ,0.00 ,0.00 ,109975.50 ,996584.00 
2015-05-13,0.00 ,0.00 ,0.00 ,110432.41 ,879034.00 
2015-05-14,110567.53 ,110567.53 ,106232.65 ,108121.53 ,861336.00 
2015-05-15,107770.95 ,109513.19 ,107369.20 ,108773.20 ,689138.00 
2015-05-18,107759.44 ,108103.38 ,107228.08 ,107305.39 ,605842.00 
2015-05-19,107071.34 ,107542.10 ,105049.36 ,105180.88 ,544140.00 
2015-05-20,104347.10 ,104388.83 ,100910.00 ,100910.00 ,405162.00 
2015-05-21,99497.53 ,101437.38 ,99437.71 ,100366.92 ,581126.00 
2015-05-22,100217.12 ,102319.60 ,97978.31 ,99266.54 ,867482.00 
2015-05-25,98124.12 ,99157.37 ,97919.01 ,98683.14 ,701234.00 
