update_date,open,high,low,close,volume,position_all
2015-03-27,101870.00 ,102710.00 ,100650.00 ,101080.00 ,28860.00 ,14364.00 
2015-03-30,99010.00 ,100000.00 ,96820.00 ,98430.00 ,66684.00 ,34186.00 
2015-03-31,98000.00 ,98200.00 ,93840.00 ,95040.00 ,105600.00 ,54888.00 
2015-04-01,93940.00 ,94130.00 ,91270.00 ,92500.00 ,158952.00 ,70960.00 
2015-04-02,92870.00 ,96600.00 ,92550.00 ,96160.00 ,202848.00 ,80724.00 
2015-04-03,96000.00 ,97800.00 ,95660.00 ,97300.00 ,150282.00 ,80998.00 
2015-04-07,97500.00 ,97980.00 ,95950.00 ,96420.00 ,75688.00 ,83542.00 
2015-04-08,94500.00 ,95630.00 ,93300.00 ,93950.00 ,183088.00 ,95102.00 
2015-04-09,94450.00 ,95260.00 ,93880.00 ,94300.00 ,160974.00 ,99084.00 
2015-04-10,94500.00 ,94970.00 ,93180.00 ,94540.00 ,137722.00 ,105628.00 
2015-04-13,94280.00 ,95670.00 ,93700.00 ,95230.00 ,180214.00 ,112858.00 
2015-04-14,94780.00 ,95070.00 ,92810.00 ,93100.00 ,199150.00 ,127690.00 
2015-04-15,92700.00 ,95000.00 ,92640.00 ,94730.00 ,220106.00 ,132258.00 
2015-04-16,94610.00 ,95900.00 ,94260.00 ,95400.00 ,195920.00 ,131624.00 
2015-04-17,96280.00 ,96660.00 ,95010.00 ,95850.00 ,168702.00 ,127284.00 
2015-04-20,95980.00 ,96550.00 ,95200.00 ,95410.00 ,148104.00 ,116410.00 
2015-04-21,95330.00 ,96800.00 ,94900.00 ,95880.00 ,140930.00 ,110552.00 
2015-04-22,95910.00 ,96720.00 ,95750.00 ,96330.00 ,123902.00 ,110516.00 
2015-04-23,96120.00 ,96500.00 ,95600.00 ,95860.00 ,101066.00 ,110646.00 
2015-04-24,95840.00 ,97900.00 ,95700.00 ,97830.00 ,118180.00 ,113816.00 
2015-04-27,98000.00 ,101490.00 ,97990.00 ,101490.00 ,241904.00 ,116290.00 
2015-04-28,102490.00 ,104530.00 ,101420.00 ,102650.00 ,285722.00 ,111958.00 
2015-04-29,102350.00 ,104400.00 ,100500.00 ,101020.00 ,317634.00 ,111334.00 
2015-04-30,101190.00 ,106980.00 ,101160.00 ,106010.00 ,552750.00 ,125970.00 
2015-05-04,106010.00 ,108900.00 ,105450.00 ,107580.00 ,278844.00 ,128702.00 
2015-05-05,107850.00 ,109230.00 ,106160.00 ,107960.00 ,518266.00 ,133626.00 
2015-05-06,110000.00 ,113380.00 ,109690.00 ,113380.00 ,609024.00 ,134182.00 
2015-05-07,114580.00 ,115300.00 ,111050.00 ,112500.00 ,969052.00 ,123678.00 
2015-05-08,113700.00 ,114100.00 ,110000.00 ,112300.00 ,878416.00 ,118556.00 
2015-05-11,111810.00 ,114430.00 ,111060.00 ,113880.00 ,728054.00 ,128054.00 
2015-05-12,113300.00 ,115060.00 ,111270.00 ,111600.00 ,871696.00 ,126536.00 
2015-05-13,112280.00 ,113650.00 ,110780.00 ,111750.00 ,752614.00 ,123868.00 
2015-05-14,112100.00 ,112100.00 ,107060.00 ,109400.00 ,760542.00 ,121384.00 
2015-05-15,108980.00 ,110960.00 ,108540.00 ,110210.00 ,609290.00 ,130696.00 
2015-05-18,109390.00 ,109690.00 ,108200.00 ,108610.00 ,544094.00 ,121292.00 
2015-05-19,108300.00 ,108890.00 ,106160.00 ,106430.00 ,467078.00 ,116362.00 
2015-05-20,105500.00 ,105990.00 ,102340.00 ,102340.00 ,318956.00 ,107676.00 
2015-05-21,100490.00 ,102550.00 ,100170.00 ,101070.00 ,480198.00 ,106184.00 
2015-05-22,100960.00 ,103370.00 ,96710.00 ,100070.00 ,741862.00 ,109808.00 
2015-05-25,98900.00 ,100580.00 ,98110.00 ,99480.00 ,610232.00 ,114898.00 
2015-05-26,99670.00 ,101900.00 ,99660.00 ,100010.00 ,550278.00 ,115194.00 
2015-05-27,99990.00 ,101180.00 ,99200.00 ,100670.00 ,406048.00 ,119564.00 
2015-05-28,97780.00 ,100100.00 ,97740.00 ,99470.00 ,211690.00 ,144198.00 
2015-05-29,99140.00 ,99670.00 ,96250.00 ,97600.00 ,196314.00 ,144488.00 
2015-06-01,97500.00 ,97800.00 ,96360.00 ,96810.00 ,171826.00 ,156872.00 
2015-06-02,97190.00 ,100500.00 ,97020.00 ,100280.00 ,428588.00 ,179364.00 
2015-06-03,100380.00 ,101100.00 ,99040.00 ,99060.00 ,409252.00 ,191776.00 
2015-06-04,99200.00 ,99940.00 ,97690.00 ,98530.00 ,373158.00 ,193186.00 
2015-06-05,98650.00 ,99480.00 ,98060.00 ,98390.00 ,349670.00 ,203496.00 
2015-06-08,98750.00 ,100600.00 ,98330.00 ,100570.00 ,493720.00 ,217446.00 
2015-06-09,100850.00 ,102180.00 ,100660.00 ,100910.00 ,602556.00 ,214594.00 
2015-06-10,101360.00 ,101770.00 ,100570.00 ,101330.00 ,398440.00 ,210380.00 
2015-06-11,101850.00 ,102200.00 ,101300.00 ,101500.00 ,323762.00 ,201518.00 
2015-06-12,101600.00 ,101640.00 ,97800.00 ,98070.00 ,485268.00 ,199864.00 
2015-06-15,98400.00 ,98880.00 ,97400.00 ,97580.00 ,314750.00 ,206642.00 
2015-06-16,97400.00 ,98050.00 ,95340.00 ,95700.00 ,386062.00 ,213938.00 
2015-06-17,96000.00 ,96360.00 ,94700.00 ,95280.00 ,399972.00 ,212964.00 
2015-06-18,96300.00 ,96810.00 ,95830.00 ,96300.00 ,327414.00 ,203154.00 
2015-06-19,96020.00 ,96180.00 ,94440.00 ,94610.00 ,314640.00 ,215276.00 
2015-06-23,94280.00 ,95330.00 ,94100.00 ,95050.00 ,157974.00 ,218968.00 
2015-06-24,95510.00 ,96700.00 ,95350.00 ,96390.00 ,335618.00 ,215434.00 
2015-06-25,96010.00 ,96220.00 ,94800.00 ,94850.00 ,333244.00 ,220876.00 
2015-06-26,94760.00 ,95170.00 ,93020.00 ,93850.00 ,506474.00 ,222276.00 
2015-06-29,93650.00 ,93680.00 ,89510.00 ,90360.00 ,618386.00 ,231122.00 
2015-06-30,88880.00 ,89410.00 ,87330.00 ,87330.00 ,479454.00 ,235210.00 
2015-07-01,87330.00 ,89980.00 ,86680.00 ,88360.00 ,711488.00 ,216384.00 
2015-07-02,88000.00 ,89880.00 ,87570.00 ,89450.00 ,651868.00 ,206510.00 
2015-07-03,89850.00 ,90670.00 ,88080.00 ,89240.00 ,530356.00 ,192048.00 
2015-07-06,89100.00 ,89340.00 ,85260.00 ,85530.00 ,497774.00 ,193608.00 
2015-07-07,85750.00 ,87360.00 ,84050.00 ,84220.00 ,563222.00 ,194898.00 
2015-07-08,82400.00 ,82400.00 ,81630.00 ,81630.00 ,25018.00 ,190228.00 
2015-07-09,75230.00 ,86050.00 ,75230.00 ,83600.00 ,1040716.00 ,168800.00 
2015-07-10,84100.00 ,85170.00 ,82950.00 ,84570.00 ,552370.00 ,180276.00 
2015-07-13,84040.00 ,84170.00 ,80600.00 ,82250.00 ,771510.00 ,189886.00 
2015-07-14,84510.00 ,85800.00 ,83680.00 ,84500.00 ,831348.00 ,186378.00 
2015-07-15,84880.00 ,87120.00 ,84330.00 ,86970.00 ,859920.00 ,187520.00 
2015-07-16,86850.00 ,87240.00 ,83630.00 ,85430.00 ,949108.00 ,182376.00 
2015-07-17,84680.00 ,85760.00 ,84620.00 ,85600.00 ,589592.00 ,182418.00 
2015-07-20,84800.00 ,85660.00 ,84450.00 ,85320.00 ,574774.00 ,188630.00 
2015-07-21,85480.00 ,87950.00 ,85260.00 ,87870.00 ,608876.00 ,195552.00 
2015-07-22,87670.00 ,87880.00 ,84530.00 ,85220.00 ,737564.00 ,183214.00 
