update_date,open,high,low,close,volume
2015/3/30,99010.00 ,100000.00 ,96820.00 ,98430.00 ,66684.00 
2015/3/31,98000.00 ,98200.00 ,93840.00 ,95040.00 ,105600.00 
2015/4/1,93940.00 ,94130.00 ,91270.00 ,92500.00 ,158952.00 
2015/4/2,92870.00 ,96600.00 ,92550.00 ,96160.00 ,202848.00 
2015/4/3,96000.00 ,97800.00 ,95660.00 ,97300.00 ,150282.00 
2015/4/7,97500.00 ,97980.00 ,95950.00 ,96420.00 ,75688.00 
2015/4/8,94500.00 ,95630.00 ,93300.00 ,93950.00 ,183088.00 
2015/4/9,94450.00 ,95260.00 ,93880.00 ,94300.00 ,160974.00 
2015/4/10,94500.00 ,94970.00 ,93180.00 ,94540.00 ,137722.00 
2015/4/13,94280.00 ,95670.00 ,93700.00 ,95230.00 ,180214.00 
2015/4/14,94780.00 ,95070.00 ,92810.00 ,93100.00 ,199150.00 
2015/4/15,92700.00 ,95000.00 ,92640.00 ,94730.00 ,220106.00 
2015/4/16,94610.00 ,95900.00 ,94260.00 ,95400.00 ,195920.00 
2015/4/17,96280.00 ,96660.00 ,95010.00 ,95850.00 ,168702.00 
2015/4/20,95980.00 ,96550.00 ,95200.00 ,95410.00 ,148104.00 
2015/4/21,95330.00 ,96800.00 ,94900.00 ,95880.00 ,140930.00 
2015/4/22,95910.00 ,96720.00 ,95750.00 ,96330.00 ,123902.00 
2015/4/23,96120.00 ,96500.00 ,95600.00 ,95860.00 ,101066.00 
2015/4/24,95840.00 ,97900.00 ,95700.00 ,97830.00 ,118180.00 
2015/4/27,98000.00 ,101490.00 ,97990.00 ,101490.00 ,241904.00 
2015/4/28,102490.00 ,104530.00 ,101420.00 ,102650.00 ,285722.00 
2015/4/29,102350.00 ,104400.00 ,100500.00 ,101020.00 ,317634.00 
2015/4/30,101190.00 ,106980.00 ,101160.00 ,106010.00 ,552750.00 
2015/5/4,106010.00 ,108900.00 ,105450.00 ,107580.00 ,278844.00 
2015/5/5,107850.00 ,109230.00 ,106160.00 ,107960.00 ,518266.00 
2015/5/6,110000.00 ,113380.00 ,109690.00 ,113380.00 ,609024.00 
2015/5/7,114580.00 ,115300.00 ,111050.00 ,112500.00 ,969052.00 
2015/5/8,113700.00 ,114100.00 ,110000.00 ,112300.00 ,878416.00 
2015/5/11,111810.00 ,114430.00 ,111060.00 ,113880.00 ,728054.00 
2015/5/12,113300.00 ,115060.00 ,111270.00 ,111600.00 ,871696.00 
2015/5/13,112280.00 ,113650.00 ,110780.00 ,111750.00 ,752614.00 
2015/5/14,112100.00 ,112100.00 ,107060.00 ,109400.00 ,760542.00 
2015/5/15,108980.00 ,110960.00 ,108540.00 ,110210.00 ,609290.00 
2015/5/18,109390.00 ,109690.00 ,108200.00 ,108610.00 ,544094.00 
2015/5/19,108300.00 ,108890.00 ,106160.00 ,106430.00 ,467078.00 
2015/5/20,105500.00 ,105990.00 ,102340.00 ,102340.00 ,318956.00 
2015/5/21,100490.00 ,102550.00 ,100170.00 ,101070.00 ,480198.00 
2015/5/22,100960.00 ,103370.00 ,96710.00 ,100070.00 ,741862.00 
2015/5/25,98900.00 ,100580.00 ,98110.00 ,99480.00 ,610232.00 
2015/5/26,99670.00 ,101900.00 ,99660.00 ,100010.00 ,550278.00 
2015/5/27,99990.00 ,101180.00 ,99200.00 ,100670.00 ,406048.00 
2015/5/28,100420.00 ,102040.00 ,100400.00 ,101130.00 ,545222.00 
2015/5/29,101000.00 ,101680.00 ,97740.00 ,99200.00 ,462924.00 
2015/6/1,98860.00 ,99290.00 ,97800.00 ,98040.00 ,245968.00 
2015/6/2,98350.00 ,100600.00 ,98120.00 ,100480.00 ,274378.00 
2015/6/3,100510.00 ,101000.00 ,99250.00 ,99280.00 ,107274.00 
2015/6/4,99980.00 ,99980.00 ,97740.00 ,98650.00 ,71564.00 
2015/6/5,98680.00 ,99380.00 ,98130.00 ,98550.00 ,49526.00 
2015/6/8,98780.00 ,100570.00 ,98410.00 ,100570.00 ,63534.00 
2015/6/9,101000.00 ,102100.00 ,100860.00 ,101020.00 ,62398.00 
2015/6/10,101560.00 ,102000.00 ,100700.00 ,101390.00 ,25860.00 
2015/6/11,101820.00 ,102250.00 ,101320.00 ,101450.00 ,20214.00 
2015/6/12,101520.00 ,101630.00 ,98100.00 ,98500.00 ,28838.00 
2015/6/15,98170.00 ,98990.00 ,97520.00 ,97550.00 ,20514.00 
2015/6/16,97380.00 ,98060.00 ,95400.00 ,95670.00 ,24814.00 
2015/6/17,96000.00 ,96100.00 ,94610.00 ,95170.00 ,27268.00 
2015/6/18,96000.00 ,96620.00 ,95700.00 ,96050.00 ,21950.00 
2015/6/19,95650.00 ,95910.00 ,93930.00 ,94390.00 ,20550.00 
2015/6/23,93890.00 ,94780.00 ,93510.00 ,94400.00 ,7580.00 
2015/6/24,94980.00 ,95880.00 ,94680.00 ,95520.00 ,12102.00 
2015/6/25,95310.00 ,95350.00 ,94170.00 ,94220.00 ,8484.00 
2015/6/26,94100.00 ,94630.00 ,89980.00 ,93220.00 ,10680.00 
2015/6/29,93160.00 ,93200.00 ,88860.00 ,89600.00 ,9718.00 
2015/6/30,89000.00 ,89000.00 ,86600.00 ,86600.00 ,5854.00 
2015/7/1,84520.00 ,88600.00 ,80510.00 ,87700.00 ,2984.00 
2015/7/2,87750.00 ,89000.00 ,87000.00 ,88600.00 ,480.00 
