update_date,open,high,low,close,volume
2008/1/2,9296.26 ,9296.26 ,9296.26 ,9296.26 ,25132.00 
2008/1/3,9422.76 ,9422.76 ,9422.76 ,9422.76 ,27048.00 
2008/1/4,9432.25 ,9432.25 ,9432.25 ,9432.25 ,26892.00 
2008/1/7,9447.56 ,9447.56 ,9447.56 ,9447.56 ,27874.00 
2008/1/8,9469.18 ,9469.18 ,9469.18 ,9469.18 ,31112.00 
2008/1/9,9575.28 ,9575.28 ,9575.28 ,9575.28 ,24182.00 
2008/1/10,9625.05 ,9625.05 ,9625.05 ,9625.05 ,27962.00 
2008/1/11,9834.68 ,9834.68 ,9834.68 ,9834.68 ,28184.00 
2008/1/14,10119.34 ,10119.34 ,10119.34 ,10119.34 ,12642.00 
2008/1/15,10241.94 ,10241.94 ,10241.94 ,10241.94 ,25636.00 
2008/1/16,10061.34 ,10061.34 ,10061.34 ,10061.34 ,23204.00 
2008/1/17,10231.57 ,10231.57 ,10231.57 ,10231.57 ,23858.00 
2008/1/18,9922.14 ,9922.14 ,9922.14 ,9922.14 ,25094.00 
2008/1/21,9960.65 ,9960.65 ,9960.65 ,9960.65 ,25592.00 
2008/1/22,9574.59 ,9574.59 ,9574.59 ,9574.59 ,20090.00 
2008/1/23,9484.56 ,9484.56 ,9484.56 ,9484.56 ,31806.00 
2008/1/24,9362.01 ,9362.01 ,9362.01 ,9362.01 ,24654.00 
2008/1/25,9585.56 ,9585.56 ,9585.56 ,9585.56 ,17522.00 
2008/1/28,9561.74 ,9561.74 ,9561.74 ,9561.74 ,31644.00 
2008/1/29,9715.84 ,9715.84 ,9715.84 ,9715.84 ,32070.00 
2008/1/30,9728.63 ,9728.63 ,9728.63 ,9728.63 ,18090.00 
2008/1/31,9756.65 ,9756.65 ,9756.65 ,9756.65 ,33628.00 
2008/2/1,9797.10 ,9797.10 ,9797.10 ,9797.10 ,38802.00 
2008/2/4,9916.56 ,9916.56 ,9916.56 ,9916.56 ,34818.00 
2008/2/5,10226.06 ,10226.06 ,10226.06 ,10226.06 ,8486.00 
2008/2/13,10267.23 ,10267.23 ,10267.23 ,10267.23 ,46300.00 
2008/2/14,10438.74 ,10438.74 ,10438.74 ,10438.74 ,45916.00 
2008/2/15,10713.55 ,10713.55 ,10713.55 ,10713.55 ,49104.00 
2008/2/18,10806.00 ,10806.00 ,10806.00 ,10806.00 ,46598.00 
2008/2/19,10816.64 ,10816.64 ,10816.64 ,10816.64 ,51424.00 
2008/2/20,10856.71 ,10856.71 ,10856.71 ,10856.71 ,51186.00 
2008/2/21,11073.62 ,11073.62 ,11073.62 ,11073.62 ,64532.00 
2008/2/22,11052.20 ,11052.20 ,11052.20 ,11052.20 ,54370.00 
2008/2/25,11503.52 ,11503.52 ,11503.52 ,11503.52 ,17004.00 
2008/2/26,11350.28 ,11350.28 ,11350.28 ,11350.28 ,28538.00 
2008/2/27,11755.93 ,11755.93 ,11755.93 ,11755.93 ,30180.00 
2008/2/28,11679.11 ,11679.11 ,11679.11 ,11679.11 ,34822.00 
2008/2/29,12150.29 ,12150.29 ,12150.29 ,12150.29 ,65386.00 
2008/3/3,12510.05 ,12510.05 ,12510.05 ,12510.05 ,5466.00 
2008/3/4,12510.65 ,12510.65 ,12510.65 ,12510.65 ,42830.00 
2008/3/5,12103.80 ,12103.80 ,12103.80 ,12103.80 ,7908.00 
2008/3/6,12155.43 ,12155.43 ,12155.43 ,12155.43 ,63610.00 
2008/3/7,11642.68 ,11642.68 ,11642.68 ,11642.68 ,6940.00 
2008/3/10,11187.56 ,11187.56 ,11187.56 ,11187.56 ,286.00 
2008/3/11,11285.84 ,11285.84 ,11285.84 ,11285.84 ,49164.00 
