update_date,open,high,low,close,amt,volume,position_all
2013/10/18,976.15,976.15,976.15,976.15,33033.64,338700,2086014
2013/10/21,967.01,967.01,967.01,967.01,10059.46,104000,2116372
2013/10/22,946.35,946.35,946.35,946.35,9442.76,98800,2180080
2013/10/23,937.54,937.54,937.54,937.54,11559.79,122500,2141418
2013/10/24,924.67,924.67,924.67,924.67,16460.96,177400,2179740
2013/10/25,916.63,916.63,916.63,916.63,10086.48,108800,2165180
2013/10/28,921.33,921.33,921.33,921.33,8006.87,86900,2166322
2013/10/29,919.34,919.34,919.34,919.34,9985.76,108900,2195736
2013/10/30,922.03,922.03,922.03,922.03,11452.57,124200,2229504
2013/10/31,920.13,920.13,920.13,920.13,7119.26,77200,2246992
2013/11/1,941.06,941.06,941.06,941.06,31011.06,329200,2227550
2013/11/4,948.77,948.77,948.77,948.77,16886.35,177900,2258880
2013/11/5,944.83,944.83,944.83,944.83,10439.16,110200,2277170
2013/11/6,942.82,942.82,942.82,942.82,6783.1,71800,2248316
2013/11/7,943.8,943.8,943.8,943.8,8938.82,94700,2152328
2013/11/8,937.48,937.48,937.48,937.48,6751.13,71900,2153476
2013/11/11,940.15,940.15,940.15,940.15,5696.73,60700,2118736
2013/11/12,941.07,941.07,941.07,941.07,4498.19,47900,2141850
2013/11/13,940.88,940.88,940.88,940.88,9453.64,99900,2177252
2013/11/14,935,935,935,935,5412.43,57600,2176794
2013/11/15,929.13,929.13,929.13,929.13,7469.27,79900,2241214
2013/11/18,930.29,930.29,930.29,930.29,5262.67,56600,2200076
2013/11/19,939.98,939.98,939.98,939.98,5947.23,63500,2166252
2013/11/20,939.93,939.93,939.93,939.93,4229.18,44900,2261468
2013/11/21,930.26,930.26,930.26,930.26,4041.87,43200,2244408
2013/11/22,929.34,929.34,929.34,929.34,5076.3,54500,2178578
2013/11/25,931.09,931.09,931.09,931.09,3777.24,40500,2166172
2013/11/26,939.07,939.07,939.07,939.07,7064.92,75300,2203028
2013/11/27,934.3,934.3,934.3,934.3,2957.57,31600,2213960
2013/11/28,937.07,937.07,937.07,937.07,2673.26,28500,2122602
2013/11/29,937.27,937.27,937.27,937.27,3211.94,34100,2083040
2013/12/2,934.64,934.64,934.64,934.64,4028.77,43000,2075638
2013/12/3,937.24,937.24,937.24,937.24,3442.04,36700,2086372
2013/12/4,949.89,949.89,949.89,949.89,9252.3,97500,2166284
2013/12/5,942.81,942.81,942.81,942.81,5241.09,55300,2166154
2013/12/6,938.95,938.95,938.95,938.95,4182.45,44500,2241930
2013/12/9,942.83,942.83,942.83,942.83,1902.21,20200,2312996
2013/12/10,940.18,940.18,940.18,940.18,1621.46,17200,2304656
2013/12/11,935.03,935.03,935.03,935.03,3876.37,41400,2324872
2013/12/12,928.49,928.49,928.49,928.49,3488.17,37400,2415996
2013/12/13,911.88,911.88,911.88,911.88,9164.51,100500,2196788
2013/12/16,915.79,915.79,915.79,915.79,3875.12,42200,2145584
2013/12/17,908.2,908.2,908.2,908.2,2451.08,26800,2194488
2013/12/18,904.28,904.28,904.28,904.28,6901.19,76100,2102292
2013/12/19,905.53,905.53,905.53,905.53,3058.69,33700,2116198
2013/12/20,902.42,902.42,902.42,902.42,3408.83,37500,2049186
2013/12/23,889.2,889.2,889.2,889.2,12795.46,143700,2037826
2013/12/24,895.38,895.38,895.38,895.38,9035.66,100300,2053680
2013/12/25,897.95,897.95,897.95,897.95,4633.71,51500,2076412
2013/12/26,892.63,892.63,892.63,892.63,7983.79,89600,2058830
2013/12/27,902.53,902.53,902.53,902.53,8313.5,92100,2070502
2013/12/30,906.56,906.56,906.56,906.56,8348.19,91500,2149640
2013/12/31,906.6,906.6,906.6,906.6,7070.36,77800,2020302
2014/1/2,903.08,903.08,903.08,903.08,5389.82,59500,1944930
2014/1/3,897.68,897.68,897.68,897.68,12500.57,139400,1944244
2014/1/6,888.98,888.98,888.98,888.98,10542.98,118300,1927010
2014/1/7,892.72,892.72,892.72,892.72,8441.32,94600,1892970
2014/1/8,888.11,888.11,888.11,888.11,9941.32,111800,1832762
2014/1/9,883.93,883.93,883.93,883.93,9946.73,111900,1842290
2014/1/10,875.71,875.71,875.71,875.71,17717.87,202400,1876238
2014/1/13,866.33,866.33,866.33,866.33,10409.15,119600,1884170
2014/1/14,875.81,875.81,875.81,875.81,9509.62,109100,1897636
2014/1/15,874.02,874.02,874.02,874.02,6795.04,77600,1918334
2014/1/16,873.74,873.74,873.74,873.74,7043.37,80300,1955808
2014/1/17,870,870,870,870,7959.46,91200,1945324
2014/1/20,855.9,855.9,855.9,855.9,9786.34,113100,1930206
2014/1/21,841.96,841.96,841.96,841.96,13405.23,158500,2049558
2014/1/22,846.53,846.53,846.53,846.53,8037.95,94800,1978320
2014/1/23,871.82,871.82,871.82,871.82,22017.9,253900,1998706
2014/1/24,870.5,870.5,870.5,870.5,10423.75,119300,1928288
2014/1/27,858.31,858.31,858.31,858.31,7754.34,89700,1895522
