update_date,open,high,low,close,volume
2009/3/27,3562.22 ,3562.22 ,3562.22 ,3562.22 ,360228.00 
2009/3/30,3545.71 ,3545.71 ,3545.71 ,3545.71 ,145888.00 
2009/3/31,3550.57 ,3550.57 ,3550.57 ,3550.57 ,71002.00 
2009/4/1,3549.09 ,3549.09 ,3549.09 ,3549.09 ,28388.00 
2009/4/2,3475.11 ,3475.11 ,3475.11 ,3475.11 ,236480.00 
2009/4/3,3450.32 ,3450.32 ,3450.32 ,3450.32 ,153874.00 
2009/4/7,3492.95 ,3492.95 ,3492.95 ,3492.95 ,243464.00 
2009/4/8,3465.28 ,3465.28 ,3465.28 ,3465.28 ,147714.00 
2009/4/9,3470.01 ,3470.01 ,3470.01 ,3470.01 ,88100.00 
2009/4/10,3486.34 ,3486.34 ,3486.34 ,3486.34 ,121774.00 
2009/4/13,3471.55 ,3471.55 ,3471.55 ,3471.55 ,110892.00 
2009/4/14,3561.69 ,3561.69 ,3561.69 ,3561.69 ,541858.00 
2009/4/15,3564.40 ,3564.40 ,3564.40 ,3564.40 ,256590.00 
2009/4/16,3598.30 ,3598.30 ,3598.30 ,3598.30 ,251234.00 
2009/4/17,3622.53 ,3622.53 ,3622.53 ,3622.53 ,340950.00 
2009/4/20,3625.24 ,3625.24 ,3625.24 ,3625.24 ,260904.00 
2009/4/21,3526.32 ,3526.32 ,3526.32 ,3526.32 ,333156.00 
2009/4/22,3528.33 ,3528.33 ,3528.33 ,3528.33 ,169038.00 
2009/4/23,3515.54 ,3515.54 ,3515.54 ,3515.54 ,131110.00 
2009/4/24,3503.51 ,3503.51 ,3503.51 ,3503.51 ,102004.00 
2009/4/27,3501.47 ,3501.47 ,3501.47 ,3501.47 ,102958.00 
2009/4/28,3509.12 ,3509.12 ,3509.12 ,3509.12 ,97352.00 
2009/4/29,3522.04 ,3522.04 ,3522.04 ,3522.04 ,102924.00 
2009/4/30,3554.52 ,3554.52 ,3554.52 ,3554.52 ,249142.00 
2009/5/4,3637.43 ,3637.43 ,3637.43 ,3637.43 ,575670.00 
2009/5/5,3579.01 ,3579.01 ,3579.01 ,3579.01 ,176798.00 
2009/5/6,3596.05 ,3596.05 ,3596.05 ,3596.05 ,104310.00 
2009/5/7,3594.97 ,3594.97 ,3594.97 ,3594.97 ,151292.00 
2009/5/8,3615.66 ,3615.66 ,3615.66 ,3615.66 ,104146.00 
2009/5/11,3640.22 ,3640.22 ,3640.22 ,3640.22 ,337180.00 
2009/5/12,3646.29 ,3646.29 ,3646.29 ,3646.29 ,194050.00 
2009/5/13,3640.42 ,3640.42 ,3640.42 ,3640.42 ,119000.00 
2009/5/14,3595.80 ,3595.80 ,3595.80 ,3595.80 ,140800.00 
2009/5/15,3605.63 ,3605.63 ,3605.63 ,3605.63 ,132894.00 
2009/5/18,3609.53 ,3609.53 ,3609.53 ,3609.53 ,105328.00 
2009/5/19,3619.78 ,3619.78 ,3619.78 ,3619.78 ,95996.00 
2009/5/20,3619.62 ,3619.62 ,3619.62 ,3619.62 ,119384.00 
2009/5/21,3625.47 ,3625.47 ,3625.47 ,3625.47 ,118058.00 
2009/5/22,3619.67 ,3619.67 ,3619.67 ,3619.67 ,60846.00 
2009/5/25,3610.75 ,3610.75 ,3610.75 ,3610.75 ,96118.00 
2009/5/26,3603.03 ,3603.03 ,3603.03 ,3603.03 ,114466.00 
2009/5/27,3611.95 ,3611.95 ,3611.95 ,3611.95 ,46624.00 
2009/6/1,3648.70 ,3648.70 ,3648.70 ,3648.70 ,194440.00 
2009/6/2,3656.86 ,3656.86 ,3656.86 ,3656.86 ,200640.00 
2009/6/3,3671.88 ,3671.88 ,3671.88 ,3671.88 ,105942.00 
2009/6/4,3701.72 ,3701.72 ,3701.72 ,3701.72 ,371940.00 
2009/6/5,3757.61 ,3757.61 ,3757.61 ,3757.61 ,269288.00 
2009/6/8,3789.69 ,3789.69 ,3789.69 ,3789.69 ,295768.00 
2009/6/9,3780.94 ,3780.94 ,3780.94 ,3780.94 ,216332.00 
2009/6/10,3810.18 ,3810.18 ,3810.18 ,3810.18 ,240044.00 
2009/6/11,3880.29 ,3880.29 ,3880.29 ,3880.29 ,638952.00 
2009/6/12,3866.53 ,3866.53 ,3866.53 ,3866.53 ,593530.00 
2009/6/15,3851.11 ,3851.11 ,3851.11 ,3851.11 ,370066.00 
2009/6/16,3867.66 ,3867.66 ,3867.66 ,3867.66 ,363330.00 
2009/6/17,3854.82 ,3854.82 ,3854.82 ,3854.82 ,219252.00 
2009/6/18,3845.05 ,3845.05 ,3845.05 ,3845.05 ,194002.00 
2009/6/19,3909.10 ,3909.10 ,3909.10 ,3909.10 ,567686.00 
2009/6/22,3921.73 ,3921.73 ,3921.73 ,3921.73 ,506902.00 
2009/6/23,3884.13 ,3884.13 ,3884.13 ,3884.13 ,503470.00 
2009/6/24,3872.77 ,3872.77 ,3872.77 ,3872.77 ,287118.00 
2009/6/25,3869.10 ,3869.10 ,3869.10 ,3869.10 ,287590.00 
2009/6/26,3857.18 ,3857.18 ,3857.18 ,3857.18 ,380966.00 
2009/6/29,3832.36 ,3832.36 ,3832.36 ,3832.36 ,293528.00 
2009/6/30,3827.31 ,3827.31 ,3827.31 ,3827.31 ,218656.00 
2009/7/1,3841.99 ,3841.99 ,3841.99 ,3841.99 ,231074.00 
2009/7/2,3868.10 ,3868.10 ,3868.10 ,3868.10 ,317248.00 
2009/7/3,3860.67 ,3860.67 ,3860.67 ,3860.67 ,293702.00 
2009/7/6,3866.42 ,3866.42 ,3866.42 ,3866.42 ,172134.00 
2009/7/7,3871.76 ,3871.76 ,3871.76 ,3871.76 ,140088.00 
2009/7/8,3851.54 ,3851.54 ,3851.54 ,3851.54 ,160412.00 
2009/7/9,3866.85 ,3866.85 ,3866.85 ,3866.85 ,113150.00 
2009/7/10,3892.07 ,3892.07 ,3892.07 ,3892.07 ,311404.00 
2009/7/13,3905.32 ,3905.32 ,3905.32 ,3905.32 ,271126.00 
2009/7/14,3919.15 ,3919.15 ,3919.15 ,3919.15 ,200484.00 
2009/7/15,3995.11 ,3995.11 ,3995.11 ,3995.11 ,419780.00 
2009/7/16,4026.70 ,4026.70 ,4026.70 ,4026.70 ,451608.00 
2009/7/17,4002.56 ,4002.56 ,4002.56 ,4002.56 ,284588.00 
2009/7/20,4026.00 ,4026.00 ,4026.00 ,4026.00 ,300870.00 
2009/7/21,4033.00 ,4033.00 ,4033.00 ,4033.00 ,319988.00 
2009/7/22,4069.58 ,4069.58 ,4069.58 ,4069.58 ,469112.00 
2009/7/23,4120.76 ,4120.76 ,4120.76 ,4120.76 ,468044.00 
2009/7/24,4184.09 ,4184.09 ,4184.09 ,4184.09 ,582142.00 
2009/7/27,4239.67 ,4239.67 ,4239.67 ,4239.67 ,845948.00 
2009/7/28,4329.94 ,4329.94 ,4329.94 ,4329.94 ,951614.00 
2009/7/29,4386.57 ,4386.57 ,4386.57 ,4386.57 ,1820220.00 
2009/7/30,4440.08 ,4440.08 ,4440.08 ,4440.08 ,1514618.00 
2009/7/31,4622.99 ,4622.99 ,4622.99 ,4622.99 ,1664602.00 
2009/8/3,4861.00 ,4861.00 ,4861.00 ,4861.00 ,1574716.00 
2009/8/4,4842.58 ,4842.58 ,4842.58 ,4842.58 ,1780578.00 
2009/8/5,4875.89 ,4875.89 ,4875.89 ,4875.89 ,2285304.00 
2009/8/6,4866.90 ,4866.90 ,4866.90 ,4866.90 ,1857790.00 
2009/8/7,4680.17 ,4680.17 ,4680.17 ,4680.17 ,2597808.00 
2009/8/10,4656.55 ,4656.55 ,4656.55 ,4656.55 ,2703414.00 
2009/8/11,4675.73 ,4675.73 ,4675.73 ,4675.73 ,1699688.00 
2009/8/12,4611.52 ,4611.52 ,4611.52 ,4611.52 ,1805964.00 
2009/8/13,4632.84 ,4632.84 ,4632.84 ,4632.84 ,1667900.00 
2009/8/14,4526.42 ,4526.42 ,4526.42 ,4526.42 ,1966996.00 
2009/8/17,4449.33 ,4449.33 ,4449.33 ,4449.33 ,2411666.00 
2009/8/18,4427.88 ,4427.88 ,4427.88 ,4427.88 ,2092496.00 
2009/8/19,4227.50 ,4227.50 ,4227.50 ,4227.50 ,2229280.00 
2009/8/20,4289.11 ,4289.11 ,4289.11 ,4289.11 ,3787488.00 
2009/8/21,4338.85 ,4338.85 ,4338.85 ,4338.85 ,4114156.00 
2009/8/24,4329.42 ,4329.42 ,4329.42 ,4329.42 ,3313874.00 
2009/8/25,4245.99 ,4245.99 ,4245.99 ,4245.99 ,2763674.00 
2009/8/26,4274.03 ,4274.03 ,4274.03 ,4274.03 ,2983968.00 
2009/8/27,4275.76 ,4275.76 ,4275.76 ,4275.76 ,3070170.00 
2009/8/28,4274.68 ,4274.68 ,4274.68 ,4274.68 ,3139222.00 
2009/8/31,4127.24 ,4127.24 ,4127.24 ,4127.24 ,2756956.00 
2009/9/1,4078.13 ,4078.13 ,4078.13 ,4078.13 ,3060992.00 
2009/9/2,4035.86 ,4035.86 ,4035.86 ,4035.86 ,2986130.00 
2009/9/3,4046.55 ,4046.55 ,4046.55 ,4046.55 ,3077588.00 
2009/9/4,4029.95 ,4029.95 ,4029.95 ,4029.95 ,2354964.00 
2009/9/7,3916.41 ,3916.41 ,3916.41 ,3916.41 ,2542632.00 
2009/9/8,3936.86 ,3936.86 ,3936.86 ,3936.86 ,3143754.00 
2009/9/9,4028.50 ,4028.50 ,4028.50 ,4028.50 ,3690112.00 
2009/9/10,3997.38 ,3997.38 ,3997.38 ,3997.38 ,3179564.00 
2009/9/11,3965.98 ,3965.98 ,3965.98 ,3965.98 ,2389394.00 
2009/9/14,3963.14 ,3963.14 ,3963.14 ,3963.14 ,2282328.00 
2009/9/15,3959.86 ,3959.86 ,3959.86 ,3959.86 ,2526982.00 
2009/9/16,4027.73 ,4027.73 ,4027.73 ,4027.73 ,3097676.00 
2009/9/17,3980.97 ,3980.97 ,3980.97 ,3980.97 ,3062482.00 
2009/9/18,3964.70 ,3964.70 ,3964.70 ,3964.70 ,2710656.00 
2009/9/21,3988.84 ,3988.84 ,3988.84 ,3988.84 ,2397944.00 
2009/9/22,3952.86 ,3952.86 ,3952.86 ,3952.86 ,1825560.00 
2009/9/23,3892.76 ,3892.76 ,3892.76 ,3892.76 ,2338702.00 
2009/9/24,3859.18 ,3859.18 ,3859.18 ,3859.18 ,2560490.00 
2009/9/25,3824.24 ,3824.24 ,3824.24 ,3824.24 ,2125280.00 
2009/9/28,3664.03 ,3664.03 ,3664.03 ,3664.03 ,2623456.00 
2009/9/29,3715.11 ,3715.11 ,3715.11 ,3715.11 ,2302948.00 
2009/9/30,3705.80 ,3705.80 ,3705.80 ,3705.80 ,1524736.00 
2009/10/9,3659.57 ,3659.57 ,3659.57 ,3659.57 ,1777818.00 
2009/10/12,3676.83 ,3676.83 ,3676.83 ,3676.83 ,3208164.00 
2009/10/13,3651.22 ,3651.22 ,3651.22 ,3651.22 ,3255104.00 
2009/10/14,3665.95 ,3665.95 ,3665.95 ,3665.95 ,2119292.00 
2009/10/15,3739.08 ,3739.08 ,3739.08 ,3739.08 ,3699884.00 
2009/10/16,3814.13 ,3814.13 ,3814.13 ,3814.13 ,3593734.00 
2009/10/19,3853.29 ,3853.29 ,3853.29 ,3853.29 ,5248226.00 
2009/10/20,3834.55 ,3834.55 ,3834.55 ,3834.55 ,4652278.00 
2009/10/21,3879.05 ,3879.05 ,3879.05 ,3879.05 ,4512436.00 
2009/10/22,3851.50 ,3851.50 ,3851.50 ,3851.50 ,3981464.00 
2009/10/23,3885.93 ,3885.93 ,3885.93 ,3885.93 ,3428686.00 
2009/10/26,3996.00 ,3996.00 ,3996.00 ,3996.00 ,4135042.00 
2009/10/27,3972.56 ,3972.56 ,3972.56 ,3972.56 ,4584462.00 
2009/10/28,3872.31 ,3872.31 ,3872.31 ,3872.31 ,4377864.00 
2009/10/29,3842.67 ,3842.67 ,3842.67 ,3842.67 ,3904284.00 
2009/10/30,3882.68 ,3882.68 ,3882.68 ,3882.68 ,3885980.00 
2009/11/2,3926.97 ,3926.97 ,3926.97 ,3926.97 ,4506272.00 
2009/11/3,3905.44 ,3905.44 ,3905.44 ,3905.44 ,4749578.00 
2009/11/4,3922.12 ,3922.12 ,3922.12 ,3922.12 ,2918554.00 
2009/11/5,3947.69 ,3947.69 ,3947.69 ,3947.69 ,2602376.00 
2009/11/6,4012.73 ,4012.73 ,4012.73 ,4012.73 ,2788244.00 
2009/11/9,4089.57 ,4089.57 ,4089.57 ,4089.57 ,3738850.00 
2009/11/10,4079.16 ,4079.16 ,4079.16 ,4079.16 ,4928442.00 
2009/11/11,4082.36 ,4082.36 ,4082.36 ,4082.36 ,4118524.00 
2009/11/12,4064.25 ,4064.25 ,4064.25 ,4064.25 ,3448910.00 
2009/11/13,4107.87 ,4107.87 ,4107.87 ,4107.87 ,3922212.00 
2009/11/16,4112.08 ,4112.08 ,4112.08 ,4112.08 ,3310900.00 
2009/11/17,4119.25 ,4119.25 ,4119.25 ,4119.25 ,2787892.00 
2009/11/18,4143.73 ,4143.73 ,4143.73 ,4143.73 ,2277138.00 
2009/11/19,4209.97 ,4209.97 ,4209.97 ,4209.97 ,4241100.00 
2009/11/20,4199.72 ,4199.72 ,4199.72 ,4199.72 ,3246962.00 
2009/11/23,4263.10 ,4263.10 ,4263.10 ,4263.10 ,3452362.00 
2009/11/24,4215.62 ,4215.62 ,4215.62 ,4215.62 ,4100678.00 
2009/11/25,4258.42 ,4258.42 ,4258.42 ,4258.42 ,2911704.00 
2009/11/26,4245.14 ,4245.14 ,4245.14 ,4245.14 ,3618458.00 
2009/11/27,4114.59 ,4114.59 ,4114.59 ,4114.59 ,4489744.00 
2009/11/30,4190.70 ,4190.70 ,4190.70 ,4190.70 ,4127396.00 
2009/12/1,4192.23 ,4192.23 ,4192.23 ,4192.23 ,3533184.00 
2009/12/2,4219.82 ,4219.82 ,4219.82 ,4219.82 ,3107368.00 
2009/12/3,4229.21 ,4229.21 ,4229.21 ,4229.21 ,2424830.00 
2009/12/4,4231.76 ,4231.76 ,4231.76 ,4231.76 ,2757060.00 
2009/12/7,4236.78 ,4236.78 ,4236.78 ,4236.78 ,2184190.00 
2009/12/8,4201.22 ,4201.22 ,4201.22 ,4201.22 ,3184318.00 
2009/12/9,4161.72 ,4161.72 ,4161.72 ,4161.72 ,2048940.00 
2009/12/10,4229.00 ,4229.00 ,4229.00 ,4229.00 ,3581172.00 
2009/12/11,4291.25 ,4291.25 ,4291.25 ,4291.25 ,3359176.00 
2009/12/14,4328.93 ,4328.93 ,4328.93 ,4328.93 ,3006678.00 
2009/12/15,4303.76 ,4303.76 ,4303.76 ,4303.76 ,2829612.00 
2009/12/16,4308.69 ,4308.69 ,4308.69 ,4308.69 ,1727378.00 
2009/12/17,4306.27 ,4306.27 ,4306.27 ,4306.27 ,1823286.00 
2009/12/18,4299.20 ,4299.20 ,4299.20 ,4299.20 ,1128060.00 
2009/12/21,4336.94 ,4336.94 ,4336.94 ,4336.94 ,1246578.00 
2009/12/22,4333.80 ,4333.80 ,4333.80 ,4333.80 ,2026046.00 
2009/12/23,4337.90 ,4337.90 ,4337.90 ,4337.90 ,1250948.00 
2009/12/24,4394.77 ,4394.77 ,4394.77 ,4394.77 ,1600242.00 
2009/12/25,4395.31 ,4395.31 ,4395.31 ,4395.31 ,1201308.00 
2009/12/28,4464.18 ,4464.18 ,4464.18 ,4464.18 ,1450906.00 
2009/12/29,4439.66 ,4439.66 ,4439.66 ,4439.66 ,1498642.00 
2009/12/30,4427.18 ,4427.18 ,4427.18 ,4427.18 ,1032652.00 
2009/12/31,4450.85 ,4450.85 ,4450.85 ,4450.85 ,1024594.00 
2010/1/4,4517.99 ,4517.99 ,4517.99 ,4517.99 ,1920496.00 
2010/1/5,4533.12 ,4533.12 ,4533.12 ,4533.12 ,1381968.00 
2010/1/6,4572.94 ,4572.94 ,4572.94 ,4572.94 ,1586736.00 
2010/1/7,4463.67 ,4463.67 ,4463.67 ,4463.67 ,2438390.00 
2010/1/8,4455.07 ,4455.07 ,4455.07 ,4455.07 ,1759354.00 
2010/1/11,4519.17 ,4519.17 ,4519.17 ,4519.17 ,1323994.00 
2010/1/12,4513.43 ,4513.43 ,4513.43 ,4513.43 ,1360398.00 
2010/1/13,4428.08 ,4428.08 ,4428.08 ,4428.08 ,1650242.00 
2010/1/14,4444.41 ,4444.41 ,4444.41 ,4444.41 ,1181522.00 
2010/1/15,4386.62 ,4386.62 ,4386.62 ,4386.62 ,1451816.00 
2010/1/18,4413.64 ,4413.64 ,4413.64 ,4413.64 ,1288420.00 
2010/1/19,4406.99 ,4406.99 ,4406.99 ,4406.99 ,1357038.00 
2010/1/20,4389.29 ,4389.29 ,4389.29 ,4389.29 ,1371996.00 
2010/1/21,4381.20 ,4381.20 ,4381.20 ,4381.20 ,1056880.00 
2010/1/22,4311.27 ,4311.27 ,4311.27 ,4311.27 ,1389220.00 
2010/1/25,4302.32 ,4302.32 ,4302.32 ,4302.32 ,1027912.00 
2010/1/26,4294.11 ,4294.11 ,4294.11 ,4294.11 ,983040.00 
2010/1/27,4340.72 ,4340.72 ,4340.72 ,4340.72 ,1603948.00 
2010/1/28,4319.28 ,4319.28 ,4319.28 ,4319.28 ,1962838.00 
2010/1/29,4329.01 ,4329.01 ,4329.01 ,4329.01 ,1334538.00 
2010/2/1,4324.06 ,4324.06 ,4324.06 ,4324.06 ,1281612.00 
2010/2/2,4200.49 ,4200.49 ,4200.49 ,4200.49 ,2971710.00 
2010/2/3,4227.43 ,4227.43 ,4227.43 ,4227.43 ,1813120.00 
2010/2/4,4168.88 ,4168.88 ,4168.88 ,4168.88 ,1397792.00 
2010/2/5,4161.85 ,4161.85 ,4161.85 ,4161.85 ,1099704.00 
2010/2/8,4183.60 ,4183.60 ,4183.60 ,4183.60 ,696212.00 
2010/2/9,4208.88 ,4208.88 ,4208.88 ,4208.88 ,722978.00 
2010/2/10,4264.16 ,4264.16 ,4264.16 ,4264.16 ,908752.00 
2010/2/11,4288.28 ,4288.28 ,4288.28 ,4288.28 ,609954.00 
2010/2/12,4357.57 ,4357.57 ,4357.57 ,4357.57 ,762264.00 
2010/2/22,4313.66 ,4313.66 ,4313.66 ,4313.66 ,1311314.00 
