update_date,open,high,low,close,volume,position_all
2009-11-23,4122.00 ,4193.00 ,4117.00 ,4186.00 ,2460280.00 ,859780.00 
2009-11-24,4170.00 ,4198.00 ,4092.00 ,4118.00 ,2614316.00 ,750970.00 
2009-11-25,4129.00 ,4140.00 ,4103.00 ,4129.00 ,1586646.00 ,705540.00 
2009-11-26,4140.00 ,4157.00 ,4064.00 ,4077.00 ,1528990.00 ,624078.00 
2009-11-27,4052.00 ,4055.00 ,3915.00 ,3939.00 ,1439740.00 ,453332.00 
2009-11-30,4336.00 ,4404.00 ,4322.00 ,4375.00 ,3268228.00 ,514984.00 
2009-12-01,4390.00 ,4408.00 ,4331.00 ,4367.00 ,2929698.00 ,572052.00 
2009-12-02,4388.00 ,4409.00 ,4361.00 ,4377.00 ,2660750.00 ,636968.00 
2009-12-03,4383.00 ,4396.00 ,4366.00 ,4385.00 ,2102022.00 ,608046.00 
2009-12-04,4368.00 ,4381.00 ,4336.00 ,4374.00 ,2500528.00 ,641718.00 
2009-12-07,4354.00 ,4395.00 ,4354.00 ,4373.00 ,1983820.00 ,664010.00 
2009-12-08,4380.00 ,4385.00 ,4288.00 ,4318.00 ,2779118.00 ,732298.00 
2009-12-09,4284.00 ,4290.00 ,4246.00 ,4267.00 ,1871676.00 ,735304.00 
2009-12-10,4267.00 ,4337.00 ,4250.00 ,4334.00 ,3354396.00 ,839430.00 
2009-12-11,4350.00 ,4401.00 ,4350.00 ,4396.00 ,3160862.00 ,865224.00 
2009-12-14,4400.00 ,4433.00 ,4331.00 ,4430.00 ,2822038.00 ,956258.00 
2009-12-15,4430.00 ,4438.00 ,4384.00 ,4394.00 ,2691114.00 ,978684.00 
2009-12-16,4387.00 ,4419.00 ,4370.00 ,4392.00 ,1644196.00 ,970528.00 
2009-12-17,4415.00 ,4431.00 ,4375.00 ,4386.00 ,1735560.00 ,931778.00 
2009-12-18,4350.00 ,4389.00 ,4349.00 ,4379.00 ,1061746.00 ,852086.00 
2009-12-21,4389.00 ,4418.00 ,4372.00 ,4418.00 ,1170240.00 ,909188.00 
2009-12-22,4411.00 ,4438.00 ,4403.00 ,4405.00 ,1933556.00 ,916252.00 
2009-12-23,4410.00 ,4427.00 ,4393.00 ,4408.00 ,1166438.00 ,892398.00 
2009-12-24,4428.00 ,4478.00 ,4413.00 ,4461.00 ,1507386.00 ,1018962.00 
2009-12-25,4461.00 ,4478.00 ,4442.00 ,4459.00 ,1129794.00 ,957350.00 
2009-12-28,4465.00 ,4538.00 ,4463.00 ,4525.00 ,1346854.00 ,1028662.00 
2009-12-29,4525.00 ,4547.00 ,4488.00 ,4499.00 ,1430618.00 ,996206.00 
2009-12-30,4497.00 ,4515.00 ,4477.00 ,4486.00 ,973818.00 ,952476.00 
2009-12-31,4495.00 ,4518.00 ,4486.00 ,4511.00 ,976200.00 ,911846.00 
2010-01-04,4523.00 ,4610.00 ,4523.00 ,4579.00 ,1809996.00 ,965458.00 
2010-01-05,4592.00 ,4606.00 ,4572.00 ,4589.00 ,1320756.00 ,987708.00 
2010-01-06,4587.00 ,4635.00 ,4581.00 ,4622.00 ,1481228.00 ,1027884.00 
2010-01-07,4641.00 ,4650.00 ,4389.00 ,4489.00 ,2196160.00 ,932514.00 
2010-01-08,4505.00 ,4510.00 ,4412.00 ,4462.00 ,1520076.00 ,894544.00 
2010-01-11,4495.00 ,4518.00 ,4475.00 ,4516.00 ,1130570.00 ,939144.00 
2010-01-12,4505.00 ,4528.00 ,4480.00 ,4510.00 ,1176288.00 ,957810.00 
2010-01-13,4420.00 ,4460.00 ,4354.00 ,4418.00 ,1461688.00 ,906786.00 
2010-01-14,4450.00 ,4464.00 ,4430.00 ,4433.00 ,1076498.00 ,938680.00 
2010-01-15,4419.00 ,4436.00 ,4355.00 ,4368.00 ,1276950.00 ,939862.00 
2010-01-18,4339.00 ,4399.00 ,4310.00 ,4395.00 ,1148302.00 ,943604.00 
2010-01-19,4405.00 ,4418.00 ,4361.00 ,4382.00 ,1236092.00 ,888684.00 
2010-01-20,4392.00 ,4394.00 ,4341.00 ,4364.00 ,1243448.00 ,847790.00 
2010-01-21,4337.00 ,4366.00 ,4326.00 ,4352.00 ,960118.00 ,862226.00 
2010-01-22,4319.00 ,4335.00 ,4257.00 ,4288.00 ,1207020.00 ,856708.00 
2010-01-25,4280.00 ,4295.00 ,4265.00 ,4278.00 ,870946.00 ,874294.00 
2010-01-26,4286.00 ,4290.00 ,4258.00 ,4265.00 ,818680.00 ,852992.00 
2010-01-27,4275.00 ,4327.00 ,4265.00 ,4316.00 ,1452742.00 ,891916.00 
2010-01-28,4260.00 ,4319.00 ,4255.00 ,4293.00 ,1793390.00 ,914470.00 
2010-01-29,4281.00 ,4315.00 ,4276.00 ,4300.00 ,1234868.00 ,870164.00 
2010-02-01,4317.00 ,4334.00 ,4276.00 ,4295.00 ,1156486.00 ,861912.00 
2010-02-02,4316.00 ,4323.00 ,4126.00 ,4159.00 ,2453186.00 ,825676.00 
2010-02-03,4175.00 ,4188.00 ,4136.00 ,4180.00 ,1448904.00 ,802842.00 
2010-02-04,4150.00 ,4158.00 ,4093.00 ,4115.00 ,1152398.00 ,775898.00 
2010-02-05,4090.00 ,4110.00 ,4066.00 ,4109.00 ,849138.00 ,711780.00 
2010-02-08,4120.00 ,4139.00 ,4103.00 ,4129.00 ,577962.00 ,685168.00 
2010-02-09,4123.00 ,4166.00 ,4115.00 ,4157.00 ,617652.00 ,690518.00 
2010-02-10,4172.00 ,4219.00 ,4156.00 ,4198.00 ,732940.00 ,680758.00 
2010-02-11,4210.00 ,4236.00 ,4190.00 ,4229.00 ,497494.00 ,676876.00 
