update_date,open,high,low,close,volume,amt
2009-11-02,3926.97290 ,3926.97290 ,3926.97290 ,3926.97290 ,4506272.00000 ,174985428500.00000 
2009-11-03,3905.44210 ,3905.44210 ,3905.44210 ,3905.44210 ,4749578.00000 ,186538840800.00000 
2009-11-04,3922.12430 ,3922.12430 ,3922.12430 ,3922.12430 ,2918554.00000 ,114058630900.00000 
2009-11-05,3947.68890 ,3947.68890 ,3947.68890 ,3947.68890 ,2602376.00000 ,103177149800.00000 
2009-11-06,4012.72610 ,4012.72610 ,4012.72610 ,4012.72610 ,2788244.00000 ,112162576100.00000 
2009-11-09,4089.56620 ,4089.56620 ,4089.56620 ,4089.56620 ,3738850.00000 ,152977926300.00000 
2009-11-10,4079.16370 ,4079.16370 ,4079.16370 ,4079.16370 ,4928442.00000 ,202880099000.00000 
2009-11-11,4082.35590 ,4082.35590 ,4082.35590 ,4082.35590 ,4118524.00000 ,169440646900.00000 
2009-11-12,4064.25280 ,4064.25280 ,4064.25280 ,4064.25280 ,3448910.00000 ,140794039000.00000 
2009-11-13,4107.87290 ,4107.87290 ,4107.87290 ,4107.87290 ,3922212.00000 ,159910321400.00000 
2009-11-16,4112.08220 ,4112.08220 ,4112.08220 ,4112.08220 ,3310900.00000 ,137311214800.00000 
2009-11-17,4119.25400 ,4119.25400 ,4119.25400 ,4119.25400 ,2787892.00000 ,116456458500.00000 
2009-11-18,4143.73210 ,4143.73210 ,4143.73210 ,4143.73210 ,2277138.00000 ,95674074300.00000 
2009-11-19,4209.96520 ,4209.96520 ,4209.96520 ,4209.96520 ,4241100.00000 ,178349840700.00000 
2009-11-20,4199.71740 ,4199.71740 ,4199.71740 ,4199.71740 ,3246962.00000 ,136148894800.00000 
2009-11-23,4263.10220 ,4263.10220 ,4263.10220 ,4263.10220 ,3452362.00000 ,146193065600.00000 
2009-11-24,4215.61570 ,4215.61570 ,4215.61570 ,4215.61570 ,4100678.00000 ,174667197900.00000 
2009-11-25,4258.41750 ,4258.41750 ,4258.41750 ,4258.41750 ,2911704.00000 ,124459062100.00000 
2009-11-26,4245.14290 ,4245.14290 ,4245.14290 ,4245.14290 ,3618458.00000 ,156287366900.00000 
2009-11-27,4114.58500 ,4114.58500 ,4114.58500 ,4114.58500 ,4489744.00000 ,189228148900.00000 
2009-11-30,4190.70190 ,4190.70190 ,4190.70190 ,4190.70190 ,4127396.00000 ,177542579700.00000 
2009-12-01,4192.23050 ,4192.23050 ,4192.23050 ,4192.23050 ,3533184.00000 ,151906324400.00000 
2009-12-02,4219.81670 ,4219.81670 ,4219.81670 ,4219.81670 ,3107368.00000 ,134606527000.00000 
2009-12-03,4229.21420 ,4229.21420 ,4229.21420 ,4229.21420 ,2424830.00000 ,105133136100.00000 
2009-12-04,4231.76350 ,4231.76350 ,4231.76350 ,4231.76350 ,2757060.00000 ,119408636000.00000 
2009-12-07,4236.77780 ,4236.77780 ,4236.77780 ,4236.77780 ,2184190.00000 ,95036854400.00000 
2009-12-08,4201.22210 ,4201.22210 ,4201.22210 ,4201.22210 ,3184318.00000 ,136203487500.00000 
2009-12-09,4161.72150 ,4161.72150 ,4161.72150 ,4161.72150 ,2048940.00000 ,87010663700.00000 
2009-12-10,4228.99640 ,4228.99640 ,4228.99640 ,4228.99640 ,3581172.00000 ,153200854400.00000 
2009-12-11,4291.25480 ,4291.25480 ,4291.25480 ,4291.25480 ,3359176.00000 ,146536044200.00000 
2009-12-14,4328.92940 ,4328.92940 ,4328.92940 ,4328.92940 ,3006678.00000 ,131327387000.00000 
2009-12-15,4303.75530 ,4303.75530 ,4303.75530 ,4303.75530 ,2829612.00000 ,124463995600.00000 
2009-12-16,4308.68520 ,4308.68520 ,4308.68520 ,4308.68520 ,1727378.00000 ,75742380900.00000 
2009-12-17,4306.26560 ,4306.26560 ,4306.26560 ,4306.26560 ,1823286.00000 ,80075712200.00000 
2009-12-18,4299.20350 ,4299.20350 ,4299.20350 ,4299.20350 ,1128060.00000 ,49192650000.00000 
2009-12-21,4336.94140 ,4336.94140 ,4336.94140 ,4336.94140 ,1246578.00000 ,54582683400.00000 
2009-12-22,4333.79600 ,4333.79600 ,4333.79600 ,4333.79600 ,2026046.00000 ,89337913300.00000 
2009-12-23,4337.89730 ,4337.89730 ,4337.89730 ,4337.89730 ,1250948.00000 ,54986664100.00000 
2009-12-24,4394.76680 ,4394.76680 ,4394.76680 ,4394.76680 ,1600242.00000 ,70892569900.00000 
2009-12-25,4395.31230 ,4395.31230 ,4395.31230 ,4395.31230 ,1201308.00000 ,53474385800.00000 
2009-12-28,4464.17830 ,4464.17830 ,4464.17830 ,4464.17830 ,1450906.00000 ,65222815400.00000 
2009-12-29,4439.66180 ,4439.66180 ,4439.66180 ,4439.66180 ,1498642.00000 ,67516183099.99990 
2009-12-30,4427.18380 ,4427.18380 ,4427.18380 ,4427.18380 ,1032652.00000 ,46317953900.00000 
2009-12-31,4450.84950 ,4450.84950 ,4450.84950 ,4450.84950 ,1024594.00000 ,46034756900.00000 
2010-01-04,4517.99370 ,4517.99370 ,4517.99370 ,4517.99370 ,1920496.00000 ,87646924900.00000 
2010-01-05,4533.11560 ,4533.11560 ,4533.11560 ,4533.11560 ,1381968.00000 ,63297938600.00000 
2010-01-06,4572.93890 ,4572.93890 ,4572.93890 ,4572.93890 ,1586736.00000 ,73263799400.00000 
2010-01-07,4463.67160 ,4463.67160 ,4463.67160 ,4463.67160 ,2438390.00000 ,110695880800.00000 
2010-01-08,4455.07360 ,4455.07360 ,4455.07360 ,4455.07360 ,1759354.00000 ,78730815500.00000 
2010-01-11,4519.16630 ,4519.16630 ,4519.16630 ,4519.16630 ,1323994.00000 ,60100940800.00000 
2010-01-12,4513.42510 ,4513.42510 ,4513.42510 ,4513.42510 ,1360398.00000 ,61691527700.00000 
2010-01-13,4428.08280 ,4428.08280 ,4428.08280 ,4428.08280 ,1650242.00000 ,73273042500.00000 
2010-01-14,4444.40580 ,4444.40580 ,4444.40580 ,4444.40580 ,1181522.00000 ,52796306300.00000 
2010-01-15,4386.61750 ,4386.61750 ,4386.61750 ,4386.61750 ,1451816.00000 ,64140462400.00000 
2010-01-18,4413.63750 ,4413.63750 ,4413.63750 ,4413.63750 ,1288420.00000 ,56652954400.00000 
2010-01-19,4406.98730 ,4406.98730 ,4406.98730 ,4406.98730 ,1357038.00000 ,59811396100.00000 
2010-01-20,4389.28540 ,4389.28540 ,4389.28540 ,4389.28540 ,1371996.00000 ,60199904300.00000 
2010-01-21,4381.20010 ,4381.20010 ,4381.20010 ,4381.20010 ,1056880.00000 ,46171236200.00000 
2010-01-22,4311.27470 ,4311.27470 ,4311.27470 ,4311.27470 ,1389220.00000 ,60177679500.00000 
2010-01-25,4302.32430 ,4302.32430 ,4302.32430 ,4302.32430 ,1027912.00000 ,44373259700.00000 
2010-01-26,4294.10630 ,4294.10630 ,4294.10630 ,4294.10630 ,983040.00000 ,42412317300.00000 
2010-01-27,4340.72490 ,4340.72490 ,4340.72490 ,4340.72490 ,1603948.00000 ,69329915600.00000 
2010-01-28,4319.27680 ,4319.27680 ,4319.27680 ,4319.27680 ,1962838.00000 ,84691854900.00000 
2010-01-29,4329.00630 ,4329.00630 ,4329.00630 ,4329.00630 ,1334538.00000 ,57611077000.00000 
2010-02-01,4324.06400 ,4324.06400 ,4324.06400 ,4324.06400 ,1281612.00000 ,55352425500.00000 
2010-02-02,4200.48650 ,4200.48650 ,4200.48650 ,4200.48650 ,2971710.00000 ,126205871000.00000 
2010-02-03,4227.42700 ,4227.42700 ,4227.42700 ,4227.42700 ,1813120.00000 ,76529403600.00000 
2010-02-04,4168.88440 ,4168.88440 ,4168.88440 ,4168.88440 ,1397792.00000 ,58342041100.00000 
2010-02-05,4161.85030 ,4161.85030 ,4161.85030 ,4161.85030 ,1099704.00000 ,45697502400.00000 
2010-02-08,4183.59930 ,4183.59930 ,4183.59930 ,4183.59930 ,696212.00000 ,29038638400.00000 
2010-02-09,4208.87650 ,4208.87650 ,4208.87650 ,4208.87650 ,722978.00000 ,30197926400.00000 
2010-02-10,4264.15550 ,4264.15550 ,4264.15550 ,4264.15550 ,908752.00000 ,38583406200.00000 
2010-02-11,4288.27770 ,4288.27770 ,4288.27770 ,4288.27770 ,609954.00000 ,26027488100.00000 
2010-02-12,4357.57050 ,4357.57050 ,4357.57050 ,4357.57050 ,762264.00000 ,33040590600.00000 
2010-02-22,4313.65620 ,4313.65620 ,4313.65620 ,4313.65620 ,1311314.00000 ,56870358700.00000 
2010-02-23,4364.05510 ,4364.05510 ,4364.05510 ,4364.05510 ,1458096.00000 ,63247995900.00000 
2010-02-24,4345.81400 ,4345.81400 ,4345.81400 ,4345.81400 ,1369490.00000 ,59088148800.00000 
2010-02-25,4328.04600 ,4328.04600 ,4328.04600 ,4328.04600 ,1398622.00000 ,60905402000.00000 
2010-02-26,4353.97420 ,4353.97420 ,4353.97420 ,4353.97420 ,1150256.00000 ,50020961800.00000 
2010-03-01,4395.71940 ,4395.71940 ,4395.71940 ,4395.71940 ,1245640.00000 ,55650887100.00000 
2010-03-02,4351.83280 ,4351.83280 ,4351.83280 ,4351.83280 ,1300704.00000 ,58227664600.00000 
2010-03-03,4344.88170 ,4344.88170 ,4344.88170 ,4344.88170 ,1109502.00000 ,49911279000.00000 
2010-03-04,4326.00850 ,4326.00850 ,4326.00850 ,4326.00850 ,1393248.00000 ,62454191300.00000 
2010-03-05,4359.09300 ,4359.09300 ,4359.09300 ,4359.09300 ,1218974.00000 ,54457305700.00000 
2010-03-08,4426.09740 ,4426.09740 ,4426.09740 ,4426.09740 ,1371918.00000 ,62073778400.00000 
2010-03-09,4454.79050 ,4454.79050 ,4454.79050 ,4454.79050 ,1404174.00000 ,64236968300.00000 
2010-03-10,4482.74020 ,4482.74020 ,4482.74020 ,4482.74020 ,1683088.00000 ,77256833100.00000 
2010-03-11,4505.32950 ,4505.32950 ,4505.32950 ,4505.32950 ,2359172.00000 ,108847914100.00000 
2010-03-12,4519.30010 ,4519.30010 ,4519.30010 ,4519.30010 ,1599494.00000 ,74098677400.00000 
2010-03-15,4530.61580 ,4530.61580 ,4530.61580 ,4530.61580 ,1580464.00000 ,72913294700.00000 
2010-03-16,4680.29500 ,4680.29500 ,4680.29500 ,4680.29500 ,3539474.00000 ,165594192400.00000 
2010-03-17,4677.56880 ,4677.56880 ,4677.56880 ,4677.56880 ,3689148.00000 ,175123815100.00000 
2010-03-18,4647.98800 ,4647.98800 ,4647.98800 ,4647.98800 ,2263576.00000 ,106952860700.00000 
2010-03-19,4678.36740 ,4678.36740 ,4678.36740 ,4678.36740 ,1821724.00000 ,85996538700.00000 
2010-03-22,4696.14690 ,4696.14690 ,4696.14690 ,4696.14690 ,2224830.00000 ,105745437000.00000 
2010-03-23,4678.52980 ,4678.52980 ,4678.52980 ,4678.52980 ,1632664.00000 ,77405681500.00000 
2010-03-24,4714.22170 ,4714.22170 ,4714.22170 ,4714.22170 ,1936164.00000 ,91556020600.00000 
2010-03-25,4734.74440 ,4734.74440 ,4734.74440 ,4734.74440 ,1691996.00000 ,80456394400.00000 
2010-03-26,4741.75420 ,4741.75420 ,4741.75420 ,4741.75420 ,2787994.00000 ,133550243300.00000 
2010-03-29,4761.09550 ,4761.09550 ,4761.09550 ,4761.09550 ,1898772.00000 ,90787208700.00000 
2010-03-30,4718.54000 ,4718.54000 ,4718.54000 ,4718.54000 ,2067264.00000 ,98664241700.00000 
2010-03-31,4711.14160 ,4711.14160 ,4711.14160 ,4711.14160 ,1498642.00000 ,71098801400.00000 
2010-04-01,4711.11510 ,4711.11510 ,4711.11510 ,4711.11510 ,1506246.00000 ,71328530700.00000 
2010-04-02,4742.86030 ,4742.86030 ,4742.86030 ,4742.86030 ,1089424.00000 ,51805068200.00000 
2010-04-06,4782.36370 ,4782.36370 ,4782.36370 ,4782.36370 ,1380164.00000 ,66196575800.00000 
2010-04-07,4809.11240 ,4809.11240 ,4809.11240 ,4809.11240 ,1346900.00000 ,65041525700.00000 
2010-04-08,4777.04150 ,4777.04150 ,4777.04150 ,4777.04150 ,1216422.00000 ,58515734200.00000 
2010-04-09,4817.20720 ,4817.20720 ,4817.20720 ,4817.20720 ,1360422.00000 ,65624739500.00000 
2010-04-12,4843.57940 ,4843.57940 ,4843.57940 ,4843.57940 ,1612010.00000 ,78318569600.00000 
2010-04-13,4855.93330 ,4855.93330 ,4855.93330 ,4855.93330 ,1887262.00000 ,91700237600.00000 
2010-04-14,4835.51770 ,4835.51770 ,4835.51770 ,4835.51770 ,1868216.00000 ,90713262300.00000 
2010-04-15,4801.78560 ,4801.78560 ,4801.78560 ,4801.78560 ,2036176.00000 ,98295274500.00000 
2010-04-16,4821.84660 ,4821.84660 ,4821.84660 ,4821.84660 ,1719752.00000 ,82854842900.00000 
2010-04-19,4738.10860 ,4738.10860 ,4738.10860 ,4738.10860 ,2474686.00000 ,117964546300.00000 
2010-04-20,4758.27500 ,4758.27500 ,4758.27500 ,4758.27500 ,1721240.00000 ,81930455100.00000 
2010-04-21,4746.38700 ,4746.38700 ,4746.38700 ,4746.38700 ,1741110.00000 ,82729697100.00000 
2010-04-22,4724.27300 ,4724.27300 ,4724.27300 ,4724.27300 ,1407014.00000 ,66780724600.00000 
2010-04-23,4729.08650 ,4729.08650 ,4729.08650 ,4729.08650 ,1246124.00000 ,58984974900.00000 
2010-04-26,4723.35370 ,4723.35370 ,4723.35370 ,4723.35370 ,1284464.00000 ,60869214100.00000 
2010-04-27,4668.48840 ,4668.48840 ,4668.48840 ,4668.48840 ,1674246.00000 ,78485311500.00000 
2010-04-28,4581.71540 ,4581.71540 ,4581.71540 ,4581.71540 ,1900842.00000 ,87770001400.00000 
2010-04-29,4576.61480 ,4576.61480 ,4576.61480 ,4576.61480 ,1881532.00000 ,86508037600.00000 
2010-04-30,4627.55770 ,4627.55770 ,4627.55770 ,4627.55770 ,1798496.00000 ,82883012100.00000 
2010-05-04,4658.23320 ,4658.23320 ,4658.23320 ,4658.23320 ,2164596.00000 ,100666521800.00000 
2010-05-05,4645.76750 ,4645.76750 ,4645.76750 ,4645.76750 ,2311892.00000 ,107199083900.00000 
2010-05-06,4628.40820 ,4628.40820 ,4628.40820 ,4628.40820 ,2180220.00000 ,101426507500.00000 
2010-05-07,4538.59450 ,4538.59450 ,4538.59450 ,4538.59450 ,2522424.00000 ,115158414800.00000 
2010-05-10,4527.29400 ,4527.29400 ,4527.29400 ,4527.29400 ,2917508.00000 ,132093224200.00000 
2010-05-11,4473.03310 ,4473.03310 ,4473.03310 ,4473.03310 ,2837236.00000 ,127986803300.00000 
2010-05-12,4400.95970 ,4400.95970 ,4400.95970 ,4400.95970 ,3353762.00000 ,148312893800.00000 
2010-05-13,4395.30570 ,4395.30570 ,4395.30570 ,4395.30570 ,3120402.00000 ,137363365300.00000 
2010-05-14,4363.93440 ,4363.93440 ,4363.93440 ,4363.93440 ,2976976.00000 ,130838744600.00000 
2010-05-17,4182.58340 ,4182.58340 ,4182.58340 ,4182.58340 ,3372142.00000 ,142870601500.00000 
2010-05-18,4211.28420 ,4211.28420 ,4211.28420 ,4211.28420 ,4174388.00000 ,174519085900.00000 
2010-05-19,4224.81370 ,4224.81370 ,4224.81370 ,4224.81370 ,3914688.00000 ,164671571000.00000 
2010-05-20,4252.51220 ,4252.51220 ,4252.51220 ,4252.51220 ,3591082.00000 ,153276809200.00000 
2010-05-21,4230.28980 ,4230.28980 ,4230.28980 ,4230.28980 ,3549056.00000 ,149371887800.00000 
2010-05-24,4319.16690 ,4319.16690 ,4319.16690 ,4319.16690 ,2811692.00000 ,120500248400.00000 
2010-05-25,4267.01870 ,4267.01870 ,4267.01870 ,4267.01870 ,3132284.00000 ,134231001900.00000 
2010-05-26,4275.04000 ,4275.04000 ,4275.04000 ,4275.04000 ,2871220.00000 ,122699621200.00000 
2010-05-27,4272.78880 ,4272.78880 ,4272.78880 ,4272.78880 ,3157136.00000 ,134233820199.99900 
2010-05-28,4259.19110 ,4259.19110 ,4259.19110 ,4259.19110 ,2899348.00000 ,124085319000.00000 
2010-05-31,4218.80590 ,4218.80590 ,4218.80590 ,4218.80590 ,2476180.00000 ,104934898900.00000 
2010-06-01,4181.28720 ,4181.28720 ,4181.28720 ,4181.28720 ,2681684.00000 ,112388258500.00000 
2010-06-02,4188.91820 ,4188.91820 ,4188.91820 ,4188.91820 ,3219474.00000 ,134428208600.00000 
2010-06-03,4203.68960 ,4203.68960 ,4203.68960 ,4203.68960 ,2377938.00000 ,99839769000.00000 
2010-06-04,4184.91280 ,4184.91280 ,4184.91280 ,4184.91280 ,1588558.00000 ,66329174300.00000 
2010-06-07,4027.38290 ,4027.38290 ,4027.38290 ,4027.38290 ,3984480.00000 ,160958984700.00000 
2010-06-08,4067.03330 ,4067.03330 ,4067.03330 ,4067.03330 ,1813358.00000 ,73386945400.00000 
2010-06-09,4107.08780 ,4107.08780 ,4107.08780 ,4107.08780 ,1856006.00000 ,75675529400.00000 
2010-06-10,4089.16620 ,4089.16620 ,4089.16620 ,4089.16620 ,1522448.00000 ,62243349600.00000 
2010-06-11,4118.53300 ,4118.53300 ,4118.53300 ,4118.53300 ,1217904.00000 ,50114021200.00000 
2010-06-17,4120.33300 ,4120.33300 ,4120.33300 ,4120.33300 ,1049982.00000 ,43398510200.00000 
2010-06-18,4100.46180 ,4100.46180 ,4100.46180 ,4100.46180 ,1296976.00000 ,53362074000.00000 
2010-06-21,4173.64780 ,4173.64780 ,4173.64780 ,4173.64780 ,2452972.00000 ,101517276000.00000 
2010-06-22,4150.02060 ,4150.02060 ,4150.02060 ,4150.02060 ,1367266.00000 ,56712027800.00000 
2010-06-23,4095.08480 ,4095.08480 ,4095.08480 ,4095.08480 ,2482798.00000 ,101598272600.00000 
2010-06-24,4115.78750 ,4115.78750 ,4115.78750 ,4115.78750 ,1370814.00000 ,56253153100.00000 
2010-06-25,4098.25370 ,4098.25370 ,4098.25370 ,4098.25370 ,1137454.00000 ,46539236500.00000 
2010-06-28,4054.81070 ,4054.81070 ,4054.81070 ,4054.81070 ,2283546.00000 ,92804459600.00000 
2010-06-29,4012.81210 ,4012.81210 ,4012.81210 ,4012.81210 ,2067676.00000 ,82966026100.00000 
2010-06-30,4006.45100 ,4006.45100 ,4006.45100 ,4006.45100 ,1258374.00000 ,50072394400.00000 
2010-07-01,3985.36420 ,3985.36420 ,3985.36420 ,3985.36420 ,1371606.00000 ,54581133300.00000 
2010-07-02,4002.63290 ,4002.63290 ,4002.63290 ,4002.63290 ,2119382.00000 ,83942473200.00000 
2010-07-05,4019.63040 ,4019.63040 ,4019.63040 ,4019.63040 ,1699286.00000 ,67880315200.00000 
2010-07-06,4000.33190 ,4000.33190 ,4000.33190 ,4000.33190 ,1656714.00000 ,66336655300.00000 
2010-07-07,4000.64030 ,4000.64030 ,4000.64030 ,4000.64030 ,1239024.00000 ,49601954000.00000 
2010-07-08,3973.33430 ,3973.33430 ,3973.33430 ,3973.33430 ,1813894.00000 ,72322590800.00000 
2010-07-09,3994.74090 ,3994.74090 ,3994.74090 ,3994.74090 ,2143848.00000 ,84949548800.00000 
2010-07-12,4009.44820 ,4009.44820 ,4009.44820 ,4009.44820 ,1997230.00000 ,80329601000.00000 
2010-07-13,3983.03060 ,3983.03060 ,3983.03060 ,3983.03060 ,1725668.00000 ,69355685700.00000 
2010-07-14,3984.77550 ,3984.77550 ,3984.77550 ,3984.77550 ,2278990.00000 ,91980546900.00000 
2010-07-15,3982.44130 ,3982.44130 ,3982.44130 ,3982.44130 ,2054228.00000 ,82792685300.00000 
2010-07-16,3995.56860 ,3995.56860 ,3995.56860 ,3995.56860 ,1218312.00000 ,49064273500.00000 
