update_date,open,high,low,close,volume
2008/1/2,23186.91 ,23186.91 ,23186.91 ,23186.91 ,87012.00 
2008/1/3,23291.31 ,23291.31 ,23291.31 ,23291.31 ,94490.00 
2008/1/4,24158.51 ,24158.51 ,24158.51 ,24158.51 ,282444.00 
2008/1/7,23541.18 ,23541.18 ,23541.18 ,23541.18 ,188218.00 
2008/1/8,24067.20 ,24067.20 ,24067.20 ,24067.20 ,186306.00 
2008/1/9,24177.02 ,24177.02 ,24177.02 ,24177.02 ,128368.00 
2008/1/10,24003.70 ,24003.70 ,24003.70 ,24003.70 ,108582.00 
2008/1/11,24246.04 ,24246.04 ,24246.04 ,24246.04 ,145188.00 
2008/1/14,24487.32 ,24487.32 ,24487.32 ,24487.32 ,134412.00 
2008/1/15,24384.60 ,24384.60 ,24384.60 ,24384.60 ,138266.00 
2008/1/16,23692.02 ,23692.02 ,23692.02 ,23692.02 ,151502.00 
2008/1/17,23759.51 ,23759.51 ,23759.51 ,23759.51 ,152384.00 
2008/1/18,23454.00 ,23454.00 ,23454.00 ,23454.00 ,114814.00 
2008/1/21,23421.00 ,23421.00 ,23421.00 ,23421.00 ,115718.00 
2008/1/22,22730.07 ,22730.07 ,22730.07 ,22730.07 ,114320.00 
2008/1/23,23121.34 ,23121.34 ,23121.34 ,23121.34 ,179646.00 
2008/1/24,23286.80 ,23286.80 ,23286.80 ,23286.80 ,146254.00 
2008/1/25,23673.63 ,23673.63 ,23673.63 ,23673.63 ,154812.00 
2008/1/28,23366.48 ,23366.48 ,23366.48 ,23366.48 ,120800.00 
2008/1/29,23636.82 ,23636.82 ,23636.82 ,23636.82 ,121350.00 
2008/1/30,23556.93 ,23556.93 ,23556.93 ,23556.93 ,112642.00 
2008/1/31,23601.35 ,23601.35 ,23601.35 ,23601.35 ,71526.00 
2008/2/1,23879.85 ,23879.85 ,23879.85 ,23879.85 ,136156.00 
2008/2/4,24092.56 ,24092.56 ,24092.56 ,24092.56 ,85042.00 
2008/2/5,24116.90 ,24116.90 ,24116.90 ,24116.90 ,62008.00 
2008/2/13,24015.73 ,24015.73 ,24015.73 ,24015.73 ,86042.00 
2008/2/14,23827.73 ,23827.73 ,23827.73 ,23827.73 ,130972.00 
2008/2/15,23793.80 ,23793.80 ,23793.80 ,23793.80 ,107588.00 
2008/2/18,24211.35 ,24211.35 ,24211.35 ,24211.35 ,126546.00 
2008/2/19,24179.06 ,24179.06 ,24179.06 ,24179.06 ,119106.00 
2008/2/20,24122.70 ,24122.70 ,24122.70 ,24122.70 ,151180.00 
2008/2/21,24890.19 ,24890.19 ,24890.19 ,24890.19 ,249876.00 
2008/2/22,24707.66 ,24707.66 ,24707.66 ,24707.66 ,167422.00 
2008/2/25,24830.55 ,24830.55 ,24830.55 ,24830.55 ,139080.00 
2008/2/26,23952.93 ,23952.93 ,23952.93 ,23952.93 ,95294.00 
2008/2/27,23750.92 ,23750.92 ,23750.92 ,23750.92 ,186182.00 
2008/2/28,23779.53 ,23779.53 ,23779.53 ,23779.53 ,111942.00 
2008/2/29,24141.29 ,24141.29 ,24141.29 ,24141.29 ,152808.00 
2008/3/3,24448.57 ,24448.57 ,24448.57 ,24448.57 ,184586.00 
2008/3/4,23733.40 ,23733.40 ,23733.40 ,23733.40 ,179612.00 
2008/3/5,23401.16 ,23401.16 ,23401.16 ,23401.16 ,114430.00 
2008/3/6,23346.05 ,23346.05 ,23346.05 ,23346.05 ,123810.00 
2008/3/7,23229.19 ,23229.19 ,23229.19 ,23229.19 ,166834.00 
2008/3/10,23324.63 ,23324.63 ,23324.63 ,23324.63 ,235090.00 
