update_date,volume,position,position_diff,turn_over_rate
2009/3/27,360228,46944,,
2009/3/30,145888,49728,2784,52.4
2009/3/31,71002,45918,-3810,-18.64
2009/4/1,28388,42986,-2932,-9.68
2009/4/2,236480,70388,27402,8.63
2009/4/3,153874,77068,6680,23.04
2009/4/7,243464,102678,25610,9.51
2009/4/8,147714,93842,-8836,-16.72
2009/4/9,88100,96820,2978,29.58
2009/4/10,121774,102686,5866,20.76
2009/4/13,110892,112202,9516,11.65
2009/4/14,541858,153526,41324,13.11
2009/4/15,256590,154898,1372,187.02
2009/4/16,251234,172990,18092,13.89
2009/4/17,340950,223986,50996,6.69
2009/4/20,260904,242662,18676,13.97
2009/4/21,333156,244330,1668,199.73
2009/4/22,169038,237870,-6460,-26.17
2009/4/23,131110,238052,182,720.38
2009/4/24,102004,251366,13314,7.66
2009/4/27,102958,259882,8516,12.09
2009/4/28,97352,267374,7492,12.99
2009/4/29,102924,280628,13254,7.77
2009/4/30,249142,304374,23746,10.49
2009/5/4,575670,333112,28738,20.03
2009/5/5,176798,317136,-15976,-11.07
2009/5/6,104310,320716,3580,29.14
2009/5/7,151292,326384,5668,26.69
2009/5/8,104146,330440,4056,25.68
2009/5/11,337180,346724,16284,20.71
2009/5/12,194050,347022,298,651.17
2009/5/13,119000,347844,822,144.77
2009/5/14,140800,343940,-3904,-36.07
2009/5/15,132894,345766,1826,72.78
2009/5/18,105328,344404,-1362,-77.33
2009/5/19,95996,343220,-1184,-81.08
2009/5/20,119384,344576,1356,88.04
2009/5/21,118058,349972,5396,21.88
2009/5/22,60846,347812,-2160,-28.17
2009/5/25,96118,360718,12906,7.45
2009/5/26,114466,350168,-10550,-10.85
2009/5/27,46624,343886,-6282,-7.42
2009/6/1,194440,354262,10376,18.74
2009/6/2,200640,352100,-2162,-92.8
2009/6/3,105942,352774,674,157.18
2009/6/4,371940,372872,20098,18.51
2009/6/5,269288,354436,-18436,-14.61
2009/6/8,295768,358158,3722,79.46
2009/6/9,216332,354894,-3264,-66.28
2009/6/10,240044,359488,4594,52.25
2009/6/11,638952,390384,30896,20.68
2009/6/12,593530,368156,-22228,-26.7
2009/6/15,370066,359880,-8276,-44.72
2009/6/16,363330,358108,-1772,-205.04
2009/6/17,219252,355684,-2424,-90.45
2009/6/18,194002,344942,-10742,-18.06
2009/6/19,567686,373804,28862,19.67
2009/6/22,506902,384702,10898,46.51
2009/6/23,503470,393540,8838,56.97
2009/6/24,287118,403700,10160,28.26
2009/6/25,287590,409052,5352,53.74
2009/6/26,380966,433620,24568,15.51
2009/6/29,293528,408246,-25374,-11.57
2009/6/30,218656,402508,-5738,-38.11
2009/7/1,231074,435736,33228,6.95
2009/7/2,317248,465560,29824,10.64
2009/7/3,293702,453524,-12036,-24.4
2009/7/6,172134,462272,8748,19.68
2009/7/7,140088,465448,3176,44.11
2009/7/8,160412,449212,-16236,-9.88
2009/7/9,113150,444678,-4534,-24.96
2009/7/10,311404,466222,21544,14.45
2009/7/13,271126,465118,-1104,-245.59
2009/7/14,200484,467118,2000,100.24
2009/7/15,419780,518906,51788,8.11
2009/7/16,451608,536138,17232,26.21
2009/7/17,284588,554816,18678,15.24
2009/7/20,300870,544562,-10254,-29.34
2009/7/21,319988,521758,-22804,-14.03
2009/7/22,469112,527036,5278,88.88
2009/7/23,468044,532676,5640,82.99
2009/7/24,582142,567210,34534,16.86
2009/7/27,845948,554674,-12536,-67.48
2009/7/28,951614,567790,13116,72.55
2009/7/29,1820220,604956,37166,48.98
2009/7/30,1514618,635718,30762,49.24
2009/7/31,1664602,602706,-33012,-50.42
2009/8/3,1574716,585710,-16996,-92.65
2009/8/4,1780578,564020,-21690,-82.09
2009/8/5,2285304,606116,42096,54.29
2009/8/6,1857790,614120,8004,232.11
2009/8/7,2597808,689654,75534,34.39
2009/8/10,2703414,737444,47790,56.57
2009/8/11,1699688,761878,24434,69.56
2009/8/12,1805964,779946,18068,99.95
2009/8/13,1667900,806586,26640,62.61
2009/8/14,1966996,817026,10440,188.41
2009/8/17,2411666,875238,58212,41.43
2009/8/18,2092496,915330,40092,52.19
2009/8/19,2229280,1018284,102954,21.65
2009/8/20,3787488,1012176,-6108,-620.09
2009/8/21,4114156,848500,-163676,-25.14
2009/8/24,3313874,1028490,179990,18.41
2009/8/25,2763674,1058974,30484,90.66
2009/8/26,2983968,1071620,12646,235.96
2009/8/27,3070170,1049754,-21866,-140.41
2009/8/28,3139222,994782,-54972,-57.11
2009/8/31,2756956,1017030,22248,123.92
2009/9/1,3060992,1001678,-15352,-199.39
2009/9/2,2986130,1029340,27662,107.95
2009/9/3,3077588,1126062,96722,31.82
2009/9/4,2354964,1052878,-73184,-32.18
2009/9/7,2542632,1109718,56840,44.73
2009/9/8,3143754,1139772,30054,104.6
2009/9/9,3690112,1092756,-47016,-78.49
2009/9/10,3179564,1086964,-5792,-548.96
2009/9/11,2389394,1035844,-51120,-46.74
2009/9/14,2282328,1079356,43512,52.45
2009/9/15,2526982,1106858,27502,91.88
2009/9/16,3097676,1200872,94014,32.95
2009/9/17,3062482,1108206,-92666,-33.05
2009/9/18,2710656,1072832,-35374,-76.63
2009/9/21,2397944,1094544,21712,110.44
2009/9/22,1825560,1108230,13686,133.39
2009/9/23,2338702,1087062,-21168,-110.48
2009/9/24,2560490,1013626,-73436,-34.87
2009/9/25,2125280,975366,-38260,-55.55
2009/9/28,2623456,914002,-61364,-42.75
2009/9/29,2302948,859834,-54168,-42.51
2009/9/30,1524736,796028,-63806,-23.9
2009/10/9,1777818,955498,159470,11.15
2009/10/12,3208164,1317564,362066,8.86
2009/10/13,3255104,1410492,92928,35.03
2009/10/14,2119292,1369086,-41406,-51.18
2009/10/15,3699884,1438370,69284,53.4
2009/10/16,3593734,1397508,-40862,-87.95
2009/10/19,5248226,1272322,-125186,-41.92
2009/10/20,4652278,1296036,23714,196.18
2009/10/21,4512436,1419188,123152,36.64
2009/10/22,3981464,1277244,-141944,-28.05
2009/10/23,3428686,1303916,26672,128.55
2009/10/26,4135042,1345800,41884,98.73
2009/10/27,4584462,1303968,-41832,-109.59
2009/10/28,4377864,1353242,49274,88.85
2009/10/29,3904284,1323152,-30090,-129.75
2009/10/30,3885980,1296736,-26416,-147.11
2009/11/2,4506272,1469206,172470,26.13
2009/11/3,4749578,1418702,-50504,-94.04
2009/11/4,2918554,1385526,-33176,-87.97
2009/11/5,2602376,1414684,29158,89.25
2009/11/6,2788244,1532022,117338,23.76
2009/11/9,3738850,1606346,74324,50.3
2009/11/10,4928442,1619730,13384,368.23
2009/11/11,4118524,1536812,-82918,-49.67
2009/11/12,3448910,1530660,-6152,-560.62
2009/11/13,3922212,1594154,63494,61.77
2009/11/16,3310900,1585820,-8334,-397.28
2009/11/17,2787892,1589258,3438,810.91
2009/11/18,2277138,1533012,-56246,-40.49
2009/11/19,4241100,1619464,86452,49.06
2009/11/20,3246962,1584742,-34722,-93.51
2009/11/23,3452362,1664720,79978,43.17
2009/11/24,4100678,1565898,-98822,-41.5
