rank_1,company_name_1,sum_vol,sum_vol_chg,rank_2,company_name_2,hold_vol_buy,hold_vol_buy_chg,rank_3,company_name_3,hold_vol_sell,hold_vol_sell_chg,12,name,update_date
1,金瑞期货  ,2400.0,304.0,1,金瑞期货  ,3355.0,-250.0,1,金瑞期货  ,3580.0,-820.0,,cu1610,2016-10-10
2,上海中期  ,2240.0,428.0,2,迈科期货  ,1055.0,-360.0,2,五矿经易  ,3315.0,-210.0,,cu1610,2016-10-10
3,国泰君安  ,1620.0,1126.0,3,海通期货  ,1055.0,-430.0,3,迈科期货  ,1360.0,-695.0,,cu1610,2016-10-10
4,中信期货  ,1260.0,324.0,4,方正中期  ,1025.0,125.0,4,云晨期货  ,1205.0,-270.0,,cu1610,2016-10-10
5,迈科期货  ,1125.0,1012.0,5,国投安信  ,685.0,0.0,5,兴业期货  ,1175.0,15.0,,cu1610,2016-10-10
6,永安期货  ,1020.0,660.0,6,华泰期货  ,525.0,50.0,6,中信期货  ,565.0,-115.0,,cu1610,2016-10-10
7,海通期货  ,930.0,256.0,7,铜冠金源  ,470.0,-5.0,7,中信建投  ,320.0,-80.0,,cu1610,2016-10-10
8,兴业期货  ,895.0,571.0,8,弘业期货  ,460.0,-55.0,8,铜冠金源  ,270.0,-20.0,,cu1610,2016-10-10
9,云晨期货  ,810.0,289.0,9,银河期货  ,445.0,-135.0,9,广发期货  ,265.0,20.0,,cu1610,2016-10-10
10,华泰期货  ,665.0,271.0,10,中粮期货  ,425.0,-160.0,10,银河期货  ,265.0,-20.0,,cu1610,2016-10-10
11,宏源期货  ,640.0,50.0,11,永安期货  ,380.0,-265.0,11,海通期货  ,225.0,-200.0,,cu1610,2016-10-10
12,五矿经易  ,638.0,17.0,12,国信期货  ,370.0,0.0,12,中钢期货  ,190.0,-75.0,,cu1610,2016-10-10
13,铜冠金源  ,635.0,-401.0,13,大有期货  ,310.0,-95.0,13,福能期货  ,165.0,-10.0,,cu1610,2016-10-10
14,一德期货  ,465.0,273.0,14,中钢期货  ,300.0,-160.0,14,金元期货  ,145.0,10.0,,cu1610,2016-10-10
15,中钢期货  ,425.0,293.0,15,兴证期货  ,285.0,-10.0,15,鲁证期货  ,145.0,-22.0,,cu1610,2016-10-10
16,新湖期货  ,385.0,258.0,16,五矿经易  ,270.0,-68.0,16,大有期货  ,135.0,35.0,,cu1610,2016-10-10
17,方正中期  ,305.0,256.0,17,东海期货  ,265.0,40.0,17,北京首创  ,120.0,-200.0,,cu1610,2016-10-10
18,广发期货  ,305.0,213.0,18,通惠期货  ,225.0,-180.0,18,一德期货  ,120.0,-45.0,,cu1610,2016-10-10
19,安粮期货  ,290.0,205.0,19,一德期货  ,210.0,-120.0,19,国泰君安  ,115.0,90.0,,cu1610,2016-10-10
20,格林大华  ,270.0,154.0,20,光大期货  ,190.0,0.0,20,建信期货  ,100.0,0.0,,cu1610,2016-10-10
1,海通期货  ,10153.0,-10466.0,1,金瑞期货  ,6319.0,-14.0,1,金瑞期货  ,8464.0,-14.0,,cu1611,2016-10-10
2,中信期货  ,3367.0,-7983.0,2,银河期货  ,3295.0,-32.0,2,中信期货  ,4625.0,99.0,,cu1611,2016-10-10
3,中融汇信  ,2548.0,-468.0,3,方正中期  ,2607.0,365.0,3,五矿经易  ,4208.0,-784.0,,cu1611,2016-10-10
4,金瑞期货  ,2532.0,-861.0,4,迈科期货  ,2580.0,524.0,4,永安期货  ,2861.0,74.0,,cu1611,2016-10-10
5,国泰君安  ,2458.0,-2251.0,5,海通期货  ,2357.0,-56.0,5,华泰期货  ,2112.0,151.0,,cu1611,2016-10-10
6,五矿经易  ,2030.0,800.0,6,中信期货  ,2308.0,-28.0,6,方正中期  ,1928.0,-127.0,,cu1611,2016-10-10
7,东证期货  ,1917.0,-1007.0,7,国贸期货  ,2125.0,-134.0,7,中钢期货  ,1687.0,-563.0,,cu1611,2016-10-10
8,中辉期货  ,1732.0,-93.0,8,永安期货  ,2118.0,-50.0,8,鲁证期货  ,1567.0,-67.0,,cu1611,2016-10-10
9,华泰期货  ,1687.0,-2144.0,9,国泰君安  ,1791.0,-467.0,9,南华期货  ,1528.0,130.0,,cu1611,2016-10-10
10,铜冠金源  ,1566.0,-1345.0,10,国投安信  ,1705.0,484.0,10,迈科期货  ,1441.0,80.0,,cu1611,2016-10-10
11,宏源期货  ,1421.0,170.0,11,南华期货  ,1515.0,-262.0,11,信达期货  ,1285.0,-2.0,,cu1611,2016-10-10
12,南华期货  ,1256.0,-540.0,12,广发期货  ,1460.0,-83.0,12,中粮期货  ,1094.0,-111.0,,cu1611,2016-10-10
13,方正中期  ,1158.0,-216.0,13,一德期货  ,1312.0,66.0,13,中国国际  ,1005.0,15.0,,cu1611,2016-10-10
14,兴证期货  ,1155.0,-769.0,14,兴证期货  ,1293.0,-476.0,14,东吴期货  ,989.0,-29.0,,cu1611,2016-10-10
15,大有期货  ,1054.0,555.0,15,铜冠金源  ,1172.0,-17.0,15,国金期货  ,974.0,5.0,,cu1611,2016-10-10
16,国投安信  ,1000.0,-290.0,16,浙商期货  ,1114.0,46.0,16,海通期货  ,966.0,-117.0,,cu1611,2016-10-10
17,永安期货  ,930.0,-475.0,17,弘业期货  ,1059.0,-167.0,17,兴业期货  ,951.0,-142.0,,cu1611,2016-10-10
18,上海中期  ,849.0,-1309.0,18,鲁证期货  ,1059.0,133.0,18,铜冠金源  ,911.0,53.0,,cu1611,2016-10-10
19,光大期货  ,843.0,-802.0,19,五矿经易  ,1038.0,56.0,19,国投安信  ,867.0,-10.0,,cu1611,2016-10-10
20,银河期货  ,813.0,-850.0,20,招商期货  ,941.0,-41.0,20,东海期货  ,811.0,-13.0,,cu1611,2016-10-10
1,海通期货  ,8180.0,-6888.0,1,金瑞期货  ,8125.0,466.0,1,金瑞期货  ,10978.0,235.0,,cu1612,2016-10-10
2,中信期货  ,7049.0,2244.0,2,海通期货  ,6748.0,-167.0,2,华泰期货  ,7241.0,-206.0,,cu1612,2016-10-10
3,中融汇信  ,3073.0,-1170.0,3,中信期货  ,6133.0,273.0,3,五矿经易  ,5822.0,-160.0,,cu1612,2016-10-10
4,金瑞期货  ,2447.0,-624.0,4,国泰君安  ,3064.0,117.0,4,迈科期货  ,4713.0,54.0,,cu1612,2016-10-10
5,铜冠金源  ,2262.0,-505.0,5,云晨期货  ,2789.0,-156.0,5,浙商期货  ,4216.0,-30.0,,cu1612,2016-10-10
6,东证期货  ,2242.0,-700.0,6,弘业期货  ,2714.0,-54.0,6,中信期货  ,3795.0,54.0,,cu1612,2016-10-10
7,南华期货  ,2200.0,910.0,7,广发期货  ,2335.0,6.0,7,方正中期  ,2600.0,110.0,,cu1612,2016-10-10
8,盛达期货  ,1927.0,1919.0,8,方正中期  ,2211.0,204.0,8,铜冠金源  ,2274.0,126.0,,cu1612,2016-10-10
9,永安期货  ,1709.0,285.0,9,铜冠金源  ,2162.0,160.0,9,兴业期货  ,2083.0,-432.0,,cu1612,2016-10-10
10,方正中期  ,1654.0,-104.0,10,建信期货  ,2135.0,-1094.0,10,南华期货  ,2033.0,-176.0,,cu1612,2016-10-10
11,中辉期货  ,1363.0,-912.0,11,五矿经易  ,1955.0,195.0,11,中粮期货  ,1954.0,9.0,,cu1612,2016-10-10
12,国投安信  ,1341.0,778.0,12,南华期货  ,1807.0,-838.0,12,银河期货  ,1797.0,67.0,,cu1612,2016-10-10
13,申万期货  ,1338.0,-257.0,13,银河期货  ,1757.0,36.0,13,大地期货  ,1564.0,31.0,,cu1612,2016-10-10
14,华泰期货  ,1325.0,-905.0,14,申万期货  ,1630.0,-50.0,14,同信久恒  ,1510.0,25.0,,cu1612,2016-10-10
15,中粮期货  ,1322.0,838.0,15,迈科期货  ,1587.0,93.0,15,海通期货  ,1452.0,-33.0,,cu1612,2016-10-10
16,兴证期货  ,1196.0,-42.0,16,东证期货  ,1466.0,257.0,16,国投安信  ,1431.0,52.0,,cu1612,2016-10-10
17,建信期货  ,1172.0,518.0,17,中原期货  ,1412.0,-2.0,17,鲁证期货  ,1398.0,6.0,,cu1612,2016-10-10
18,五矿经易  ,1171.0,-46.0,18,永安期货  ,1409.0,-591.0,18,云晨期货  ,1232.0,-115.0,,cu1612,2016-10-10
19,国泰君安  ,1159.0,-546.0,19,中粮期货  ,1286.0,897.0,19,永安期货  ,1185.0,-180.0,,cu1612,2016-10-10
20,光大期货  ,1098.0,578.0,20,国投安信  ,1165.0,-137.0,20,东海期货  ,1176.0,-10.0,,cu1612,2016-10-10
1,海通期货  ,4904.0,-921.0,1,广发期货  ,2745.0,-437.0,1,国投安信  ,3171.0,425.0,,cu1701,2016-10-10
