update_date,open,high,low,close,volume
2008/1/2,3929.91 ,3929.91 ,3929.91 ,3929.91 ,407048.00 
2008/1/3,3901.47 ,3901.47 ,3901.47 ,3901.47 ,470682.00 
2008/1/4,3967.62 ,3967.62 ,3967.62 ,3967.62 ,687536.00 
2008/1/7,3991.15 ,3991.15 ,3991.15 ,3991.15 ,626118.00 
2008/1/8,3986.43 ,3986.43 ,3986.43 ,3986.43 ,631288.00 
2008/1/9,3980.00 ,3980.00 ,3980.00 ,3980.00 ,480290.00 
2008/1/10,4022.56 ,4022.56 ,4022.56 ,4022.56 ,800732.00 
2008/1/11,3973.44 ,3973.44 ,3973.44 ,3973.44 ,520978.00 
2008/1/14,3956.53 ,3956.53 ,3956.53 ,3956.53 ,350572.00 
2008/1/15,3941.40 ,3941.40 ,3941.40 ,3941.40 ,656830.00 
2008/1/16,3804.69 ,3804.69 ,3804.69 ,3804.69 ,522372.00 
2008/1/17,3794.66 ,3794.66 ,3794.66 ,3794.66 ,846890.00 
2008/1/18,3814.96 ,3814.96 ,3814.96 ,3814.96 ,676208.00 
2008/1/21,3776.49 ,3776.49 ,3776.49 ,3776.49 ,557426.00 
2008/1/22,3704.96 ,3704.96 ,3704.96 ,3704.96 ,695574.00 
2008/1/23,3734.23 ,3734.23 ,3734.23 ,3734.23 ,500886.00 
2008/1/24,3749.14 ,3749.14 ,3749.14 ,3749.14 ,372652.00 
2008/1/25,3762.07 ,3762.07 ,3762.07 ,3762.07 ,288024.00 
2008/1/28,3823.13 ,3823.13 ,3823.13 ,3823.13 ,651484.00 
2008/1/29,3830.14 ,3830.14 ,3830.14 ,3830.14 ,447554.00 
2008/1/30,3814.00 ,3814.00 ,3814.00 ,3814.00 ,348328.00 
2008/1/31,3841.97 ,3841.97 ,3841.97 ,3841.97 ,328570.00 
2008/2/1,3880.40 ,3880.40 ,3880.40 ,3880.40 ,370536.00 
2008/2/4,3871.25 ,3871.25 ,3871.25 ,3871.25 ,331218.00 
2008/2/5,3871.77 ,3871.77 ,3871.77 ,3871.77 ,261532.00 
2008/2/13,4011.80 ,4011.80 ,4011.80 ,4011.80 ,559296.00 
2008/2/14,4051.98 ,4051.98 ,4051.98 ,4051.98 ,784974.00 
2008/2/15,4185.19 ,4185.19 ,4185.19 ,4185.19 ,1508942.00 
2008/2/18,4320.91 ,4320.91 ,4320.91 ,4320.91 ,451660.00 
2008/2/19,4418.61 ,4418.61 ,4418.61 ,4418.61 ,1638252.00 
2008/2/20,4535.90 ,4535.90 ,4535.90 ,4535.90 ,1610128.00 
2008/2/21,4648.55 ,4648.55 ,4648.55 ,4648.55 ,2079932.00 
2008/2/22,4589.52 ,4589.52 ,4589.52 ,4589.52 ,1912606.00 
2008/2/25,4489.45 ,4489.45 ,4489.45 ,4489.45 ,2466578.00 
2008/2/26,4487.90 ,4487.90 ,4487.90 ,4487.90 ,1886398.00 
2008/2/27,4501.46 ,4501.46 ,4501.46 ,4501.46 ,1899628.00 
2008/2/28,4488.58 ,4488.58 ,4488.58 ,4488.58 ,1603158.00 
2008/2/29,4592.21 ,4592.21 ,4592.21 ,4592.21 ,1793018.00 
2008/3/3,4748.35 ,4748.35 ,4748.35 ,4748.35 ,1158532.00 
2008/3/4,4618.81 ,4618.81 ,4618.81 ,4618.81 ,2123656.00 
2008/3/5,4528.40 ,4528.40 ,4528.40 ,4528.40 ,1428258.00 
2008/3/6,4467.87 ,4467.87 ,4467.87 ,4467.87 ,1674638.00 
2008/3/7,4354.93 ,4354.93 ,4354.93 ,4354.93 ,1354128.00 
2008/3/10,4397.30 ,4397.30 ,4397.30 ,4397.30 ,2074598.00 
2008/3/11,4431.22 ,4431.22 ,4431.22 ,4431.22 ,1192478.00 
2008/3/12,4249.08 ,4249.08 ,4249.08 ,4249.08 ,1535830.00 
2008/3/13,4254.58 ,4254.58 ,4254.58 ,4254.58 ,1623886.00 
2008/3/14,4277.01 ,4277.01 ,4277.01 ,4277.01 ,1312376.00 
2008/3/17,4121.51 ,4121.51 ,4121.51 ,4121.51 ,1314292.00 
2008/3/18,3981.04 ,3981.04 ,3981.04 ,3981.04 ,1039642.00 
2008/3/19,4003.57 ,4003.57 ,4003.57 ,4003.57 ,1178896.00 
2008/3/20,4026.60 ,4026.60 ,4026.60 ,4026.60 ,1823262.00 
2008/3/21,4053.37 ,4053.37 ,4053.37 ,4053.37 ,1155440.00 
2008/3/24,3979.24 ,3979.24 ,3979.24 ,3979.24 ,1169892.00 
2008/3/25,4040.02 ,4040.02 ,4040.02 ,4040.02 ,1540030.00 
2008/3/26,3992.52 ,3992.52 ,3992.52 ,3992.52 ,1185392.00 
2008/3/27,3985.01 ,3985.01 ,3985.01 ,3985.01 ,1341076.00 
2008/3/28,3935.42 ,3935.42 ,3935.42 ,3935.42 ,1238104.00 
2008/3/31,3926.66 ,3926.66 ,3926.66 ,3926.66 ,1139848.00 
2008/4/1,3788.09 ,3788.09 ,3788.09 ,3788.09 ,1956558.00 
2008/4/2,3803.86 ,3803.86 ,3803.86 ,3803.86 ,1435496.00 
2008/4/3,3769.71 ,3769.71 ,3769.71 ,3769.71 ,1696318.00 
2008/4/7,3813.61 ,3813.61 ,3813.61 ,3813.61 ,1799146.00 
2008/4/8,3796.19 ,3796.19 ,3796.19 ,3796.19 ,1739176.00 
2008/4/9,3867.34 ,3867.34 ,3867.34 ,3867.34 ,2011968.00 
2008/4/10,3862.78 ,3862.78 ,3862.78 ,3862.78 ,1745448.00 
2008/4/11,3790.85 ,3790.85 ,3790.85 ,3790.85 ,1396548.00 
2008/4/14,3831.47 ,3831.47 ,3831.47 ,3831.47 ,1578446.00 
2008/4/15,3880.64 ,3880.64 ,3880.64 ,3880.64 ,1869218.00 
2008/4/16,3964.14 ,3964.14 ,3964.14 ,3964.14 ,2758044.00 
2008/4/17,3914.29 ,3914.29 ,3914.29 ,3914.29 ,2111876.00 
2008/4/18,3870.68 ,3870.68 ,3870.68 ,3870.68 ,2363652.00 
2008/4/21,3740.68 ,3740.68 ,3740.68 ,3740.68 ,543308.00 
2008/4/22,3626.27 ,3626.27 ,3626.27 ,3626.27 ,1855626.00 
2008/4/23,3648.41 ,3648.41 ,3648.41 ,3648.41 ,1700310.00 
2008/4/24,3688.70 ,3688.70 ,3688.70 ,3688.70 ,1597306.00 
2008/4/25,3667.71 ,3667.71 ,3667.71 ,3667.71 ,1935912.00 
2008/4/28,3731.06 ,3731.06 ,3731.06 ,3731.06 ,1618256.00 
2008/4/29,3708.97 ,3708.97 ,3708.97 ,3708.97 ,1257430.00 
2008/4/30,3666.16 ,3666.16 ,3666.16 ,3666.16 ,1243396.00 
2008/5/5,3724.40 ,3724.40 ,3724.40 ,3724.40 ,1256158.00 
2008/5/6,3814.84 ,3814.84 ,3814.84 ,3814.84 ,2032312.00 
2008/5/7,3753.15 ,3753.15 ,3753.15 ,3753.15 ,1966314.00 
2008/5/8,3729.52 ,3729.52 ,3729.52 ,3729.52 ,1699632.00 
2008/5/9,3727.13 ,3727.13 ,3727.13 ,3727.13 ,1132024.00 
2008/5/12,3794.23 ,3794.23 ,3794.23 ,3794.23 ,1602106.00 
2008/5/13,3766.88 ,3766.88 ,3766.88 ,3766.88 ,1118808.00 
2008/5/14,3718.61 ,3718.61 ,3718.61 ,3718.61 ,882628.00 
2008/5/15,3753.95 ,3753.95 ,3753.95 ,3753.95 ,992014.00 
2008/5/16,3749.41 ,3749.41 ,3749.41 ,3749.41 ,1090988.00 
2008/5/19,3735.38 ,3735.38 ,3735.38 ,3735.38 ,779700.00 
2008/5/20,3686.62 ,3686.62 ,3686.62 ,3686.62 ,859860.00 
2008/5/21,3698.84 ,3698.84 ,3698.84 ,3698.84 ,760496.00 
2008/5/22,3666.85 ,3666.85 ,3666.85 ,3666.85 ,957816.00 
2008/5/23,3685.28 ,3685.28 ,3685.28 ,3685.28 ,652258.00 
2008/5/26,3741.03 ,3741.03 ,3741.03 ,3741.03 ,1264706.00 
2008/5/27,3730.75 ,3730.75 ,3730.75 ,3730.75 ,960858.00 
2008/5/28,3780.07 ,3780.07 ,3780.07 ,3780.07 ,1237422.00 
2008/5/29,3750.35 ,3750.35 ,3750.35 ,3750.35 ,1288752.00 
2008/5/30,3750.43 ,3750.43 ,3750.43 ,3750.43 ,1366198.00 
2008/6/2,3767.40 ,3767.40 ,3767.40 ,3767.40 ,1067774.00 
2008/6/3,3758.08 ,3758.08 ,3758.08 ,3758.08 ,890496.00 
2008/6/4,3757.75 ,3757.75 ,3757.75 ,3757.75 ,668384.00 
2008/6/5,3773.35 ,3773.35 ,3773.35 ,3773.35 ,688850.00 
2008/6/6,3788.13 ,3788.13 ,3788.13 ,3788.13 ,1327590.00 
2008/6/10,3771.42 ,3771.42 ,3771.42 ,3771.42 ,629182.00 
2008/6/11,3779.93 ,3779.93 ,3779.93 ,3779.93 ,766688.00 
2008/6/12,3783.41 ,3783.41 ,3783.41 ,3783.41 ,971198.00 
2008/6/13,3781.88 ,3781.88 ,3781.88 ,3781.88 ,933784.00 
2008/6/16,3780.63 ,3780.63 ,3780.63 ,3780.63 ,608538.00 
2008/6/17,3789.88 ,3789.88 ,3789.88 ,3789.88 ,579460.00 
2008/6/18,3918.87 ,3918.87 ,3918.87 ,3918.87 ,1887908.00 
2008/6/19,3828.97 ,3828.97 ,3828.97 ,3828.97 ,1729392.00 
2008/6/20,3799.58 ,3799.58 ,3799.58 ,3799.58 ,867788.00 
2008/6/23,3783.53 ,3783.53 ,3783.53 ,3783.53 ,706362.00 
2008/6/24,3642.58 ,3642.58 ,3642.58 ,3642.58 ,1140554.00 
2008/6/25,3637.00 ,3637.00 ,3637.00 ,3637.00 ,1436520.00 
2008/6/26,3654.85 ,3654.85 ,3654.85 ,3654.85 ,774512.00 
2008/6/27,3653.35 ,3653.35 ,3653.35 ,3653.35 ,688232.00 
2008/6/30,3663.57 ,3663.57 ,3663.57 ,3663.57 ,599310.00 
2008/7/1,3664.52 ,3664.52 ,3664.52 ,3664.52 ,909140.00 
2008/7/2,3680.59 ,3680.59 ,3680.59 ,3680.59 ,682416.00 
2008/7/3,3639.98 ,3639.98 ,3639.98 ,3639.98 ,693486.00 
2008/7/4,3574.89 ,3574.89 ,3574.89 ,3574.89 ,1082838.00 
