update_date,open,high,low,close,volume
2012/7/24,2465.14 ,2465.14 ,2465.14 ,2465.14 ,490740.00 
2012/7/25,2465.54 ,2465.54 ,2465.54 ,2465.54 ,180600.00 
2012/7/26,2471.96 ,2471.96 ,2471.96 ,2471.96 ,255276.00 
2012/7/27,2484.71 ,2484.71 ,2484.71 ,2484.71 ,252966.00 
2012/7/30,2499.21 ,2499.21 ,2499.21 ,2499.21 ,372838.00 
2012/7/31,2488.08 ,2488.08 ,2488.08 ,2488.08 ,132200.00 
2012/8/1,2487.10 ,2487.10 ,2487.10 ,2487.10 ,247634.00 
2012/8/2,2467.28 ,2467.28 ,2467.28 ,2467.28 ,184512.00 
2012/8/3,2459.55 ,2459.55 ,2459.55 ,2459.55 ,153060.00 
2012/8/6,2464.24 ,2464.24 ,2464.24 ,2464.24 ,113814.00 
2012/8/7,2475.34 ,2475.34 ,2475.34 ,2475.34 ,138270.00 
2012/8/8,2465.43 ,2465.43 ,2465.43 ,2465.43 ,92270.00 
2012/8/9,2477.75 ,2477.75 ,2477.75 ,2477.75 ,99184.00 
2012/8/10,2473.64 ,2473.64 ,2473.64 ,2473.64 ,118350.00 
2012/8/13,2480.80 ,2480.80 ,2480.80 ,2480.80 ,322442.00 
2012/8/14,2484.84 ,2484.84 ,2484.84 ,2484.84 ,226924.00 
2012/8/15,2519.79 ,2519.79 ,2519.79 ,2519.79 ,576094.00 
2012/8/16,2513.57 ,2513.57 ,2513.57 ,2513.57 ,218174.00 
2012/8/17,2521.65 ,2521.65 ,2521.65 ,2521.65 ,164258.00 
2012/8/20,2536.96 ,2536.96 ,2536.96 ,2536.96 ,250212.00 
2012/8/21,2534.53 ,2534.53 ,2534.53 ,2534.53 ,214230.00 
2012/8/22,2530.67 ,2530.67 ,2530.67 ,2530.67 ,158774.00 
2012/8/23,2534.39 ,2534.39 ,2534.39 ,2534.39 ,182772.00 
2012/8/24,2529.89 ,2529.89 ,2529.89 ,2529.89 ,116722.00 
2012/8/27,2548.57 ,2548.57 ,2548.57 ,2548.57 ,238180.00 
2012/8/28,2544.61 ,2544.61 ,2544.61 ,2544.61 ,161122.00 
2012/8/29,2532.37 ,2532.37 ,2532.37 ,2532.37 ,153914.00 
2012/8/30,2541.23 ,2541.23 ,2541.23 ,2541.23 ,99860.00 
2012/8/31,2544.28 ,2544.28 ,2544.28 ,2544.28 ,133310.00 
2012/9/3,2554.52 ,2554.52 ,2554.52 ,2554.52 ,151526.00 
2012/9/4,2545.95 ,2545.95 ,2545.95 ,2545.95 ,97224.00 
2012/9/5,2532.99 ,2532.99 ,2532.99 ,2532.99 ,92168.00 
2012/9/6,2521.15 ,2521.15 ,2521.15 ,2521.15 ,127370.00 
2012/9/7,2530.66 ,2530.66 ,2530.66 ,2530.66 ,105170.00 
2012/9/10,2550.16 ,2550.16 ,2550.16 ,2550.16 ,117144.00 
2012/9/11,2547.09 ,2547.09 ,2547.09 ,2547.09 ,131170.00 
2012/9/12,2555.29 ,2555.29 ,2555.29 ,2555.29 ,114540.00 
2012/9/13,2574.65 ,2574.65 ,2574.65 ,2574.65 ,402166.00 
2012/9/14,2578.34 ,2578.34 ,2578.34 ,2578.34 ,218170.00 
2012/9/17,2566.88 ,2566.88 ,2566.88 ,2566.88 ,347180.00 
2012/9/18,2563.33 ,2563.33 ,2563.33 ,2563.33 ,144984.00 
2012/9/19,2580.40 ,2580.40 ,2580.40 ,2580.40 ,158362.00 
2012/9/20,2589.87 ,2589.87 ,2589.87 ,2589.87 ,202388.00 
2012/9/21,2579.07 ,2579.07 ,2579.07 ,2579.07 ,155934.00 
2012/9/24,2577.08 ,2577.08 ,2577.08 ,2577.08 ,126622.00 
2012/9/25,2559.25 ,2559.25 ,2559.25 ,2559.25 ,159060.00 
2012/9/26,2523.32 ,2523.32 ,2523.32 ,2523.32 ,250156.00 
2012/9/27,2488.62 ,2488.62 ,2488.62 ,2488.62 ,280804.00 
2012/9/28,2481.23 ,2481.23 ,2481.23 ,2481.23 ,193174.00 
2012/10/8,2489.04 ,2489.04 ,2489.04 ,2489.04 ,124598.00 
2012/10/9,2508.31 ,2508.31 ,2508.31 ,2508.31 ,170296.00 
2012/10/10,2514.88 ,2514.88 ,2514.88 ,2514.88 ,156540.00 
2012/10/11,2518.51 ,2518.51 ,2518.51 ,2518.51 ,136932.00 
2012/10/12,2517.84 ,2517.84 ,2517.84 ,2517.84 ,105958.00 
2012/10/15,2501.07 ,2501.07 ,2501.07 ,2501.07 ,174818.00 
2012/10/16,2513.26 ,2513.26 ,2513.26 ,2513.26 ,126112.00 
2012/10/17,2517.05 ,2517.05 ,2517.05 ,2517.05 ,82348.00 
2012/10/18,2517.39 ,2517.39 ,2517.39 ,2517.39 ,133830.00 
2012/10/19,2514.43 ,2514.43 ,2514.43 ,2514.43 ,75754.00 
2012/10/22,2522.64 ,2522.64 ,2522.64 ,2522.64 ,101190.00 
2012/10/23,2513.62 ,2513.62 ,2513.62 ,2513.62 ,111068.00 
2012/10/24,2517.28 ,2517.28 ,2517.28 ,2517.28 ,228876.00 
2012/10/25,2522.59 ,2522.59 ,2522.59 ,2522.59 ,135006.00 
2012/10/26,2511.81 ,2511.81 ,2511.81 ,2511.81 ,115794.00 
2012/10/29,2512.07 ,2512.07 ,2512.07 ,2512.07 ,129050.00 
2012/10/30,2506.63 ,2506.63 ,2506.63 ,2506.63 ,156490.00 
2012/10/31,2501.60 ,2501.60 ,2501.60 ,2501.60 ,126760.00 
