update_date,close
2010/11/19,81.76
2010/11/22,81.42
2010/11/23,80.91
2010/11/24,84.16
2010/11/25,84.1
2010/11/26,83.89
2010/11/29,85.77
2010/11/30,83.65
2010/12/1,86.8
2010/12/2,87.98
2010/12/3,89.43
2010/12/6,88.74
2010/12/7,88.2
2010/12/8,88.53
2010/12/9,88.37
2010/12/10,87.72
2010/12/13,88.23
2010/12/14,88.24
2010/12/15,88.47
2010/12/16,87.83
2010/12/17,88.01
2010/12/20,89.15
2010/12/21,89.86
2010/12/22,90.56
2010/12/23,91.52
2010/12/24,90.89
2010/12/29,90.95
2010/12/30,89.46
2010/12/31,91.31
2011/1/4,89.28
2011/1/5,90.5
2011/1/6,88.2
2011/1/7,88.39
2011/1/10,89.36
2011/1/11,91.25
2011/1/12,91.84
2011/1/13,90.85
2011/1/14,91.47
2011/1/17,91.08
2011/1/18,91.3
2011/1/19,90.84
2011/1/20,89.37
2011/1/21,89.11
2011/1/24,87.69
2011/1/25,86.19
2011/1/26,87.61
2011/1/27,85.34
2011/1/28,89.43
2011/1/31,92.1
2011/2/1,90.4
2011/2/2,90.92
2011/2/3,90.58
2011/2/4,89.13
2011/2/7,87.42
2011/2/8,87.41
2011/2/9,86.73
2011/2/10,87.78
2011/2/11,85.38
2011/2/14,84.86
2011/2/15,84.36
2011/2/16,85.02
2011/2/17,86.46
2011/2/18,86.25
2011/2/21,97.5
2011/2/22,95.75
2011/2/23,98.85
2011/2/24,96.76
2011/2/25,98.17
2011/2/28,96.99
2011/3/1,100.6
2011/3/2,102.4
2011/3/3,101.66
2011/3/4,104.4
2011/3/7,104.99
2011/3/8,104.66
2011/3/9,104.41
2011/3/10,102.47
2011/3/11,100.54
2011/3/14,101.65
2011/3/15,97.17
2011/3/16,97.85
2011/3/17,101.68
2011/3/18,101.54
2011/3/21,102.34
2011/3/22,0
2011/3/23,105.58
2011/3/24,105.62
2011/3/25,105.57
2011/3/28,103.87
2011/3/29,104.45
2011/3/30,104.39
2011/3/31,106.65
2011/4/1,108.4
2011/4/4,108.18
2011/4/5,108.02
2011/4/6,108.52
2011/4/7,110.41
2011/4/8,113.18
2011/4/11,108.92
2011/4/12,106.1
2011/4/13,107.39
2011/4/14,108.45
2011/4/15,109.78
2011/4/18,107.07
2011/4/19,108.33
2011/4/20,111.4
2011/4/21,112.33
2011/4/26,111.9
2011/4/27,113.07
2011/4/28,112.81
2011/5/3,110.81
2011/5/4,108.76
2011/5/5,99.77
2011/5/6,97.81
2011/5/9,102.3
2011/5/10,103.65
2011/5/11,98.63
2011/5/12,95.71
2011/5/13,99.4
2011/5/16,97
2011/5/17,96.45
2011/5/18,99.79
2011/5/19,98.34
2011/5/20,99.85
2011/5/23,97.56
2011/5/24,99.37
2011/5/25,101.16
2011/5/26,100.26
2011/5/27,100.73
2011/5/31,102.7
2011/6/1,99.66
2011/6/2,100.81
2011/6/3,100.66
2011/6/6,98.78
2011/6/7,98.55
2011/6/8,100.88
2011/6/9,101.69
2011/6/10,99.18
2011/6/13,97.09
2011/6/14,99.57
2011/6/15,95.26
2011/6/16,94.7
2011/6/17,93.02
2011/6/20,93.25
2011/6/21,93.77
2011/6/22,94.45
2011/6/23,92.2
2011/6/24,91.27
2011/6/27,90.74
2011/6/28,93.33
2011/6/29,95.12
2011/6/30,95.07
2011/7/1,94.75
2011/7/4,94.97
2011/7/5,97.04
2011/7/6,97.04
2011/7/7,98.57
2011/7/8,96.74
2011/7/11,95.09
2011/7/12,96.79
2011/7/13,97.6
2011/7/14,95.99
2011/7/15,97.72
2011/7/18,96.53
2011/7/19,97.5
2011/7/20,98.36
2011/7/21,98.6
2011/7/22,99.77
2011/7/25,99.17
2011/7/26,99.14
2011/7/27,99.41
2011/7/28,97.07
2011/7/29,95.56
2011/8/1,94.95
2011/8/2,93.29
2011/8/3,91.84
2011/8/4,87.01
2011/8/5,87.32
2011/8/8,80.61
2011/8/9,81.91
2011/8/10,81.33
2011/8/11,82.43
2011/8/15,87.75
2011/8/16,87.16
2011/8/17,87.48
2011/8/18,81.45
2011/8/19,81.99
2011/8/22,84.43
2011/8/23,85.68
2011/8/24,85.24
2011/8/25,84.99
2011/8/26,85.45
2011/8/30,88.7
2011/8/31,88.75
2011/9/1,88.76
2011/9/2,86.6
2011/9/5,84.49
2011/9/6,86.71
2011/9/7,90.06
2011/9/8,90.01
2011/9/9,86.91
2011/9/12,88.51
2011/9/13,89.79
2011/9/14,88.55
2011/9/15,89.08
2011/9/16,87.66
