update_date,open,high,low,close,volume
2013/9/26,536.65,536.65,536.65,536.65,339146.00
2013/9/27,549.35,549.35,549.35,549.35,472122.00
2013/9/30,556.94,556.94,556.94,556.94,256134.00
2013/10/8,550.11,550.11,550.11,550.11,193088.00
2013/10/9,550.33,550.33,550.33,550.33,200480.00
2013/10/10,550.06,550.06,550.06,550.06,175666.00
2013/10/11,549.95,549.95,549.95,549.95,92458.00
2013/10/14,563.20,563.20,563.20,563.20,301310.00
2013/10/15,565.82,565.82,565.82,565.82,269192.00
2013/10/16,566.13,566.13,566.13,566.13,189814.00
2013/10/17,564.25,564.25,564.25,564.25,288558.00
2013/10/18,565.90,565.90,565.90,565.90,158024.00
2013/10/21,562.83,562.83,562.83,562.83,144988.00
2013/10/22,564.46,564.46,564.46,564.46,143750.00
2013/10/23,564.38,564.38,564.38,564.38,161712.00
2013/10/24,556.20,556.20,556.20,556.20,143038.00
2013/10/25,559.33,559.33,559.33,559.33,107906.00
2013/10/28,561.88,561.88,561.88,561.88,126670.00
2013/10/29,562.22,562.22,562.22,562.22,92768.00
2013/10/30,560.70,560.70,560.70,560.70,181352.00
2013/10/31,559.31,559.31,559.31,559.31,84008.00
2013/11/1,563.60,563.60,563.60,563.60,69174.00
2013/11/4,562.20,562.20,562.20,562.20,69142.00
2013/11/5,558.86,558.86,558.86,558.86,69388.00
2013/11/6,554.61,554.61,554.61,554.61,59862.00
2013/11/7,555.77,555.77,555.77,555.77,73978.00
2013/11/8,557.35,557.35,557.35,557.35,108590.00
2013/11/11,556.86,556.86,556.86,556.86,48324.00
2013/11/12,557.90,557.90,557.90,557.90,41656.00
2013/11/13,560.68,560.68,560.68,560.68,43098.00
2013/11/14,563.02,563.02,563.02,563.02,45478.00
2013/11/15,563.62,563.62,563.62,563.62,46998.00
2013/11/18,570.08,570.08,570.08,570.08,72718.00
2013/11/19,573.70,573.70,573.70,573.70,63296.00
2013/11/20,575.34,575.34,575.34,575.34,62380.00
2013/11/21,573.05,573.05,573.05,573.05,59682.00
2013/11/22,587.19,587.19,587.19,587.19,188080.00
2013/11/25,592.01,592.01,592.01,592.01,179358.00
2013/11/26,596.10,596.10,596.10,596.10,90800.00
2013/11/27,591.65,591.65,591.65,591.65,167634.00
2013/11/28,593.56,593.56,593.56,593.56,127226.00
2013/11/29,595.45,595.45,595.45,595.45,190970.00
2013/12/2,595.35,595.35,595.35,595.35,114840.00
2013/12/3,591.86,591.86,591.86,591.86,255962.00
2013/12/4,589.53,589.53,589.53,589.53,184632.00
2013/12/5,592.78,592.78,592.78,592.78,232436.00
2013/12/6,596.12,596.12,596.12,596.12,148146.00
2013/12/9,593.36,593.36,593.36,593.36,129384.00
2013/12/10,592.89,592.89,592.89,592.89,79086.00
2013/12/11,584.68,584.68,584.68,584.68,156916.00
2013/12/12,581.73,581.73,581.73,581.73,129642.00
2013/12/13,576.62,576.62,576.62,576.62,199774.00
2013/12/16,580.23,580.23,580.23,580.23,146142.00
2013/12/17,579.12,579.12,579.12,579.12,55778.00
2013/12/18,579.99,579.99,579.99,579.99,82058.00
2013/12/19,572.95,572.95,572.95,572.95,145796.00
2013/12/20,568.14,568.14,568.14,568.14,127324.00
2013/12/23,567.58,567.58,567.58,567.58,68400.00
2013/12/24,571.14,571.14,571.14,571.14,84816.00
2013/12/25,569.11,569.11,569.11,569.11,82952.00
2013/12/26,568.11,568.11,568.11,568.11,60602.00
2013/12/27,570.31,570.31,570.31,570.31,76642.00
2013/12/30,563.59,563.59,563.59,563.59,64340.00
2013/12/31,563.29,563.29,563.29,563.29,89084.00
2014/1/2,563.21,563.21,563.21,563.21,39748.00
2014/1/3,557.72,557.72,557.72,557.72,72556.00
2014/1/6,550.49,550.49,550.49,550.49,66786.00
2014/1/7,552.72,552.72,552.72,552.72,80122.00
2014/1/8,550.12,550.12,550.12,550.12,43674.00
2014/1/9,548.19,548.19,548.19,548.19,95254.00
2014/1/10,551.64,551.64,551.64,551.64,82400.00
2014/1/13,548.83,548.83,548.83,548.83,49736.00
2014/1/14,552.11,552.11,552.11,552.11,53864.00
2014/1/15,553.71,553.71,553.71,553.71,32702.00
2014/1/16,553.18,553.18,553.18,553.18,30188.00
2014/1/17,553.74,553.74,553.74,553.74,43668.00
2014/1/20,548.45,548.45,548.45,548.45,80492.00
2014/1/21,543.37,543.37,543.37,543.37,62306.00
2014/1/22,541.04,541.04,541.04,541.04,60376.00
2014/1/23,540.66,540.66,540.66,540.66,102778.00
2014/1/24,544.40,544.40,544.40,544.40,59686.00
2014/1/27,539.84,539.84,539.84,539.84,36368.00
2014/1/28,537.67,537.67,537.67,537.67,36204.00
2014/1/29,538.94,538.94,538.94,538.94,25370.00
2014/1/30,540.18,540.18,540.18,540.18,13734.00
2014/2/7,531.06,531.06,531.06,531.06,30808.00
2014/2/10,528.40,528.40,528.40,528.40,92314.00
2014/2/11,527.20,527.20,527.20,527.20,70910.00
2014/2/12,529.09,529.09,529.09,529.09,28412.00
2014/2/13,523.39,523.39,523.39,523.39,108244.00
2014/2/14,525.25,525.25,525.25,525.25,41492.00
2014/2/17,534.12,534.12,534.12,534.12,80724.00
2014/2/18,530.75,530.75,530.75,530.75,31978.00
2014/2/19,533.23,533.23,533.23,533.23,33436.00
2014/2/20,530.77,530.77,530.77,530.77,28182.00
2014/2/21,533.74,533.74,533.74,533.74,37356.00
2014/2/24,529.26,529.26,529.26,529.26,59024.00
2014/2/25,535.81,535.81,535.81,535.81,103902.00
2014/2/26,537.96,537.96,537.96,537.96,53028.00
2014/2/27,539.02,539.02,539.02,539.02,61860.00
2014/2/28,538.07,538.07,538.07,538.07,51008.00
2014/3/3,516.56,516.56,516.56,516.56,40836.00
2014/3/4,510.81,510.81,510.81,510.81,81306.00
2014/3/5,513.51,513.51,513.51,513.51,47214.00
2014/3/6,512.90,512.90,512.90,512.90,25438.00
2014/3/7,510.88,510.88,510.88,510.88,87328.00
2014/3/10,498.39,498.39,498.39,498.39,153896.00
2014/3/11,511.60,511.60,511.60,511.60,138080.00
2014/3/12,510.30,510.30,510.30,510.30,71250.00
2014/3/13,510.84,510.84,510.84,510.84,39132.00
2014/3/14,513.46,513.46,513.46,513.46,58886.00
2014/3/17,518.07,518.07,518.07,518.07,58306.00
2014/3/18,519.00,519.00,519.00,519.00,45548.00
2014/3/19,520.36,520.36,520.36,520.36,39430.00
2014/3/20,517.05,517.05,517.05,517.05,57012.00
2014/3/21,516.39,516.39,516.39,516.39,66514.00
2014/3/24,517.27,517.27,517.27,517.27,72368.00
2014/3/25,526.98,526.98,526.98,526.98,111498.00
2014/3/26,524.69,524.69,524.69,524.69,46880.00
2014/3/27,525.59,525.59,525.59,525.59,32150.00
2014/3/28,525.32,525.32,525.32,525.32,29668.00
2014/3/31,526.06,526.06,526.06,526.06,33294.00
2014/4/1,527.34,527.34,527.34,527.34,19820.00
2014/4/2,527.23,527.23,527.23,527.23,11348.00
2014/4/3,527.84,527.84,527.84,527.84,41272.00
2014/4/4,530.66,530.66,530.66,530.66,21488.00
2014/4/8,536.66,536.66,536.66,536.66,56974.00
2014/4/9,535.78,535.78,535.78,535.78,21896.00
2014/4/10,536.93,536.93,536.93,536.93,22560.00
2014/4/11,538.94,538.94,538.94,538.94,72136.00
2014/4/14,535.21,535.21,535.21,535.21,30712.00
2014/4/15,537.15,537.15,537.15,537.15,12832.00
2014/4/16,535.02,535.02,535.02,535.02,17392.00
2014/4/17,534.28,534.28,534.28,534.28,9216.00
2014/4/18,533.70,533.70,533.70,533.70,70788.00
2014/4/21,537.24,537.24,537.24,537.24,45016.00
2014/4/22,538.56,538.56,538.56,538.56,59134.00
2014/4/23,538.36,538.36,538.36,538.36,34370.00
2014/4/24,540.07,540.07,540.07,540.07,32998.00
2014/4/25,539.23,539.23,539.23,539.23,26444.00
2014/4/28,531.19,531.19,531.19,531.19,46608.00
2014/4/29,532.23,532.23,532.23,532.23,23350.00
2014/4/30,533.63,533.63,533.63,533.63,26752.00
2014/5/5,532.09,532.09,532.09,532.09,20660.00
2014/5/6,527.83,527.83,527.83,527.83,39914.00
2014/5/7,528.37,528.37,528.37,528.37,37320.00
2014/5/8,527.70,527.70,527.70,527.70,26092.00
2014/5/9,526.30,526.30,526.30,526.30,18670.00
2014/5/12,529.17,529.17,529.17,529.17,35258.00
2014/5/13,530.13,530.13,530.13,530.13,17266.00
2014/5/14,531.72,531.72,531.72,531.72,21362.00
2014/5/15,529.61,529.61,529.61,529.61,21090.00
2014/5/16,524.96,524.96,524.96,524.96,42182.00
2014/5/19,526.07,526.07,526.07,526.07,16294.00
2014/5/20,520.73,520.73,520.73,520.73,24808.00
2014/5/21,519.88,519.88,519.88,519.88,29012.00
2014/5/22,521.26,521.26,521.26,521.26,22608.00
2014/5/23,519.44,519.44,519.44,519.44,30424.00
2014/5/26,519.39,519.39,519.39,519.39,28944.00
2014/5/27,519.25,519.25,519.25,519.25,16084.00
2014/5/28,518.72,518.72,518.72,518.72,21768.00
2014/5/29,516.99,516.99,516.99,516.99,17768.00
2014/5/30,514.11,514.11,514.11,514.11,29010.00
2014/6/3,513.72,513.72,513.72,513.72,13646.00
2014/6/4,515.15,515.15,515.15,515.15,10430.00
2014/6/5,517.04,517.04,517.04,517.04,11116.00
2014/6/6,517.94,517.94,517.94,517.94,12688.00
2014/6/9,512.35,512.35,512.35,512.35,21382.00
2014/6/10,513.11,513.11,513.11,513.11,20114.00
2014/6/11,508.10,508.10,508.10,508.10,17280.00
2014/6/12,508.29,508.29,508.29,508.29,21046.00
2014/6/13,506.76,506.76,506.76,506.76,14950.00
2014/6/16,507.73,507.73,507.73,507.73,11698.00
2014/6/17,508.84,508.84,508.84,508.84,11462.00
2014/6/18,508.29,508.29,508.29,508.29,5142.00
2014/6/19,501.99,501.99,501.99,501.99,32138.00
2014/6/20,502.08,502.08,502.08,502.08,37786.00
2014/6/23,501.44,501.44,501.44,501.44,26892.00
2014/6/24,501.07,501.07,501.07,501.07,14644.00
2014/6/25,500.85,500.85,500.85,500.85,20940.00
2014/6/26,505.23,505.23,505.23,505.23,57558.00
2014/6/27,507.26,507.26,507.26,507.26,44790.00
2014/6/30,504.80,504.80,504.80,504.80,24336.00
2014/7/1,503.29,503.29,503.29,503.29,14940.00
2014/7/2,503.63,503.63,503.63,503.63,14288.00
2014/7/3,501.01,501.01,501.01,501.01,20896.00
2014/7/4,499.96,499.96,499.96,499.96,25232.00
2014/7/7,500.26,500.26,500.26,500.26,15210.00
2014/7/8,499.42,499.42,499.42,499.42,13634.00
2014/7/9,499.91,499.91,499.91,499.91,15970.00
2014/7/10,499.27,499.27,499.27,499.27,22912.00
2014/7/11,498.12,498.12,498.12,498.12,18698.00
2014/7/14,497.61,497.61,497.61,497.61,7512.00
2014/7/15,492.55,492.55,492.55,492.55,34544.00
2014/7/16,485.59,485.59,485.59,485.59,63632.00
2014/7/17,485.82,485.82,485.82,485.82,27888.00
2014/7/18,484.07,484.07,484.07,484.07,32376.00
2014/7/21,486.47,486.47,486.47,486.47,17084.00
2014/7/22,488.68,488.68,488.68,488.68,15744.00
2014/7/23,488.54,488.54,488.54,488.54,11628.00
2014/7/24,489.93,489.93,489.93,489.93,12902.00
2014/7/25,491.58,491.58,491.58,491.58,36278.00
2014/7/28,491.52,491.52,491.52,491.52,37292.00
2014/7/29,490.96,490.96,490.96,490.96,29114.00
2014/7/30,495.02,495.02,495.02,495.02,42046.00
2014/7/31,500.61,500.61,500.61,500.61,50614.00
2014/8/1,501.57,501.57,501.57,501.57,41268.00
2014/8/4,505.42,505.42,505.42,505.42,41064.00
2014/8/5,504.58,504.58,504.58,504.58,62528.00
2014/8/6,501.22,501.22,501.22,501.22,37164.00
2014/8/7,501.12,501.12,501.12,501.12,35688.00
2014/8/8,503.65,503.65,503.65,503.65,30624.00
2014/8/11,503.65,503.65,503.65,503.65,0.00
2014/8/12,0.00,0.00,0.00,504.35,37010.00
2014/8/13,0.00,0.00,0.00,506.20,21078.00
2014/8/14,0.00,0.00,0.00,503.66,41878.00
2014/8/15,0.00,0.00,0.00,517.58,105022.00
2014/8/18,0.00,0.00,0.00,517.82,111550.00
2014/8/19,516.83,516.83,516.83,516.83,93976.00
2014/8/20,516.52,516.52,512.68,512.89,60542.00
2014/8/21,513.26,516.40,512.87,513.50,43606.00
2014/8/22,514.06,515.51,512.97,514.45,36628.00
2014/8/25,513.12,519.06,513.12,516.80,75658.00
2014/8/26,516.28,516.91,514.58,516.60,35944.00
2014/8/27,517.08,519.26,514.92,515.91,48400.00
2014/8/28,0.00,0.00,0.00,509.08,124112.00
2014/8/29,509.51,510.14,507.56,508.38,49264.00
2014/9/1,509.23,511.10,507.44,507.44,47218.00
2014/9/2,507.20,512.04,506.51,509.99,43082.00
2014/9/3,509.10,510.82,506.99,509.76,39596.00
2014/9/4,510.59,514.75,510.09,512.86,84102.00
2014/9/5,511.87,513.55,510.14,511.31,48686.00
2014/9/9,502.21,526.27,502.21,510.29,68726.00
2014/9/10,509.84,511.58,506.27,509.63,71240.00
2014/9/11,509.31,510.51,507.05,508.72,45834.00
2014/9/12,507.89,509.64,507.89,509.64,21076.00
2014/9/15,509.56,513.72,509.40,512.60,53022.00
2014/9/16,512.79,514.32,510.91,511.29,40080.00
2014/9/17,0.00,0.00,0.00,513.28,26392.00
2014/9/18,513.56,514.25,511.98,512.53,20268.00
2014/9/19,512.33,512.33,509.89,511.74,37706.00
2014/9/22,511.30,521.04,508.21,517.43,173510.00
2014/9/23,0.00,0.00,0.00,513.36,86662.00
2014/9/24,513.77,516.39,512.76,514.78,41888.00
2014/9/25,515.33,516.63,513.60,515.36,46420.00
2014/9/26,0.00,0.00,0.00,519.89,90562.00
2014/9/29,0.00,0.00,0.00,524.25,82428.00
2014/9/30,525.31,529.14,523.86,525.85,73070.00
2014/10/8,525.39,525.39,517.78,519.27,65076.00
2014/10/9,522.25,530.26,518.94,529.12,167916.00
2014/10/10,528.03,528.79,524.49,525.77,56568.00
2014/10/13,526.40,533.77,522.73,525.74,143828.00
2014/10/14,525.31,526.83,523.43,524.33,45620.00
2014/10/15,524.37,524.73,518.98,519.40,74024.00
2014/10/16,519.08,520.68,515.68,517.03,44106.00
2014/10/17,518.79,520.07,516.07,518.28,49446.00
2014/10/20,519.08,520.32,513.67,513.67,60562.00
2014/10/21,513.81,516.70,512.55,514.71,58010.00
2014/10/22,514.20,516.11,512.11,512.83,46630.00
2014/10/23,512.87,515.75,512.75,515.00,37950.00
2014/10/24,515.40,522.21,514.96,520.83,79758.00
2014/10/27,519.33,522.29,518.17,520.35,46326.00
2014/10/28,520.25,521.17,515.78,516.27,57910.00
2014/10/29,516.35,518.96,515.12,517.50,37722.00
2014/10/30,517.43,518.94,516.17,516.39,36582.00
2014/10/31,516.12,516.93,513.98,515.81,43184.00
2014/11/3,516.62,517.65,508.69,510.08,77594.00
2014/11/4,509.02,511.49,507.13,507.73,45396.00
2014/11/5,508.05,510.56,490.53,492.25,193866.00
2014/11/6,494.88,496.10,492.04,493.34,61736.00
2014/11/7,494.14,496.21,489.53,493.23,66830.00
2014/11/10,494.29,497.63,493.99,496.03,38402.00
2014/11/11,495.12,497.00,491.46,495.94,51878.00
2014/11/12,496.90,499.40,496.30,498.52,48936.00
2014/11/13,498.18,499.45,496.19,497.70,27154.00
2014/11/14,496.47,497.10,492.36,494.90,51740.00
2014/11/17,495.62,498.59,495.13,496.21,37544.00
2014/11/18,496.65,498.35,494.31,497.36,41910.00
2014/11/19,497.80,503.47,497.02,499.32,73000.00
2014/11/20,499.76,501.50,498.92,501.17,30938.00
2014/11/21,501.21,507.61,501.21,503.32,70444.00
2014/11/24,506.85,506.85,501.92,502.71,36800.00
2014/11/25,503.94,503.94,495.32,495.47,56818.00
2014/11/26,495.89,497.65,493.10,493.66,36484.00
2014/11/27,494.04,500.27,493.57,499.36,48456.00
2014/11/28,497.55,498.11,494.77,498.11,33660.00
2014/12/1,498.61,502.64,497.45,501.22,76888.00
2014/12/2,503.84,504.03,496.65,497.16,42930.00
2014/12/3,497.03,500.71,495.80,500.48,29798.00
2014/12/4,501.29,502.27,499.64,502.23,30156.00
2014/12/5,502.24,502.24,498.52,500.37,90544.00
2014/12/8,500.05,501.56,499.36,500.52,29518.00
2014/12/9,499.92,500.38,496.72,498.67,76796.00
2014/12/10,499.08,500.18,496.81,499.41,52846.00
2014/12/11,498.82,500.98,498.18,499.56,38238.00
2014/12/12,499.67,499.67,495.08,497.94,54122.00
2014/12/15,497.64,498.76,494.08,497.32,55600.00
2014/12/16,497.23,497.64,495.07,495.40,36730.00
2014/12/17,494.83,497.38,494.49,497.05,20076.00
2014/12/18,497.50,497.97,495.70,496.32,25018.00
2014/12/19,496.30,496.94,486.25,490.16,23490.00
2014/12/22,490.47,490.54,479.40,479.80,56466.00
2014/12/23,476.15,483.53,476.14,480.75,30544.00
2014/12/24,476.87,483.23,476.30,479.19,36552.00
2014/12/25,479.80,484.79,478.57,482.84,30064.00
2014/12/26,482.51,490.64,481.76,490.21,33450.00
2014/12/29,490.31,496.12,490.31,495.22,30082.00
2014/12/30,494.76,504.07,494.76,499.72,43374.00
2014/12/31,496.90,498.61,489.95,493.37,26004.00
2015/1/5,489.94,494.47,489.94,494.47,10608.00
2015/1/6,493.21,498.74,493.21,495.56,13096.00
2015/1/7,495.11,495.68,490.49,493.47,11718.00
2015/1/8,492.78,494.22,491.77,491.77,9308.00
2015/1/9,492.13,493.17,476.87,476.87,17012.00
2015/1/12,476.53,476.93,470.86,470.86,14818.00
2015/1/13,468.78,471.88,466.72,469.62,12684.00
2015/1/14,470.70,472.31,468.83,469.94,10916.00
2015/1/15,470.80,474.41,469.74,473.03,12582.00
2015/1/16,472.03,474.19,471.86,471.86,6824.00
2015/1/19,471.42,474.07,468.41,471.28,16452.00
2015/1/20,470.61,472.37,466.86,468.94,18480.00
2015/1/21,469.83,473.04,468.41,471.21,14784.00
2015/1/22,471.52,472.45,469.78,470.64,4804.00
2015/1/23,470.81,471.80,469.10,470.55,4694.00
2015/1/26,470.22,470.22,467.43,467.81,6620.00
2015/1/27,467.54,471.30,467.45,468.57,8036.00
2015/1/28,469.35,469.53,467.67,468.77,2784.00
2015/1/29,468.38,470.70,468.38,470.10,6086.00
2015/1/30,470.46,470.46,466.82,468.53,5036.00
2015/2/2,469.85,469.85,468.17,469.33,3762.00
2015/2/3,469.68,469.69,468.14,468.77,4932.00
2015/2/4,469.36,470.51,464.42,465.49,17152.00
2015/2/5,465.71,465.71,461.31,463.73,16090.00
2015/2/6,463.87,466.81,463.87,465.36,6688.00
2015/2/9,464.72,465.72,461.80,463.35,9078.00
2015/2/10,463.23,463.70,462.35,463.13,6086.00
2015/2/11,462.71,464.65,462.58,464.47,6336.00
2015/2/12,463.92,465.34,462.02,462.60,5020.00
2015/2/13,462.95,464.53,462.19,462.93,7564.00
2015/2/16,463.66,463.66,461.19,461.35,5712.00
2015/2/17,461.57,461.88,457.28,460.44,9328.00
2015/2/25,459.55,460.09,455.55,455.76,7024.00
2015/2/26,455.39,458.38,454.75,456.75,13032.00
2015/2/27,456.89,457.11,455.66,456.66,7768.00
2015/3/2,456.41,458.46,454.33,457.88,18092.00
2015/3/3,458.95,470.15,456.69,465.67,31432.00
2015/3/4,464.29,465.98,462.31,464.00,21798.00
2015/3/5,462.39,463.07,460.46,461.47,16382.00
2015/3/6,462.09,462.40,459.85,459.95,7750.00
2015/3/9,459.56,459.56,456.95,458.22,8612.00
2015/3/10,457.58,458.72,457.30,457.51,4816.00
2015/3/11,457.57,458.00,453.82,454.13,9330.00
2015/3/12,453.94,456.48,453.67,456.05,8448.00
2015/3/13,456.29,457.67,454.40,456.35,6664.00
2015/3/16,456.08,456.08,454.06,455.34,7690.00
2015/3/17,455.26,455.77,453.65,454.42,8850.00
2015/3/18,453.91,453.91,451.14,451.79,19020.00
2015/3/19,452.50,452.71,448.34,449.69,16698.00
2015/3/20,450.06,451.06,445.76,446.76,14740.00
2015/3/23,446.67,447.61,446.01,446.71,7460.00
2015/3/24,449.45,449.74,446.47,446.71,13442.00
2015/3/25,446.10,446.32,439.98,440.67,19116.00
2015/3/26,440.69,441.81,439.81,440.37,13410.00
2015/3/27,439.31,439.32,434.51,435.37,18454.00
2015/3/30,435.54,435.85,424.94,425.34,44082.00
2015/3/31,424.72,428.06,421.41,425.64,37814.00
2015/4/1,425.57,427.94,424.34,425.14,18166.00
2015/4/2,425.53,427.05,420.06,421.26,36626.00
2015/4/3,421.51,421.62,419.64,421.62,40016.00
2015/4/7,421.53,422.34,417.66,418.76,24202.00
2015/4/8,419.19,419.19,415.52,417.28,23608.00
2015/4/9,413.48,415.79,411.71,412.05,21442.00
2015/4/10,411.07,411.07,399.11,399.65,50048.00
2015/4/13,399.93,406.34,399.48,405.96,36190.00
2015/4/14,404.88,408.78,403.23,405.16,30238.00
2015/4/15,404.32,404.46,401.30,402.99,22084.00
2015/4/16,403.68,408.06,403.30,405.58,26030.00
2015/4/17,405.25,407.04,404.93,405.91,13230.00
2015/4/20,407.27,407.33,402.62,403.26,22704.00
2015/4/21,403.10,405.75,402.89,404.81,11894.00
2015/4/22,405.42,413.85,405.42,411.81,48300.00
2015/4/23,410.55,413.38,409.24,410.45,20884.00
2015/4/24,414.14,418.02,413.97,416.90,37834.00
2015/4/27,419.42,421.35,417.36,420.61,36226.00
2015/4/28,420.06,420.06,413.35,415.12,35638.00
2015/4/29,415.00,415.25,408.41,409.81,27186.00
2015/4/30,411.28,414.61,410.91,412.82,22766.00
2015/5/4,413.78,417.74,409.03,416.60,33586.00
2015/5/5,417.26,422.89,417.25,419.48,44648.00
2015/5/6,419.73,421.53,415.79,419.43,28586.00
2015/5/7,416.27,417.01,413.47,417.01,22554.00
2015/5/8,415.08,421.87,414.34,419.97,35086.00
2015/5/11,421.69,423.68,420.42,421.49,15682.00
2015/5/12,0.00,0.00,0.00,421.35,17936.00
2015/5/13,0.00,0.00,0.00,419.69,40052.00
2015/5/14,0.00,0.00,0.00,421.09,21466.00
2015/5/15,0.00,0.00,0.00,422.34,16338.00
2015/5/18,0.00,0.00,0.00,429.73,53162.00
2015/5/19,0.00,0.00,0.00,430.02,28108.00
2015/5/20,0.00,0.00,0.00,430.43,53952.00
2015/5/21,0.00,0.00,0.00,433.80,59020.00
2015/5/22,0.00,0.00,0.00,434.02,39524.00
2015/5/25,0.00,0.00,0.00,431.53,24844.00
2015/5/26,0.00,0.00,0.00,427.10,40752.00
