Wind资讯,ZN1610.SHF,ZN1610.SHF
,沪锌1610,沪锌1610
日期,结算价,持仓量
2015-10-16,14170.00 ,2.00 
2015-10-19,14095.00 ,2.00 
2015-10-20,13845.00 ,52.00 
2015-10-21,13905.00 ,52.00 
2015-10-22,13905.00 ,52.00 
2015-10-23,13820.00 ,50.00 
2015-10-26,13920.00 ,52.00 
2015-10-27,13905.00 ,48.00 
2015-10-28,13885.00 ,50.00 
2015-10-29,13885.00 ,50.00 
2015-10-30,13700.00 ,48.00 
2015-11-02,13665.00 ,54.00 
2015-11-03,13785.00 ,58.00 
2015-11-04,13615.00 ,54.00 
2015-11-05,13585.00 ,54.00 
2015-11-06,13605.00 ,54.00 
2015-11-09,13635.00 ,58.00 
2015-11-10,13265.00 ,56.00 
2015-11-11,12910.00 ,56.00 
2015-11-12,12975.00 ,56.00 
2015-11-13,12975.00 ,56.00 
2015-11-16,13025.00 ,54.00 
2015-11-17,12815.00 ,58.00 
2015-11-18,12510.00 ,62.00 
2015-11-19,12240.00 ,62.00 
2015-11-20,12220.00 ,64.00 
2015-11-23,12230.00 ,142.00 
2015-11-24,12360.00 ,140.00 
2015-11-25,12690.00 ,140.00 
2015-11-26,13035.00 ,136.00 
2015-11-27,12880.00 ,138.00 
2015-11-30,12645.00 ,136.00 
2015-12-01,12675.00 ,136.00 
2015-12-02,12535.00 ,134.00 
2015-12-03,12265.00 ,134.00 
2015-12-04,12310.00 ,134.00 
2015-12-07,12410.00 ,134.00 
2015-12-08,12480.00 ,134.00 
2015-12-09,12510.00 ,134.00 
2015-12-10,12650.00 ,134.00 
2015-12-11,12715.00 ,134.00 
2015-12-14,12840.00 ,136.00 
2015-12-15,12820.00 ,136.00 
2015-12-16,12695.00 ,138.00 
2015-12-17,12725.00 ,138.00 
2015-12-18,12510.00 ,142.00 
2015-12-21,12805.00 ,144.00 
2015-12-22,12835.00 ,144.00 
2015-12-23,12840.00 ,146.00 
2015-12-24,13115.00 ,146.00 
2015-12-25,13075.00 ,170.00 
2015-12-28,12955.00 ,178.00 
2015-12-29,13005.00 ,178.00 
2015-12-30,13380.00 ,208.00 
2015-12-31,13505.00 ,222.00 
2016-01-04,13280.00 ,222.00 
2016-01-05,13460.00 ,236.00 
2016-01-06,13205.00 ,228.00 
2016-01-07,13065.00 ,228.00 
2016-01-08,12785.00 ,228.00 
2016-01-11,12785.00 ,228.00 
2016-01-12,12665.00 ,226.00 
2016-01-13,12555.00 ,232.00 
2016-01-14,12745.00 ,232.00 
2016-01-15,12740.00 ,228.00 
2016-01-18,12645.00 ,224.00 
2016-01-19,12840.00 ,224.00 
2016-01-20,12840.00 ,218.00 
2016-01-21,12780.00 ,220.00 
2016-01-22,12845.00 ,222.00 
2016-01-25,12940.00 ,226.00 
2016-01-26,12940.00 ,226.00 
2016-01-27,13150.00 ,258.00 
2016-01-28,13175.00 ,256.00 
2016-01-29,13100.00 ,256.00 
2016-02-01,13100.00 ,256.00 
2016-02-02,13395.00 ,260.00 
2016-02-03,13505.00 ,300.00 
2016-02-04,13955.00 ,274.00 
2016-02-05,13970.00 ,274.00 
2016-02-15,14010.00 ,270.00 
2016-02-16,13840.00 ,272.00 
2016-02-17,13625.00 ,272.00 
2016-02-18,13715.00 ,272.00 
2016-02-19,13925.00 ,276.00 
2016-02-22,14185.00 ,270.00 
2016-02-23,14230.00 ,272.00 
2016-02-24,14045.00 ,272.00 
2016-02-25,14390.00 ,320.00 
2016-02-26,14190.00 ,298.00 
2016-02-29,14265.00 ,328.00 
2016-03-01,14240.00 ,328.00 
2016-03-02,14465.00 ,330.00 
2016-03-03,14535.00 ,348.00 
2016-03-04,14680.00 ,340.00 
2016-03-07,14685.00 ,344.00 
2016-03-08,14480.00 ,342.00 
2016-03-09,14280.00 ,340.00 
2016-03-10,14275.00 ,344.00 
2016-03-11,14235.00 ,344.00 
2016-03-14,14375.00 ,340.00 
2016-03-15,14375.00 ,340.00 
2016-03-16,14000.00 ,340.00 
2016-03-17,14245.00 ,340.00 
2016-03-18,14605.00 ,346.00 
2016-03-21,14630.00 ,428.00 
2016-03-22,14585.00 ,414.00 
2016-03-23,14520.00 ,390.00 
2016-03-24,14405.00 ,364.00 
2016-03-25,14285.00 ,360.00 
2016-03-28,14340.00 ,362.00 
2016-03-29,14310.00 ,360.00 
2016-03-30,14240.00 ,372.00 
2016-03-31,14200.00 ,376.00 
2016-04-01,14420.00 ,374.00 
2016-04-05,14520.00 ,374.00 
2016-04-06,14400.00 ,362.00 
2016-04-07,14290.00 ,370.00 
2016-04-08,13995.00 ,372.00 
2016-04-11,13940.00 ,374.00 
2016-04-12,14110.00 ,372.00 
2016-04-13,14535.00 ,362.00 
2016-04-14,15015.00 ,394.00 
2016-04-15,14950.00 ,416.00 
2016-04-18,15130.00 ,628.00 
2016-04-19,15155.00 ,784.00 
2016-04-20,15240.00 ,766.00 
2016-04-21,15315.00 ,964.00 
2016-04-22,15125.00 ,874.00 
2016-04-25,15210.00 ,914.00 
2016-04-26,15020.00 ,1018.00 
2016-04-27,15065.00 ,1010.00 
2016-04-28,14965.00 ,1122.00 
2016-04-29,15240.00 ,1098.00 
2016-05-03,15305.00 ,1106.00 
2016-05-04,15080.00 ,1020.00 
2016-05-05,14995.00 ,1052.00 
2016-05-06,14860.00 ,1106.00 
2016-05-09,14915.00 ,1232.00 
2016-05-10,14675.00 ,1232.00 
2016-05-11,14835.00 ,1210.00 
2016-05-12,15095.00 ,1266.00 
2016-05-13,15025.00 ,1292.00 
2016-05-16,15060.00 ,1270.00 
2016-05-17,15165.00 ,1368.00 
2016-05-18,15125.00 ,1362.00 
2016-05-19,15020.00 ,1376.00 
2016-05-20,14970.00 ,1386.00 
2016-05-23,15025.00 ,1286.00 
2016-05-24,14705.00 ,1330.00 
2016-05-25,14640.00 ,1856.00 
2016-05-26,14805.00 ,1708.00 
2016-05-27,14970.00 ,1742.00 
2016-05-30,15070.00 ,1944.00 
2016-05-31,15135.00 ,2028.00 
2016-06-01,15090.00 ,2064.00 
2016-06-02,15560.00 ,9696.00 
2016-06-03,15570.00 ,10668.00 
2016-06-06,15785.00 ,13950.00 
2016-06-07,15775.00 ,14142.00 
2016-06-08,15615.00 ,14574.00 
2016-06-13,15920.00 ,20052.00 
2016-06-14,15875.00 ,20138.00 
2016-06-15,15690.00 ,19438.00 
2016-06-16,15755.00 ,20796.00 
2016-06-17,15595.00 ,20898.00 
2016-06-20,15640.00 ,23048.00 
2016-06-21,15765.00 ,24218.00 
2016-06-22,15765.00 ,26146.00 
2016-06-23,15835.00 ,27396.00 
2016-06-24,15665.00 ,27072.00 
2016-06-27,15690.00 ,29624.00 
