update_date,open,high,low,close,volume,position_all
2010-11-22,18000.00 ,18295.00 ,17850.00 ,17970.00 ,1456728.00 ,240894.00 
2010-11-23,17785.00 ,17890.00 ,17200.00 ,17200.00 ,1223612.00 ,261318.00 
2010-11-24,17350.00 ,17650.00 ,17125.00 ,17620.00 ,1424282.00 ,259468.00 
2010-11-25,17750.00 ,17795.00 ,17355.00 ,17370.00 ,1213394.00 ,272716.00 
2010-11-26,17600.00 ,17755.00 ,17030.00 ,17430.00 ,2054902.00 ,271146.00 
2010-11-29,17290.00 ,17745.00 ,17220.00 ,17685.00 ,1238802.00 ,279200.00 
2010-11-30,17400.00 ,17580.00 ,17090.00 ,17515.00 ,1263714.00 ,274678.00 
2010-12-01,17485.00 ,17760.00 ,17415.00 ,17665.00 ,865968.00 ,276998.00 
2010-12-02,18020.00 ,18510.00 ,17950.00 ,18360.00 ,1082340.00 ,297442.00 
2010-12-03,18450.00 ,18480.00 ,18155.00 ,18400.00 ,1029728.00 ,281334.00 
2010-12-06,18435.00 ,18620.00 ,18335.00 ,18465.00 ,812348.00 ,284146.00 
2010-12-07,18430.00 ,18580.00 ,18260.00 ,18545.00 ,752428.00 ,304368.00 
2010-12-08,18400.00 ,18465.00 ,18085.00 ,18105.00 ,658722.00 ,281680.00 
2010-12-09,18555.00 ,18575.00 ,18360.00 ,18430.00 ,645868.00 ,249280.00 
2010-12-10,18380.00 ,18580.00 ,18260.00 ,18545.00 ,557748.00 ,248882.00 
2010-12-13,18520.00 ,19200.00 ,18460.00 ,19040.00 ,710444.00 ,266430.00 
2010-12-14,19105.00 ,19335.00 ,18915.00 ,19065.00 ,877676.00 ,285916.00 
2010-12-15,18965.00 ,19110.00 ,18470.00 ,18470.00 ,841420.00 ,288472.00 
2010-12-16,18390.00 ,18630.00 ,18250.00 ,18515.00 ,789750.00 ,281856.00 
2010-12-17,18505.00 ,18805.00 ,18505.00 ,18780.00 ,623528.00 ,284654.00 
2010-12-20,18985.00 ,19140.00 ,18400.00 ,18690.00 ,744788.00 ,276650.00 
2010-12-21,18810.00 ,19010.00 ,18650.00 ,18960.00 ,695540.00 ,265306.00 
2010-12-22,19100.00 ,19150.00 ,18700.00 ,18760.00 ,502830.00 ,263774.00 
2010-12-23,18880.00 ,18995.00 ,18755.00 ,18905.00 ,393014.00 ,249916.00 
2010-12-24,18900.00 ,18940.00 ,18555.00 ,18860.00 ,507478.00 ,255062.00 
2010-12-27,18700.00 ,18800.00 ,18580.00 ,18695.00 ,360482.00 ,248122.00 
2010-12-28,18750.00 ,19145.00 ,18740.00 ,19060.00 ,586480.00 ,223246.00 
2010-12-29,19125.00 ,19390.00 ,18970.00 ,19365.00 ,530402.00 ,218112.00 
2010-12-30,19385.00 ,19670.00 ,19250.00 ,19620.00 ,404596.00 ,169962.00 
2010-12-31,19650.00 ,19800.00 ,19560.00 ,19695.00 ,434564.00 ,208326.00 
2011-01-04,19895.00 ,19935.00 ,19625.00 ,19750.00 ,471164.00 ,235210.00 
2011-01-05,19610.00 ,19695.00 ,19450.00 ,19475.00 ,465108.00 ,238806.00 
2011-01-06,19705.00 ,20000.00 ,19675.00 ,19840.00 ,575084.00 ,256708.00 
2011-01-07,19635.00 ,19895.00 ,18800.00 ,19130.00 ,752824.00 ,253036.00 
2011-01-10,19320.00 ,19350.00 ,19030.00 ,19115.00 ,470390.00 ,247364.00 
2011-01-11,19150.00 ,19325.00 ,18955.00 ,19215.00 ,580788.00 ,255648.00 
2011-01-12,19300.00 ,19440.00 ,19200.00 ,19285.00 ,367170.00 ,246100.00 
2011-01-13,19580.00 ,19610.00 ,19385.00 ,19420.00 ,318096.00 ,235492.00 
2011-01-14,19350.00 ,19430.00 ,19225.00 ,19350.00 ,300800.00 ,234250.00 
2011-01-17,19400.00 ,19540.00 ,19270.00 ,19300.00 ,387688.00 ,243698.00 
2011-01-18,19270.00 ,19330.00 ,18910.00 ,19210.00 ,483276.00 ,247884.00 
2011-01-19,19185.00 ,19485.00 ,19170.00 ,19485.00 ,347670.00 ,241828.00 
2011-01-20,19070.00 ,19255.00 ,18975.00 ,19040.00 ,408066.00 ,256310.00 
2011-01-21,18780.00 ,19010.00 ,18665.00 ,18810.00 ,364152.00 ,261238.00 
2011-01-24,18875.00 ,19080.00 ,18810.00 ,18835.00 ,324016.00 ,265756.00 
