update_date,open,high,low,close,volume
2007/3/26,28600.00 ,29600.00 ,28580.00 ,29220.00 ,16786.00 
2007/3/27,29550.00 ,29870.00 ,29500.00 ,29725.00 ,16046.00 
2007/3/28,29495.00 ,29700.00 ,29420.00 ,29565.00 ,8506.00 
2007/3/29,29510.00 ,29560.00 ,29010.00 ,29030.00 ,8742.00 
2007/3/30,29430.00 ,29500.00 ,29180.00 ,29390.00 ,13758.00 
2007/4/2,29390.00 ,29445.00 ,29250.00 ,29290.00 ,5902.00 
2007/4/3,28935.00 ,28980.00 ,28660.00 ,28780.00 ,11610.00 
2007/4/4,29250.00 ,29260.00 ,28980.00 ,28985.00 ,8848.00 
2007/4/5,29700.00 ,30245.00 ,29540.00 ,30245.00 ,18584.00 
2007/4/6,30245.00 ,31515.00 ,30105.00 ,31385.00 ,61558.00 
2007/4/9,31550.00 ,32195.00 ,31550.00 ,32195.00 ,32744.00 
2007/4/10,32850.00 ,33865.00 ,31980.00 ,32745.00 ,128476.00 
2007/4/11,32800.00 ,32990.00 ,32020.00 ,32395.00 ,116134.00 
2007/4/12,32535.00 ,33220.00 ,32370.00 ,32955.00 ,112886.00 
2007/4/13,32000.00 ,32265.00 ,31600.00 ,31720.00 ,58412.00 
2007/4/16,32055.00 ,32360.00 ,31860.00 ,32245.00 ,57986.00 
2007/4/17,32100.00 ,32640.00 ,31855.00 ,32160.00 ,75052.00 
2007/4/18,33590.00 ,33590.00 ,33400.00 ,33590.00 ,23606.00 
2007/4/19,33790.00 ,34030.00 ,31560.00 ,32790.00 ,142874.00 
2007/4/20,33000.00 ,33100.00 ,31990.00 ,32960.00 ,127572.00 
2007/4/23,33280.00 ,33660.00 ,32400.00 ,32840.00 ,108918.00 
2007/4/24,33980.00 ,34100.00 ,33460.00 ,34065.00 ,100956.00 
2007/4/25,33335.00 ,33480.00 ,32860.00 ,33070.00 ,124430.00 
2007/4/26,33365.00 ,33500.00 ,33120.00 ,33305.00 ,67122.00 
2007/4/27,32500.00 ,32700.00 ,32160.00 ,32270.00 ,72398.00 
2007/4/30,32310.00 ,32775.00 ,32120.00 ,32700.00 ,50030.00 
2007/5/8,33705.00 ,33705.00 ,33705.00 ,33705.00 ,584.00 
2007/5/9,35590.00 ,35590.00 ,34500.00 ,34555.00 ,96548.00 
2007/5/10,34190.00 ,34745.00 ,34105.00 ,34710.00 ,107616.00 
2007/5/11,33800.00 ,34000.00 ,33205.00 ,33330.00 ,85600.00 
2007/5/14,33860.00 ,33900.00 ,33330.00 ,33410.00 ,71204.00 
2007/5/15,32600.00 ,32630.00 ,32255.00 ,32255.00 ,55048.00 
2007/5/16,32300.00 ,32530.00 ,31435.00 ,31830.00 ,88234.00 
2007/5/17,30525.00 ,31015.00 ,30520.00 ,30520.00 ,57508.00 
2007/5/18,29720.00 ,30140.00 ,28900.00 ,29355.00 ,128688.00 
2007/5/21,29545.00 ,30725.00 ,29545.00 ,30725.00 ,51496.00 
2007/5/22,31350.00 ,32000.00 ,30565.00 ,30895.00 ,128026.00 
2007/5/23,30110.00 ,30350.00 ,29920.00 ,30130.00 ,64856.00 
2007/5/24,29910.00 ,30600.00 ,29910.00 ,30585.00 ,82826.00 
2007/5/25,29310.00 ,29880.00 ,29310.00 ,29800.00 ,53938.00 
2007/5/28,30650.00 ,30650.00 ,30650.00 ,30650.00 ,1540.00 
2007/5/29,31200.00 ,31200.00 ,30120.00 ,30245.00 ,54810.00 
2007/5/30,30200.00 ,30655.00 ,30005.00 ,30125.00 ,65978.00 
2007/5/31,30365.00 ,30780.00 ,30295.00 ,30705.00 ,45712.00 
2007/6/1,31010.00 ,31095.00 ,30490.00 ,30590.00 ,40076.00 
2007/6/4,30600.00 ,30670.00 ,30150.00 ,30150.00 ,14022.00 
2007/6/5,30480.00 ,30780.00 ,30360.00 ,30515.00 ,9690.00 
2007/6/6,30255.00 ,30480.00 ,30210.00 ,30295.00 ,3412.00 
2007/6/7,30000.00 ,30170.00 ,29800.00 ,29900.00 ,4948.00 
2007/6/8,29900.00 ,29980.00 ,29620.00 ,29685.00 ,2102.00 
2007/6/11,29600.00 ,29940.00 ,29520.00 ,29940.00 ,1470.00 
2007/6/12,30185.00 ,30185.00 ,29615.00 ,29615.00 ,638.00 
2007/6/13,29600.00 ,29820.00 ,29500.00 ,29650.00 ,666.00 
2007/6/14,29485.00 ,29580.00 ,29320.00 ,29400.00 ,820.00 
2007/6/15,29225.00 ,29410.00 ,28650.00 ,28750.00 ,2032.00 
2007/6/18,29000.00 ,29280.00 ,28505.00 ,29200.00 ,1748.00 
2007/6/19,28450.00 ,28860.00 ,28450.00 ,28635.00 ,556.00 
2007/6/20,28785.00 ,29270.00 ,28505.00 ,28800.00 ,578.00 
2007/6/21,28600.00 ,28780.00 ,28600.00 ,28730.00 ,1734.00 
2007/6/22,28200.00 ,28200.00 ,28000.00 ,28005.00 ,530.00 
2007/6/25,28000.00 ,28000.00 ,26950.00 ,26950.00 ,462.00 
2007/6/26,27000.00 ,27000.00 ,26200.00 ,26250.00 ,884.00 
2007/6/27,25325.00 ,25965.00 ,25310.00 ,25310.00 ,178.00 
2007/6/28,25210.00 ,26340.00 ,24315.00 ,26340.00 ,1096.00 
2007/6/29,26795.00 ,26850.00 ,25860.00 ,26750.00 ,616.00 
2007/7/2,26480.00 ,26650.00 ,26300.00 ,26600.00 ,390.00 
2007/7/3,27100.00 ,27500.00 ,27100.00 ,27500.00 ,160.00 
2007/7/4,27200.00 ,27400.00 ,26850.00 ,27000.00 ,310.00 
2007/7/5,27000.00 ,27000.00 ,27000.00 ,27000.00 ,10.00 
2007/7/6,26500.00 ,27000.00 ,26410.00 ,27000.00 ,380.00 
2007/7/9,27000.00 ,27100.00 ,27000.00 ,27100.00 ,250.00 
2007/7/10,27000.00 ,27000.00 ,26800.00 ,26800.00 ,70.00 
2007/7/11,26300.00 ,26800.00 ,26300.00 ,26700.00 ,210.00 
2007/7/12,26980.00 ,26980.00 ,26800.00 ,26800.00 ,50.00 
2007/7/13,26800.00 ,27200.00 ,26800.00 ,27010.00 ,330.00 
2007/7/16,27200.00 ,27200.00 ,27200.00 ,27200.00 ,10.00 
2007/7/17,26820.00 ,27040.00 ,26780.00 ,27040.00 ,370.00 
2007/7/18,27000.00 ,27325.00 ,25780.00 ,27245.00 ,1122.00 
2007/7/19,27400.00 ,27400.00 ,27130.00 ,27385.00 ,362.00 
2007/7/20,27750.00 ,28405.00 ,27745.00 ,28405.00 ,1152.00 
2007/7/23,28700.00 ,29700.00 ,26605.00 ,29200.00 ,570.00 
2007/7/24,28300.00 ,28940.00 ,28300.00 ,28480.00 ,446.00 
2007/7/25,28700.00 ,28995.00 ,28700.00 ,28850.00 ,338.00 
2007/7/26,28400.00 ,29200.00 ,28400.00 ,29000.00 ,134.00 
2007/7/27,28000.00 ,29495.00 ,28000.00 ,28300.00 ,562.00 
