,update_date,open,high,low,close,volume,Date,volume,invest_signal
2015-12-14,2015-12-14 09:05:00,12789.92,12813.2,12783.84,12794.26,12846.0,2015-12-14,795300,0.0
2015-12-15,2015-12-15 09:05:00,12868.1,12881.02,12848.94,12871.4,8778.0,2015-12-15,681800,1.0
2015-12-16,2015-12-16 09:05:00,12664.1,12667.54,12648.75,12667.54,10760.0,2015-12-16,601400,0.0
2016-03-22,2016-03-22 09:05:00,14523.53,14523.53,14480.36,14484.29,13054.0,2016-03-22,535900,0.0
2016-03-23,2016-03-23 09:05:00,14458.67,14473.8,14458.67,14473.8,6278.0,2016-03-23,411400,1.0
2016-03-24,2016-03-24 09:05:00,14256.58,14257.59,14237.75,14241.67,5020.0,2016-03-24,484500,1.0
2016-03-25,2016-03-25 09:05:00,14198.24,14204.36,14175.69,14204.36,5640.0,2016-03-25,252200,1.0
2016-03-28,2016-03-28 09:05:00,14308.31,14318.86,14236.37,14251.49,11826.0,2016-03-28,239400,1.0
2016-03-29,2016-03-29 09:05:00,14329.63,14333.02,14301.63,14311.44,5730.0,2016-03-29,291700,1.0
2016-03-30,2016-03-30 09:05:00,14241.62,14248.37,14209.43,14209.43,8408.0,2016-03-30,327000,1.0
2016-03-31,2016-03-31 09:05:00,14163.69,14163.69,14141.29,14146.84,9584.0,2016-03-31,339600,1.0
2016-04-01,2016-04-01 09:05:00,14295.16,14320.51,14295.16,14318.15,8464.0,2016-04-01,416900,1.0
2016-04-05,2016-04-05 09:05:00,14464.12,14500.82,14447.07,14469.17,15816.0,2016-04-05,201800,1.0
2016-04-06,2016-04-06 09:05:00,14329.96,14335.79,14314.84,14318.65,7212.0,2016-04-06,313200,1.0
2016-04-07,2016-04-07 09:05:00,14258.74,14283.43,14245.44,14264.71,7890.0,2016-04-07,308800,1.0
2016-04-08,2016-04-08 09:05:00,13966.51,13978.79,13956.86,13966.61,6456.0,2016-04-08,427800,1.0
2016-04-11,2016-04-11 09:05:00,14102.89,14126.8,14088.29,14103.61,10430.0,2016-04-11,389300,1.0
2016-04-12,2016-04-12 09:05:00,14064.07,14077.17,14060.34,14070.66,3206.0,2016-04-12,307000,1.0
2016-04-13,2016-04-13 09:05:00,14744.05,14764.97,14737.81,14759.32,27986.0,2016-04-13,717100,1.0
2016-04-14,2016-04-14 09:05:00,15015.33,15102.12,15015.33,15091.1,25080.0,2016-04-14,979400,1.0
2016-04-15,2016-04-15 09:05:00,14799.62,14828.59,14796.75,14808.22,7970.0,2016-04-15,598100,1.0
2016-04-18,2016-04-18 09:05:00,14980.16,15063.18,14967.06,15060.09,23264.0,2016-04-18,884500,1.0
2016-04-19,2016-04-19 09:05:00,15082.88,15103.67,15082.88,15099.15,13764.0,2016-04-19,699800,1.0
2016-04-20,2016-04-20 09:05:00,15215.09,15252.94,15204.47,15251.11,17196.0,2016-04-20,712700,1.0
2016-04-21,2016-04-21 09:05:00,15120.47,15190.27,15117.58,15185.4,11592.0,2016-04-21,894500,0.0
2016-05-04,2016-05-04 11:10:00,14983.41,14986.68,14983.41,14986.68,1152.0,2016-05-04,413300,0.0
2016-05-05,2016-05-05 09:05:00,14992.32,15026.1,14983.62,14983.73,6816.0,2016-05-05,458500,1.0
2016-05-06,2016-05-06 09:45:00,14787.18,14790.21,14783.65,14787.31,369446.0,2016-05-06,555300,1.0
2016-05-09,2016-05-09 09:05:00,14896.21,14896.21,14842.44,14855.06,25600.0,2016-05-09,764600,0.0
