,update_date,open,high,low,close,volume,Date,volume,invest_signal,return_rate
2015-04-20,2015-04-20 09:05:00,16721.12,16721.12,16653.02,16658.81,8216.0,2015-04-20 00:00:00,180600,0.5,-0.0173238825242
2015-04-21,2015-04-21 09:05:00,16433.94,16462.28,16429.39,16459.6,3376.0,2015-04-21 00:00:00,172500,0.5,0.00658955888642
2015-04-22,2015-04-22 09:05:00,16542.59,16550.99,16536.64,16540.1,1628.0,2015-04-22 00:00:00,143500,1.0,0.0049169869243
2015-04-23,2015-04-23 09:05:00,16624.13,16642.1,16613.49,16641.83,4542.0,2015-04-23 00:00:00,184700,1.0,-0.00283845865754
2015-04-24,2015-04-24 09:05:00,16577.01,16595.5,16558.41,16563.1,3660.0,2015-04-24 00:00:00,133500,1.0,0.0074326414686
2015-04-27,2015-04-27 09:05:00,16700.68,16710.4,16691.38,16698.45,8010.0,2015-04-27 00:00:00,309200,1.0,0.0206743732627
2015-04-28,2015-04-28 09:05:00,17049.55,17049.55,17016.51,17016.51,6708.0,2015-04-28 00:00:00,290100,1.0,-0.0051211434041
2015-04-29,2015-04-29 09:05:00,16962.46,16988.66,16951.52,16951.52,4980.0,2015-04-29 00:00:00,210800,1.0,1.70964306498e-05
2015-04-30,2015-04-30 09:05:00,16962.75,16974.65,16950.92,16960.82,4552.0,2015-04-30 00:00:00,276200,1.0,0.00816103400771
2015-05-04,2015-05-04 09:05:00,17101.75,17127.86,17071.01,17097.34,13952.0,2015-05-04 00:00:00,170300,1.0,0.0022522019002
2015-05-05,2015-05-05 09:05:00,17140.31,17153.97,17124.32,17144.03,4850.0,2015-05-05 00:00:00,198600,1.0,0.014350189315
2015-05-06,2015-05-06 09:05:00,17388.05,17434.3,17388.05,17431.66,9494.0,2015-05-06 00:00:00,381300,1.0,-0.0125746691039
2015-05-07,2015-05-07 09:05:00,17170.77,17233.76,17170.77,17191.31,7784.0,2015-05-07 00:00:00,224800,1.0,0.0015148004341
2015-05-08,2015-05-08 09:05:00,17196.8,17212.04,17179.12,17201.43,3894.0,2015-05-08 00:00:00,241400,1.0,-0.00532385538516
2015-05-11,2015-05-11 09:05:00,17105.49,17109.48,17069.74,17088.82,8048.0,2015-05-11 00:00:00,245500,1.0,-0.158600563419
