update_date,volume,position,position_diff,turn_over_rate
2007/3/26,21606.00 ,6068.00 ,,
2007/3/27,17198.00 ,7962.00 ,1894.00 ,9.08 
2007/3/28,9026.00 ,8666.00 ,704.00 ,12.82 
2007/3/29,9190.00 ,9566.00 ,900.00 ,10.21 
2007/3/30,14140.00 ,10736.00 ,1170.00 ,12.09 
2007/4/2,6046.00 ,11042.00 ,306.00 ,19.76 
2007/4/3,12742.00 ,11870.00 ,828.00 ,15.39 
2007/4/4,9230.00 ,12292.00 ,422.00 ,21.87 
2007/4/5,19804.00 ,14856.00 ,2564.00 ,7.72 
2007/4/6,62900.00 ,18620.00 ,3764.00 ,16.71 
2007/4/9,34082.00 ,21114.00 ,2494.00 ,13.67 
2007/4/10,132998.00 ,27646.00 ,6532.00 ,20.36 
2007/4/11,118144.00 ,29340.00 ,1694.00 ,69.74 
2007/4/12,114138.00 ,32888.00 ,3548.00 ,32.17 
2007/4/13,59808.00 ,29552.00 ,-3336.00 ,-17.93 
2007/4/16,59672.00 ,31364.00 ,1812.00 ,32.93 
2007/4/17,76410.00 ,32702.00 ,1338.00 ,57.11 
2007/4/18,25508.00 ,31066.00 ,-1636.00 ,-15.59 
2007/4/19,146222.00 ,32622.00 ,1556.00 ,93.97 
2007/4/20,129208.00 ,32214.00 ,-408.00 ,-316.69 
2007/4/23,110814.00 ,34920.00 ,2706.00 ,40.95 
2007/4/24,102662.00 ,38560.00 ,3640.00 ,28.20 
2007/4/25,125850.00 ,36504.00 ,-2056.00 ,-61.21 
2007/4/26,67730.00 ,37978.00 ,1474.00 ,45.95 
2007/4/27,73880.00 ,34952.00 ,-3026.00 ,-24.42 
2007/4/30,50978.00 ,32224.00 ,-2728.00 ,-18.69 
2007/5/8,658.00 ,31922.00 ,-302.00 ,-2.18 
2007/5/9,100186.00 ,39332.00 ,7410.00 ,13.52 
2007/5/10,110314.00 ,43922.00 ,4590.00 ,24.03 
2007/5/11,87832.00 ,39636.00 ,-4286.00 ,-20.49 
