,沪铜指数,,,,沪铝指数,,,,沪锌指数,,,,沪镍指数,,,,沪铅指数,,,,铁矿指数,,,,螺纹指数,,,,热卷指数,,,,焦炭指数,,,,焦煤指数,,,,玉米指数,,,,动煤指数,,,,豆粕指数,,,,郑糖指数,,,,沪胶指数,,,,连豆指数,,,,沪银指数,,,,沪金指数,,,,胶板指数,,,,豆二指数,,,,沥青指数,,,,郑棉指数,,,,淀粉指数,,,,纤板指数,,,,玻璃指数,,,,燃油指数,,,,鸡蛋指数,,,,粳稻指数,,,,塑料指数,,,,晚稻指数,,,,甲醇指数,,,,菜油指数,,,,棕榈指数,,,,普麦指数,,,,PP指数,,,,早稻指数,,,,菜粕指数,,,,菜籽指数,,,,硅铁指数,,,,锰硅指数,,,,沪锡指数,,,,TA指数,,,,PVC指数,,,,强麦指数,,,,线材指数,,,,豆油指数,
,CUFI.WI,,,,ALFI.WI,,,,ZNFI.WI,,,,NIFI.WI,,,,PBFI.WI,,,,IFI.WI,,,,RBFI.WI,,,,HCFI.WI,,,,JFI.WI,,,,JMFI.WI,,,,CFI.WI,,,,ZCFI.WI,,,,MFI.WI,,,,SRFI.WI,,,,RUFI.WI,,,,AFI.WI,,,,AGFI.WI,,,,AUFI.WI,,,,BBFI.WI,,,,BFI.WI,,,,BUFI.WI,,,,CFFI.WI,,,,CSFI.WI,,,,FBFI.WI,,,,FGFI.WI,,,,FUFI.WI,,,,JDFI.WI,,,,JRFI.WI,,,,LFI.WI,,,,LRFI.WI,,,,MAFI.WI,,,,OIFI.WI,,,,PFI.WI,,,,PMFI.WI,,,,PPFI.WI,,,,RIFI.WI,,,,RMFI.WI,,,,RSFI.WI,,,,SFFI.WI,,,,SMFI.WI,,,,SNFI.WI,,,,TAFI.WI,,,,VFI.WI,,,,WHFI.WI,,,,WRFI.WI,,,,YFI.WI,
日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅,,日期,收盘价,涨跌幅
Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg,,Date,close,pct_chg
2002-01-04,15154.1102,0.0000,,2002-01-04,13482.8060,0.0000,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,1594.8679,0.0000,,2002-01-04,,,,2002-01-04,6599.6987,0.0000,,2002-01-04,1941.0727,0.0000,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,,,2002-01-04,,
2002-01-07,15192.4111,0.2527,,2002-01-07,13510.3968,0.2046,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,1636.0935,2.5849,,2002-01-07,,,,2002-01-07,6558.8387,-0.6191,,2002-01-07,1996.3377,2.8471,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,,,2002-01-07,,
2002-01-08,15646.0979,2.9863,,2002-01-08,13838.8137,2.4308,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,1648.4386,0.7545,,2002-01-08,,,,2002-01-08,6626.5215,1.0319,,2002-01-08,2037.8887,2.0814,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,,,2002-01-08,,
2002-01-09,15664.8426,0.1198,,2002-01-09,13717.4196,-0.8772,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,1618.8163,-1.7970,,2002-01-09,,,,2002-01-09,6665.2418,0.5843,,2002-01-09,2074.3145,1.7874,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,,,2002-01-09,,
2002-01-10,15614.8037,-0.3194,,2002-01-10,13690.0786,-0.1993,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,1610.6338,-0.5055,,2002-01-10,,,,2002-01-10,6644.9695,-0.3041,,2002-01-10,2078.9507,0.2235,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,,,2002-01-10,,
2002-01-11,15631.0736,0.1042,,2002-01-11,13672.4208,-0.1290,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,1612.2289,0.0990,,2002-01-11,,,,2002-01-11,6793.2494,2.2315,,2002-01-11,2075.4294,-0.1694,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,,,2002-01-11,,
2002-01-14,15638.3785,0.0467,,2002-01-14,13675.0782,0.0194,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,1623.1674,0.6785,,2002-01-14,,,,2002-01-14,6928.4777,1.9906,,2002-01-14,2107.4803,1.5443,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,,,2002-01-14,,
