page_number,url,title,article
0,https://www.cars.com/articles/honda-recalls-37000-accords-for-possible-takata-airbag-inflators-1420694928597/,"Honda Recalls 37,000 Accords for Possible Takata Airbag Inflators","
	When exposed to long-term humidity, Takata's ammonium-nitrate inflators can inflate with too much force and rupture, sending shrapnel into the cabin during an airbag deployment. The crisis has been linked to 11 U.S. deaths and triggered the largest recall in U.S. automotive history, with some 46 million inflators in 29 million cars in the U.S. alone as of early 2017. Regulators expect the Takata recall will balloon to some 64 to 69 million inflators in 42 million U.S. cars by 2020.
"
0,https://www.cars.com/articles/2013-2014-nissan-murano-recall-alert-1420694680320/,2013-2014 Nissan Murano: Recall Alert,
0,https://www.cars.com/articles/2014-ford-fiesta-2013-2014-fusion-2013-2014-lincoln-mkz-recall-alert-1420694733113/,"2014 Ford Fiesta, 2013-2014 Fusion, 2013-2014 Lincoln MKZ: Recall Alert",
0,https://www.cars.com/articles/2013-2015-ford-escape-fiesta-st-fusion-transit-connect-1420694733115/,"2013-2015 Ford Escape, Fiesta ST, Fusion, Transit Connect: Recall Alert","
	Ford said it is aware of 29 reports of fire associated with this issue in the U.S. and Canada, but no injuries.
"
0,https://www.cars.com/articles/2014-fiat-500l-recall-alert-1420694757171/,2014 Fiat 500L: Recall Alert,"
	The automaker added that if the condition occurs, drivers can resolve it by fully releasing the pedal and then reinitiating pedal input.
"
0,https://www.cars.com/articles/2016-smart-fortwo-recall-alert-1420694800693/,2016 Smart ForTwo: Recall Alert,"
CARS.COM

Vehicles Affected: Approximately 2,200 model-year 2016 Smart ForTwo microcars

The Problem: The horizontal headlight adjustment mechanism may not have been properly sealed off to prevent future adjustment. This could allow the headlight to be adjusted outside of design specifications, reducing the driver's visibility and potentially blinding oncoming drivers, which increases the risk of a crash.

The Fix: Dealers will install the correct sealing caps to prevent the headlights from being adjusted horizontally for free.

What Owners Should Do: Smart manufacturer Mercedes-Benz did not immediately provide an owner notification schedule. Owners can call the automaker at 800-367-6372, the National Highway Traffic Safety Administration's vehicle-safety hotline at 888-327-4236 or visit www.safercar.gov to check their vehicle identification number and learn more.

Need to Find a Dealer for Service? Go to Cars.com Service & Repair to find your local dealer.

More Recalls
"
0,https://www.cars.com/articles/2017-audi-a3-s3-recall-alert-1420694848738/,"2017 Audi A3, S3: Recall Alert","
CARS.COM

Vehicles Affected: Approximately 12,000 model-year 2017 Audi A3 and S3 luxury cars

The Problem: In a lower-speed crash, the airbag control unit software may deploy the passenger frontal airbag improperly if the front-seat passenger is sitting on the edge of the seat or lying in the seat reclined. If the airbag deploys with more force than intended, it increases the risk of an injury.

The Fix: Dealers will update the airbag control module software for free.

What Owners Should Do: Audi manufacturer Volkswagen will begin notifying owners this month. Owners can call Audi at 800-253-2834, the National Highway Traffic Safety Administration's vehicle-safety hotline at 888-327-4236 or visit www.safercar.gov to check your vehicle identification number and learn more.

Need to Find a Dealer for Service? Go to Cars.com Service & Repair to find your local dealer.

More Recalls
"
0,https://www.cars.com/articles/2011-2014-kia-optima-2012-2014-sorento-and-2011-2013-sportage-recall-alert-1420694927842/,"2011-2014 Kia Optima, 2012-2014 Sorento and 2011-2013 Sportage: Recall Alert","
CARS.COM

Vehicles Affected: Approximately 618,000 model-year 2011-14 Kia Optima sedans, model-year 2012-14 Sorento SUVs and model-year 2011-2013 Sportage SUVs

The Problem: Machining errors during the engine manufacturing process may cause premature bearing wear within the engine; this could result in the engine seizing, increasing the risk of a crash.

The Fix: Dealers will inspect the engine assembly and replace it, as necessary, for free.

What Owners Should Do: Kia will begin notifying owners on May 25. Owners can call the automaker at 800-333-4542, the National Highway Traffic Safety Administration's vehicle-safety hotline at 888-327-4236 or visit www.safercar.gov to check your vehicle identification number and learn more.

Need to Find a Dealer for Service? Go to Cars.com Service & Repair to find your local dealer.

More Recalls
"
0,https://www.cars.com/articles/2013-2014-hyundai-sonata-santa-fe-sport-recall-alert-1420694928741/,"2013-2014 Hyundai Sonata, Santa Fe Sport: Recall Alert","
CARS.COM

Vehicles Affected: Approximately 572,000 model-year 2013-14 Hyundai Sonata sedans and Santa Fe Sport SUVs

The Problem: Machining errors during the engine manufacturing process may cause premature bearing wear within the engine; this could result in the engine seizing, increasing the risk of a crash.

The Fix: Dealers will inspect the engine and replace the engine short block, as necessary, for free.

What Owners Should Do: Hyundai will begin notifying owners on May 19. Owners can call the automaker at 800-633-5151, the National Highway Traffic Safety Administration's vehicle-safety hotline at 888-327-4236 or visit www.safercar.gov to check their vehicle identification number and learn more.

Need to Find a Dealer for Service? Go to Cars.com Service & Repair to find your local dealer.

More Recalls
"
0,https://www.cars.com/articles/2016-2017-mini-clubman-cooper-s-clubman-and-john-cooper-works-clubman-recall-alert-1420694930510/,"2016-2017 Mini Clubman, Cooper S Clubman and John Cooper Works Clubman: Recall Alert","
CARS.COM

Vehicles Affected: Approximately 17,000 model-year 2016-17 Mini Clubman, Cooper S Clubman and John Cooper Works Clubman cars

The Problem: When the affected vehicles are braking and the turn signals are on, the inner, bumper-mounted brake light will go out, possibly confusing other drivers and increasing the risk of a crash.

The Fix: Dealers will reprogram the vehicle to correct the brake lighting for free.

What Owners Should Do: Mini manufacturer BMW will begin notifying owners on May 22. Owners can call Mini at 866-825-1525, the National Highway Traffic Safety Administration's vehicle-safety hotline at 888-327-4236 or visit www.safercar.gov to check their vehicle identification number and learn more.

Need to Find a Dealer for Service? Go to Cars.com Service & Repair to find your local dealer.

More Recalls
"
