,SHFE铜,,,,
,CU.SHF,,,,
日期,开盘价,最高价,最低价,收盘价,成交量
Date,open,high,low,close,volume
2016-03-09,37920.0000,37920.0000,36800.0000,37320.0000,852456.0000
2016-03-10,37440.0000,37670.0000,37250.0000,37300.0000,521714.0000
2016-03-11,37350.0000,37740.0000,37040.0000,37710.0000,506820.0000
2016-03-14,37540.0000,38150.0000,37490.0000,37750.0000,527542.0000
2016-03-15,37700.0000,37710.0000,37130.0000,37250.0000,484084.0000
2016-03-16,37200.0000,37620.0000,37080.0000,37570.0000,448986.0000
2016-03-17,37450.0000,37970.0000,37370.0000,37940.0000,467704.0000
2016-03-18,37870.0000,38690.0000,37830.0000,38380.0000,800538.0000
2016-03-21,38300.0000,38440.0000,37930.0000,38160.0000,493144.0000
2016-03-22,38180.0000,38430.0000,38060.0000,38150.0000,418080.0000
2016-03-23,38200.0000,38420.0000,38040.0000,38160.0000,341424.0000
2016-03-24,38110.0000,38120.0000,37430.0000,37630.0000,532272.0000
2016-03-25,37490.0000,37800.0000,37400.0000,37750.0000,212472.0000
2016-03-28,37750.0000,37870.0000,37500.0000,37510.0000,171106.0000
2016-03-29,37660.0000,38090.0000,37490.0000,37590.0000,185848.0000
2016-03-30,37660.0000,37660.0000,36850.0000,36990.0000,357590.0000
2016-03-31,37040.0000,37290.0000,36640.0000,36860.0000,335052.0000
2016-04-01,36780.0000,37150.0000,36730.0000,37120.0000,323898.0000
2016-04-05,36660.0000,36850.0000,36500.0000,36730.0000,204600.0000
2016-04-06,36600.0000,36810.0000,36550.0000,36730.0000,237194.0000
2016-04-07,36560.0000,36880.0000,36560.0000,36650.0000,260044.0000
2016-04-08,36400.0000,36400.0000,35610.0000,35760.0000,506212.0000
2016-04-11,35760.0000,36150.0000,35730.0000,35830.0000,442994.0000
2016-04-12,35800.0000,36060.0000,35600.0000,35980.0000,384698.0000
2016-04-13,36110.0000,37360.0000,36040.0000,36830.0000,786206.0000
2016-04-14,36930.0000,37150.0000,36780.0000,36850.0000,366646.0000
2016-04-15,37030.0000,37130.0000,36740.0000,36780.0000,357608.0000
2016-04-18,36690.0000,37080.0000,36560.0000,36610.0000,421168.0000
2016-04-19,36770.0000,37170.0000,36730.0000,36940.0000,430730.0000
2016-04-20,37010.0000,37740.0000,36950.0000,37360.0000,669188.0000
2016-04-21,37520.0000,38220.0000,37350.0000,38100.0000,595434.0000
2016-04-22,38400.0000,38570.0000,37460.0000,37970.0000,560744.0000
2016-04-25,38110.0000,39010.0000,37880.0000,38120.0000,539090.0000
2016-04-26,38200.0000,38230.0000,37530.0000,37710.0000,232600.0000
2016-04-27,37710.0000,37950.0000,37510.0000,37630.0000,188230.0000
2016-04-28,37600.0000,37720.0000,37010.0000,37280.0000,261212.0000
2016-04-29,37290.0000,37800.0000,37180.0000,37660.0000,214126.0000
2016-05-03,37780.0000,37970.0000,37420.0000,37910.0000,199440.0000
2016-05-04,37680.0000,37780.0000,37140.0000,37230.0000,325310.0000
2016-05-05,37220.0000,37340.0000,36820.0000,36840.0000,380366.0000
2016-05-06,36810.0000,36920.0000,36330.0000,36620.0000,371676.0000
2016-05-09,36540.0000,36970.0000,35780.0000,35840.0000,574206.0000
2016-05-10,35780.0000,36080.0000,35670.0000,35950.0000,384000.0000
2016-05-11,35880.0000,36080.0000,35690.0000,35960.0000,328504.0000
2016-05-12,36080.0000,36520.0000,35820.0000,36240.0000,456792.0000
2016-05-13,36240.0000,36380.0000,35030.0000,35480.0000,644522.0000
2016-05-16,35390.0000,35770.0000,35120.0000,35610.0000,384188.0000
2016-05-17,35500.0000,35960.0000,35500.0000,35900.0000,332574.0000
2016-05-18,35700.0000,35940.0000,35290.0000,35380.0000,469084.0000
2016-05-19,35210.0000,35640.0000,35110.0000,35200.0000,402516.0000
2016-05-20,35160.0000,35440.0000,34820.0000,35320.0000,391992.0000
2016-05-23,35480.0000,35570.0000,34880.0000,35170.0000,433462.0000
2016-05-24,35200.0000,35370.0000,35030.0000,35190.0000,304944.0000
2016-05-25,35460.0000,35700.0000,35280.0000,35490.0000,350164.0000
2016-05-26,35750.0000,36080.0000,35640.0000,36060.0000,302290.0000
2016-05-27,36090.0000,36210.0000,35610.0000,35840.0000,229682.0000
2016-05-30,35990.0000,36060.0000,35630.0000,35710.0000,172624.0000
2016-05-31,35780.0000,35990.0000,35640.0000,35750.0000,173512.0000
2016-06-01,35810.0000,35890.0000,35120.0000,35190.0000,323974.0000
2016-06-02,35180.0000,35460.0000,35070.0000,35280.0000,273418.0000
