YM;ZT;ZM;LW;X;SL;L;LD;J;ZL;J;TA;PVC;DY
1662.60 ;4032.75 ;13029.76 ;3610.75 ;12859.85 ;9319.19 ;12716.59 ;3674.16 ;208.82 ;6591.83 ;14901.93 ;6811.37 ;6493.13 ;7511.90 
1657.34 ;4050.05 ;12980.66 ;3603.03 ;12700.62 ;9300.48 ;12668.66 ;3648.34 ;208.04 ;6456.70 ;14577.79 ;6840.74 ;6480.78 ;7414.43 
1658.71 ;4051.55 ;12989.39 ;3611.95 ;12788.76 ;9339.44 ;12710.28 ;3687.76 ;208.00 ;6492.25 ;14745.19 ;6808.83 ;6509.07 ;7426.48 
1674.79 ;4065.53 ;12914.37 ;3648.70 ;13261.97 ;9683.20 ;12852.63 ;3766.42 ;215.03 ;6818.27 ;15437.69 ;6998.65 ;6598.22 ;7808.52 
1671.83 ;4094.70 ;13070.06 ;3656.86 ;13190.27 ;9661.29 ;12870.15 ;3757.10 ;212.16 ;6811.93 ;15341.96 ;6946.02 ;6590.85 ;7822.88 
1680.11 ;4079.16 ;13054.55 ;3671.88 ;13408.41 ;9826.68 ;13117.74 ;3774.82 ;216.19 ;6819.46 ;15494.73 ;6940.22 ;6624.10 ;7876.32 
1671.31 ;4084.52 ;12983.13 ;3701.72 ;13249.09 ;9760.26 ;13049.10 ;3757.55 ;212.00 ;6688.53 ;15270.23 ;6826.05 ;6601.89 ;7769.30 
1650.71 ;4145.35 ;12954.78 ;3757.61 ;13496.05 ;9978.54 ;13448.25 ;3771.99 ;214.33 ;6749.09 ;15771.69 ;6846.95 ;6699.22 ;7843.72 
1629.19 ;4122.66 ;12894.59 ;3789.69 ;13387.33 ;10021.79 ;13331.69 ;3727.39 ;209.44 ;6634.79 ;15671.03 ;6843.09 ;6965.91 ;7750.41 
1637.32 ;4126.90 ;12965.28 ;3780.94 ;13504.65 ;10081.08 ;13431.41 ;3734.85 ;209.14 ;6646.26 ;15758.48 ;6729.14 ;7033.46 ;7800.50 
1638.22 ;4124.48 ;13050.96 ;3810.18 ;13688.74 ;10125.17 ;13534.94 ;3709.77 ;209.86 ;6539.38 ;15746.01 ;6742.08 ;6988.60 ;7761.75 
1640.74 ;4109.54 ;13147.44 ;3880.29 ;13723.05 ;10134.31 ;13472.75 ;3733.69 ;209.50 ;6506.10 ;15596.70 ;6782.55 ;6957.72 ;7680.32 
1637.57 ;4103.92 ;13275.04 ;3866.53 ;13834.47 ;10017.41 ;13484.59 ;3694.74 ;208.95 ;6439.12 ;15248.56 ;6835.60 ;6850.85 ;7577.08 
1627.94 ;4073.59 ;13330.36 ;3851.11 ;13507.83 ;9885.50 ;13314.97 ;3671.32 ;204.93 ;6320.09 ;15084.23 ;6887.10 ;6872.62 ;7509.45 
1629.06 ;4081.22 ;13405.82 ;3867.66 ;13475.76 ;9919.54 ;13362.48 ;3667.57 ;205.37 ;6358.24 ;15235.37 ;6820.35 ;6869.91 ;7583.04 
1640.00 ;4100.98 ;13326.62 ;3854.82 ;13531.90 ;9921.39 ;13451.60 ;3664.81 ;206.32 ;6333.71 ;15208.78 ;6812.31 ;6952.55 ;7542.54 
1634.46 ;4067.84 ;13223.93 ;3845.05 ;13444.66 ;10006.36 ;13465.10 ;3658.93 ;206.45 ;6218.68 ;15043.18 ;6886.71 ;6952.50 ;7452.80 
1634.23 ;4124.66 ;13223.35 ;3909.10 ;13377.24 ;10041.57 ;13453.96 ;3661.33 ;205.08 ;6197.36 ;15133.89 ;6979.09 ;6933.40 ;7457.64 
1633.19 ;4103.78 ;13144.88 ;3921.73 ;13221.76 ;9878.78 ;13428.82 ;3612.78 ;205.03 ;6108.36 ;15030.64 ;6948.06 ;6852.85 ;7309.60 
1640.90 ;4093.18 ;13179.55 ;3884.13 ;13209.63 ;9690.77 ;13317.07 ;3664.53 ;201.63 ;6060.67 ;14812.63 ;6784.76 ;6813.72 ;7343.19 
1634.39 ;4094.36 ;13181.44 ;3872.77 ;13417.10 ;9751.17 ;13441.22 ;3639.59 ;203.92 ;6037.72 ;14809.71 ;6807.50 ;6807.56 ;7291.29 
1636.71 ;4094.07 ;13164.01 ;3869.10 ;13466.45 ;9848.59 ;13437.20 ;3640.42 ;205.50 ;6167.21 ;15290.56 ;6820.02 ;6854.69 ;7394.98 
1639.40 ;4124.66 ;13183.91 ;3857.18 ;13591.05 ;10055.14 ;13534.68 ;3660.54 ;207.13 ;6224.47 ;15512.80 ;6862.72 ;6903.33 ;7444.02 
1640.25 ;4123.76 ;13232.37 ;3832.36 ;13487.45 ;9947.42 ;13431.85 ;3634.96 ;205.94 ;6083.88 ;15367.66 ;6825.68 ;6807.01 ;7298.28 
1641.26 ;4168.99 ;13242.35 ;3827.31 ;13462.33 ;10043.14 ;13441.39 ;3654.47 ;207.38 ;6130.03 ;15558.96 ;7014.33 ;6905.29 ;7337.99 
1644.38 ;4183.19 ;13273.47 ;3841.99 ;13450.85 ;10048.58 ;13438.64 ;3687.54 ;204.48 ;6161.02 ;15478.46 ;7000.46 ;6875.49 ;7435.66 
1643.18 ;4170.62 ;13277.96 ;3868.10 ;13455.68 ;10033.14 ;13481.51 ;3672.60 ;206.08 ;6006.62 ;15170.49 ;7036.48 ;6861.23 ;7323.32 
1635.99 ;4172.99 ;13279.25 ;3860.67 ;13432.89 ;10180.88 ;13507.31 ;3632.34 ;205.17 ;5818.04 ;15121.77 ;7012.79 ;6890.02 ;7160.56 
1621.26 ;4173.17 ;13315.86 ;3866.42 ;13272.42 ;10342.80 ;13430.34 ;3597.85 ;203.45 ;5795.27 ;15062.56 ;7048.90 ;6894.91 ;7133.56 
1626.99 ;4165.44 ;13358.41 ;3871.76 ;13366.33 ;10488.55 ;13496.48 ;3598.11 ;203.20 ;5783.67 ;15468.21 ;7041.63 ;6942.87 ;7140.18 
1617.66 ;4130.17 ;13355.45 ;3851.54 ;13203.13 ;10320.52 ;13457.68 ;3515.53 ;202.88 ;5528.27 ;15292.72 ;6998.18 ;6894.40 ;6873.35 
1620.79 ;4157.88 ;13400.72 ;3866.85 ;13236.36 ;10310.68 ;13412.11 ;3516.65 ;201.07 ;5568.84 ;15514.85 ;7114.67 ;6892.74 ;6886.18 
1636.65 ;4143.48 ;13484.07 ;3892.07 ;13197.50 ;10265.03 ;13419.50 ;3529.54 ;200.58 ;5583.47 ;15470.83 ;7108.32 ;6902.86 ;6925.57 
1635.17 ;4116.05 ;13513.21 ;3905.32 ;12724.17 ;10057.43 ;13347.92 ;3498.90 ;200.12 ;5530.78 ;15250.61 ;7182.37 ;6866.48 ;6848.29 
1637.99 ;4085.74 ;13668.45 ;3919.15 ;12901.65 ;10175.05 ;13389.59 ;3511.87 ;202.35 ;5624.06 ;15473.21 ;7279.92 ;6882.09 ;6944.62 
1637.04 ;4096.41 ;13680.29 ;3995.11 ;13251.00 ;10259.78 ;13518.82 ;3547.46 ;204.11 ;5733.14 ;16023.96 ;7285.22 ;6943.96 ;7049.16 
1626.23 ;4115.94 ;13627.41 ;4026.70 ;13246.90 ;10387.76 ;13541.42 ;3515.80 ;205.33 ;5705.64 ;16123.57 ;7261.48 ;6942.66 ;6997.80 
1628.37 ;4099.67 ;13609.67 ;4002.56 ;13420.88 ;10376.60 ;13656.39 ;3508.42 ;205.35 ;5735.53 ;16579.71 ;7227.67 ;7008.65 ;7041.98 
1632.58 ;4130.28 ;13616.90 ;4026.00 ;13890.01 ;10534.42 ;13944.58 ;3563.27 ;207.55 ;5844.68 ;16959.82 ;7223.73 ;7041.32 ;7152.81 
1629.10 ;4072.04 ;13619.85 ;4033.00 ;13739.61 ;10323.96 ;13844.21 ;3534.49 ;207.78 ;5785.38 ;16778.00 ;7238.44 ;6945.02 ;7107.88 
1630.39 ;4067.09 ;13576.37 ;4069.58 ;13753.22 ;10356.01 ;13832.64 ;3566.39 ;207.95 ;5735.39 ;16856.65 ;7286.91 ;6922.59 ;7103.07 
1632.57 ;4048.16 ;13626.89 ;4120.76 ;13827.55 ;10489.12 ;13910.87 ;3558.40 ;209.17 ;5768.05 ;16890.79 ;7382.13 ;6948.13 ;7114.10 
1633.56 ;4053.12 ;13677.90 ;4184.09 ;14113.79 ;10530.99 ;14205.99 ;3527.12 ;208.06 ;5688.93 ;17208.01 ;7482.10 ;6970.19 ;7058.47 
1633.41 ;4011.04 ;13697.65 ;4239.67 ;14525.89 ;10709.45 ;14831.51 ;3502.28 ;210.09 ;5652.22 ;17438.66 ;7628.92 ;7162.01 ;6986.85 
1638.82 ;4023.92 ;13678.82 ;4329.94 ;14477.02 ;10827.42 ;14744.53 ;3540.51 ;209.59 ;5845.43 ;17495.40 ;7791.77 ;7205.14 ;7155.68 
1632.82 ;4072.30 ;13602.77 ;4386.57 ;13853.51 ;10641.75 ;14234.61 ;3519.68 ;204.92 ;5797.12 ;17222.20 ;7758.43 ;7156.50 ;7121.73 
1631.91 ;4049.32 ;13607.78 ;4440.08 ;14021.30 ;10761.82 ;14609.65 ;3546.63 ;204.52 ;5826.76 ;17498.81 ;7798.72 ;7442.12 ;7151.24 
1645.94 ;4129.51 ;13631.88 ;4622.99 ;14600.20 ;11161.25 ;15123.08 ;3607.59 ;205.95 ;5990.71 ;18238.23 ;7906.50 ;7621.37 ;7310.87 
1653.02 ;4291.56 ;13671.60 ;4861.00 ;15110.91 ;11558.75 ;14970.69 ;3698.98 ;209.43 ;6226.64 ;18563.48 ;8207.27 ;7704.05 ;7455.74 
1648.86 ;4356.27 ;13617.25 ;4842.58 ;15207.90 ;11484.32 ;15053.86 ;3693.90 ;209.68 ;6260.04 ;18457.39 ;8322.93 ;7486.88 ;7491.87 
1649.34 ;4293.10 ;13615.27 ;4875.89 ;15296.53 ;11730.83 ;15203.34 ;3723.28 ;211.38 ;6264.35 ;18421.45 ;8314.96 ;7491.84 ;7562.94 
1645.20 ;4291.19 ;13509.25 ;4866.90 ;15332.37 ;11739.64 ;15336.55 ;3690.40 ;211.56 ;6184.82 ;18597.42 ;8294.28 ;7711.01 ;7418.69 
1635.00 ;4354.11 ;13464.27 ;4680.17 ;14916.60 ;11329.61 ;14969.22 ;3668.32 ;210.55 ;6234.25 ;18223.63 ;7963.59 ;7548.30 ;7379.24 
1645.21 ;4524.41 ;13630.58 ;4656.55 ;15304.38 ;11481.11 ;15298.38 ;3751.27 ;209.79 ;6534.61 ;18730.86 ;7942.80 ;7653.60 ;7580.37 
1649.67 ;4698.13 ;13883.40 ;4675.73 ;15180.74 ;11674.32 ;15161.70 ;3796.70 ;208.37 ;6509.31 ;19157.64 ;8222.22 ;7909.09 ;7601.24 
1647.36 ;4779.86 ;13813.71 ;4611.52 ;14840.42 ;11598.17 ;14906.82 ;3812.68 ;207.17 ;6517.40 ;18930.30 ;8231.12 ;7765.69 ;7647.62 
1708.16 ;4859.32 ;13907.45 ;4632.84 ;15350.87 ;11840.90 ;15266.32 ;3835.09 ;209.58 ;6568.31 ;19368.61 ;8180.59 ;7853.75 ;7721.40 
1696.63 ;4781.30 ;13717.13 ;4526.42 ;15189.92 ;11722.66 ;15254.12 ;3773.25 ;209.93 ;6447.27 ;19047.06 ;8242.48 ;7648.85 ;7584.25 
1703.33 ;4806.64 ;13524.00 ;4449.33 ;14481.38 ;11162.90 ;14591.67 ;3647.12 ;207.21 ;6183.79 ;18197.55 ;8041.77 ;7328.41 ;7349.97 
1707.21 ;4799.96 ;13562.46 ;4427.88 ;14790.10 ;11346.55 ;15085.61 ;3664.77 ;206.52 ;6270.19 ;18046.18 ;7949.05 ;7305.35 ;7435.75 
1677.44 ;4615.04 ;13436.51 ;4227.50 ;14531.24 ;11095.04 ;14853.99 ;3599.94 ;205.56 ;6145.79 ;17705.79 ;7771.12 ;7126.67 ;7277.88 
1694.48 ;4603.08 ;13534.62 ;4289.11 ;14996.47 ;11230.66 ;14974.95 ;3636.75 ;207.52 ;6310.12 ;18208.80 ;7812.75 ;7243.98 ;7408.26 
1704.51 ;4500.76 ;13445.83 ;4338.85 ;14883.94 ;11101.53 ;14825.86 ;3626.15 ;206.56 ;6231.78 ;17979.36 ;7771.49 ;7237.78 ;7346.91 
1733.40 ;4629.03 ;13581.96 ;4329.42 ;15540.20 ;11344.13 ;15165.70 ;3722.25 ;209.78 ;6454.24 ;18714.12 ;7809.15 ;7353.40 ;7561.77 
1726.19 ;4667.86 ;13497.91 ;4245.99 ;15296.39 ;11090.55 ;14983.90 ;3718.46 ;207.71 ;6420.19 ;18400.87 ;7681.34 ;7214.36 ;7522.41 
1727.45 ;4640.86 ;13364.28 ;4274.03 ;15424.94 ;11095.03 ;15027.43 ;3722.48 ;208.27 ;6437.15 ;18641.72 ;7693.78 ;7217.94 ;7590.75 
1748.87 ;4758.16 ;13305.01 ;4275.76 ;15233.00 ;10889.85 ;14940.14 ;3705.94 ;208.01 ;6382.32 ;18583.92 ;7610.73 ;7223.59 ;7539.54 
1759.33 ;4868.36 ;13339.40 ;4274.68 ;15310.69 ;10993.61 ;15024.52 ;3734.65 ;208.81 ;6432.74 ;18802.15 ;7733.71 ;7247.52 ;7593.98 
