update_date,SPGCCCP,SPGCCNP,SPGCCTP,SPGCKCP,SPGCSBP,SPGCKWP,SPGCWHP,SPGCSOP,SPGCLCP,SPGCLHP,SPGCFCP,SPGCIAP,SPGCICP,SPGCIKP,SPGCILP,SPGCIZP,SPGCBRP,SPGCCLP,SPGCGOP,SPGCHOP,SPGCHUP,SPGCNGP,SPGCGCP,SPGCSIP
2002-01-08,7.593857,23.24305,79.05999,30.92961,17.29717,48.1434,43.53511,114.4781,423.97,150.1138,100.2363,41.8887,107.6,79.0873,53.6142,36.2817,238.6469,344.2586,176.5972,156.3524,453.924,1585.78406,30.9925,25.13882
2002-01-09,7.643061,23.078211,77.57954,32.39486,17.80721,47.9777,43.21395,115.6624,427.6822,149.53661,101.1814,42.2553,108.6836,79.2946,54.1309,36.1495,229.5121,327.4608,169.3488,148.143,432.665,1548.95105,31.494,25.51807
2002-01-10,7.495448,22.94084,76.901,32.68154,17.56328,48.0191,43.321,113.8202,425.5471,153.34779,101.0869,41.3331,107.2414,75.8329,54.0122,36.1209,231.6816,330.9978,168.4899,152.3749,438.837,1520.745,31.9088,25.46389
2002-01-11,7.418908,23.380421,76.16078,31.56667,17.20847,48.5578,43.99901,116.5835,422.7156,153.5042,99.4921,41.0694,106.4391,77.6489,54.1153,36.1209,228.098,320.9521,169.7995,148.771,427.894,1529.35205,31.942,25.45305
2002-01-14,7.112748,23.188101,75.35887,32.10818,16.89801,48.8063,43.7849,117.5704,426.9978,152.49451,99.3149,41.4275,107.4496,78.5712,53.8063,36.7784,217.1765,306.8691,161.1537,142.6854,411.764,1556.28503,31.7116,24.46158
2002-01-15,7.151018,23.380421,76.77763,32.01262,17.3637,48.5163,43.10689,117.373,430.3414,154.38271,99.6102,41.117,106.5794,76.4898,52.9318,35.9798,218.0871,307.3434,163.1587,143.1746,412.347,1579.21204,31.6009,24.67829
2002-01-16,7.309565,23.60021,77.47673,31.37555,17.43023,48.6821,43.321,119.0836,427.1708,153.4512,98.8778,41.5236,107.4496,78.311,53.2919,36.3627,219.2253,307.9758,162.9081,145.5663,416.423,1641.74097,31.933,24.71621
2002-01-17,7.216624,23.462839,78.05246,31.12072,16.58755,48.9721,42.92847,118.6231,426.3061,153.8288,98.7006,41.1836,106.9797,75.0589,52.8804,35.6954,211.8267,294.5374,159.3993,140.7829,400.191,1566.01099,31.6119,24.08232
2002-01-18,7.030741,23.270519,76.75707,30.19697,16.18838,48.6821,42.53594,117.2415,428.3238,154.63451,99.0786,40.851,105.657,74.7337,51.6458,35.1922,212.1682,295.0117,158.898,140.4024,400.482,1553.505,31.468,23.54054
2002-01-22,7.282229,23.05073,75.62617,29.81473,16.47667,48.1434,42.14341,115.5309,424.0002,150.30409,98.2871,40.7401,106.0921,75.5792,51.543,34.7218,213.9894,300.0709,160.6524,140.8101,405.796,1471.52197,31.3019,23.23172
2002-01-23,7.435309,22.94083,75.52336,29.78288,16.21056,47.9777,42.3932,114.0835,426.5944,150.8076,98.5234,41.3388,107.3103,77.5305,52.2117,34.7765,218.8838,308.292,163.4093,143.6366,417.66,1451.37402,30.9808,23.08002
2002-01-24,7.271295,23.023251,74.20741,29.59176,15.45658,48.3506,42.60731,115.0704,429.5921,153.5015,98.7242,41.5162,108.0064,78.8964,51.5944,35.0062,219.5667,311.454,164.9131,145.4032,421.373,1452.06897,30.9365,23.15045
2002-01-25,7.364236,22.9683,75.42055,29.24137,15.81139,49.0549,42.67868,113.3598,431.0333,154.13091,98.996,40.681,107.3973,77.7907,51.3372,34.6999,221.957,316.0389,161.4043,146.1098,430.326,1461.79602,31.014,23.32382
2002-01-28,7.342367,22.803459,74.45415,28.69986,15.92227,47.8534,41.57246,113.4256,432.071,153.577,98.8778,40.0897,106.2835,76.0345,50.8742,34.5467,225.3717,316.9875,164.6625,144.5878,428.724,1378.42395,30.9476,23.02584
2002-01-29,7.342367,22.66609,75.13269,28.47689,14.96871,47.4391,41.32267,112.7677,436.3946,153.12379,99.0196,39.9714,105.8484,77.3354,49.8197,34.0216,221.3879,309.5569,162.4068,141.8972,419.043,1436.08997,31.2687,23.26964
2002-01-30,7.473578,22.63862,73.03539,28.76357,14.56954,46.9005,40.71603,112.5703,436.7981,154.08051,99.6457,40.0749,105.7266,78.246,50.1541,34.2514,216.4935,301.652,156.893,139.4512,408.635,1445.12195,31.3241,23.2588
2002-01-31,7.347834,22.63862,72.95314,28.73172,14.1482,47.3148,40.82308,113.2282,435.3569,153.3252,99.6103,40.9544,108.7374,76.763,50.7714,34.3826,220.9326,307.9759,161.1537,144.4792,417.952,1485.41895,31.3241,22.87955
2002-02-01,7.380637,22.47378,77.00381,28.95469,14.08167,47.4391,40.96582,112.3071,434.4922,156.34641,99.4331,40.9766,110.7736,77.9598,51.2858,35.2687,229.9247,322.2048,167.67,150.3225,439.206,1485.41895,31.7559,23.36716
2002-02-04,7.653994,22.63862,77.78516,28.98654,13.83774,47.0248,40.07371,114.2151,435.9334,155.717,99.6103,40.6588,110.3211,78.7663,50.8228,34.7765,227.8759,317.3037,166.9181,146.2458,431.709,1470.82898,32.1213,23.26964
2002-02-05,7.544651,22.66609,76.69539,28.57245,14.0595,47.1076,40.39487,113.8861,437.0864,157.90739,99.4094,40.9249,110.2341,81.0428,50.4627,34.5139,225.7132,317.3037,165.1637,145.9197,425.958,1440.95398,33.1178,23.82226
2002-02-06,7.610257,22.446301,76.83932,28.73172,14.17038,46.9834,40.00234,112.6361,439.6806,156.0192,99.5512,40.3853,109.6772,79.7419,49.974,34.5467,223.3229,312.7188,166.4168,143.4737,415.622,1459.71301,33.0292,23.64889
2002-02-07,7.867213,22.47377,78.42258,28.5406,13.92645,47.3562,40.10939,113.4914,438.7006,154.2065,99.2559,40.7401,110.1297,77.2053,50.0512,34.3061,222.1847,310.5054,160.4017,141.1636,414.676,1493.75696,33.2839,23.54053
2002-02-08,7.949163,22.501051,78.72854,28.40211,13.7059,47.447,40.21597,112.8874,440.2571,155.8933,99.0908,40.6485,110.6861,78.9499,50.3082,34.2078,227.2509,320.2067,165.1518,144.945,426.996,1522.32898,33.7046,24.135
