update_date,open,high,low,close,volume,pctchange
2017/2/13 21:43,2994,2995,2994,2995,556,0.0334
2017/2/13 21:44,2995,2996,2994,2995,2312,0
2017/2/13 21:45,2994,2995,2993,2994,1226,-0.0334
2017/2/13 21:46,2994,2994,2992,2992,1786,-0.0668
2017/2/13 21:47,2993,2993,2989,2989,5776,-0.1003
2017/2/13 21:48,2990,2991,2988,2988,4934,-0.0335
2017/2/13 21:49,2988,2991,2988,2991,3030,0.1004
2017/2/13 21:50,2991,2991,2989,2990,1352,-0.0334
2017/2/13 21:51,2990,2990,2989,2990,1062,0
2017/2/13 21:52,2990,2991,2988,2991,1960,0.0334
2017/2/13 21:53,2990,2991,2990,2991,522,0
2017/2/13 21:54,2991,2991,2989,2989,1038,-0.0669
2017/2/13 21:55,2989,2990,2984,2986,8880,-0.1004
2017/2/13 21:56,2985,2987,2985,2985,4326,-0.0335
2017/2/13 21:57,2985,2988,2985,2987,3008,0.067
2017/2/13 21:58,2987,2988,2987,2988,300,0.0335
2017/2/13 21:59,2988,2988,2985,2985,2440,-0.1004
2017/2/13 22:00,2985,2985,2983,2983,9660,-0.067
2017/2/13 22:01,2983,2984,2982,2983,7658,0
2017/2/13 22:02,2984,2985,2983,2984,2596,0.0335
2017/2/13 22:03,2985,2985,2983,2983,3476,-0.0335
2017/2/13 22:04,2984,2984,2981,2981,4492,-0.067
2017/2/13 22:05,2981,2983,2981,2982,4738,0.0335
2017/2/13 22:06,2982,2982,2979,2982,12544,0
2017/2/13 22:07,2981,2982,2981,2981,1710,-0.0335
2017/2/13 22:08,2982,2984,2981,2984,2954,0.1006
2017/2/13 22:09,2984,2984,2983,2984,1012,0
2017/2/13 22:10,2984,2984,2983,2983,458,-0.0335
2017/2/13 22:11,2984,2986,2983,2986,3050,0.1006
2017/2/13 22:12,2986,2986,2984,2984,1412,-0.067
2017/2/13 22:13,2985,2986,2984,2985,1274,0.0335
2017/2/13 22:14,2985,2985,2983,2983,1382,-0.067
2017/2/13 22:15,2984,2985,2983,2985,1900,0.067
2017/2/13 22:16,2985,2986,2984,2985,1666,0
2017/2/13 22:17,2986,2986,2985,2986,1160,0.0335
2017/2/13 22:18,2986,2988,2985,2988,2356,0.067
2017/2/13 22:19,2987,2989,2986,2987,4236,-0.0335
2017/2/13 22:20,2986,2988,2986,2987,2646,0
2017/2/13 22:21,2987,2988,2986,2988,2362,0.0335
2017/2/13 22:22,2988,2991,2987,2991,5418,0.1004
2017/2/13 22:23,2991,2991,2989,2991,1862,0
2017/2/13 22:24,2991,2992,2990,2991,2910,0
2017/2/13 22:25,2991,2992,2991,2991,3296,0
2017/2/13 22:26,2993,2993,2990,2991,5646,0
2017/2/13 22:27,2991,2992,2991,2991,784,0
2017/2/13 22:28,2992,2993,2991,2992,2086,0.0334
2017/2/13 22:29,2992,2992,2988,2990,6748,-0.0668
2017/2/13 22:30,2990,2991,2989,2990,6612,0
2017/2/13 22:31,2990,2991,2988,2990,3606,0
2017/2/13 22:32,2990,2993,2990,2992,2222,0.0669
2017/2/13 22:33,2993,2994,2992,2994,8168,0.0668
2017/2/13 22:34,2994,2995,2993,2995,5654,0.0334
2017/2/13 22:35,2995,2998,2994,2998,8634,0.1002
2017/2/13 22:36,2998,2998,2994,2994,5700,-0.1334
2017/2/13 22:37,2994,2996,2994,2996,3322,0.0668
2017/2/13 22:38,2995,2996,2993,2993,4194,-0.1001
2017/2/13 22:39,2993,2995,2993,2994,2896,0.0334
2017/2/13 22:40,2994,2995,2992,2992,3308,-0.0668
2017/2/13 22:41,2992,2995,2992,2995,4516,0.1003
2017/2/13 22:42,2995,2995,2993,2994,1866,-0.0334
2017/2/13 22:43,2994,2995,2993,2995,884,0.0334
2017/2/13 22:44,2994,2995,2993,2994,2776,-0.0334
2017/2/13 22:45,2994,2995,2993,2994,1222,0
2017/2/13 22:46,2994,2995,2994,2995,828,0.0334
2017/2/13 22:47,2994,2995,2994,2994,224,-0.0334
2017/2/13 22:48,2994,2995,2994,2994,1332,0
2017/2/13 22:49,2994,2997,2994,2996,4052,0.0668
2017/2/13 22:50,2996,2997,2995,2996,1936,0
2017/2/13 22:51,2996,2997,2995,2997,4150,0.0334
2017/2/13 22:52,2997,3001,2996,3000,14140,0.1001
2017/2/13 22:53,2999,3000,2998,3000,3074,0
2017/2/13 22:54,3000,3002,2999,2999,8816,-0.0333
2017/2/13 22:55,2999,3001,2999,3000,4950,0.0333
2017/2/13 22:56,3001,3002,3000,3002,3130,0.0667
2017/2/13 22:57,3002,3004,3001,3003,8632,0.0333
2017/2/13 22:58,3003,3007,3003,3007,9744,0.1332
2017/2/13 22:59,3007,3007,3004,3004,6954,-0.0998
2017/2/13 23:00,3004,3005,3004,3005,996,0.0333
2017/2/13 23:01,3005,3006,3003,3003,3470,-0.0666
2017/2/13 23:02,3003,3004,3002,3002,5286,-0.0333
2017/2/13 23:03,3002,3002,3000,3001,4980,-0.0333
2017/2/13 23:04,3001,3004,3001,3003,2264,0.0666
2017/2/13 23:05,3003,3004,3002,3003,1858,0
2017/2/13 23:06,3003,3003,3002,3002,1448,-0.0333
2017/2/13 23:07,3003,3004,3002,3004,1284,0.0666
2017/2/13 23:08,3003,3005,3003,3005,2632,0.0333
2017/2/13 23:09,3004,3005,3003,3004,2020,-0.0333
2017/2/13 23:10,3004,3005,3002,3002,4842,-0.0666
2017/2/13 23:11,3002,3003,3001,3002,2478,0
2017/2/13 23:12,3002,3002,2998,2998,8774,-0.1332
2017/2/13 23:13,2998,2999,2997,2998,3540,0
2017/2/13 23:14,2998,2999,2997,2997,2996,-0.0334
2017/2/13 23:15,2997,2999,2995,2995,5490,-0.0667
2017/2/13 23:16,2995,2997,2995,2997,2716,0.0668
2017/2/13 23:17,2997,2997,2995,2996,1334,-0.0334
2017/2/13 23:18,2996,2997,2995,2997,1070,0.0334
2017/2/13 23:19,2997,2998,2997,2998,1022,0.0334
2017/2/13 23:20,2998,2999,2997,2998,1914,0
2017/2/13 23:21,2998,2999,2997,2998,1874,0
2017/2/13 23:22,2998,2999,2997,2997,1012,-0.0334
2017/2/13 23:23,2997,2999,2997,2999,1680,0.0667
2017/2/13 23:24,2999,2999,2997,2998,1310,-0.0333
2017/2/13 23:25,2998,2998,2995,2996,4828,-0.0667
2017/2/13 23:26,2996,2996,2995,2995,1202,-0.0334
2017/2/13 23:27,2995,2997,2995,2996,3532,0.0334
2017/2/13 23:28,2995,2996,2994,2995,2474,-0.0334
2017/2/13 23:29,2994,2995,2992,2992,6266,-0.1002
2017/2/13 23:30,2993,2993,2993,2993,88,0.0334
2017/2/13 23:31,,,,,0,
2017/2/13 23:32,,,,,0,
2017/2/13 23:33,,,,,0,
2017/2/13 23:34,,,,,0,
2017/2/13 23:35,,,,,0,
2017/2/13 23:36,,,,,0,
2017/2/13 23:37,,,,,0,
2017/2/13 23:38,,,,,0,
2017/2/13 23:39,,,,,0,
2017/2/13 23:40,,,,,0,
2017/2/13 23:41,,,,,0,
2017/2/13 23:42,,,,,0,
2017/2/13 23:43,,,,,0,
2017/2/13 23:44,,,,,0,
2017/2/13 23:45,,,,,0,
2017/2/13 23:46,,,,,0,
2017/2/13 23:47,,,,,0,
2017/2/13 23:48,,,,,0,
2017/2/13 23:49,,,,,0,
2017/2/13 23:50,,,,,0,
2017/2/13 23:51,,,,,0,
2017/2/13 23:52,,,,,0,
2017/2/13 23:53,,,,,0,
2017/2/13 23:54,,,,,0,
2017/2/13 23:55,,,,,0,
2017/2/13 23:56,,,,,0,
2017/2/13 23:57,,,,,0,
2017/2/13 23:58,,,,,0,
2017/2/13 23:59,,,,,0,
2017/2/14 0:00,,,,,0,
2017/2/14 0:01,,,,,0,
2017/2/14 0:02,,,,,0,
2017/2/14 0:03,,,,,0,
2017/2/14 0:04,,,,,0,
2017/2/14 0:05,,,,,0,
2017/2/14 0:06,,,,,0,
2017/2/14 0:07,,,,,0,
2017/2/14 0:08,,,,,0,
2017/2/14 0:09,,,,,0,
2017/2/14 0:10,,,,,0,
2017/2/14 0:11,,,,,0,
2017/2/14 0:12,,,,,0,
2017/2/14 0:13,,,,,0,
2017/2/14 0:14,,,,,0,
2017/2/14 0:15,,,,,0,
2017/2/14 0:16,,,,,0,
2017/2/14 0:17,,,,,0,
2017/2/14 0:18,,,,,0,
2017/2/14 0:19,,,,,0,
2017/2/14 0:20,,,,,0,
2017/2/14 0:21,,,,,0,
2017/2/14 0:22,,,,,0,
2017/2/14 0:23,,,,,0,
2017/2/14 0:24,,,,,0,
2017/2/14 0:25,,,,,0,
2017/2/14 0:26,,,,,0,
2017/2/14 0:27,,,,,0,
2017/2/14 0:28,,,,,0,
2017/2/14 0:29,,,,,0,
2017/2/14 0:30,,,,,0,
2017/2/14 0:31,,,,,0,
2017/2/14 0:32,,,,,0,
2017/2/14 0:33,,,,,0,
2017/2/14 0:34,,,,,0,
2017/2/14 0:35,,,,,0,
2017/2/14 0:36,,,,,0,
2017/2/14 0:37,,,,,0,
2017/2/14 0:38,,,,,0,
2017/2/14 0:39,,,,,0,
2017/2/14 0:40,,,,,0,
2017/2/14 0:41,,,,,0,
2017/2/14 0:42,,,,,0,
2017/2/14 0:43,,,,,0,
2017/2/14 0:44,,,,,0,
2017/2/14 0:45,,,,,0,
2017/2/14 0:46,,,,,0,
2017/2/14 0:47,,,,,0,
2017/2/14 0:48,,,,,0,
2017/2/14 0:49,,,,,0,
2017/2/14 0:50,,,,,0,
2017/2/14 0:51,,,,,0,
2017/2/14 0:52,,,,,0,
2017/2/14 0:53,,,,,0,
2017/2/14 0:54,,,,,0,
2017/2/14 0:55,,,,,0,
2017/2/14 0:56,,,,,0,
2017/2/14 0:57,,,,,0,
2017/2/14 0:58,,,,,0,
2017/2/14 0:59,,,,,0,
2017/2/14 1:00,,,,,0,
2017/2/14 1:01,,,,,0,
2017/2/14 1:02,,,,,0,
2017/2/14 1:03,,,,,0,
2017/2/14 1:04,,,,,0,
2017/2/14 1:05,,,,,0,
2017/2/14 1:06,,,,,0,
2017/2/14 1:07,,,,,0,
2017/2/14 1:08,,,,,0,
2017/2/14 1:09,,,,,0,
2017/2/14 1:10,,,,,0,
2017/2/14 1:11,,,,,0,
2017/2/14 1:12,,,,,0,
2017/2/14 1:13,,,,,0,
2017/2/14 1:14,,,,,0,
2017/2/14 1:15,,,,,0,
2017/2/14 1:16,,,,,0,
2017/2/14 1:17,,,,,0,
2017/2/14 1:18,,,,,0,
2017/2/14 1:19,,,,,0,
2017/2/14 1:20,,,,,0,
2017/2/14 1:21,,,,,0,
2017/2/14 1:22,,,,,0,
2017/2/14 1:23,,,,,0,
2017/2/14 1:24,,,,,0,
2017/2/14 1:25,,,,,0,
2017/2/14 1:26,,,,,0,
2017/2/14 1:27,,,,,0,
2017/2/14 1:28,,,,,0,
2017/2/14 1:29,,,,,0,
2017/2/14 1:30,,,,,0,
2017/2/14 1:31,,,,,0,
2017/2/14 1:32,,,,,0,
2017/2/14 1:33,,,,,0,
2017/2/14 1:34,,,,,0,
2017/2/14 1:35,,,,,0,
2017/2/14 1:36,,,,,0,
2017/2/14 1:37,,,,,0,
2017/2/14 1:38,,,,,0,
2017/2/14 1:39,,,,,0,
2017/2/14 1:40,,,,,0,
2017/2/14 1:41,,,,,0,
2017/2/14 1:42,,,,,0,
2017/2/14 1:43,,,,,0,
2017/2/14 1:44,,,,,0,
2017/2/14 1:45,,,,,0,
2017/2/14 1:46,,,,,0,
2017/2/14 1:47,,,,,0,
2017/2/14 1:48,,,,,0,
2017/2/14 1:49,,,,,0,
2017/2/14 1:50,,,,,0,
2017/2/14 1:51,,,,,0,
2017/2/14 1:52,,,,,0,
2017/2/14 1:53,,,,,0,
2017/2/14 1:54,,,,,0,
2017/2/14 1:55,,,,,0,
2017/2/14 1:56,,,,,0,
2017/2/14 1:57,,,,,0,
2017/2/14 1:58,,,,,0,
2017/2/14 1:59,,,,,0,
2017/2/14 2:00,,,,,0,
2017/2/14 2:01,,,,,0,
2017/2/14 2:02,,,,,0,
2017/2/14 2:03,,,,,0,
2017/2/14 2:04,,,,,0,
2017/2/14 2:05,,,,,0,
2017/2/14 2:06,,,,,0,
2017/2/14 2:07,,,,,0,
2017/2/14 2:08,,,,,0,
2017/2/14 2:09,,,,,0,
2017/2/14 2:10,,,,,0,
2017/2/14 2:11,,,,,0,
2017/2/14 2:12,,,,,0,
2017/2/14 2:13,,,,,0,
2017/2/14 2:14,,,,,0,
2017/2/14 2:15,,,,,0,
2017/2/14 2:16,,,,,0,
2017/2/14 2:17,,,,,0,
2017/2/14 2:18,,,,,0,
2017/2/14 2:19,,,,,0,
2017/2/14 2:20,,,,,0,
2017/2/14 2:21,,,,,0,
2017/2/14 2:22,,,,,0,
2017/2/14 2:23,,,,,0,
2017/2/14 2:24,,,,,0,
2017/2/14 2:25,,,,,0,
2017/2/14 2:26,,,,,0,
2017/2/14 2:27,,,,,0,
2017/2/14 2:28,,,,,0,
2017/2/14 2:29,,,,,0,
2017/2/14 8:59,,,,,0,
2017/2/14 9:00,2996,2996,2993,2993,9414,
2017/2/14 9:01,2993,2994,2988,2990,10476,-0.1002
2017/2/14 9:02,2989,2990,2988,2990,4134,0
2017/2/14 9:03,2989,2992,2989,2990,5224,0
2017/2/14 9:04,2990,2991,2988,2988,5520,-0.0669
2017/2/14 9:05,2988,2990,2988,2990,2764,0.0669
2017/2/14 9:06,2990,2992,2989,2992,7128,0.0669
2017/2/14 9:07,2991,2992,2989,2990,4152,-0.0668
2017/2/14 9:08,2990,2990,2988,2989,1820,-0.0334
2017/2/14 9:09,2990,2990,2989,2990,1038,0.0335
2017/2/14 9:10,2989,2989,2985,2986,6162,-0.1338
2017/2/14 9:11,2986,2988,2985,2988,4784,0.067
2017/2/14 9:12,2988,2989,2987,2987,1832,-0.0335
2017/2/14 9:13,2987,2987,2986,2986,2530,-0.0335
2017/2/14 9:14,2986,2988,2986,2987,1390,0.0335
2017/2/14 9:15,2987,2988,2986,2986,2376,-0.0335
2017/2/14 9:16,2986,2986,2984,2986,6812,0
2017/2/14 9:17,2985,2986,2982,2983,4252,-0.1005
2017/2/14 9:18,2982,2984,2982,2982,4604,-0.0335
2017/2/14 9:19,2983,2985,2982,2984,4104,0.0671
2017/2/14 9:20,2985,2985,2984,2984,1348,0
2017/2/14 9:21,2985,2985,2983,2985,3252,0.0335
2017/2/14 9:22,2985,2986,2984,2986,2464,0.0335
2017/2/14 9:23,2986,2988,2986,2987,2864,0.0335
2017/2/14 9:24,2987,2988,2986,2987,2570,0
2017/2/14 9:25,2987,2987,2985,2987,4818,0
2017/2/14 9:26,2986,2987,2985,2985,4908,-0.067
2017/2/14 9:27,2985,2986,2984,2986,1860,0.0335
2017/2/14 9:28,2986,2988,2985,2988,2476,0.067
2017/2/14 9:29,2988,2988,2987,2988,2840,0
2017/2/14 9:30,2988,2988,2985,2986,3922,-0.0669
2017/2/14 9:31,2986,2990,2986,2989,6956,0.1005
2017/2/14 9:32,2989,2989,2987,2988,1274,-0.0335
2017/2/14 9:33,2988,2988,2987,2987,2048,-0.0335
2017/2/14 9:34,2988,2988,2987,2987,788,0
2017/2/14 9:35,2988,2988,2986,2987,4834,0
2017/2/14 9:36,2986,2987,2985,2986,2510,-0.0335
2017/2/14 9:37,2986,2987,2985,2986,1432,0
2017/2/14 9:38,2986,2987,2985,2986,1564,0
2017/2/14 9:39,2986,2988,2985,2985,3966,-0.0335
2017/2/14 9:40,2986,2987,2985,2987,1772,0.067
2017/2/14 9:41,2986,2987,2985,2985,2428,-0.067
2017/2/14 9:42,2985,2986,2984,2984,4570,-0.0335
2017/2/14 9:43,2984,2985,2984,2985,1836,0.0335
2017/2/14 9:44,2984,2985,2983,2983,1066,-0.067
2017/2/14 9:45,2984,2984,2983,2984,2432,0.0335
2017/2/14 9:46,2984,2984,2983,2984,1024,0
2017/2/14 9:47,2984,2984,2982,2983,3048,-0.0335
2017/2/14 9:48,2983,2985,2983,2983,3314,0
2017/2/14 9:49,2983,2983,2977,2977,18096,-0.2011
2017/2/14 9:50,2977,2979,2973,2975,29898,-0.0672
2017/2/14 9:51,2976,2978,2974,2975,7924,0
2017/2/14 9:52,2975,2976,2974,2976,5214,0.0336
2017/2/14 9:53,2976,2977,2975,2976,3940,0
2017/2/14 9:54,2977,2978,2977,2978,2990,0.0672
2017/2/14 9:55,2978,2978,2975,2976,4676,-0.0672
2017/2/14 9:56,2976,2976,2974,2975,3104,-0.0336
2017/2/14 9:57,2975,2976,2974,2974,5488,-0.0336
2017/2/14 9:58,2975,2975,2973,2974,3736,0
2017/2/14 9:59,2974,2975,2970,2970,12700,-0.1345
2017/2/14 10:00,2971,2973,2969,2970,16288,0
2017/2/14 10:01,2970,2972,2970,2972,4452,0.0673
2017/2/14 10:02,2972,2972,2971,2971,1562,-0.0336
2017/2/14 10:03,2971,2972,2971,2972,1844,0.0337
2017/2/14 10:04,2972,2972,2971,2972,2318,0
2017/2/14 10:05,2972,2972,2968,2968,9566,-0.1346
2017/2/14 10:06,2967,2969,2966,2966,13780,-0.0674
2017/2/14 10:07,2966,2968,2963,2964,15636,-0.0674
2017/2/14 10:08,2964,2964,2962,2963,13936,-0.0337
2017/2/14 10:09,2963,2964,2961,2963,11750,0
2017/2/14 10:10,2964,2966,2963,2965,7184,0.0675
2017/2/14 10:11,2965,2965,2964,2964,2138,-0.0337
2017/2/14 10:12,2964,2966,2964,2966,3568,0.0675
2017/2/14 10:13,2966,2968,2965,2967,7854,0.0337
2017/2/14 10:14,2967,2967,2964,2966,4308,-0.0337
2017/2/14 10:30,2966,2967,2965,2967,3148,0.0337
2017/2/14 10:31,2967,2968,2966,2968,1974,0.0337
2017/2/14 10:32,2967,2968,2966,2967,2832,-0.0337
2017/2/14 10:33,2966,2967,2966,2967,1374,0
2017/2/14 10:34,2967,2967,2966,2967,966,0
2017/2/14 10:35,2967,2968,2967,2968,3108,0.0337
2017/2/14 10:36,2967,2968,2967,2968,860,0
2017/2/14 10:37,2968,2968,2967,2968,1242,0
2017/2/14 10:38,2968,2968,2966,2966,2478,-0.0674
2017/2/14 10:39,2965,2967,2965,2965,3458,-0.0337
2017/2/14 10:40,2965,2966,2965,2965,1068,0
2017/2/14 10:41,2965,2966,2964,2964,3714,-0.0337
2017/2/14 10:42,2964,2966,2964,2966,3032,0.0675
2017/2/14 10:43,2967,2967,2965,2965,1746,-0.0337
2017/2/14 10:44,2965,2966,2965,2966,1128,0.0337
2017/2/14 10:45,2966,2966,2964,2965,2122,-0.0337
2017/2/14 10:46,2965,2966,2965,2966,1156,0.0337
2017/2/14 10:47,2966,2966,2964,2966,2050,0
2017/2/14 10:48,2966,2967,2965,2966,1572,0
2017/2/14 10:49,2967,2967,2965,2965,892,-0.0337
2017/2/14 10:50,2965,2967,2964,2967,4062,0.0675
2017/2/14 10:51,2967,2967,2965,2965,1374,-0.0674
2017/2/14 10:52,2965,2966,2965,2965,390,0
2017/2/14 10:53,2965,2966,2965,2965,426,0
2017/2/14 10:54,2965,2966,2965,2966,964,0.0337
2017/2/14 10:55,2966,2966,2964,2966,4012,0
2017/2/14 10:56,2966,2966,2964,2964,688,-0.0674
2017/2/14 10:57,2964,2965,2963,2964,2090,0
2017/2/14 10:58,2964,2965,2963,2964,3646,0
2017/2/14 10:59,2964,2964,2963,2963,1194,-0.0337
2017/2/14 11:00,2963,2964,2962,2964,4788,0.0338
2017/2/14 11:01,2963,2964,2962,2962,2174,-0.0675
2017/2/14 11:02,2962,2963,2961,2961,2974,-0.0338
2017/2/14 11:03,2961,2965,2961,2964,2878,0.1013
2017/2/14 11:04,2964,2965,2963,2965,1376,0.0337
2017/2/14 11:05,2965,2965,2964,2965,904,0
2017/2/14 11:06,2965,2966,2964,2965,2516,0
2017/2/14 11:07,2965,2966,2965,2966,984,0.0337
2017/2/14 11:08,2966,2966,2965,2966,1808,0
2017/2/14 11:09,2966,2966,2965,2966,2360,0
2017/2/14 11:10,2966,2967,2966,2967,1656,0.0337
2017/2/14 11:11,2967,2969,2967,2968,5230,0.0337
2017/2/14 11:12,2969,2969,2968,2968,3094,0
2017/2/14 11:13,2968,2969,2967,2969,2746,0.0337
2017/2/14 11:14,2968,2969,2968,2969,1328,0
2017/2/14 11:15,2969,2970,2968,2969,3796,0
2017/2/14 11:16,2968,2969,2967,2967,2498,-0.0674
2017/2/14 11:17,2967,2968,2967,2967,1216,0
2017/2/14 11:18,2967,2967,2966,2967,326,0
2017/2/14 11:19,2967,2968,2966,2968,994,0.0337
2017/2/14 11:20,2968,2968,2967,2967,510,-0.0337
2017/2/14 11:21,2968,2969,2968,2969,1086,0.0674
2017/2/14 11:22,2968,2969,2968,2969,564,0
2017/2/14 11:23,2969,2969,2968,2968,1698,-0.0337
2017/2/14 11:24,2969,2969,2968,2969,1012,0.0337
2017/2/14 11:25,2969,2969,2968,2968,1102,-0.0337
2017/2/14 11:26,2968,2969,2968,2968,812,0
2017/2/14 11:27,2968,2969,2967,2967,454,-0.0337
2017/2/14 11:28,2967,2968,2967,2968,332,0.0337
2017/2/14 11:29,2967,2968,2966,2967,2082,-0.0337
2017/2/14 13:30,2968,2968,2965,2967,3194,0
2017/2/14 13:31,2966,2967,2965,2965,1996,-0.0674
2017/2/14 13:32,2965,2966,2965,2966,1452,0.0337
2017/2/14 13:33,2967,2968,2966,2968,948,0.0674
2017/2/14 13:34,2967,2968,2966,2966,1598,-0.0674
2017/2/14 13:35,2967,2967,2965,2966,1230,0
2017/2/14 13:36,2966,2966,2965,2965,414,-0.0337
2017/2/14 13:37,2965,2966,2965,2965,434,0
2017/2/14 13:38,2965,2966,2965,2965,1832,0
2017/2/14 13:39,2965,2966,2964,2965,1336,0
2017/2/14 13:40,2964,2965,2964,2964,2388,-0.0337
2017/2/14 13:41,2964,2966,2964,2966,1090,0.0675
2017/2/14 13:42,2966,2966,2965,2965,1438,-0.0337
2017/2/14 13:43,2965,2966,2965,2966,1218,0.0337
2017/2/14 13:44,2966,2967,2965,2966,912,0
2017/2/14 13:45,2966,2969,2966,2968,1776,0.0674
2017/2/14 13:46,2968,2969,2967,2968,2126,0
2017/2/14 13:47,2968,2968,2967,2967,2196,-0.0337
2017/2/14 13:48,2966,2967,2966,2966,376,-0.0337
2017/2/14 13:49,2967,2967,2966,2967,1594,0.0337
2017/2/14 13:50,2967,2967,2966,2966,942,-0.0337
2017/2/14 13:51,2966,2968,2966,2968,1094,0.0674
2017/2/14 13:52,2968,2969,2967,2968,1372,0
2017/2/14 13:53,2968,2968,2967,2968,668,0
2017/2/14 13:54,2967,2968,2967,2968,552,0
2017/2/14 13:55,2968,2968,2966,2966,730,-0.0674
2017/2/14 13:56,2966,2967,2966,2967,560,0.0337
2017/2/14 13:57,2967,2967,2966,2967,450,0
2017/2/14 13:58,2967,2967,2966,2967,852,0
2017/2/14 13:59,2967,2967,2966,2967,372,0
2017/2/14 14:00,2967,2967,2965,2966,2862,-0.0337
2017/2/14 14:01,2965,2967,2964,2966,3274,0
2017/2/14 14:02,2966,2967,2966,2966,814,0
2017/2/14 14:03,2966,2967,2966,2967,190,0.0337
2017/2/14 14:04,2967,2967,2965,2965,886,-0.0674
2017/2/14 14:05,2965,2966,2965,2965,1244,0
2017/2/14 14:06,2965,2967,2965,2966,1138,0.0337
2017/2/14 14:07,2966,2966,2964,2964,1984,-0.0674
2017/2/14 14:08,2964,2965,2964,2964,1244,0
2017/2/14 14:09,2964,2965,2963,2963,1548,-0.0337
2017/2/14 14:10,2964,2966,2963,2965,2110,0.0675
2017/2/14 14:11,2965,2966,2964,2965,876,0
2017/2/14 14:12,2965,2965,2963,2964,2000,-0.0337
2017/2/14 14:13,2964,2965,2963,2965,1346,0.0337
2017/2/14 14:14,2965,2965,2964,2964,740,-0.0337
2017/2/14 14:15,2964,2966,2964,2966,1628,0.0675
2017/2/14 14:16,2966,2966,2965,2966,762,0
2017/2/14 14:17,2965,2966,2965,2966,620,0
2017/2/14 14:18,2966,2966,2965,2965,786,-0.0337
2017/2/14 14:19,2965,2966,2964,2964,486,-0.0337
2017/2/14 14:20,2964,2965,2963,2964,988,0
2017/2/14 14:21,2963,2965,2963,2964,1922,0
2017/2/14 14:22,2965,2965,2963,2964,2458,0
2017/2/14 14:23,2964,2965,2963,2964,652,0
2017/2/14 14:24,2964,2964,2963,2963,708,-0.0337
2017/2/14 14:25,2963,2963,2962,2962,3352,-0.0338
2017/2/14 14:26,2962,2964,2962,2963,3188,0.0338
2017/2/14 14:27,2963,2964,2962,2963,1128,0
2017/2/14 14:28,2963,2964,2963,2964,274,0.0338
2017/2/14 14:29,2964,2964,2963,2964,1518,0
2017/2/14 14:30,2964,2964,2962,2962,3862,-0.0675
2017/2/14 14:31,2962,2964,2962,2963,1336,0.0338
2017/2/14 14:32,2963,2964,2963,2964,956,0.0338
2017/2/14 14:33,2963,2965,2963,2964,1970,0
2017/2/14 14:34,2965,2968,2965,2967,6692,0.1012
2017/2/14 14:35,2966,2968,2966,2967,3250,0
2017/2/14 14:36,2967,2967,2965,2965,1054,-0.0674
2017/2/14 14:37,2965,2966,2964,2965,2184,0
2017/2/14 14:38,2964,2965,2964,2965,1336,0
2017/2/14 14:39,2965,2965,2963,2964,1366,-0.0337
2017/2/14 14:40,2963,2965,2963,2963,2300,-0.0337
2017/2/14 14:41,2964,2964,2962,2963,5754,0
2017/2/14 14:42,2964,2964,2962,2963,4910,0
2017/2/14 14:43,2962,2963,2962,2962,894,-0.0338
2017/2/14 14:44,2962,2963,2962,2962,740,0
2017/2/14 14:45,2962,2964,2962,2964,3570,0.0675
2017/2/14 14:46,2963,2964,2961,2963,2858,-0.0337
2017/2/14 14:47,2962,2963,2960,2960,13794,-0.1012
2017/2/14 14:48,2960,2961,2959,2960,7484,0
2017/2/14 14:49,2960,2962,2959,2962,6562,0.0676
2017/2/14 14:50,2962,2963,2961,2963,2668,0.0338
2017/2/14 14:51,2963,2963,2960,2960,4056,-0.1012
2017/2/14 14:52,2960,2961,2959,2960,3588,0
2017/2/14 14:53,2961,2961,2960,2960,2376,0
2017/2/14 14:54,2960,2962,2960,2961,2410,0.0338
2017/2/14 14:55,2961,2962,2960,2962,6076,0.0338
2017/2/14 14:56,2962,2962,2960,2962,6126,0
2017/2/14 14:57,2962,2962,2960,2961,3730,-0.0338
2017/2/14 14:58,2961,2962,2960,2962,3130,0.0338
2017/2/14 14:59,2961,2962,2953,2956,33502,-0.2026
2017/2/14 15:00,2956,2956,2956,2956,28,0
2017/2/14 20:59,2964,2964,2964,2964,1262,0.2706
2017/2/14 21:00,2964,2968,2964,2967,15874,0.1012
2017/2/14 21:01,2968,2968,2964,2966,7274,-0.0337
