kind,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
AFI.WI,0.00235038172537,0.15682502993,-0.00935754634858,0.00516795627065,0.00583402953201,0.00975340176645,-0.108527178618,0.0664040874584,0.0288304381408,0.0470099400871,-0.00322405050505,0.126155156346
AGFI.WI,0.0463162857143,0.0366470277778,-0.0909950718364,-0.0537564880952,-0.177095050866,-0.0944003277311,0.10762460192,0.184116083192,-0.00949389223058,-0.146910130719,-0.142305298701,-0.0329841389046
ALFI.WI,0.0577829138926,0.0669726840648,0.0268965918894,0.0345311740552,-0.0407465956625,-0.0682740273902,0.0344934952005,-0.0154187985445,-0.0134659936204,-0.0259417805011,-0.0412015180375,0.0546445918188
AUFI.WI,0.0732412745098,0.19840552381,-0.109614872012,-0.000641628908874,-0.0312247466731,0.00765008594719,0.0132522962545,0.125445165945,-0.00356481658692,-0.0778527741467,0.060977962963,-0.0203785902503
BBFI.WI,0.0774524007937,-0.0940369097222,0.41059403115,-0.130369761905,-0.016323968254,0.251316349206,-0.129608902692,-0.156148171153,0.185572301587,-0.0621271786492,0.00302614718615,-0.187311336188
BFI.WI,-0.036907714369,0.097600221265,0.00798504466548,-0.0422395100087,0.0799335402696,-0.0151155693099,-0.0442367784993,0.0292429841897,-0.0477205314422,0.120766503949,-0.00391402777778,0.118227564645
BUFI.WI,-0.399037400794,0.289318194444,-0.14254035777,0.351827936508,-0.25849031746,0.105687777778,-0.293340510697,-0.13835521049,-0.141659444444,-0.061371629902,-0.134697992424,0.237635968379
CFFI.WI,0.0859082531358,0.014339083075,-0.0698786874961,0.0529541604215,-0.0490798778754,-0.0113704193691,-0.0583667043102,-0.0644601630254,0.123739383686,0.0863766459276,-0.0453295870796,0.0739608920065
CFI.WI,0.0725519172494,0.0762529655205,0.0394664123316,-0.00465710127033,0.0332504776759,-0.0814207477975,-0.0873445683544,-0.00546988048184,-0.103629768915,0.0990477362996,0.0723903846154,0.0403929957
CSFI.WI,0.102701111111,0.13422912037,0.116161169668,0.14357702381,0.0773932142857,-0.179305,-0.494033850932,-0.261437267081,-0.4364175,-0.000125735294118,0.423801839827,-0.30204435661
CUFI.WI,0.094375272309,0.251940010723,0.0694961911428,0.0910150297729,-0.021340667183,-0.0206523178579,0.109999546396,0.0177262877219,0.00862522389307,-0.101973074074,-0.0158944285714,0.0772487544388
FBFI.WI,0.00786075396825,-0.0921031944444,0.258477663279,0.122553132832,-0.5482225,-0.62714531746,0.620369013112,-0.279803243616,-0.120505873016,0.140568123638,0.291667907648,-0.0504222167325
FGFI.WI,0.200340555556,0.146674555556,-0.20293264132,-0.0382874404762,-0.0278019859307,-0.0368491911765,-0.107751242236,0.0962898715415,-0.296276369048,0.202668719363,0.0293116017316,0.048298789761
FUFI.WI,0.111678793984,0.114455405617,0.0918365107718,0.0902939508903,-0.0301076658037,0.0316155994152,-0.0496266139657,-0.223610739406,0.00294269449848,-0.0491938970588,0.0767582534133,0.199778008151
HCFI.WI,-0.0450337037037,0.127797037037,0.0873695809022,0.240010634921,-0.38546531746,0.0755141269841,-0.0374578329883,-0.0963476190476,-0.347029206349,0.315289910131,0.097753023088,0.249295849802
IFI.WI,0.110243888889,0.219111006944,-0.30698671027,0.307589761905,-0.578994206349,0.332766031746,-0.0275941338854,-0.187705659075,-0.402566904762,0.166302569444,-0.110054448052,0.0519749505929
JDFI.WI,0.0416971626984,-0.00879590277778,0.252071148598,0.414979761905,-0.136848571429,0.0944879365079,-0.0748156659765,-0.43754478951,-0.111114365079,0.205668409586,0.0154295238095,-0.243808942688
JFI.WI,0.10361968254,0.0446330621693,-0.110591461719,0.227687232691,-0.238168549784,-0.101345331466,-0.0106643578644,0.0153409012485,-0.0149688951546,0.351878056917,-0.0238812481962,-0.0926878285965
JMFI.WI,-0.0516330753968,0.131903923611,-0.141738679967,0.0938150595238,-0.132127521645,-0.0504731617647,-0.0563174430642,0.152850202334,0.209792089599,0.268781699346,0.0965990313853,-0.254018972332
