kind,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
AFI.WI,0.4375,0.4375,0.5,0.466666666667,0.733333333333,0.266666666667,0.6,0.8,0.466666666667,0.533333333333,0.666666666667,0.8
AGFI.WI,0.6,0.6,0.8,0.5,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6
ALFI.WI,0.5625,0.625,0.4375,0.6,0.666666666667,0.733333333333,0.533333333333,0.533333333333,0.333333333333,0.533333333333,0.666666666667,0.6
AUFI.WI,0.5,0.8,0.9,0.444444444444,0.666666666667,0.555555555556,0.444444444444,0.666666666667,0.444444444444,0.555555555556,0.666666666667,0.444444444444
BBFI.WI,0.5,0.5,0.75,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.5
BFI.WI,0.769230769231,0.461538461538,0.615384615385,0.583333333333,0.75,0.75,0.666666666667,0.666666666667,0.666666666667,0.833333333333,0.666666666667,0.769230769231
BUFI.WI,0.75,0.75,0.5,1.0,1.0,0.666666666667,1.0,0.666666666667,1.0,0.75,0.5,0.25
CFFI.WI,0.538461538462,0.538461538462,0.615384615385,0.416666666667,0.416666666667,0.538461538462,0.769230769231,0.692307692308,0.461538461538,0.538461538462,0.692307692308,0.769230769231
CFI.WI,0.769230769231,0.692307692308,0.615384615385,0.666666666667,0.583333333333,0.666666666667,0.583333333333,0.583333333333,0.692307692308,0.769230769231,0.769230769231,0.615384615385
CSFI.WI,1.0,0.666666666667,0.666666666667,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0
CUFI.WI,0.6875,0.8125,0.5,0.533333333333,0.466666666667,0.466666666667,0.733333333333,0.533333333333,0.6,0.466666666667,0.533333333333,0.6
FBFI.WI,0.25,0.75,1.0,0.333333333333,1.0,0.333333333333,1.0,1.0,0.333333333333,1.0,0.333333333333,0.75
FGFI.WI,0.8,0.8,0.8,0.75,0.25,0.75,1.0,0.75,1.0,1.0,0.25,0.6
FUFI.WI,0.461538461538,0.769230769231,0.461538461538,0.666666666667,0.5,0.416666666667,0.333333333333,0.769230769231,0.538461538462,0.384615384615,0.769230769231,0.692307692308
HCFI.WI,0.666666666667,0.333333333333,0.5,0.333333333333,1.0,0.666666666667,0.333333333333,0.666666666667,1.0,0.666666666667,0.666666666667,1.0
IFI.WI,0.25,0.75,0.75,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0,0.25,0.5,0.5
JDFI.WI,0.5,0.25,0.75,1.0,1.0,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667,0.5,1.0
JFI.WI,0.5,0.333333333333,0.666666666667,0.333333333333,0.5,0.833333333333,0.666666666667,0.5,0.666666666667,0.666666666667,0.5,0.5
JMFI.WI,0.75,0.75,0.6,0.25,0.5,0.75,0.5,0.75,0.75,0.25,0.75,0.75
JRFI.WI,0.25,0.25,0.5,0.666666666667,1.0,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.5,0.5
LFI.WI,0.6,0.6,0.5,0.555555555556,0.555555555556,0.555555555556,0.6,0.6,0.7,0.5,0.5,0.7
LRFI.WI,0.666666666667,1.0,0.666666666667,0.5,0.5,0.5,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333
MAFI.WI,0.666666666667,0.333333333333,0.666666666667,0.6,1.0,0.6,0.6,0.4,1.0,0.333333333333,0.666666666667,0.666666666667
MFI.WI,0.5,0.625,0.5,0.533333333333,0.666666666667,0.6,0.6,0.466666666667,0.666666666667,0.533333333333,0.666666666667,0.666666666667
NIFI.WI,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5
OIFI.WI,0.8,0.4,0.6,1.0,0.75,0.5,1.0,0.4,0.8,0.8,0.6,0.6
PBFI.WI,0.833333333333,0.666666666667,0.857142857143,0.5,0.666666666667,0.5,0.833333333333,0.666666666667,0.5,0.5,0.5,0.666666666667
PFI.WI,0.6,0.6,0.7,0.444444444444,0.444444444444,0.666666666667,0.777777777778,0.333333333333,0.555555555556,0.6,0.6,0.7
PMFI.WI,0.666666666667,0.5,0.833333333333,0.2,0.6,1.0,0.6,0.6,0.6,0.4,1.0,0.4
PPFI.WI,0.666666666667,0.5,0.75,1.0,0.666666666667,0.666666666667,0.333333333333,1.0,1.0,0.333333333333,1.0,0.666666666667
RBFI.WI,0.625,0.5,0.666666666667,0.375,0.75,0.5,0.75,0.625,0.875,0.625,0.5,0.75
RIFI.WI,0.6,0.8,0.8,0.75,0.5,1.0,0.2,0.8,0.6,0.6,0.4,0.4
RMFI.WI,0.6,0.6,0.6,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.6
RSFI.WI,0.6,0.4,0.6,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.6
RUFI.WI,0.6875,0.6875,0.5625,0.733333333333,0.6,0.6,0.533333333333,0.666666666667,0.4,0.466666666667,0.666666666667,0.8
