,company_name,update_date,position_signal,open,high,low,close,volume,position_all,MA5,MA10,trend,return_rate,index_signal,index_position_signal,daily_return,cum_return
0,新湖期货,2008-05-14,,18675.0,18920.0,18470.0,18845.0,259518.0,107788.0,18587.3333333,19673.9166667,-1086.58333333,0.0359809868188,-1.0,,,
1,新湖期货,2008-05-14,,18675.0,18920.0,18470.0,18845.0,259518.0,107788.0,18587.3333333,19673.9166667,-1086.58333333,0.0359809868188,-1.0,,,
2,新湖期货,2008-05-14,,18675.0,18920.0,18470.0,18845.0,259518.0,107788.0,18587.3333333,19673.9166667,-1086.58333333,0.0359809868188,-1.0,,,
3,新湖期货,2008-05-15,,18700.0,18780.0,18380.0,18475.0,220840.0,127170.0,18566.8333333,19660.4166667,-1093.58333333,0.00133779284166,-1.0,,,
4,新湖期货,2008-05-15,,18700.0,18780.0,18380.0,18475.0,220840.0,127170.0,18566.8333333,19660.4166667,-1093.58333333,0.00133779284166,-1.0,,,
5,新湖期货,2008-05-15,,18700.0,18780.0,18380.0,18475.0,220840.0,127170.0,18566.8333333,19660.4166667,-1093.58333333,0.00133779284166,-1.0,,,
6,新湖期货,2008-05-16,,18550.0,18850.0,18495.0,18805.0,205146.0,123302.0,18533.1666667,19636.3333333,-1103.16666667,-0.0080537348071,-1.0,,,
7,新湖期货,2008-05-16,,18550.0,18850.0,18495.0,18805.0,205146.0,123302.0,18533.1666667,19636.3333333,-1103.16666667,-0.0080537348071,-1.0,,,
8,新湖期货,2008-05-16,,18550.0,18850.0,18495.0,18805.0,205146.0,123302.0,18533.1666667,19636.3333333,-1103.16666667,-0.0080537348071,-1.0,,,
11,新湖期货,2008-05-19,,18985.0,19190.0,18715.0,18790.0,181498.0,123632.0,18537.8333333,19626.0833333,-1088.25,0.0231794046303,-1.0,,,
9,新湖期货,2008-05-19,,18985.0,19190.0,18715.0,18790.0,181498.0,123632.0,18537.8333333,19626.0833333,-1088.25,0.0231794046303,-1.0,,,
10,新湖期货,2008-05-19,,18985.0,19190.0,18715.0,18790.0,181498.0,123632.0,18537.8333333,19626.0833333,-1088.25,0.0231794046303,-1.0,,,
14,新湖期货,2008-05-20,,18600.0,18645.0,18450.0,18515.0,99852.0,114342.0,18528.3333333,19612.25,-1083.91666667,-0.0204876129646,-1.0,,,
13,新湖期货,2008-05-20,,18600.0,18645.0,18450.0,18515.0,99852.0,114342.0,18528.3333333,19612.25,-1083.91666667,-0.0204876129646,-1.0,,,
12,新湖期货,2008-05-20,,18600.0,18645.0,18450.0,18515.0,99852.0,114342.0,18528.3333333,19612.25,-1083.91666667,-0.0204876129646,-1.0,,,
17,新湖期货,2008-05-21,,18430.0,18520.0,18120.0,18120.0,111192.0,103560.0,18498.1666667,19578.75,-1080.58333333,-0.00918180903743,-1.0,,,
