Wind资讯,600000.SH,600016.SH,600028.SH,600029.SH,600030.SH,600036.SH,600048.SH,600050.SH,600100.SH,600104.SH,600109.SH,600111.SH,600485.SH,600518.SH,600519.SH,600547.SH,600637.SH,600837.SH,600887.SH,600893.SH,600958.SH,600999.SH,601006.SH,601088.SH,601166.SH,601169.SH,601186.SH,601198.SH,601211.SH,601288.SH,601318.SH,601328.SH,601336.SH,601377.SH,601390.SH,601398.SH,601601.SH,601628.SH,601668.SH,601688.SH,601766.SH,601788.SH,601800.SH,601818.SH,601857.SH,601901.SH,601985.SH,601988.SH,601989.SH,601998.SH,000016.SH
,浦发银行,民生银行,中国石化,南方航空,中信证券,招商银行,保利地产,中国联通,同方股份,上汽集团,国金证券,北方稀土,信威集团,康美药业,贵州茅台,山东黄金,东方明珠,海通证券,伊利股份,中航动力,东方证券,招商证券,大秦铁路,中国神华,兴业银行,北京银行,中国铁建,东兴证券,国泰君安,农业银行,中国平安,交通银行,新华保险,兴业证券,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,光大证券,中国交建,光大银行,中国石油,方正证券,中国核电,中国银行,中国重工,中信银行,上证50
日期,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价,收盘价
2005/11/14,8.13 ,3.63 ,4.07 ,2.67 ,4.46 ,6.07 ,0.00 ,2.59 ,9.68 ,2.98 ,4.51 ,4.26 ,5.34 ,9.62 ,45.60 ,9.14 ,3.87 ,5.52 ,14.04 ,5.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,743.35 
2005/11/15,8.15 ,3.61 ,4.18 ,2.66 ,4.44 ,6.00 ,0.00 ,2.59 ,9.42 ,2.99 ,4.41 ,4.21 ,5.33 ,9.30 ,45.40 ,9.10 ,3.72 ,5.45 ,14.05 ,4.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,739.23 
2005/11/16,8.26 ,3.62 ,4.24 ,2.67 ,4.50 ,6.09 ,0.00 ,2.60 ,9.43 ,3.01 ,4.68 ,4.28 ,5.56 ,9.37 ,45.89 ,9.18 ,3.79 ,5.36 ,13.78 ,4.87 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,744.14 
2005/11/17,8.26 ,3.61 ,4.23 ,2.63 ,4.59 ,6.09 ,0.00 ,2.64 ,9.51 ,3.00 ,4.59 ,4.24 ,5.51 ,9.35 ,44.96 ,9.47 ,3.85 ,5.30 ,13.69 ,4.81 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,743.80 
2005/11/18,8.65 ,3.67 ,4.25 ,2.77 ,4.69 ,6.27 ,0.00 ,2.66 ,10.00 ,3.14 ,4.70 ,4.39 ,5.68 ,10.06 ,45.30 ,9.70 ,3.98 ,5.44 ,13.98 ,5.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,760.57 
2005/11/21,8.61 ,3.67 ,4.25 ,2.72 ,4.69 ,6.19 ,0.00 ,2.64 ,9.97 ,3.16 ,4.80 ,4.38 ,5.66 ,10.32 ,45.65 ,9.73 ,3.95 ,5.50 ,14.07 ,5.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,758.56 
2005/11/22,8.46 ,3.59 ,4.14 ,2.66 ,4.55 ,6.10 ,0.00 ,2.57 ,9.77 ,3.08 ,4.60 ,4.39 ,5.42 ,10.10 ,46.14 ,9.68 ,3.88 ,5.30 ,14.11 ,5.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,747.31 
2005/11/23,8.59 ,3.64 ,4.13 ,2.64 ,4.59 ,6.20 ,0.00 ,2.58 ,9.79 ,3.10 ,4.66 ,4.44 ,5.47 ,10.16 ,46.26 ,9.90 ,3.85 ,5.34 ,14.31 ,5.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,754.16 
