update_date,上海中期  ,中信期货  ,中国国际  ,中粮期货  ,先融期货  ,华信万达  ,国信期货  ,永安期货  ,海通期货  
2016-12-15,11600.0,24841.0,11444.0,26289.0,28762.0,13416.0,29487.0,10137.0,10932.0
2016-12-16,12440.0,23285.0,11988.0,26981.0,26301.0,13954.0,27555.0,10206.0,12397.0
2016-12-19,12038.0,25156.0,12114.0,25136.0,24211.0,13979.0,26971.0,10636.0,12439.0
2016-12-20,12265.0,24688.0,13325.0,27239.0,21686.0,14100.0,25558.0,10791.0,12158.0
2016-12-21,9984.0,23054.0,13728.0,26479.0,20971.0,14543.0,25444.0,10223.0,11417.0
2016-12-22,11383.0,22546.0,13902.0,28361.0,22576.0,14360.0,26648.0,7512.0,10744.0
2016-12-23,11576.0,22554.0,12054.0,28069.0,23307.0,14416.0,28033.0,7908.0,11222.0
2016-12-26,10159.0,22041.0,12033.0,26533.0,21028.0,13963.0,24913.0,8458.0,11428.0
2016-12-27,11818.0,21909.0,12018.0,27443.0,21144.0,14605.0,24796.0,7436.0,11128.0
2016-12-28,12042.0,22198.0,11633.0,27722.0,20766.0,15433.0,24564.0,6920.0,10885.0
2016-12-29,12069.0,21544.0,11823.0,25957.0,19208.0,14722.0,24816.0,7953.0,11233.0
2016-12-30,12582.0,20350.0,11887.0,31975.0,14661.0,13990.0,21522.0,5792.0,10408.0
2017-01-03,11737.0,20198.0,12113.0,31355.0,14400.0,13956.0,21983.0,6710.0,11751.0
2017-01-04,11009.0,20822.0,12189.0,31073.0,13798.0,14274.0,21737.0,7209.0,11124.0
2017-01-05,10642.0,20920.0,12297.0,31359.0,13706.0,14233.0,22606.0,6989.0,11700.0
2017-01-06,10671.0,21070.0,12756.0,31127.0,13447.0,14381.0,22840.0,7070.0,12023.0
2017-01-09,10807.0,20705.0,12784.0,31488.0,13337.0,14310.0,24226.0,7086.0,11638.0
2017-01-10,11848.0,22709.0,11956.0,31529.0,13360.0,14238.0,21464.0,5790.0,10906.0
2017-01-11,12208.0,22437.0,10368.0,32789.0,13612.0,13781.0,21705.0,4168.0,9159.0
2017-01-12,12752.0,22724.0,10769.0,31590.0,14786.0,14481.0,22592.0,3659.0,9100.0
2017-01-13,12553.0,24382.0,10735.0,30831.0,18269.0,14624.0,24719.0,1282.0,9066.0
2017-01-16,12254.0,23273.0,10813.0,31256.0,19110.0,14967.0,25454.0,1199.0,9256.0
2017-01-17,12198.0,22720.0,10621.0,31948.0,19056.0,14975.0,22936.0,999.0,9054.0
2017-01-18,12626.0,22902.0,10709.0,32887.0,19038.0,14972.0,22829.0,1035.0,8899.0
2017-01-19,12830.0,22637.0,10679.0,33428.0,19004.0,14979.0,22979.0,2012.0,8779.0
2017-01-20,12487.0,22933.0,10378.0,33476.0,19621.0,15377.0,23302.0,1986.0,8643.0
2017-01-23,12973.0,24024.0,10118.0,32338.0,20115.0,14897.0,24051.0,3837.0,8896.0
2017-01-24,12287.0,25595.0,9375.0,29800.0,20261.0,14357.0,24008.0,1996.0,7540.0
2017-01-25,13280.0,28163.0,5844.0,32286.0,22741.0,14503.0,26256.0,2129.0,7113.0
2017-01-26,13097.0,30105.0,4023.0,31052.0,23672.0,15926.0,27102.0,2023.0,6746.0
2017-02-03,13273.0,28979.0,5432.0,30440.0,24015.0,17173.0,27558.0,1786.0,6742.0
2017-02-06,13372.0,29605.0,3584.0,29779.0,24228.0,17648.0,27577.0,1793.0,7198.0
2017-02-07,13093.0,29362.0,6851.0,29756.0,23480.0,18110.0,27962.0,2226.0,7446.0
2017-02-08,13171.0,29864.0,6576.0,30012.0,23498.0,18333.0,28471.0,2307.0,7014.0
2017-02-09,13364.0,28901.0,4911.0,27385.0,24145.0,19029.0,28852.0,2529.0,7079.0
2017-02-10,13227.0,27061.0,5124.0,24645.0,24078.0,19500.0,28094.0,2503.0,7547.0
2017-02-13,13488.0,27151.0,7558.0,22874.0,24027.0,19520.0,28495.0,2850.0,7588.0
2017-02-14,13748.0,25298.0,7545.0,21659.0,24145.0,18553.0,29805.0,3855.0,7679.0
2017-02-15,13710.0,24819.0,6503.0,22050.0,24867.0,18575.0,29151.0,5262.0,9030.0
2017-02-16,12551.0,23041.0,5681.0,21154.0,21842.0,18722.0,27547.0,5375.0,9366.0
2017-02-17,12277.0,24849.0,5967.0,20209.0,21980.0,18027.0,27290.0,5665.0,8276.0
2017-02-20,12237.0,24138.0,6175.0,19694.0,22054.0,17361.0,27422.0,5061.0,7966.0
2017-02-21,12155.0,24689.0,6354.0,19910.0,20863.0,16975.0,27601.0,5229.0,7933.0
2017-02-22,12063.0,24761.0,6614.0,19482.0,20213.0,14630.0,27553.0,4837.0,7972.0
2017-02-23,11481.0,25735.0,7892.0,17016.0,19303.0,14836.0,26100.0,4665.0,7946.0
2017-02-24,10279.0,24737.0,7253.0,17287.0,17955.0,16975.0,26118.0,5148.0,7906.0
2017-02-27,10061.0,25103.0,9142.0,16855.0,19108.0,12677.0,27207.0,3629.0,7908.0
2017-02-28,8657.0,24665.0,8568.0,16865.0,19108.0,12888.0,27231.0,3090.0,7709.0
2017-03-01,8129.0,25784.0,9235.0,17359.0,19977.0,13016.0,27927.0,2974.0,5086.0
2017-03-02,8205.0,26242.0,7383.0,17460.0,20197.0,13526.0,27525.0,2834.0,6775.0
2017-03-03,8652.0,26442.0,8393.0,17457.0,19905.0,11001.0,27633.0,2481.0,6100.0
2017-03-07,8559.0,25591.0,8580.0,17954.0,21099.0,11072.0,30611.0,2678.0,5585.0
2017-03-08,8375.0,20991.0,8774.0,17566.0,20238.0,11299.0,29826.0,3296.0,5841.0
2017-03-09,8516.0,20217.0,8611.0,18358.0,20022.0,11461.0,28665.0,4562.0,7214.0
2017-03-10,8749.0,20056.0,7661.0,17731.0,20100.0,11972.0,28580.0,4448.0,6115.0
2017-03-13,8261.0,24091.0,7377.0,16524.0,21134.0,11995.0,27797.0,4270.0,8975.0
2017-03-14,7601.0,23745.0,7234.0,14212.0,20801.0,11959.0,27345.0,5173.0,7477.0
