,SHFE锌,,,,
,ZN.SHF,,,,
日期,开盘价,最高价,最低价,收盘价,成交量
Date,open,high,low,close,volume
2016-03-09,14355.0000,14370.0000,13785.0000,14090.0000,785172.0000
2016-03-10,14190.0000,14295.0000,14030.0000,14065.0000,566740.0000
2016-03-11,14095.0000,14165.0000,13985.0000,14160.0000,449450.0000
2016-03-14,14115.0000,14335.0000,14100.0000,14180.0000,513666.0000
2016-03-15,14200.0000,14245.0000,14025.0000,14060.0000,438642.0000
2016-03-16,13990.0000,14075.0000,13825.0000,13970.0000,518388.0000
2016-03-17,13930.0000,14185.0000,13920.0000,14170.0000,400660.0000
2016-03-18,14185.0000,14595.0000,14170.0000,14405.0000,614274.0000
2016-03-21,14460.0000,14560.0000,14290.0000,14400.0000,448350.0000
2016-03-22,14450.0000,14585.0000,14400.0000,14440.0000,403238.0000
2016-03-23,14445.0000,14520.0000,14355.0000,14385.0000,293180.0000
2016-03-24,14385.0000,14385.0000,14180.0000,14200.0000,336172.0000
2016-03-25,14120.0000,14250.0000,14060.0000,14250.0000,167050.0000
2016-03-28,14285.0000,14350.0000,14205.0000,14205.0000,150100.0000
2016-03-29,14265.0000,14410.0000,14125.0000,14180.0000,91728.0000
2016-03-30,14250.0000,14275.0000,14080.0000,14140.0000,140428.0000
2016-03-31,14140.0000,14300.0000,14075.0000,14140.0000,153372.0000
2016-04-01,14200.0000,14475.0000,14155.0000,14445.0000,242164.0000
2016-04-05,14485.0000,14540.0000,14420.0000,14460.0000,143074.0000
2016-04-06,14390.0000,14410.0000,14220.0000,14240.0000,235568.0000
2016-04-07,14200.0000,14305.0000,14160.0000,14185.0000,235488.0000
2016-04-08,14050.0000,14085.0000,13900.0000,13955.0000,330896.0000
2016-04-11,13980.0000,14200.0000,13965.0000,14055.0000,307442.0000
2016-04-12,14020.0000,14140.0000,14015.0000,14115.0000,243594.0000
2016-04-13,14280.0000,14775.0000,14235.0000,14775.0000,561464.0000
2016-04-14,14810.0000,15200.0000,14740.0000,14865.0000,779818.0000
2016-04-15,14980.0000,15025.0000,14760.0000,14925.0000,485822.0000
2016-04-18,14900.0000,15315.0000,14815.0000,14990.0000,713690.0000
2016-04-19,15200.0000,15275.0000,14945.0000,15140.0000,543140.0000
