update_date,hold_vol_buy,hold_vol_buy_chg
2017-01-03,15484.0,120.0
2017-01-04,15236.0,-248.0
2017-01-05,16217.0,981.0
2017-01-06,16772.0,555.0
2017-01-09,17097.0,325.0
2017-01-10,18628.0,1531.0
2017-01-11,15820.0,-2808.0
2017-01-12,14277.0,-1543.0
2017-01-13,15347.0,1070.0
2017-01-16,15506.0,714.0
2017-01-17,16219.0,713.0
2017-01-18,16639.0,420.0
2017-01-19,16470.0,-169.0
2017-01-20,15882.0,-588.0
2017-01-23,16327.0,445.0
2017-01-24,15646.0,-681.0
2017-01-25,18018.0,-364.0
2017-01-26,16559.0,-1459.0
