update_date,hold_vol_buy,hold_vol_buy_chg
2017-01-03,22981.0,-772.0
2017-01-04,23247.0,266.0
2017-01-05,22334.0,-913.0
2017-01-06,22675.0,341.0
2017-01-09,23052.0,377.0
2017-01-10,25326.0,2274.0
2017-01-11,22615.0,-751.0
2017-01-12,24162.0,901.0
2017-01-13,23089.0,-1073.0
2017-01-16,23505.0,416.0
2017-01-17,23013.0,-132.0
2017-01-18,22947.0,-66.0
2017-01-19,22311.0,-636.0
2017-01-20,20392.0,-1094.0
2017-01-23,22036.0,1176.0
2017-01-24,20581.0,-1455.0
2017-01-25,19627.0,-1984.0
2017-01-26,18967.0,-987.0
